date,open,high,low,close,volume,adj_close
2026-04-20 00:00:00,372.0,394.0,368.5,382.25,115746,382.25
2026-04-21 00:00:00,388.65,402.8,388.65,398.55,68815,398.55
2026-04-22 00:00:00,404.0,405.95,391.15,394.9,47018,394.9
2026-04-23 00:00:00,392.8,402.0,383.6,397.4,95529,397.4
2026-04-24 00:00:00,400.65,404.0,390.0,395.2,160066,395.2
2026-04-27 00:00:00,404.9,404.9,390.0,399.55,138056,399.55
2026-04-28 00:00:00,397.4,399.85,383.6,394.3,112466,394.3
2026-04-29 00:00:00,400.05,403.0,390.1,392.55,99558,392.55
2026-04-30 00:00:00,396.5,399.95,390.5,397.1,56137,397.1
2026-05-04 00:00:00,405.8,405.8,389.0,394.75,44455,394.75
2026-05-05 00:00:00,393.1,396.7,388.0,390.1,26998,390.1
2026-05-06 00:00:00,394.05,399.0,386.0,388.95,98558,388.95
2026-05-07 00:00:00,396.7,396.7,389.3,392.35,27290,392.35
2026-05-08 00:00:00,394.05,410.95,388.8,396.55,83492,396.55
2026-05-11 00:00:00,400.85,401.0,392.85,394.95,29692,394.95
2026-05-12 00:00:00,396.9,398.15,364.0,380.75,26461,380.75
2026-05-13 00:00:00,391.0,391.0,353.7,375.95,88195,375.95
2026-05-14 00:00:00,371.0,391.15,366.8,386.25,75907,386.25
2026-05-15 00:00:00,383.05,394.2,383.0,384.85,229547,384.85
2026-05-18 00:00:00,389.9,390.0,375.15,380.55,191331,380.55
