date,open,high,low,close,volume,adj_close
2026-04-20 00:00:00,101.5,101.5,97.2,99.5,7535,99.5
2026-04-21 00:00:00,98.5,99.85,97.5,98.05,6937,98.05
2026-04-22 00:00:00,98.05,101.0,97.05,98.15,5807,98.15
2026-04-23 00:00:00,99.5,99.5,95.05,98.75,107771,98.75
2026-04-24 00:00:00,98.9,100.0,96.65,97.85,72864,97.85
2026-04-27 00:00:00,96.8,101.65,95.0,97.1,67182,97.1
2026-04-28 00:00:00,96.95,98.5,94.0,96.6,332544,96.6
2026-04-29 00:00:00,96.5,96.6,91.75,95.65,370617,95.65
2026-04-30 00:00:00,95.7,97.9,92.5,97.65,53604,97.65
2026-05-04 00:00:00,95.3,100.0,95.3,99.6,115238,99.6
2026-05-05 00:00:00,99.6,103.3,99.6,101.05,134926,101.05
2026-05-06 00:00:00,101.5,102.2,97.66,101.45,147667,101.45
2026-05-07 00:00:00,102.9,105.05,101.8,102.73,203908,102.73
2026-05-08 00:00:00,103.99,103.99,98.5,99.98,45217,99.98
2026-05-11 00:00:00,98.72,99.81,97.6,98.72,61059,98.72
2026-05-12 00:00:00,97.73,99.31,93.22,96.02,104231,96.02
2026-05-13 00:00:00,97.89,98.25,95.38,97.19,64444,97.19
2026-05-14 00:00:00,98.0,99.66,96.1,97.36,51342,97.36
2026-05-15 00:00:00,97.44,99.02,94.25,97.53,90937,97.53
2026-05-18 00:00:00,97.98,97.98,94.1,94.89,32951,94.89
