date,open,high,low,close,volume,adj_close
2024-05-21 00:00:00,124.45,126.0,122.0,124.55,162220,124.55
2024-05-22 00:00:00,124.75,128.0,120.35,125.7,298460,125.7
2024-05-23 00:00:00,128.0,128.0,123.0,124.8,168718,124.8
2024-05-24 00:00:00,127.45,127.45,123.8,124.7,225718,124.7
2024-05-27 00:00:00,127.4,127.4,122.25,124.25,103739,124.25
2024-05-28 00:00:00,124.2,124.2,119.2,121.45,116631,121.45
2024-05-29 00:00:00,121.35,124.4,120.15,122.45,185470,122.45
2024-05-30 00:00:00,124.4,124.4,117.0,119.6,112925,119.6
2024-05-31 00:00:00,117.2,120.65,113.65,120.2,274608,120.2
2024-06-03 00:00:00,122.45,122.45,116.65,120.1,301034,120.1
2024-06-04 00:00:00,119.25,122.95,114.1,114.1,165650,114.1
2024-06-05 00:00:00,113.9,113.9,108.4,108.6,277639,108.6
2024-06-06 00:00:00,111.9,114.0,110.75,114.0,378259,114.0
2024-06-07 00:00:00,117.9,124.2,114.3,123.45,536757,123.45
2024-06-10 00:00:00,123.6,124.4,117.89,119.22,137642,119.22
2024-06-11 00:00:00,119.31,121.17,118.03,119.88,317025,119.88
2024-06-12 00:00:00,119.88,120.0,116.31,117.88,203211,117.88
2024-06-13 00:00:00,119.0,120.98,112.69,114.3,940483,114.3
2024-06-14 00:00:00,113.8,115.3,110.72,111.07,895572,111.07
2024-06-18 00:00:00,113.4,113.4,107.62,109.18,867470,109.18
2024-06-19 00:00:00,111.0,111.6,107.1,108.43,584664,108.43
2024-06-20 00:00:00,109.0,110.99,107.81,109.12,632590,109.12
2024-06-21 00:00:00,110.4,110.45,106.7,108.4,374910,108.4
2024-06-24 00:00:00,112.98,112.99,105.4,106.36,3422399,106.36
2024-06-25 00:00:00,107.45,108.0,101.5,101.94,1653275,101.94
2024-06-26 00:00:00,102.79,102.79,98.03,100.04,863839,100.04
2024-06-27 00:00:00,100.89,104.69,98.2,99.87,859992,99.87
2024-06-28 00:00:00,100.99,101.29,94.78,95.05,1470224,95.05
2024-07-01 00:00:00,95.9,98.0,89.51,90.41,1414448,90.41
2024-07-02 00:00:00,90.26,92.14,81.36,81.36,3997623,81.36
2024-07-03 00:00:00,78.66,84.6,77.91,80.05,2602445,80.05
2024-07-04 00:00:00,81.99,84.05,81.26,84.05,1049811,84.05
2024-07-05 00:00:00,86.3,88.25,86.02,88.25,518498,88.25
2024-07-08 00:00:00,92.55,92.66,89.25,90.53,825744,90.53
2024-07-09 00:00:00,90.9,91.5,86.0,86.0,570572,86.0
