date,open,high,low,close,volume,adj_close
2024-05-21,245.0444,245.3848,236.2407,237.2135,272418,237.2135
2024-05-22,237.2135,239.159,229.9662,231.2795,251579,231.2795
2024-05-23,231.3281,235.9975,230.5499,231.4254,172633,231.4254
2024-05-24,231.3767,233.2737,228.4098,229.3339,112841,229.3339
2024-05-27,229.3339,235.6084,228.1666,229.188,195703,229.188
2024-05-28,230.1608,230.5499,224.7618,226.8533,212641,226.8533
2024-05-29,226.6587,228.4098,223.789,224.5673,120065,224.5673
2024-05-30,223.7404,225.5887,217.9523,218.9251,123930,218.9251
2024-05-31,220.0438,224.324,218.3414,219.4601,156729,219.4601
2024-06-03,223.7404,225.9778,218.0496,220.1411,227122,220.1411
2024-06-04,220.1411,221.9894,192.6599,203.4578,355620,203.4578
2024-06-05,203.4578,229.7716,200.5395,227.6315,476519,227.6315
2024-06-06,233.4682,233.4682,226.4642,230.1121,143827,230.1121
2024-06-07,229.0907,234.6842,226.9506,231.8631,164327,231.8631
2024-06-10,231.8631,236.7562,230.0635,231.688,182958,231.688
2024-06-11,232.7387,235.336,230.0635,231.2406,117325,231.2406
2024-06-12,231.2406,235.2192,231.2406,232.3009,102258,232.3009
2024-06-13,233.7601,254.8695,231.9604,252.7488,2416306,252.7488
2024-06-14,252.7488,257.3014,250.0056,252.0679,611339,252.0679
2024-06-18,253.3617,254.0815,247.7682,248.381,261878,248.381
2024-06-19,249.4219,251.8538,245.1416,248.0405,241086,248.0405
2024-06-20,247.5736,253.8967,245.628,249.7137,308526,249.7137
2024-06-21,249.7624,254.8695,245.628,246.1728,348631,246.1728
2024-06-24,246.951,249.9083,246.1631,248.3032,163685,248.3032
2024-06-25,249.6651,258.2742,247.3985,249.9472,589139,249.9472
2024-06-26,249.9569,256.815,249.9472,251.4842,267343,251.4842
2024-06-27,251.7566,253.6632,244.8984,245.9491,152844,245.9491
2024-06-28,247.3304,250.7643,244.1688,246.5327,169596,246.5327
2024-07-01,247.525,254.8695,247.525,250.7352,317665,250.7352
2024-07-02,251.3675,252.6807,243.1961,244.5093,424861,244.5093
2024-07-03,246.0658,249.0328,244.6552,245.7253,166770,245.7253
2024-07-04,245.9685,249.5192,244.8498,245.5794,173894,245.5794
2024-07-05,245.5794,249.9569,243.8284,245.3848,428547,245.3848
2024-07-08,246.5522,264.5973,245.1416,261.9708,2107146,261.9708
2024-07-09,265.5215,269.9476,257.8851,261.2412,1183911,261.2412
2024-07-10,261.1926,261.1926,245.7253,255.8423,672910,255.8423
2024-07-11,256.2314,259.5388,250.3947,251.1729,405236,251.1729
2024-07-12,252.1457,254.6263,247.0872,248.4977,192841,248.4977
2024-07-15,248.4977,250.346,245.3848,246.9899,256038,246.9899
2024-07-16,247.8654,251.2702,245.774,246.7954,200660,246.7954
2024-07-18,246.7467,247.7195,239.4022,241.5423,214610,241.5423
2024-07-19,241.0073,241.0073,231.7172,232.9332,244830,232.9332
2024-07-22,232.3982,236.3866,228.6043,230.1121,221213,230.1121
2024-07-23,231.2795,233.7114,219.4115,228.2152,235178,228.2152
