date,open,high,low,close,volume,adj_close
2024-05-21 00:00:00,176.4,176.5,171.6,173.45,203024,173.45
2024-05-22 00:00:00,174.0,176.3,171.85,173.35,156107,173.35
2024-05-23 00:00:00,173.0,175.35,171.9,172.35,140847,172.35
2024-05-24 00:00:00,172.1,179.8,171.75,174.65,292792,174.65
2024-05-27 00:00:00,179.95,184.0,175.4,181.0,413698,181.0
2024-05-28 00:00:00,181.45,181.45,173.0,173.6,142939,173.6
2024-05-29 00:00:00,173.0,174.85,171.55,174.0,96151,174.0
2024-05-30 00:00:00,171.0,173.95,167.3,169.2,121436,169.2
2024-05-31 00:00:00,169.45,173.4,167.55,168.5,100702,168.5
2024-06-03 00:00:00,174.0,175.5,172.0,172.75,127963,172.75
2024-06-04 00:00:00,172.75,172.75,151.15,161.15,205959,161.15
2024-06-05 00:00:00,163.8,169.1,158.25,168.3,130589,168.3
2024-06-06 00:00:00,170.0,175.0,170.0,171.95,129863,171.95
2024-06-07 00:00:00,171.8,176.0,171.0,175.5,157436,175.5
2024-06-10 00:00:00,177.6,190.37,176.04,186.81,659453,186.81
2024-06-11 00:00:00,190.0,194.19,187.5,189.52,429310,189.52
2024-06-12 00:00:00,190.0,195.0,190.0,190.73,275055,190.73
2024-06-13 00:00:00,191.25,197.0,189.0,194.23,339145,194.23
2024-06-14 00:00:00,194.35,194.97,191.05,191.25,188530,191.25
2024-06-18 00:00:00,192.96,201.49,191.84,199.58,557434,199.58
2024-06-19 00:00:00,204.95,209.9,201.66,202.87,1476225,202.87
2024-06-20 00:00:00,203.75,231.0,203.61,226.8,3527605,226.8
2024-06-21 00:00:00,228.5,232.6,208.73,213.93,922164,213.93
2024-06-24 00:00:00,213.51,230.0,209.02,223.05,1583993,223.05
2024-06-25 00:00:00,222.0,230.48,220.2,221.88,608128,221.88
2024-06-26 00:00:00,221.88,224.0,215.18,216.59,473069,216.59
2024-06-27 00:00:00,216.9,219.75,210.0,211.19,238320,211.19
2024-06-28 00:00:00,212.5,228.8,212.5,223.49,648050,223.49
2024-07-01 00:00:00,227.0,230.4,224.26,227.26,588000,227.26
2024-07-02 00:00:00,228.65,229.5,222.8,223.58,259633,223.58
2024-07-03 00:00:00,225.01,232.0,222.36,224.76,639846,224.76
2024-07-04 00:00:00,225.5,229.4,221.42,223.1,531161,223.1
2024-07-05 00:00:00,223.1,225.15,220.25,221.2,220298,221.2
2024-07-08 00:00:00,222.2,236.0,219.41,232.96,1108090,232.96
2024-07-09 00:00:00,237.09,245.0,232.5,234.01,995260,234.01
2024-07-10 00:00:00,233.05,233.99,219.39,222.51,598095,222.51
2024-07-11 00:00:00,223.5,228.71,223.49,226.14,321453,226.14
2024-07-12 00:00:00,226.5,234.08,221.8,223.76,426827,223.76
2024-07-15 00:00:00,223.8,226.67,219.4,223.54,268468,223.54
2024-07-16 00:00:00,223.87,227.69,220.25,221.18,189754,221.18
2024-07-18 00:00:00,220.5,220.7,215.1,216.14,174862,216.14
2024-07-19 00:00:00,215.5,216.84,202.0,204.78,291488,204.78
2024-07-22 00:00:00,208.5,213.99,202.33,208.91,642322,208.91
2024-07-23 00:00:00,210.6,214.99,194.0,202.01,578958,202.01
2024-07-24 00:00:00,202.95,209.58,202.5,206.49,214215,206.49
2024-07-25 00:00:00,204.7,208.93,203.88,206.92,123043,206.92
2024-07-26 00:00:00,208.0,211.0,207.0,207.91,137231,207.91
2024-07-29 00:00:00,208.41,214.15,208.0,208.42,245006,208.42
2024-07-30 00:00:00,209.2,219.89,208.5,218.45,345123,218.45
2024-07-31 00:00:00,220.0,229.0,217.0,228.6,1153395,228.6
2024-08-01 00:00:00,230.5,232.79,217.63,219.73,642271,219.73
2024-08-02 00:00:00,218.4,225.95,214.96,221.91,358324,221.91
2024-08-05 00:00:00,210.0,221.32,206.87,207.8,462915,207.8
2024-08-06 00:00:00,215.0,221.29,204.0,206.29,238449,206.29
2024-08-07 00:00:00,207.0,211.2,202.95,205.54,305507,205.54
2024-08-08 00:00:00,205.54,209.25,200.0,201.28,202463,201.28
2024-08-09 00:00:00,203.4,206.2,202.13,204.61,117807,204.61
2024-08-12 00:00:00,204.0,206.49,196.99,199.47,302089,199.47
2024-08-13 00:00:00,200.45,202.28,198.0,198.71,123496,198.71
2024-08-14 00:00:00,198.8,199.69,191.91,194.03,158115,194.03
2024-08-16 00:00:00,195.89,196.89,193.63,194.54,95705,194.54
2024-08-19 00:00:00,195.6,200.94,195.18,199.36,89281,199.36
2024-08-20 00:00:00,198.0,203.44,197.49,201.62,118616,201.62
2024-08-21 00:00:00,202.6,205.6,201.62,203.86,116748,203.86
2024-08-22 00:00:00,205.0,211.99,202.1,203.51,396699,203.51
2024-08-23 00:00:00,203.6,208.58,201.1,207.34,267225,207.34
2024-08-26 00:00:00,208.6,208.87,202.98,203.77,143289,203.77
2024-08-27 00:00:00,204.3,209.09,203.2,206.81,186476,206.81
2024-08-28 00:00:00,206.81,209.96,205.0,206.05,141352,206.05
2024-08-29 00:00:00,206.7,208.8,202.99,203.65,135368,203.65
2024-08-30 00:00:00,204.95,209.13,204.3,204.74,255022,204.74
2024-09-02 00:00:00,204.74,207.89,204.74,205.78,132340,205.78
2024-09-03 00:00:00,207.0,207.4,201.67,202.66,81491,202.66
2024-09-04 00:00:00,201.0,203.48,198.05,198.83,164075,198.83
2024-09-05 00:00:00,200.9,201.99,197.01,197.42,233267,197.42
2024-09-06 00:00:00,198.2,199.0,193.34,193.98,140625,193.98
2024-09-09 00:00:00,193.0,193.0,186.1,188.76,147193,188.76
2024-09-10 00:00:00,189.8,195.7,189.66,193.83,78995,193.83
2024-09-11 00:00:00,193.83,194.88,188.51,189.25,87367,189.25
2024-09-12 00:00:00,191.0,192.5,186.98,191.38,75179,191.38
2024-09-13 00:00:00,191.89,196.6,191.56,195.65,100213,195.65
2024-09-16 00:00:00,197.9,198.8,192.25,194.23,103195,194.23
2024-09-17 00:00:00,193.3,199.84,193.23,198.91,525035,198.91
2024-09-18 00:00:00,199.85,201.02,195.36,198.61,289790,198.61
2024-09-19 00:00:00,199.0,200.21,189.44,197.87,240166,197.87
2024-09-20 00:00:00,198.01,200.85,194.51,196.88,106775,196.88
2024-09-23 00:00:00,197.0,199.0,195.55,196.55,87733,196.55
2024-09-24 00:00:00,196.3,197.96,194.1,195.0,72803,195.0
2024-09-25 00:00:00,194.1,197.59,192.0,193.04,94060,193.04
2024-09-26 00:00:00,193.0,201.0,191.1,196.14,622688,196.14
2024-09-27 00:00:00,197.2,216.88,197.2,208.05,2028205,208.05
2024-09-30 00:00:00,206.6,220.1,206.44,213.02,675844,213.02
2024-10-01 00:00:00,214.8,216.4,210.0,212.8,267014,212.8
2024-10-03 00:00:00,209.79,211.99,202.11,204.62,221841,204.62
2024-10-04 00:00:00,203.21,208.02,200.5,202.29,164699,202.29
2024-10-07 00:00:00,203.45,203.82,190.8,192.44,219895,192.44
2024-10-08 00:00:00,192.44,201.3,189.21,199.92,126546,199.92
2024-10-09 00:00:00,200.95,203.97,198.55,200.14,95634,200.14
2024-10-10 00:00:00,201.29,209.8,200.26,206.06,224753,206.06
2024-10-11 00:00:00,206.8,207.81,202.6,203.58,84171,203.58
2024-10-14 00:00:00,204.3,210.17,202.0,204.32,103928,204.32
2024-10-15 00:00:00,205.0,208.7,204.13,205.05,111479,205.05
2024-10-16 00:00:00,203.82,210.0,203.82,207.38,158299,207.38
2024-10-17 00:00:00,207.38,208.24,202.55,204.18,82845,204.18
2024-10-18 00:00:00,203.0,204.09,197.0,200.46,103058,200.46
2024-10-21 00:00:00,200.9,207.0,195.39,201.05,218086,201.05
2024-10-22 00:00:00,199.5,200.39,190.1,191.16,137411,191.16
2024-10-23 00:00:00,191.0,194.99,186.78,190.81,128841,190.81
2024-10-24 00:00:00,191.01,192.06,189.0,190.15,58734,190.15
2024-10-25 00:00:00,190.16,190.23,182.25,184.62,102605,184.62
2024-10-28 00:00:00,184.62,188.99,181.45,185.89,75714,185.89
2024-10-29 00:00:00,186.8,193.66,185.77,189.99,73864,189.99
2024-10-30 00:00:00,190.5,197.0,183.05,195.27,90805,195.27
2024-10-31 00:00:00,195.2,199.0,193.51,196.58,86625,196.58
2024-11-01 00:00:00,197.0,199.7,191.22,198.07,52481,198.07
2024-11-04 00:00:00,198.24,198.49,194.0,196.54,79510,196.54
2024-11-05 00:00:00,198.01,202.0,196.0,199.26,98963,199.26
2024-11-06 00:00:00,200.3,208.98,199.0,207.26,223341,207.26
2024-11-07 00:00:00,210.0,219.7,208.0,213.75,680790,213.75
2024-11-08 00:00:00,218.0,219.0,211.0,211.98,312699,211.98
2024-11-11 00:00:00,224.96,231.0,219.0,224.63,1664047,224.63
2024-11-12 00:00:00,229.0,233.8,220.6,223.77,649769,223.77
2024-11-13 00:00:00,223.0,225.79,211.93,213.91,380706,213.91
2024-11-14 00:00:00,214.98,223.5,214.3,216.25,224435,216.25
2024-11-18 00:00:00,222.5,222.5,208.2,215.28,324807,215.28
2024-11-19 00:00:00,216.0,221.44,210.09,212.46,188445,212.46
2024-11-21 00:00:00,215.0,216.98,208.01,209.52,214370,209.52
2024-11-22 00:00:00,210.01,220.0,209.62,218.34,220532,218.34
2024-11-25 00:00:00,223.1,224.69,215.1,216.45,182186,216.45
2024-11-26 00:00:00,217.15,225.55,216.46,222.74,331496,222.74
2024-11-27 00:00:00,228.0,234.5,220.1,222.07,451035,222.07
2024-11-28 00:00:00,222.9,229.0,222.61,226.32,287370,226.32
2024-11-29 00:00:00,227.25,238.9,221.75,237.89,1078735,237.89
2024-12-02 00:00:00,239.56,256.0,235.24,254.22,2018549,254.22
2024-12-03 00:00:00,256.4,268.0,255.6,257.19,1645155,257.19
2024-12-04 00:00:00,258.44,267.37,255.0,257.83,667592,257.83
2024-12-05 00:00:00,257.83,265.5,254.25,256.02,581735,256.02
2024-12-06 00:00:00,256.4,259.9,252.1,253.22,360895,253.22
2024-12-09 00:00:00,254.9,258.5,252.41,254.75,264319,254.75
2024-12-10 00:00:00,255.5,262.35,254.75,256.54,496779,256.54
2024-12-11 00:00:00,256.54,262.0,250.1,251.61,305135,251.61
2024-12-12 00:00:00,251.61,252.9,239.0,240.8,530507,240.8
2024-12-13 00:00:00,240.75,246.37,234.95,241.62,501507,241.62
2024-12-16 00:00:00,241.5,245.5,240.02,242.72,203853,242.72
2024-12-17 00:00:00,244.0,253.45,243.01,243.78,520964,243.78
2024-12-18 00:00:00,243.26,243.99,231.25,233.6,247025,233.6
2024-12-19 00:00:00,230.0,237.0,228.01,232.07,235710,232.07
2024-12-20 00:00:00,232.45,234.4,220.0,221.56,262547,221.56
2024-12-23 00:00:00,223.99,224.0,217.0,220.76,215055,220.76
2024-12-24 00:00:00,221.01,224.89,219.12,222.63,98427,222.63
2024-12-26 00:00:00,223.65,225.1,216.91,218.13,143110,218.13
2024-12-27 00:00:00,218.13,220.3,215.0,215.52,151330,215.52
2024-12-30 00:00:00,217.79,217.79,205.2,206.23,276311,206.23
2024-12-31 00:00:00,206.5,214.17,206.25,212.7,206693,212.7
2025-01-01 00:00:00,212.02,224.51,212.01,223.52,271107,223.52
2025-01-02 00:00:00,226.45,226.65,217.36,219.06,217138,219.06
2025-01-03 00:00:00,218.4,223.07,218.4,221.45,160407,221.45
2025-01-06 00:00:00,219.5,221.78,208.0,208.84,255829,208.84
2025-01-07 00:00:00,212.0,218.23,209.17,216.56,285919,216.56
2025-01-08 00:00:00,216.49,218.0,210.67,215.81,255811,215.81
2025-01-09 00:00:00,214.0,219.98,209.04,210.59,233242,210.59
2025-01-10 00:00:00,210.6,212.19,200.6,201.62,257211,201.62
2025-01-13 00:00:00,202.0,203.44,188.64,190.16,295184,190.16
2025-01-14 00:00:00,192.54,196.0,190.74,194.45,149682,194.45
2025-01-15 00:00:00,195.6,198.82,192.5,194.05,138744,194.05
2025-01-16 00:00:00,195.7,199.99,195.14,198.71,100868,198.71
2025-01-17 00:00:00,200.0,206.0,197.57,203.55,189903,203.55
2025-01-20 00:00:00,204.45,214.0,202.1,209.33,449571,209.33
2025-01-21 00:00:00,209.33,216.37,208.1,209.35,363547,209.35
2025-01-22 00:00:00,210.9,210.9,202.5,207.66,300084,207.66
2025-01-23 00:00:00,210.0,213.4,207.28,209.25,114618,209.25
2025-01-24 00:00:00,209.26,211.74,200.0,201.06,131969,201.06
2025-01-27 00:00:00,200.0,200.0,187.9,190.91,219733,190.91
2025-01-28 00:00:00,193.5,198.9,185.0,190.55,220314,190.55
