date,open,high,low,close,volume,adj_close
2026-02-05 00:00:00,17.05,17.4,14.37,15.0,4900800,15.0
2026-02-06 00:00:00,15.22,16.5,13.75,14.5,831600,14.5
2026-02-09 00:00:00,15.87,15.87,14.1,14.55,441400,14.55
2026-02-10 00:00:00,14.56,14.99,13.3,13.59,420100,13.59
2026-02-11 00:00:00,13.6,14.68,13.29,14.49,315000,14.49
2026-02-12 00:00:00,14.5,15.77,14.39,14.83,370100,14.83
2026-02-13 00:00:00,14.82,16.16,14.5,15.05,307600,15.05
2026-02-17 00:00:00,15.35,16.25,15.25,15.72,482500,15.72
2026-02-18 00:00:00,15.75,16.39,15.53,16.26,443900,16.26
2026-02-19 00:00:00,16.5,16.5,14.5,15.5,811100,15.5
2026-02-20 00:00:00,15.89,15.89,14.73,14.88,285500,14.88
2026-02-23 00:00:00,15.23,15.23,13.51,14.47,305000,14.47
2026-02-24 00:00:00,14.23,15.23,14.21,14.9,336000,14.9
2026-02-25 00:00:00,14.94,15.43,14.51,14.89,212000,14.89
2026-02-26 00:00:00,14.47,14.94,13.39,13.64,464400,13.64
2026-02-27 00:00:00,13.49,14.28,13.49,13.78,270800,13.78
2026-03-02 00:00:00,14.18,14.95,13.61,14.88,420600,14.88
2026-03-03 00:00:00,14.88,15.36,13.62,13.8,144300,13.8
2026-03-04 00:00:00,15.07,15.66,13.9,15.16,410700,15.16
2026-03-05 00:00:00,15.11,16.18,14.26,14.54,223900,14.54
2026-03-06 00:00:00,14.58,14.77,13.84,14.38,207800,14.38
2026-03-09 00:00:00,14.16,15.78,14.1,14.91,273100,14.91
2026-03-10 00:00:00,14.99,15.17,14.02,14.02,168500,14.02
2026-03-11 00:00:00,14.2,14.6,12.62,13.18,394600,13.18
2026-03-12 00:00:00,13.18,13.2,11.5,11.78,613200,11.78
2026-03-13 00:00:00,12.32,12.32,10.82,11.46,500800,11.46
2026-03-16 00:00:00,11.5,12.4,11.26,11.95,150100,11.95
2026-03-17 00:00:00,11.89,13.06,11.76,12.84,146900,12.84
2026-03-18 00:00:00,12.95,13.75,11.56,11.74,500300,11.74
2026-03-19 00:00:00,11.74,12.08,10.92,10.98,483200,10.98
2026-03-20 00:00:00,11.05,12.19,11.02,11.82,1630200,11.82
2026-03-23 00:00:00,12.0,12.24,11.53,11.71,551100,11.71
2026-03-24 00:00:00,11.69,11.78,10.9,11.06,409500,11.06
2026-03-25 00:00:00,10.97,11.84,10.76,11.07,476300,11.07
2026-03-26 00:00:00,10.86,11.39,9.93,10.53,454300,10.53
2026-03-27 00:00:00,10.27,10.54,9.81,9.81,201500,9.81
2026-03-30 00:00:00,9.8,10.46,9.46,9.68,299400,9.68
2026-03-31 00:00:00,9.77,11.14,9.77,10.58,474300,10.58
2026-04-01 00:00:00,10.72,10.95,10.02,10.08,230400,10.08
2026-04-02 00:00:00,9.85,10.46,9.6,9.9,252600,9.9
2026-04-06 00:00:00,10.07,10.07,9.2,9.44,369600,9.44
2026-04-07 00:00:00,9.31,9.45,8.65,8.78,335400,8.78
2026-04-08 00:00:00,9.04,9.56,8.78,9.5,459200,9.5
2026-04-09 00:00:00,9.54,9.85,8.8,9.01,245700,9.01
2026-04-10 00:00:00,9.12,9.24,8.58,9.0,706100,9.0
2026-04-13 00:00:00,9.03,10.4,9.03,9.87,409400,9.87
2026-04-14 00:00:00,9.77,10.62,9.77,10.61,440800,10.61
2026-04-15 00:00:00,10.69,11.16,10.54,10.84,311900,10.84
2026-04-16 00:00:00,11.09,11.55,10.91,11.24,159900,11.24
2026-04-17 00:00:00,11.48,12.16,11.23,11.9,203000,11.9
2026-04-20 00:00:00,11.9,12.15,11.53,11.55,163100,11.55
2026-04-21 00:00:00,11.55,11.74,11.3,11.74,127800,11.74
2026-04-22 00:00:00,11.95,12.12,11.28,11.6,132800,11.6
2026-04-23 00:00:00,11.64,11.64,10.67,10.7,152000,10.7
2026-04-24 00:00:00,10.7,11.26,9.61,9.66,176900,9.66
2026-04-27 00:00:00,9.51,9.72,8.74,8.74,263000,8.74
2026-04-28 00:00:00,8.77,9.1,7.9,8.56,213300,8.56
2026-04-29 00:00:00,8.39,9.26,8.33,9.11,226200,9.11
2026-04-30 00:00:00,9.27,9.7,9.22,9.62,195600,9.62
2026-05-01 00:00:00,9.64,9.8,9.33,9.68,158800,9.68
2026-05-04 00:00:00,9.75,10.38,9.7,10.27,216900,10.27
2026-05-05 00:00:00,10.28,10.66,10.05,10.28,148500,10.28
2026-05-06 00:00:00,10.42,10.76,9.94,9.97,230400,9.97
2026-05-07 00:00:00,9.93,9.96,9.06,9.17,238800,9.17
2026-05-08 00:00:00,9.19,10.62,8.95,9.96,567000,9.96
2026-05-11 00:00:00,10.53,10.88,9.89,9.95,634500,9.95
2026-05-12 00:00:00,10.56,12.06,9.91,11.53,407700,11.53
2026-05-13 00:00:00,11.38,12.39,10.8,12.31,449700,12.31
2026-05-14 00:00:00,12.5,13.5,12.18,13.18,441100,13.18
2026-05-15 00:00:00,13.0,13.44,12.51,13.25,377600,13.25
2026-05-18 00:00:00,13.1,13.4225,11.24,11.75,795602,11.75
