date,open,high,low,close,volume,adj_close
2024-05-21,2012.0028,2012.1019,1973.3676,1976.9835,32612,1976.9835
2024-05-22,1976.9835,1989.8619,1960.4892,1966.5321,27269,1966.5321
2024-05-23,1970.4947,1981.7881,1948.6015,1955.2883,30367,1955.2883
2024-05-24,1931.7605,1965.1948,1931.7605,1942.0137,25900,1942.0137
2024-05-27,1942.8557,1954.9911,1926.7083,1930.5222,29041,1930.5222
2024-05-28,1943.3016,1952.366,1912.9382,1920.5662,27552,1920.5662
2024-05-29,1921.854,1936.5156,1893.2243,1904.5177,33260,1904.5177
2024-05-30,1906.8953,1915.1176,1891.6393,1895.1066,26386,1895.1066
2024-05-31,1896.5926,1906.9943,1857.462,1875.6899,36586,1875.6899
2024-06-03,1906.9944,1921.8045,1862.4153,1874.1544,33204,1874.1544
2024-06-04,1889.757,1889.9057,1798.0232,1824.424,48725,1824.424
2024-06-05,1846.4658,1918.882,1809.4156,1912.2942,42422,1912.2942
2024-06-06,1931.7605,1957.5173,1921.8045,1953.4061,38277,1953.4061
2024-06-07,1953.4062,1968.0678,1943.153,1949.4932,20750,1949.4932
2024-06-10,1950.5827,2002.9879,1942.9052,1979.8068,58551,1979.8068
2024-06-11,1991.1002,2002.6907,1950.6323,1995.2114,54083,1995.2114
2024-06-12,2000.0655,2018.6897,1961.4799,1991.0507,38524,1991.0507
2024-06-13,2001.1057,2014.9748,1982.0853,2002.5917,36467,2002.5917
2024-06-14,2002.5917,2028.8438,1986.246,2000.759,44790,2000.759
2024-06-18,2013.9842,2013.9842,1971.3864,1974.9032,42407,1974.9032
2024-06-19,1978.5189,2051.381,1976.4386,1986.1964,89568,1986.1964
2024-06-20,1986.9891,2131.7719,1981.8872,2084.3201,390700,2084.3201
2024-06-21,2119.3889,2140.7869,2065.6959,2092.5425,104733,2092.5425
2024-06-24,2089.3229,2129.8898,2057.1765,2087.7378,112635,2087.7378
2024-06-25,2095.2529,2119.9381,2078.5306,2110.8303,51576,2110.8303
2024-06-26,2120.0373,2129.6428,2048.5202,2072.0605,55147,2072.0605
2024-06-27,2065.3916,2158.7573,2061.4101,2120.2366,189196,2120.2366
2024-06-28,2132.0316,2157.961,2085.299,2126.9055,125470,2126.9055
2024-07-01,2136.013,2169.9054,2117.7482,2151.9888,94882,2151.9888
2024-07-02,2173.8372,2193.7944,2125.1139,2135.1174,115281,2135.1174
2024-07-03,2145.9667,2151.9887,2095.7504,2106.8486,45602,2106.8486
2024-07-04,2114.1647,2149.998,2098.5375,2135.7144,49895,2135.7144
2024-07-05,2129.0955,2138.9495,2104.3604,2118.4949,31304,2118.4949
2024-07-08,2120.137,2130.0409,2080.3222,2085.3987,46452,2085.3987
2024-07-09,2085.3988,2113.0699,2070.3686,2084.9507,41770,2084.9507
2024-07-10,2086.8918,2098.8362,2020.6499,2047.276,36119,2047.276
2024-07-11,2055.438,2070.3685,2033.1915,2041.0549,21299,2041.0549
2024-07-12,2048.769,2098.7864,2047.7737,2066.0884,41077,2066.0884
2024-07-15,2066.0386,2070.3686,2028.4137,2036.4762,42520,2036.4762
2024-07-16,2036.4761,2075.7932,2036.4264,2050.9587,35693,2050.9587
2024-07-18,2050.9589,2056.3836,2025.4774,2036.9242,48911,2036.9242
2024-07-19,2035.5306,2039.5121,1994.82,2000.394,50453,2000.394
2024-07-22,1970.8316,2022.9392,1970.8316,2010.5469,40957,2010.5469
2024-07-23,2024.6313,2024.6313,1970.085,2004.5248,41028,2004.5248
2024-07-24,2004.5249,2045.6834,1998.702,2008.5562,25333,2008.5562
2024-07-25,2008.5561,2015.6232,1985.7621,2003.9774,17920,2003.9774
2024-07-26,2014.6279,2098.2389,2005.7194,2040.9055,77724,2040.9055
2024-07-29,2046.4797,2110.482,2042.4982,2050.5608,88930,2050.5608
2024-07-30,2055.3881,2108.1925,2050.5607,2083.6567,64133,2083.6567
2024-07-31,2090.2759,2128.2491,2073.6533,2114.314,64067,2114.314
2024-08-01,2116.1555,2144.6728,2070.8662,2098.8362,153414,2098.8362
2024-08-02,2090.276,2140.0445,2073.4544,2127.2539,86745,2127.2539
2024-08-05,2055.438,2095.8997,2045.4843,2070.7666,66931,2070.7666
2024-08-06,2072.3592,2125.1138,2063.4009,2075.7434,68505,2075.7434
2024-08-07,2090.2759,2110.1833,2062.4554,2096.7458,34816,2096.7458
2024-08-08,2095.2527,2119.8881,2059.4194,2077.6846,37573,2077.6846
2024-08-09,2094.2077,2097.144,2043.5435,2076.1917,37987,2076.1917
2024-08-12,2077.2863,2077.2863,2040.5573,2046.7783,20508,2046.7783
2024-08-13,2046.7783,2053.0492,1990.739,2012.5376,33793,2012.5376
2024-08-14,2010.6463,2016.071,1952.8154,1986.7076,33638,1986.7076
2024-08-16,1986.9068,2021.4959,1975.3107,1999.1498,33181,1999.1498
2024-08-19,1999.2494,2018.9577,1981.7807,1997.1094,31474,1997.1094
2024-08-20,1999.5979,2035.5307,1992.7298,2009.4022,26469,2009.4022
2024-08-21,2010.6464,2050.4114,2007.511,2019.5549,27055,2019.5549
2024-08-22,2020.7991,2137.9044,2020.7991,2089.2307,191045,2089.2307
2024-08-23,2061.5098,2091.9182,2061.4102,2072.7573,52191,2072.7573
2024-08-26,2089.0815,2099.2342,2051.9542,2070.916,36388,2070.916
2024-08-27,2085.2991,2169.2586,2071.6128,2117.8975,157648,2117.8975
2024-08-28,2118.1463,2133.9726,2091.2713,2103.4148,34159,2103.4148
2024-08-29,2104.2112,2118.1463,2074.4497,2097.4924,42692,2097.4924
2024-08-30,2101.4738,2113.1196,2075.3453,2095.1035,26284,2095.1035
2024-09-02,2097.0444,2114.8116,2069.3731,2090.3257,29438,2090.3257
2024-09-03,2104.659,2132.1313,2085.2991,2107.2969,63824,2107.2969
2024-09-04,2107.2968,2218.6786,2096.5966,2161.3452,392897,2161.3452
2024-09-05,2179.8591,2238.9839,2170.9008,2211.8601,189846,2211.8601
2024-09-06,2222.7098,2327.124,2217.2353,2253.2178,400150,2253.2178
2024-09-09,2259.4887,2308.2618,2206.8337,2290.6936,135602,2290.6936
2024-09-10,2302.1404,2308.2618,2259.4887,2280.8394,83652,2280.8394
2024-09-11,2276.4101,2301.2943,2256.5027,2264.2666,62291,2264.2666
2024-09-12,2269.3925,2277.4053,2223.058,2247.395,60639,2247.395
2024-09-13,2251.5259,2277.6543,2211.7111,2225.5964,46722,2225.5964
2024-09-16,2239.5814,2301.6924,2196.8801,2214.1497,98038,2214.1497
2024-09-17,2232.6637,2232.6637,2182.945,2207.2319,59933,2207.2319
2024-09-18,2214.6971,2445.3241,2214.6971,2356.0894,2201239,2356.0894
2024-09-19,2391.873,2487.2792,2294.3268,2366.1924,769133,2366.1924
2024-09-20,2386.8461,2428.9503,2339.1182,2385.1541,252066,2385.1541
2024-09-23,2421.5848,2429.6472,2344.0952,2384.5073,118250,2384.5073
2024-09-24,2384.5073,2444.6275,2351.013,2369.1287,182810,2369.1287
2024-09-25,2369.1286,2380.4759,2324.7352,2345.3892,69565,2345.3892
2024-09-26,2355.0442,2358.6276,2312.2433,2325.1333,58839,2325.1333
2024-09-27,2358.976,2359.2248,2269.4426,2286.0652,84473,2286.0652
2024-09-30,2299.2537,2315.976,2259.0409,2282.6311,82733,2282.6311
2024-10-01,2277.4053,2431.8368,2274.4192,2398.5417,225161,2398.5417
2024-10-03,2359.3244,2408.7943,2304.4795,2328.6172,230420,2328.6172
2024-10-04,2328.1693,2340.064,2219.6741,2279.3962,120037,2279.3962
2024-10-07,2279.3961,2308.1622,2168.5121,2189.3152,109496,2189.3152
2024-10-08,2174.9323,2279.2966,2174.9323,2251.4263,64993,2251.4263
2024-10-09,2279.247,2328.1693,2249.5352,2284.2239,49198,2284.2239
2024-10-10,2284.2237,2338.1229,2270.9853,2289.5986,36579,2289.5986
2024-10-11,2296.3173,2299.2536,2252.0234,2266.6055,35030,2266.6055
2024-10-14,2266.6056,2339.1184,2244.4586,2324.8845,83538,2324.8845
2024-10-15,2339.1183,2379.8786,2303.5338,2320.2561,95778,2320.2561
2024-10-16,2319.2109,2337.1276,2291.1914,2318.3152,44758,2318.3152
2024-10-17,2315.2296,2317.6682,2209.82,2239.8801,53710,2239.8801
2024-10-18,2234.6044,2251.4759,2194.7896,2227.2388,51848,2227.2388
2024-10-21,2227.239,2241.7712,2143.0306,2163.8835,52692,2163.8835
2024-10-22,2152.9843,2172.593,2008.7055,2065.6904,96973,2065.6904
2024-10-23,2045.4843,2104.2111,2030.504,2078.3813,52104,2078.3813
2024-10-24,2078.3813,2103.1659,2051.4565,2070.916,32146,2070.916
2024-10-25,2055.438,2070.8662,1965.8049,1992.2321,55555,1992.2321
2024-10-28,1992.9785,2029.3593,1979.7899,2009.3026,38674,2009.3026
2024-10-29,2009.3027,2035.5805,1968.8907,2020.0029,46472,2020.0029
2024-10-30,2003.5794,2078.0828,2003.5794,2052.054,35532,2052.054
2024-10-31,2041.5029,2089.2806,2041.5029,2081.2678,29426,2081.2678
2024-11-01,2094.9542,2112.2239,2081.2678,2107.1973,7562,2107.1973
2024-11-04,2105.1566,2120.0871,2048.4703,2096.1484,39333,2096.1484
2024-11-05,2096.1485,2259.4887,2076.6394,2119.1416,297412,2119.1416
2024-11-06,2164.9287,2167.4669,2105.2065,2123.6208,85641,2123.6208
2024-11-07,2135.0676,2153.9797,2096.2482,2113.8164,52582,2113.8164
2024-11-08,2129.8916,2129.8916,2040.5074,2046.4298,52400,2046.4298
2024-11-11,2040.5075,2040.5075,1984.3686,2008.0087,54128,2008.0087
2024-11-12,2013.8316,2022.7899,1970.8316,1981.5319,38456,1981.5319
2024-11-13,1971.5781,1985.7621,1919.0724,1924.3479,55880,1924.3479
2024-11-14,1941.1695,1960.828,1894.7356,1945.3003,45889,1945.3003
2024-11-18,1950.974,1954.0596,1904.4901,1916.3849,29943,1916.3849
2024-11-19,1930.3698,1960.8779,1919.7194,1939.8756,22927,1939.8756
2024-11-21,1940.9705,1944.1556,1899.165,1903.3455,24633,1903.3455
2024-11-22,1921.0631,1933.0075,1900.1603,1905.7842,21718,1905.7842
2024-11-25,1918.9231,1944.952,1918.9231,1925.2437,21715,1925.2437
2024-11-26,1933.0076,1953.761,1915.4393,1934.3016,25297,1934.3016
2024-11-27,1940.9705,1975.0619,1897.1743,1953.6615,30827,1953.6615
2024-11-28,1962.8686,1996.4624,1947.3409,1963.4161,22850,1963.4161
2024-11-29,1974.0167,1986.21,1943.9566,1955.702,18926,1955.702
2024-12-02,1976.754,1986.7575,1936.4914,1971.0804,30853,1971.0804
2024-12-03,1976.8038,2051.4565,1975.2112,2045.8328,55846,2045.8328
2024-12-04,2055.438,2080.3222,2045.8328,2057.3291,33164,2057.3291
2024-12-05,2061.4601,2080.2725,2017.614,2027.7667,26647,2027.7667
2024-12-06,2035.5306,2050.0133,2024.034,2040.0098,25404,2040.0098
