date,open,high,low,close,volume,adj_close
2024-05-21,397.9929,397.9929,390.8746,393.1505,33150,393.1505
2024-05-22,393.199,399.0098,390.6809,394.6033,29302,394.6033
2024-05-23,394.6032,394.6032,390.2935,391.601,23119,391.601
2024-05-24,391.601,398.0413,387.4366,389.2282,32505,389.2282
2024-05-27,389.1798,390.9715,387.3882,387.9692,16653,387.9692
2024-05-28,389.9546,391.94,385.6933,386.3712,20122,386.3712
2024-05-29,386.3712,392.2305,385.548,389.5672,27679,389.5672
2024-05-30,389.5672,391.262,387.3881,390.5841,21678,390.5841
2024-05-31,391.1168,397.0729,386.5165,393.7801,48380,393.7801
2024-06-03,399.0582,401.431,387.3881,388.5987,41202,388.5987
2024-06-04,393.9737,393.9737,370.9241,381.8678,58374,381.8678
2024-06-05,381.8679,392.2305,377.7519,384.4828,14473,384.4828
2024-06-06,384.5312,390.1967,383.0785,387.6303,30140,387.6303
2024-06-07,387.3881,399.0582,384.628,395.8622,289372,395.8622
2024-06-10,395.1843,415.4738,395.1843,409.4208,88158,409.4208
2024-06-11,411.5999,418.3792,406.7576,411.2125,37657,411.2125
2024-06-12,411.5999,452.0819,410.3893,447.3849,230074,447.3849
2024-06-13,449.0797,449.0797,434.2137,436.538,40966,436.538
2024-06-14,437.4581,440.2182,417.556,424.0932,40668,424.0932
2024-06-18,430.3398,430.3398,419.7351,422.8342,31621,422.8342
2024-06-19,424.19,432.3252,421.8173,425.1101,39121,425.1101
2024-06-20,426.0301,430.9209,423.5121,428.5481,23410,428.5481
2024-06-21,432.8579,444.189,431.9378,435.8601,48296,435.8601
2024-06-24,435.8601,437.3128,431.9378,432.9547,14933,432.9547
2024-06-25,432.9547,452.2757,430.1946,444.8185,74505,444.8185
2024-06-26,442.591,444.77,406.806,428.9355,80175,428.9355
2024-06-27,428.8871,431.502,422.0594,426.5143,23479,426.5143
2024-06-28,426.5144,428.0639,419.2993,421.7205,20879,421.7205
