date,open,high,low,close,volume,adj_close
2024-05-21,2075.8999,2084.0,2030.0,2037.75,13179,2037.75
2024-05-22,2055.0,2128.8,2040.05,2090.95,21454,2090.95
2024-05-23,2096.2,2124.25,2080.6001,2099.1001,14223,2099.1001
2024-05-24,2109.0,2119.3501,2042.4,2070.5,18796,2070.5
2024-05-27,2081.3999,2175.2,2022.35,2089.7,104997,2089.7
2024-05-28,2090.0,2191.3501,2052.6001,2074.05,115532,2074.05
2024-05-29,2098.0,2098.0,2025.0,2056.0,24282,2056.0
2024-05-30,2050.0,2062.1001,1992.05,2016.0,31966,2016.0
2024-05-31,2001.0,2045.0,1980.0,2006.05,28986,2006.05
2024-06-03,2011.2,2072.0,1955.8,2001.45,92554,2001.45
2024-06-04,2031.45,2031.45,1808.05,1924.05,114082,1924.05
2024-06-05,1950.0,2095.3999,1878.05,2079.3999,64435,2079.3999
2024-06-06,2061.0,2322.0,2061.0,2287.75,231773,2287.75
2024-06-07,2317.75,2360.1499,2226.3999,2240.3501,48665,2240.3501
2024-06-10,2263.8999,2324.95,2224.2,2233.55,21102,2233.55
2024-06-11,2241.0,2321.0,2240.0,2293.95,124468,2293.95
2024-06-12,2271.0,2486.8,2270.8999,2453.8,106142,2453.8
2024-06-13,2509.0,2530.0,2416.05,2434.05,52264,2434.05
2024-06-14,2424.3999,2499.0,2376.2,2456.1499,26778,2456.1499
2024-06-18,2410.5,2541.7,2390.05,2416.45,30825,2416.45
2024-06-19,2419.0,2509.95,2416.6001,2480.6001,22223,2480.6001
2024-06-20,2479.7,2525.0,2405.2,2418.2,19124,2418.2
2024-06-21,2450.0,2509.0,2418.3999,2456.95,16080,2456.95
2024-06-24,2430.0,2462.8501,2300.2,2312.2,44590,2312.2
2024-06-25,2295.0,2343.8999,2161.45,2176.3999,72316,2176.3999
2024-06-26,2184.45,2224.0,2097.1001,2115.3,50593,2115.3
2024-06-27,2115.3,2144.8999,2031.1,2042.1,67599,2042.1
2024-06-28,2044.15,2111.6499,2043.15,2088.8501,51522,2088.8501
2024-07-01,2092.6499,2173.3,2085.0,2132.2,51167,2132.2
2024-07-02,2150.0,2156.1499,2092.6001,2133.95,36479,2133.95
2024-07-03,2140.0,2153.0,2105.5,2113.3501,27478,2113.3501
2024-07-04,2113.0,2129.8501,2080.0,2097.05,20511,2097.05
2024-07-05,2097.05,2128.95,2085.0,2090.8501,17302,2090.8501
2024-07-08,2090.0,2109.0,2072.2,2082.1499,21075,2082.1499
2024-07-09,2096.8999,2096.8999,2052.25,2077.2,19762,2077.2
2024-07-10,2089.0,2089.0,2052.0,2082.8999,28012,2082.8999
2024-07-11,2092.0,2122.45,2011.65,2047.85,35954,2047.85
2024-07-12,2050.25,2092.3999,2050.25,2064.75,15675,2064.75
2024-07-15,2079.3999,2090.1001,2042.55,2059.05,12155,2059.05
2024-07-16,2065.0,2071.05,2011.55,2019.75,24550,2019.75
2024-07-18,2054.95,2054.95,1995.0,2001.35,23522,2001.35
2024-07-19,2002.0,2020.0,1970.0,2003.25,23744,2003.25
2024-07-22,1920.0,1979.9,1920.0,1950.7,50843,1950.7
2024-07-23,1964.0,1984.9,1901.0,1960.1,28389,1960.1
2024-07-24,1974.0,2020.5,1947.2,1998.65,24867,1998.65
2024-07-25,1960.1,1984.9,1871.6,1908.4,105690,1908.4
2024-07-26,1908.4,1913.2,1890.0,1900.95,29423,1900.95
2024-07-29,1900.0,1925.0,1898.1,1904.15,20365,1904.15
2024-07-30,1904.15,1923.2,1902.0,1910.6,14027,1910.6
2024-07-31,1929.7,1955.0,1871.0,1874.05,41293,1874.05
2024-08-01,1674.9,1849.95,1674.8,1779.7,151436,1779.7
2024-08-02,1780.0,1890.05,1770.25,1861.05,65532,1861.05
2024-08-05,1830.05,1830.05,1761.3,1790.25,61925,1790.25
2024-08-06,1790.25,1813.95,1754.15,1767.4,32429,1767.4
2024-08-07,1768.15,1800.0,1735.1,1741.4,31442,1741.4
2024-08-08,1750.0,1760.0,1704.65,1713.05,26458,1713.05
2024-08-09,1730.1,1780.0,1730.05,1756.35,18788,1756.35
2024-08-12,1760.0,1776.9,1732.0,1741.15,18408,1741.15
2024-08-13,1758.5,1786.0,1741.35,1750.25,28129,1750.25
2024-08-14,1770.0,1809.95,1745.0,1798.4,39799,1798.4
2024-08-16,1700.05,1710.0,1633.15,1692.75,124001,1692.75
2024-08-19,1703.95,1708.8,1627.15,1632.5,99241,1632.5
2024-08-20,1637.45,1653.95,1605.25,1616.4,74725,1616.4
2024-08-21,1632.55,1632.55,1604.15,1613.45,72146,1613.45
2024-08-22,1630.5,1767.0,1612.0,1670.1,238819,1670.1
2024-08-23,1674.65,1705.0,1636.6,1685.75,96135,1685.75
2024-08-26,1695.0,1720.0,1624.9,1700.9,181931,1700.9
2024-08-27,1725.0,1765.0,1702.0,1730.85,129304,1730.85
2024-08-28,1726.65,1757.25,1711.1,1726.55,67499,1726.55
2024-08-29,1740.0,1740.85,1695.1,1702.1,57741,1702.1
2024-08-30,1718.0,1760.0,1698.0,1751.25,91010,1751.25
2024-09-02,1769.0,1769.0,1720.05,1730.7,48212,1730.7
2024-09-03,1749.7,1754.55,1720.0,1733.5,46248,1733.5
2024-09-04,1730.0,1730.0,1692.0,1699.55,39652,1699.55
2024-09-05,1720.0,1730.0,1665.0,1670.15,56781,1670.15
2024-09-06,1686.85,1713.0,1672.05,1693.15,20712,1693.15
2024-09-09,1693.2,1694.2,1638.1,1655.85,37635,1655.85
2024-09-10,1678.2,1705.0,1645.65,1670.9,34418,1670.9
2024-09-11,1682.0,1682.0,1635.0,1644.55,33746,1644.55
2024-09-12,1680.0,1680.0,1600.9,1606.8,58872,1606.8
2024-09-13,1629.2,1714.95,1611.0,1697.8,80885,1697.8
2024-09-16,1722.95,1813.8,1701.0,1783.7,82756,1783.7
2024-09-17,1761.05,1798.45,1748.85,1793.95,32231,1793.95
2024-09-18,1811.85,1811.85,1752.4,1784.65,28981,1784.65
2024-09-19,1821.0,1824.65,1741.0,1778.9,42260,1778.9
2024-09-20,1789.3,1864.4,1765.8,1824.05,68568,1824.05
2024-09-23,1855.95,1860.0,1785.0,1789.6,61329,1789.6
2024-09-24,1840.0,1840.0,1756.4,1764.05,36143,1764.05
2024-09-25,1760.0,1771.1,1666.0,1681.2,67341,1681.2
2024-09-26,1706.35,1706.35,1650.15,1670.65,41819,1670.65
2024-09-27,1694.15,1700.2,1648.0,1653.5,74449,1653.5
2024-09-30,1660.95,1757.3,1630.15,1693.2,50707,1693.2
2024-10-01,1695.0,1699.15,1669.2,1682.65,30003,1682.65
2024-10-03,1665.0,1681.65,1579.0,1620.9,79241,1620.9
2024-10-04,1637.1,1648.1,1605.05,1619.6,31445,1619.6
2024-10-07,1620.0,1625.95,1556.0,1578.4,58018,1578.4
2024-10-08,1579.7,1605.0,1572.45,1588.95,25741,1588.95
2024-10-09,1604.95,1631.9,1574.0,1585.45,27725,1585.45
2024-10-10,1594.0,1606.95,1559.0,1562.9,33382,1562.9
2024-10-11,1563.45,1574.2,1528.3,1541.4,35622,1541.4
2024-10-14,1538.55,1562.2,1520.0,1538.05,37816,1538.05
2024-10-15,1538.05,1549.65,1515.1,1524.7,29518,1524.7
2024-10-16,1525.5,1548.2,1525.5,1531.4,26351,1531.4
2024-10-17,1535.25,1537.95,1511.0,1527.65,24176,1527.65
2024-10-18,1505.0,1525.0,1486.0,1524.25,102060,1524.25
2024-10-21,1555.0,1563.85,1472.05,1486.4,62316,1486.4
2024-10-22,1490.1,1548.2,1461.1,1487.85,77697,1487.85
2024-10-23,1498.1,1545.0,1462.0,1505.3,29289,1505.3
2024-10-24,1510.75,1515.9,1465.0,1475.7,33040,1475.7
2024-10-25,1479.4,1508.35,1428.0,1465.95,119676,1465.95
2024-10-28,1465.9,1501.05,1435.05,1448.9,48938,1448.9
2024-10-29,1456.1,1486.05,1425.95,1458.65,54703,1458.65
2024-10-30,1458.65,1490.0,1445.0,1452.25,41572,1452.25
2024-10-31,1452.2,1495.0,1452.0,1481.4,23229,1481.4
2024-11-01,1501.0,1521.0,1474.9,1504.95,7810,1504.95
2024-11-04,1521.0,1521.0,1465.05,1475.75,23423,1475.75
2024-11-05,1480.0,1485.0,1416.0,1455.0,50956,1455.0
2024-11-06,1474.95,1475.55,1423.05,1444.55,58161,1444.55
2024-11-07,1444.55,1445.0,1428.0,1434.7,23879,1434.7
2024-11-08,1435.0,1443.4,1412.0,1427.25,19838,1427.25
2024-11-11,1431.45,1431.45,1380.0,1398.85,50260,1398.85
2024-11-12,1415.75,1415.75,1350.0,1362.15,35096,1362.15
2024-11-13,1362.15,1380.7,1286.0,1298.0,61161,1298.0
2024-11-14,1292.0,1300.0,1260.0,1275.5,80937,1275.5
2024-11-18,1250.0,1390.3,1174.05,1277.55,126207,1277.55
2024-11-19,1276.0,1305.35,1261.7,1274.05,38694,1274.05
2024-11-21,1270.05,1271.2,1233.1,1256.7,38840,1256.7
2024-11-22,1261.0,1269.5,1235.35,1244.25,32773,1244.25
2024-11-25,1260.95,1272.95,1246.5,1261.55,31157,1261.55
2024-11-26,1279.25,1349.4,1273.55,1315.45,33761,1315.45
2024-11-27,1319.05,1319.05,1295.05,1312.85,20370,1312.85
2024-11-28,1326.0,1361.0,1309.0,1341.4,72878,1341.4
2024-11-29,1342.0,1353.75,1307.0,1322.4,38478,1322.4
2024-12-02,1328.85,1329.6,1309.05,1323.45,12683,1323.45
2024-12-03,1336.65,1341.3,1312.05,1335.65,18314,1335.65
2024-12-04,1346.9,1351.2,1323.4,1343.45,15851,1343.45
2024-12-05,1356.85,1356.85,1322.1,1340.35,24057,1340.35
