date,open,high,low,close,volume,adj_close
2025-03-24,79.2045,85.1448,77.2145,83.5904,140657,83.5904
2025-03-25,84.9468,85.8379,81.1747,83.5607,70490,83.5607
2025-03-26,83.5607,84.1449,79.2045,79.6302,43816,79.6302
2025-03-27,79.0956,82.2539,74.3037,76.3828,138279,76.3828
2025-03-28,78.1055,80.145,74.3631,75.571,49772,75.571
2025-04-01,78.1847,79.2045,76.2244,77.5808,35883,77.5808
2025-04-02,78.7491,81.1747,77.2343,80.6203,38321,80.6203
2025-04-03,79.2045,80.7787,78.3134,80.2638,21690,80.2638
2025-04-04,79.056,79.848,76.066,77.0363,22296,77.0363
2025-04-07,76.7194,76.7194,69.1455,72.0365,49842,72.0365
2025-04-08,72.4127,76.2343,72.4127,74.9769,24263,74.9769
2025-04-09,75.7195,77.066,72.7691,75.8581,21799,75.8581
2025-04-11,76.5313,79.3827,75.2443,76.165,36691,76.165
2025-04-15,79.5312,79.5312,77.4917,78.1451,22113,78.1451
2025-04-16,78.1451,80.0856,78.1451,78.8283,15651,78.8283
2025-04-17,79.1946,81.1846,78.7392,80.2836,30565,80.2836
2025-04-21,80.3925,84.4419,80.1945,82.5905,41877,82.5905
2025-04-22,82.5905,84.2439,81.4024,81.9271,21042,81.9271
2025-04-23,83.5607,83.6201,80.4223,81.0658,18943,81.0658
2025-04-24,81.2638,81.5707,78.5114,80.1153,23001,80.1153
2025-04-25,79.2243,80.1549,72.086,74.9076,88672,74.9076
2025-04-28,75.2641,76.5313,74.0364,75.2245,24955,75.2245
2025-04-29,75.3631,76.1254,75.3631,75.5611,9008,75.5611
2025-04-30,75.9868,75.9868,73.2641,73.9077,15027,73.9077
2025-05-02,73.9869,75.2443,73.2641,73.8978,19299,73.8978
2025-05-05,74.0067,76.1749,73.5117,74.9967,21010,74.9967
2025-05-06,74.9967,76.4818,73.6602,74.5809,14177,74.5809
2025-05-07,74.2542,89.4912,72.3038,89.4912,322219,89.4912
2025-05-08,93.8573,106.332,92.0752,99.2135,2942959,99.2135
2025-05-09,96.0354,101.4807,94.0553,99.56,515921,99.56
2025-05-12,102.0649,115.292,102.0649,107.9458,1151193,107.9458
2025-05-13,107.1241,109.3022,102.4213,105.5598,323314,105.5598
2025-05-14,105.8865,107.9161,101.0847,102.4411,222626,102.4411
2025-05-15,102.9559,107.9161,102.3223,105.2034,174846,105.2034
2025-05-16,106.8765,106.8765,102.4708,102.9163,115633,102.9163
2025-05-19,104.8469,113.203,103.0252,109.8269,603283,109.8269
2025-05-20,111.8763,111.8763,106.9261,107.6983,164444,107.6983
2025-05-21,107.4211,107.4211,99.4115,103.7183,233241,103.7183
2025-05-22,100.9857,103.4609,100.9857,102.3322,33500,102.3322
2025-05-23,106.7181,106.7181,99.9957,101.1441,47130,101.1441
