date,open,high,low,close,volume,adj_close
2024-05-21,1177.8142,1263.7079,1170.644,1200.8188,1008622,1200.8188
2024-05-22,1195.0926,1197.3333,1167.8555,1188.8684,651119,1188.8684
2024-05-23,1194.5448,1279.1439,1190.8602,1259.3262,1117545,1259.3262
2024-05-24,1264.7536,1294.6297,1242.5955,1259.4755,598466,1259.4755
2024-05-27,1261.5668,1288.5548,1261.3178,1271.5752,373001,1271.5752
2024-05-28,1281.6335,1282.8783,1209.9808,1220.2383,377816,1220.2383
2024-05-29,1293.6835,1325.9496,1223.9229,1238.6119,2806217,1238.6119
2024-05-30,1240.6537,1244.7367,1207.1924,1230.3463,455828,1230.3463
2024-05-31,1230.3462,1297.6172,1228.006,1278.2974,773169,1278.2974
2024-06-03,1344.4231,1381.1707,1314.5471,1364.4401,547786,1364.4401
2024-06-04,1358.3653,1358.3653,1197.9805,1223.4749,627869,1223.4749
2024-06-05,1263.7577,1264.7536,1156.5524,1204.5533,370914,1204.5533
2024-06-06,1222.3794,1352.3901,1219.9395,1312.157,1189641,1312.157
2024-06-07,1309.4681,1426.6818,1294.8287,1383.6105,852029,1383.6105
2024-06-10,1389.4363,1434.0513,1369.3198,1374.1996,385634,1374.1996
2024-06-11,1389.9841,1425.0885,1374.3987,1393.619,497237,1393.619
2024-06-12,1396.3576,1406.0175,1332.622,1338.0494,619643,1338.0494
2024-06-13,1357.2699,1381.2703,1340.3401,1357.1205,499469,1357.1205
2024-06-14,1363.1455,1431.0637,1342.4313,1350.7468,734758,1350.7468
2024-06-18,1361.3528,1381.7183,1336.9042,1363.6931,1075905,1363.6931
2024-06-19,1362.2988,1365.9338,1308.4722,1312.5054,479486,1312.5054
2024-06-20,1340.4395,1374.0003,1319.5761,1335.0121,550813,1335.0121
2024-06-21,1338.149,1369.3696,1332.622,1353.5353,222592,1353.5353
2024-06-24,1339.4437,1445.9519,1323.5098,1414.7812,690253,1414.7812
2024-06-25,1439.0307,1447.0972,1351.7427,1384.955,455024,1384.955
2024-06-26,1372.4069,1380.2743,1349.4024,1353.7344,158164,1353.7344
2024-06-27,1353.7345,1372.7059,1325.9,1343.5269,335354,1343.5269
2024-06-28,1368.3239,1383.0628,1335.4603,1342.8297,248783,1342.8297
2024-07-01,1353.1369,1363.5436,1332.8211,1346.8131,156382,1346.8131
2024-07-02,1354.3819,1400.0424,1353.9338,1362.0999,444086,1362.0999
2024-07-03,1374.1497,1390.233,1354.2323,1362.4482,85858,1362.4482
2024-07-04,1421.105,1423.0967,1368.5729,1378.8801,865935,1378.8801
2024-07-05,1374.3986,1379.2286,1328.4891,1338.8959,267605,1338.8959
2024-07-08,1338.8961,1344.4232,1289.6504,1292.887,296024,1292.887
2024-07-09,1298.8621,1300.6547,1285.9656,1289.9491,626412,1289.9491
2024-07-10,1296.6213,1351.3442,1296.5714,1342.7798,386313,1342.7798
2024-07-11,1342.7799,1349.502,1284.671,1295.2272,345050,1295.2272
2024-07-12,1314.5471,1321.5182,1287.1607,1306.4806,225101,1306.4806
2024-07-15,1313.5512,1316.3397,1251.8073,1254.5958,317470,1254.5958
2024-07-16,1264.7536,1324.4559,1257.7825,1292.1898,711879,1292.1898
2024-07-18,1294.6795,1313.8001,1257.7825,1268.8865,269954,1268.8865
2024-07-19,1275.0608,1276.704,1237.6161,1264.7037,322277,1264.7037
2024-07-22,1245.8321,1258.3303,1227.309,1249.467,239857,1249.467
2024-07-23,1255.4421,1264.5045,1191.2086,1199.4742,907136,1199.4742
2024-07-24,1200.0221,1212.4704,1169.2,1190.0135,823793,1190.0135
2024-07-25,1179.2084,1235.6742,1176.1711,1213.4663,709406,1213.4663
2024-07-26,1213.4663,1253.6496,1212.2713,1246.1309,281657,1246.1309
2024-07-29,1250.2139,1285.4677,1250.2139,1269.5338,197524,1269.5338
2024-07-30,1282.65,1309.5807,1268.2371,1272.3265,309705,1272.3265
2024-07-31,1278.6602,1280.4057,1248.9865,1254.4724,272977,1254.4724
2024-08-01,1257.0659,1279.5579,1242.4035,1254.7717,193491,1254.7717
2024-08-02,1241.855,1241.855,1191.9334,1195.4744,241377,1195.4744
2024-08-05,1166.9975,1171.5856,1111.1412,1121.3649,375033,1121.3649
2024-08-06,1202.2568,1243.8,1147.0988,1154.4797,1324247,1154.4797
2024-08-07,1171.1369,1189.0907,1136.9249,1172.5831,273463,1172.5831
2024-08-08,1176.9718,1195.8233,1150.7393,1156.6741,338145,1156.6741
2024-08-09,1173.0818,1173.9296,1116.5772,1122.512,467959,1122.512
2024-08-12,1097.1771,1138.7203,1087.0034,1136.2267,384166,1136.2267
2024-08-13,1136.2267,1137.0745,1102.9623,1117.9238,606800,1117.9238
2024-08-14,1133.8328,1133.8827,1109.1463,1118.6219,360284,1118.6219
2024-08-16,1141.1142,1159.4669,1112.1387,1149.3928,1130217,1149.3928
2024-08-19,1159.0181,1159.0181,1138.1717,1143.7573,111809,1143.7573
2024-08-20,1146.999,1176.8223,1137.8725,1166.05,1039967,1166.05
2024-08-21,1167.0972,1193.1801,1143.9568,1149.8915,244987,1149.8915
2024-08-22,1156.0257,1161.4617,1139.0693,1147.8468,162137,1147.8468
2024-08-23,1147.0988,1162.6587,1118.3227,1127.948,272373,1127.948
2024-08-26,1143.6078,1167.7956,1121.2652,1151.3877,482576,1151.3877
2024-08-27,1150.0412,1189.9385,1144.1065,1185.3503,275117,1185.3503
2024-08-28,1193.4295,1194.5766,1158.1203,1170.5883,298409,1170.5883
2024-08-29,1166.9975,1208.8898,1163.3569,1199.1149,370295,1199.1149
2024-08-30,1213.6774,1224.5494,1190.6366,1201.4589,342427,1201.4589
2024-09-02,1216.8692,1265.7435,1204.2516,1237.915,888325,1237.915
2024-09-03,1276.7152,1298.6588,1235.8205,1241.9048,997978,1241.9048
2024-09-04,1223.2528,1268.7358,1223.2528,1265.1948,612560,1265.1948
2024-09-05,1266.7409,1302.6486,1262.3522,1298.7087,565136,1298.7087
2024-09-06,1302.8979,1329.5793,1301.1025,1315.3658,597373,1315.3658
2024-09-09,1309.1818,1314.6178,1294.2701,1308.6332,862268,1308.6332
2024-09-10,1311.6255,1322.1485,1300.554,1314.4681,430894,1314.4681
2024-09-11,1314.4681,1322.2979,1307.4861,1317.0116,307552,1317.0116
2024-09-12,1316.6126,1320.9016,1305.5411,1316.812,389281,1316.812
2024-09-13,1320.6023,1345.5381,1320.6023,1332.1227,329650,1332.1227
2024-09-16,1338.5561,1351.5227,1332.6214,1347.7324,194988,1347.7324
2024-09-17,1347.7325,1362.4945,1326.537,1350.9741,129046,1350.9741
2024-09-18,1360.4997,1365.6863,1346.2863,1358.056,566095,1358.056
2024-09-19,1361.4971,1365.4868,1314.9668,1324.4923,527498,1324.4923
2024-09-20,1339.4539,1372.4689,1321.5998,1329.0306,640015,1329.0306
2024-09-23,1339.8029,1348.9792,1321.4003,1330.1776,97493,1330.1776
2024-09-24,1329.8785,1335.3644,1314.9668,1322.7966,431447,1322.7966
2024-09-25,1317.6599,1358.2055,1315.266,1330.3273,481003,1330.3273
2024-09-26,1341.8477,1349.2785,1326.5869,1341.2991,588697,1341.2991
2024-09-27,1341.5485,1444.9823,1337.0101,1410.8701,1051988,1410.8701
2024-09-30,1396.4073,1436.2547,1380.3486,1413.4136,425519,1413.4136
2024-10-01,1420.3457,1433.3124,1400.3971,1427.4774,352447,1427.4774
2024-10-03,1396.4074,1407.6784,1361.4972,1366.1851,380995,1366.1851
2024-10-04,1365.4369,1416.0567,1354.0163,1366.4843,675188,1366.4843
2024-10-07,1373.3666,1397.305,1352.4205,1375.2118,2470388,1375.2118
2024-10-08,1385.4355,1406.3816,1329.6291,1340.2019,356305,1340.2019
2024-10-09,1340.202,1381.4957,1333.6189,1342.6456,162049,1342.6456
2024-10-10,1355.5125,1371.9701,1294.669,1300.2048,472122,1300.2048
2024-10-11,1305.4912,1313.6203,1280.4057,1291.4274,81526,1291.4274
2024-10-14,1283.6973,1291.976,1262.0031,1274.1718,201181,1274.1718
2024-10-15,1276.7152,1324.3427,1258.7614,1319.9042,250811,1319.9042
2024-10-16,1316.4132,1329.5793,1294.4697,1319.3556,178288,1319.3556
2024-10-17,1319.3556,1328.5818,1273.723,1279.3086,209232,1279.3086
2024-10-18,1280.7549,1288.6345,1242.9022,1273.9723,97619,1273.9723
2024-10-21,1281.7024,1301.6012,1247.64,1256.6669,104927,1256.6669
2024-10-22,1252.7768,1306.6383,1191.684,1208.7401,521830,1208.7401
2024-10-23,1205.1494,1217.4178,1171.1867,1197.8182,125637,1197.8182
2024-10-24,1199.9128,1214.7247,1171.9847,1184.9513,122270,1184.9513
2024-10-25,1187.8937,1209.4882,1147.1985,1177.5205,270796,1177.5205
2024-10-28,1157.1229,1171.2865,1140.0668,1161.8109,523820,1161.8109
2024-10-29,1166.0,1208.8897,1131.0899,1188.7416,283383,1188.7416
2024-10-30,1183.904,1210.8347,1181.8593,1194.028,82571,1194.028
2024-10-31,1204.6507,1215.8219,1160.0654,1175.775,418924,1175.775
2024-11-01,1221.8563,1281.4031,1188.8413,1248.3881,658277,1248.3881
2024-11-04,1234.4241,1236.5686,1170.7879,1179.7648,378085,1179.7648
2024-11-05,1181.56,1221.8564,1167.3466,1215.423,323514,1215.423
2024-11-06,1215.373,1256.7665,1195.9231,1202.556,351371,1202.556
2024-11-07,1202.5561,1221.8065,1143.2586,1152.4849,433812,1152.4849
2024-11-08,1175.9745,1178.0691,1113.3356,1121.3151,386048,1121.3151
2024-11-11,1118.6719,1125.9033,1088.8984,1101.3165,261734,1101.3165
2024-11-12,1101.516,1143.109,1101.3165,1121.8636,357127,1121.8636
2024-11-13,1113.186,1116.5274,1057.2798,1070.2964,291671,1070.2964
2024-11-14,1049.3004,1097.1772,1046.358,1092.7386,494881,1092.7386
2024-11-18,1095.9304,1145.054,1095.9304,1132.0874,731565,1132.0874
2024-11-19,1127.1002,1169.6906,1120.3176,1146.3008,342707,1146.3008
2024-11-21,1153.0834,1207.8923,1147.2483,1176.4731,809562,1176.4731
2024-11-22,1181.7596,1205.4487,1173.7802,1191.335,179165,1191.335
2024-11-25,1211.7824,1261.7538,1193.2799,1224.749,942001,1224.749
2024-11-26,1237.0173,1247.7397,1197.918,1203.8527,215804,1203.8527
2024-11-27,1203.8527,1241.4061,1201.1097,1216.5201,160138,1216.5201
2024-11-28,1223.8513,1249.7346,1218.3654,1225.4471,162250,1225.4471
2024-11-29,1226.8435,1245.7948,1208.8897,1237.7156,151940,1237.7156
2024-12-02,1248.7871,1251.7794,1222.1557,1244.7974,94562,1244.7974
2024-12-03,1244.7474,1288.5348,1234.2744,1281.5527,365409,1281.5527
2024-12-04,1284.994,1298.21,1264.796,1293.7714,188605,1293.7714
2024-12-05,1305.6409,1321.5001,1286.7893,1299.7062,180965,1299.7062
2024-12-06,1302.3991,1337.0599,1277.0643,1305.7904,183021,1305.7904
2024-12-09,1296.6639,1316.6126,1272.8252,1275.8175,194674,1275.8175
2024-12-10,1282.7995,1306.6382,1269.9825,1276.7651,421717,1276.7651
2024-12-11,1286.6895,1289.7318,1227.8409,1232.7782,248953,1232.7782
2024-12-12,1232.7783,1252.4776,1224.0507,1247.1414,373738,1247.1414
2024-12-13,1242.8025,1261.7538,1229.2374,1244.947,283619,1244.947
2024-12-16,1247.7897,1296.664,1247.7897,1285.0938,504617,1285.0938
2024-12-17,1285.6921,1333.3695,1276.7652,1295.5168,429525,1295.5168
2024-12-18,1299.4069,1300.4542,1262.5517,1272.0771,104689,1272.0771
2024-12-19,1256.7666,1315.1165,1228.0904,1299.6063,418038,1299.6063
2024-12-20,1302.6486,1302.6486,1212.1315,1233.5264,401892,1233.5264
2024-12-23,1249.8344,1335.2645,1241.1069,1255.1707,1201280,1255.1707
2024-12-24,1255.1707,1265.7435,1234.823,1261.5543,88283,1261.5543
2024-12-26,1261.5543,1272.7255,1234.873,1243.002,48965,1243.002
2024-12-27,1242.8025,1256.7665,1231.8806,1243.5006,60131,1243.5006
2024-12-30,1236.9176,1244.7974,1218.8641,1223.552,85690,1223.552
2024-12-31,1222.8039,1249.7346,1216.9191,1239.8102,137652,1239.8102
2025-01-01,1239.8102,1252.9763,1226.8436,1236.9675,41316,1236.9675
2025-01-02,1238.8627,1279.6576,1231.8806,1273.8726,139396,1273.8726
2025-01-03,1266.1923,1301.0028,1266.1425,1291.7765,309407,1291.7765
2025-01-06,1310.9771,1310.9771,1241.9048,1250.782,176642,1250.782
2025-01-07,1240.8076,1261.4544,1230.933,1245.6451,79591,1245.6451
2025-01-08,1251.7295,1253.7244,1213.8769,1218.515,461734,1218.515
2025-01-09,1207.9422,1220.809,1176.9719,1181.5103,192743,1181.5103
2025-01-10,1182.4578,1187.6444,1137.274,1145.3033,180929,1145.3033
2025-01-13,1123.4595,1136.0771,1052.2926,1060.2721,530473,1060.2721
2025-01-14,1060.2721,1093.9354,1052.3923,1078.4752,113528,1078.4752
