date,open,high,low,close,volume,adj_close
2024-05-21,108.4659,109.7818,106.7741,109.2178,35545169,109.2178
2024-05-22,109.8758,109.8758,107.996,109.0299,32841192,109.0299
2024-05-23,109.8758,111.5206,109.4998,110.6277,35478278,110.6277
2024-05-24,111.0977,111.6146,109.8758,110.1578,29084908,110.1578
2024-05-27,110.9097,111.0977,108.7479,109.9698,34617257,109.9698
2024-05-28,110.6277,111.6146,108.3249,108.9829,30239355,108.9829
2024-05-29,109.4058,111.3327,108.5599,109.5468,39784811,109.5468
2024-05-30,109.6878,110.4867,107.855,108.137,34512065,108.137
2024-05-31,109.4998,112.1786,107.526,110.9097,285607552,110.9097
2024-06-03,117.3011,121.1547,115.0923,120.5438,93777898,120.5438
2024-06-04,120.1208,120.1208,90.4196,103.2494,200212291,103.2494
2024-06-05,108.2779,109.3118,98.4089,108.2779,105580249,108.2779
2024-06-06,110.5337,113.3535,109.4998,110.9097,52416611,110.9097
2024-06-07,112.2726,112.4136,110.9097,111.7556,40419251,111.7556
2024-06-10,112.7895,115.3273,112.7895,113.7576,43824793,113.7576
2024-06-11,114.1994,115.6938,113.4945,113.9456,37514599,113.9456
2024-06-12,114.6693,116.0792,114.1994,115.4119,39113054,115.4119
2024-06-13,117.0285,117.4891,114.1054,114.5941,62531469,114.5941
2024-06-14,115.8492,116.8049,115.1734,116.6312,32576803,116.6312
2024-06-18,117.6352,118.2627,117.1235,117.6642,33945927,117.6642
2024-06-19,117.6738,118.6006,116.4381,116.9691,45620625,116.9691
2024-06-20,117.2973,117.9731,116.747,117.0077,19050406,117.0077
2024-06-21,117.1042,117.5773,114.4011,114.9996,32273022,114.9996
2024-06-24,113.9184,117.3649,112.1903,114.179,44230331,114.179
2024-06-25,115.1155,115.5982,112.8081,113.9666,36965833,113.9666
2024-06-26,113.8701,115.241,113.1557,114.5845,21602758,114.5845
2024-06-27,114.0921,115.2699,112.7985,114.0246,28134054,114.0246
2024-06-28,114.1597,117.6738,114.1597,115.3375,43712892,115.3375
2024-07-01,115.2217,116.0326,113.8218,114.2659,20506793,114.2659
2024-07-02,114.6907,114.8645,111.5048,112.2289,23399374,112.2289
2024-07-03,113.0495,113.9087,112.4702,113.0012,16011335,113.0012
2024-07-04,113.6287,113.9184,112.3254,113.2136,20110432,113.2136
2024-07-05,112.953,113.8991,112.4896,113.6867,20103764,113.6867
2024-07-08,113.4357,113.9956,110.6939,110.9159,34032815,110.9159
