date,open,high,low,close,volume,adj_close
2024-05-21,296.3,303.55,291.15,293.25,721637,293.25
2024-05-22,294.5,308.7,293.8,306.25,1724910,306.25
2024-05-23,306.0,311.75,299.8,305.25,830842,305.25
2024-05-24,303.0,311.25,303.0,305.25,694467,305.25
2024-05-27,306.8,315.0,301.45,313.65,1460505,313.65
2024-05-28,319.0,330.0,315.05,321.5,4762577,321.5
2024-05-29,328.0,333.0,303.8,305.65,4259043,305.65
2024-05-30,308.0,320.5,305.1,306.3,1821803,306.3
2024-05-31,310.25,312.0,303.45,308.4,1062610,308.4
2024-06-03,321.0,324.4,310.1,314.0,1080082,314.0
2024-06-04,310.0,310.0,251.2,272.75,3699616,272.75
2024-06-05,275.0,303.0,266.05,298.25,2214355,298.25
2024-06-06,300.0,314.75,300.0,310.75,1963356,310.75
2024-06-07,310.05,313.0,305.75,307.4,842128,307.4
2024-06-10,308.0,319.0,303.1,317.95,1807137,317.95
2024-06-11,318.0,328.45,315.15,322.0,1555502,322.0
2024-06-12,324.0,326.0,319.1,321.35,636977,321.35
2024-06-13,323.0,325.0,316.8,321.0,579098,321.0
2024-06-14,321.0,332.0,317.1,328.65,1609338,328.65
2024-06-18,331.0,333.0,323.15,326.05,1109044,326.05
2024-06-19,327.25,328.3,314.4,320.25,705922,320.25
2024-06-20,317.2,325.95,317.2,320.45,580718,320.45
2024-06-21,322.95,323.3,316.1,319.4,350844,319.4
2024-06-24,315.1,322.8,312.1,318.6,554887,318.6
2024-06-25,319.6,322.85,311.1,312.85,385784,312.85
2024-06-26,312.95,315.85,306.55,309.3,393214,309.3
2024-06-27,308.2,312.3,299.0,302.1,849207,302.1
2024-06-28,303.65,312.5,296.55,310.55,849972,310.55
2024-07-01,314.0,314.0,306.2,307.85,375221,307.85
2024-07-02,307.7,309.05,300.0,304.2,369887,304.2
2024-07-03,306.0,307.25,299.4,300.2,586025,300.2
2024-07-04,301.6,303.8,299.1,300.15,323384,300.15
2024-07-05,300.15,306.4,296.55,302.25,487465,302.25
2024-07-08,303.25,304.4,292.5,293.6,666389,293.6
2024-07-09,293.95,296.5,288.8,290.8,486984,290.8
2024-07-10,290.95,294.0,282.0,292.85,818481,292.85
2024-07-11,294.0,302.25,294.0,298.25,542046,298.25
2024-07-12,299.7,300.35,289.15,290.1,446754,290.1
2024-07-15,291.25,293.95,283.75,292.4,931391,292.4
2024-07-16,293.8,294.75,287.5,290.55,251445,290.55
2024-07-18,289.0,291.75,283.95,287.15,641323,287.15
2024-07-19,283.4,288.95,274.8,275.75,1107261,275.75
2024-07-22,273.0,294.85,270.25,285.95,1297266,285.95
2024-07-23,287.45,294.25,273.0,291.8,862488,291.8
2024-07-24,292.0,305.0,290.15,302.3,1522857,302.3
2024-07-25,300.0,308.0,297.65,305.9,592048,305.9
2024-07-26,306.65,317.75,305.4,316.15,1216210,316.15
2024-07-29,318.05,324.05,313.5,317.1,1098412,317.1
2024-07-30,318.0,337.4,318.0,325.55,2819043,325.55
2024-07-31,327.2,328.5,320.0,321.75,514990,321.75
2024-08-01,323.05,327.8,314.7,318.15,404896,318.15
2024-08-02,311.0,330.0,311.0,328.45,1631232,328.45
2024-08-05,321.0,321.9,300.15,307.45,1574215,307.45
2024-08-06,309.2,321.0,302.05,305.5,1434093,305.5
2024-08-07,310.75,319.45,306.05,318.45,704273,318.45
2024-08-08,318.4,326.0,315.25,318.45,998066,318.45
2024-08-09,321.7,346.5,321.5,342.55,6507297,342.55
2024-08-12,342.95,355.5,339.5,342.3,4143552,342.3
2024-08-13,344.3,345.3,330.55,335.55,1569233,335.55
2024-08-14,336.95,349.0,330.9,339.5,4648796,339.5
2024-08-16,352.0,364.0,339.05,341.65,7157939,341.65
2024-08-19,345.05,358.6,343.4,356.3,3608351,356.3
2024-08-20,359.85,377.0,358.05,374.8,6241095,374.8
2024-08-21,376.1,388.0,373.8,379.2,4205326,379.2
2024-08-22,381.2,390.0,376.95,388.0,3070287,388.0
2024-08-23,390.0,394.7,380.5,383.75,2425817,383.75
2024-08-26,387.0,395.75,381.1,382.9,1972265,382.9
2024-08-27,384.25,399.0,378.0,396.0,1839638,396.0
2024-08-28,398.75,404.9,386.4,389.6,2523425,389.6
2024-08-29,389.8,392.3,373.05,379.35,1290005,379.35
2024-08-30,384.0,393.8,377.1,379.7,1720038,379.7
2024-09-02,382.85,382.85,365.8,370.65,1108253,370.65
2024-09-03,371.3,374.8,364.35,370.3,1117795,370.3
2024-09-04,364.0,375.7,360.1,373.15,1190711,373.15
2024-09-05,374.1,385.9,368.6,376.6,1711108,376.6
2024-09-06,378.9,389.4,376.6,380.35,1713443,380.35
2024-09-09,380.35,386.65,374.0,378.85,1117126,378.85
2024-09-10,380.9,382.6,376.45,380.05,389345,380.05
2024-09-11,382.1,400.0,382.1,392.45,3674296,392.45
2024-09-12,392.5,403.9,389.75,400.7,2767235,400.7
2024-09-13,401.5,404.5,388.5,391.0,1086645,391.0
2024-09-16,392.0,396.0,384.0,390.8,1166440,390.8
2024-09-17,393.0,393.0,379.35,383.85,560481,383.85
2024-09-18,383.95,409.5,381.1,392.3,3729597,392.3
2024-09-19,394.0,411.8,380.4,384.85,3317356,384.85
2024-09-20,387.6,403.35,386.0,399.9,1569969,399.9
2024-09-23,402.6,407.9,392.1,394.8,907112,394.8
2024-09-24,395.25,408.9,395.25,399.95,2107721,399.95
2024-09-25,399.8,412.6,392.4,400.6,2614832,400.6
2024-09-26,401.35,412.8,393.35,410.45,2076621,410.45
2024-09-27,412.65,415.0,395.3,398.8,2149335,398.8
2024-09-30,398.8,406.7,384.95,387.75,1817913,387.75
2024-10-01,387.0,394.85,382.8,385.05,778563,385.05
2024-10-03,380.4,394.75,377.7,380.75,1642300,380.75
2024-10-04,380.9,387.95,374.0,380.55,1093502,380.55
2024-10-07,386.25,387.4,357.55,361.8,1540134,361.8
2024-10-08,361.6,377.2,357.0,375.45,1343752,375.45
2024-10-09,377.1,389.45,376.05,386.1,714164,386.1
2024-10-10,388.8,398.0,384.2,394.35,1103379,394.35
2024-10-11,395.0,403.55,391.25,396.4,1323426,396.4
2024-10-14,396.0,398.95,385.05,386.8,585007,386.8
2024-10-15,387.8,397.0,384.3,390.45,1333095,390.45
2024-10-16,389.3,391.8,384.7,389.4,355806,389.4
2024-10-17,391.65,392.4,367.85,370.1,1024238,370.1
2024-10-18,369.9,374.8,359.1,363.45,1190121,363.45
2024-10-21,363.45,366.5,352.5,354.8,690506,354.8
2024-10-22,353.85,354.4,334.2,337.25,1169699,337.25
2024-10-23,337.0,348.9,330.9,343.85,816438,343.85
2024-10-24,342.0,345.6,333.6,335.8,494739,335.8
2024-10-25,336.8,343.9,329.5,339.8,2093299,339.8
2024-10-28,346.0,349.0,334.15,346.4,1252745,346.4
2024-10-29,352.65,389.3,351.35,381.15,6138609,381.15
2024-10-30,384.0,398.9,382.25,391.35,2489247,391.35
2024-10-31,390.0,390.55,376.8,380.5,897724,380.5
2024-11-01,382.45,385.6,375.0,379.15,276048,379.15
2024-11-04,381.9,382.0,364.6,366.45,786076,366.45
2024-11-05,366.45,375.95,360.8,365.45,1178292,365.45
2024-11-06,370.35,382.0,368.2,378.25,1595836,378.25
2024-11-07,377.0,384.0,373.2,375.45,517805,375.45
2024-11-08,372.0,376.7,363.0,364.9,492644,364.9
2024-11-11,363.2,366.45,355.9,360.8,639681,360.8
2024-11-12,362.65,372.85,351.1,353.7,640754,353.7
2024-11-13,353.95,359.0,342.0,345.15,647099,345.15
2024-11-14,347.0,362.0,345.0,351.9,1226946,351.9
2024-11-18,353.9,366.6,342.55,363.95,1081813,363.95
2024-11-19,368.8,369.85,360.35,362.55,538176,362.55
2024-11-21,363.3,363.9,354.85,359.7,452932,359.7
2024-11-22,361.6,364.85,357.3,360.7,393883,360.7
2024-11-25,375.3,396.0,372.0,392.35,2016875,392.35
2024-11-26,395.0,407.0,386.55,401.25,1648018,401.25
2024-11-27,406.0,423.0,401.6,420.95,3596497,420.95
2024-11-28,424.0,435.8,416.85,424.05,2022827,424.05
2024-11-29,424.0,437.0,420.35,433.3,1233948,433.3
2024-12-02,433.7,445.5,430.25,435.85,1265555,435.85
2024-12-03,435.85,443.55,431.55,437.55,628984,437.55
2024-12-04,436.95,439.85,430.05,431.4,498946,431.4
2024-12-05,430.25,435.75,425.6,428.0,477213,428.0
2024-12-06,427.9,438.5,421.35,429.75,710059,429.75
2024-12-09,432.75,447.4,422.2,441.3,1205312,441.3
2024-12-10,443.5,445.95,429.15,431.5,804659,431.5
2024-12-11,433.65,449.55,424.3,437.9,1490565,437.9
2024-12-12,440.0,443.0,428.35,431.15,571975,431.15
2024-12-13,432.8,434.2,420.0,429.95,603019,429.95
2024-12-16,429.9,445.4,429.0,440.95,967167,440.95
2024-12-17,441.0,451.95,436.85,438.6,1000024,438.6
2024-12-18,441.2,465.0,436.3,446.6,1806925,446.6
2024-12-19,443.2,457.5,435.05,455.2,1261088,455.2
2024-12-20,454.9,460.45,434.45,438.1,1209625,438.1
2024-12-23,442.8,448.0,431.45,441.5,867543,441.5
2024-12-24,445.5,460.7,445.05,449.1,1010456,449.1
2024-12-26,449.95,455.95,437.05,445.1,691123,445.1
2024-12-27,449.15,450.6,438.1,441.45,292282,441.45
2024-12-30,440.9,447.75,428.1,432.05,513452,432.05
2024-12-31,429.55,437.8,424.0,435.0,443758,435.0
2025-01-01,434.95,444.9,432.2,443.85,276498,443.85
2025-01-02,443.05,450.1,443.0,448.45,338444,448.45
2025-01-03,448.5,453.8,434.15,435.85,701647,435.85
2025-01-06,439.85,439.95,407.1,410.6,1032852,410.6
2025-01-07,413.95,435.45,413.05,430.45,741086,430.45
2025-01-08,428.95,436.2,417.8,420.55,380291,420.55
2025-01-09,417.35,420.0,405.2,407.15,294963,407.15
2025-01-10,405.9,414.2,387.8,393.4,725563,393.4
2025-01-13,384.95,395.7,368.05,372.1,677673,372.1
2025-01-14,377.6,388.6,373.05,377.7,675776,377.7
2025-01-15,380.1,387.65,375.45,379.15,449916,379.15
2025-01-16,385.15,389.45,374.0,380.3,578900,380.3
2025-01-17,378.95,384.7,375.0,382.8,334239,382.8
2025-01-20,379.35,382.7,368.05,375.0,595689,375.0
2025-01-21,376.0,379.9,362.6,366.0,507586,366.0
2025-01-22,369.45,372.95,348.05,356.4,737204,356.4
2025-01-23,356.5,367.45,353.35,360.5,628424,360.5
2025-01-24,363.6,366.1,352.0,355.1,555433,355.1
2025-01-27,350.95,351.0,334.0,343.9,591544,343.9
2025-01-28,346.0,347.95,327.1,341.25,978891,341.25
2025-01-29,344.0,362.0,343.65,359.05,388508,359.05
2025-01-30,361.5,367.9,348.95,352.4,461595,352.4
2025-01-31,354.95,365.5,352.4,363.25,313548,363.25
2025-02-01,364.9,370.9,355.05,358.85,331580,358.85
2025-02-03,356.1,368.85,346.1,349.15,427736,349.15
2025-02-04,350.9,360.85,348.8,350.65,338656,350.65
2025-02-05,352.45,369.6,352.2,365.65,489034,365.65
2025-02-06,366.3,381.8,363.1,380.1,951823,380.1
2025-02-07,378.05,380.95,369.5,376.1,394025,376.1
2025-02-10,370.6,375.95,357.35,361.1,471216,361.1
2025-02-11,352.8,356.05,347.05,351.6,589912,351.6
2025-02-12,350.0,354.35,336.0,351.7,645886,351.7
2025-02-13,354.0,367.65,345.8,362.35,527311,362.35
2025-02-14,359.55,359.55,309.2,337.65,3898627,337.65
2025-02-17,338.65,346.55,322.05,327.7,972051,327.7
2025-02-18,334.75,334.8,299.0,314.0,1983987,314.0
2025-02-19,312.85,341.85,309.2,333.05,1046367,333.05
2025-02-20,330.0,346.5,326.0,339.4,547617,339.4
2025-02-21,331.55,343.2,326.0,329.1,798944,329.1
2025-02-24,327.95,330.0,316.25,323.3,1087188,323.3
2025-02-25,324.7,328.6,320.0,321.65,261919,321.65
2025-02-27,323.55,324.8,303.0,307.1,784600,307.1
2025-02-28,303.5,306.6,297.5,301.8,873530,301.8
2025-03-03,301.8,316.5,287.5,310.25,1387875,310.25
2025-03-04,307.1,323.4,301.8,314.4,789114,314.4
2025-03-05,315.0,330.0,314.7,322.65,876168,322.65
2025-03-06,324.9,331.35,323.4,325.4,1035686,325.4
2025-03-07,326.95,346.2,325.85,337.85,1171226,337.85
2025-03-10,340.5,351.5,328.0,331.1,742742,331.1
2025-03-11,328.0,344.9,321.1,340.35,528112,340.35
2025-03-12,340.95,344.7,333.1,334.75,362285,334.75
2025-03-13,336.65,341.95,328.75,332.7,424973,332.7
2025-03-17,332.7,338.4,331.7,335.35,219282,335.35
2025-03-18,335.35,335.35,335.35,335.35,0,335.35
2025-03-19,341.4,355.6,341.35,351.45,571331,351.45
2025-03-20,355.0,362.0,348.95,352.45,303336,352.45
2025-03-21,352.5,360.85,351.8,354.5,342328,354.5
2025-03-24,356.95,368.1,356.5,363.45,688416,363.45
2025-03-25,366.0,367.8,351.1,352.7,405293,352.7
2025-03-26,351.5,365.75,349.3,351.45,504695,351.45
2025-03-27,350.0,362.0,347.4,359.2,307016,359.2
2025-03-28,359.2,364.55,346.9,350.5,385337,350.5
2025-04-01,350.0,356.55,347.15,349.6,190036,349.6
2025-04-02,349.0,363.0,342.95,361.15,252392,361.15
2025-04-03,356.95,372.45,347.5,369.3,708327,369.3
2025-04-04,369.95,379.0,352.0,361.3,841645,361.3
2025-04-07,311.2,343.0,301.0,339.3,739116,339.3
2025-04-08,344.95,369.0,343.05,365.9,855177,365.9
2025-04-09,359.0,360.0,349.0,352.05,398943,352.05
2025-04-11,358.95,363.5,356.1,360.7,208026,360.7
2025-04-15,366.2,374.2,362.05,370.9,395038,370.9
2025-04-16,376.5,382.7,372.2,375.6,689873,375.6
2025-04-17,379.9,393.0,374.1,390.6,611014,390.6
2025-04-21,395.0,396.45,385.0,391.5,382431,391.5
2025-04-22,391.75,393.15,380.1,384.8,363101,384.8
2025-04-23,387.0,387.95,377.1,379.25,325998,379.25
2025-04-24,377.6,383.55,375.25,377.45,228863,377.45
2025-04-25,379.9,384.0,358.25,361.25,610676,361.25
2025-04-28,360.0,369.5,351.0,362.35,268056,362.35
2025-04-29,363.7,371.3,358.2,359.9,306108,359.9
2025-04-30,358.9,360.15,347.25,350.1,330405,350.1
2025-05-02,350.0,358.0,349.1,350.85,185713,350.85
2025-05-05,355.0,369.0,355.0,359.55,356891,359.55
2025-05-06,360.0,362.75,333.7,336.5,1569065,336.5
2025-05-07,339.95,344.1,330.0,341.95,328531,341.95
2025-05-08,342.95,352.9,332.3,336.7,371436,336.7
2025-05-09,329.0,337.7,320.0,335.85,334718,335.85
2025-05-12,361.7,363.0,350.25,357.9,633284,357.9
2025-05-13,360.0,364.0,350.0,359.35,238361,359.35
2025-05-14,361.1,363.4,355.75,361.05,283986,361.05
2025-05-15,362.0,372.6,362.0,365.35,263640,365.35
2025-05-16,366.5,368.85,358.35,359.85,481205,359.85
2025-05-19,360.9,368.8,360.9,362.55,365328,362.55
2025-05-20,363.9,369.7,349.35,352.15,444548,352.15
2025-05-21,352.15,358.55,345.0,350.1,401802,350.1
2025-05-22,350.0,359.85,348.65,356.9,503485,356.9
2025-05-23,357.0,362.0,353.7,359.9,299086,359.9
2025-05-26,359.85,371.05,343.4,345.55,1473622,345.55
2025-05-27,345.0,364.95,340.0,355.65,1347341,355.65
2025-05-28,354.5,361.15,338.5,344.65,1487587,344.65
2025-05-29,346.3,347.0,338.0,339.3,514834,339.3
2025-05-30,340.25,341.85,328.0,328.85,595338,328.85
2025-06-02,328.85,337.05,326.1,334.4,481611,334.4
2025-06-03,335.0,341.35,330.0,331.2,362465,331.2
2025-06-04,332.3,333.8,328.5,331.6,256231,331.6
2025-06-05,332.6,346.7,332.2,342.45,700863,342.45
2025-06-06,342.4,346.5,336.35,338.8,369058,338.8
2025-06-09,340.9,346.6,339.9,344.5,416569,344.5
2025-06-10,345.0,354.55,341.5,347.9,365423,347.9
2025-06-11,351.15,357.65,342.8,344.0,479660,344.0
2025-06-12,345.0,350.45,336.5,339.0,329741,339.0
2025-06-13,331.9,336.7,329.75,333.1,354520,333.1
2025-06-16,330.0,335.0,326.05,331.15,463614,331.15
2025-06-17,331.0,334.95,325.8,326.75,279342,326.75
2025-06-18,326.8,331.95,325.15,327.25,174460,327.25
2025-06-19,327.0,332.05,319.15,320.4,247420,320.4
2025-06-20,321.0,324.6,317.0,318.6,319048,318.6
2025-06-23,318.6,321.35,313.7,315.3,353341,315.3
2025-06-24,320.0,329.9,316.05,326.6,808435,326.6
2025-06-25,330.6,332.4,325.05,326.9,282833,326.9
2025-06-26,328.9,334.6,326.45,331.1,291735,331.1
2025-06-27,332.7,339.65,331.75,337.5,489166,337.5
2025-06-30,337.5,339.4,333.0,333.8,182031,333.8
2025-07-01,334.8,336.15,328.0,329.05,196743,329.05
2025-07-02,331.45,334.3,326.0,331.5,192672,331.5
2025-07-03,331.0,331.5,327.15,328.0,172029,328.0
2025-07-04,328.1,331.0,325.0,326.55,201475,326.55
2025-07-07,327.0,331.15,324.05,325.6,157128,325.6
2025-07-08,325.05,329.1,320.0,322.8,307047,322.8
2025-07-09,324.9,328.3,318.6,319.45,294211,319.45
2025-07-10,320.3,322.65,315.2,316.3,319478,316.3
2025-07-11,318.0,322.4,313.3,314.95,521006,314.95
2025-07-14,314.85,320.0,313.45,317.2,161907,317.2
2025-07-15,317.95,322.8,316.75,318.15,227975,318.15
2025-07-16,319.0,323.75,317.0,317.5,191514,317.5
2025-07-17,318.4,330.0,317.55,326.95,379195,326.95
2025-07-18,329.55,329.55,322.3,324.7,160921,324.7
2025-07-21,326.25,338.0,326.25,336.15,780768,336.15
2025-07-22,338.5,338.65,326.4,327.85,260762,327.85
2025-07-23,327.1,331.95,325.1,325.65,260688,325.65
2025-07-24,326.0,328.2,322.0,322.65,152654,322.65
2025-07-25,321.4,322.65,316.6,318.5,156311,318.5
2025-07-28,318.45,319.4,309.0,310.6,386754,310.6
2025-07-29,309.9,316.2,307.05,310.95,299214,310.95
2025-07-30,311.2,315.85,300.1,301.45,877168,301.45
2025-07-31,296.0,308.9,295.3,306.65,269007,306.65
2025-08-01,306.65,308.0,297.3,299.6,154348,299.6
2025-08-04,301.0,304.3,297.35,301.55,153145,301.55
2025-08-05,301.0,308.75,296.1,297.05,363705,297.05
2025-08-06,297.0,300.2,291.2,297.4,264707,297.4
2025-08-07,295.9,297.1,291.4,295.95,157514,295.95
2025-08-08,295.7,298.05,290.4,291.7,99428,291.7
2025-08-11,292.0,299.0,282.85,284.6,635991,284.6
2025-08-12,283.75,293.95,281.4,283.35,338927,283.35
2025-08-13,282.0,285.1,279.05,283.1,289267,283.1
2025-08-14,280.1,281.5,276.0,276.85,287558,276.85
2025-08-18,279.7,283.55,277.0,280.15,179895,280.15
2025-08-19,280.95,305.3,278.1,296.5,551499,296.5
2025-08-20,296.25,300.95,292.3,294.5,263288,294.5
2025-08-21,294.0,303.0,290.05,296.6,420503,296.6
2025-08-22,296.05,302.0,294.7,299.55,324238,299.55
2025-08-25,300.0,305.5,298.0,300.25,505791,300.25
2025-08-26,298.95,300.1,293.45,295.25,136008,295.25
2025-08-28,296.45,298.0,286.1,289.35,104733,289.35
2025-08-29,290.9,292.5,280.2,281.9,231863,281.9
2025-09-01,282.0,293.8,282.0,291.25,149745,291.25
2025-09-02,291.3,303.5,288.4,299.35,348022,299.35
2025-09-03,299.2,303.95,294.8,301.7,229722,301.7
2025-09-04,303.85,309.0,297.4,298.65,268775,298.65
2025-09-05,299.6,302.65,294.65,296.55,206876,296.55
2025-09-08,296.7,302.75,293.35,300.4,196955,300.4
2025-09-09,300.4,307.65,294.8,298.4,420927,298.4
2025-09-10,298.0,312.95,297.8,305.6,694452,305.6
2025-09-11,305.65,311.5,304.95,308.7,471464,308.7
2025-09-12,309.35,313.95,299.55,300.1,611710,300.1
2025-09-15,301.4,307.4,298.05,302.15,487586,302.15
2025-09-16,302.9,312.0,299.0,310.05,357622,310.05
2025-09-17,311.4,322.0,311.0,319.0,645761,319.0
2025-09-18,321.0,334.0,319.85,321.15,1899418,321.15
2025-09-19,322.4,324.5,310.9,312.25,868693,312.25
2025-09-22,310.85,319.0,309.2,310.0,429797,310.0
2025-09-23,311.0,311.0,301.3,302.55,364685,302.55
2025-09-24,301.85,306.0,300.1,300.9,232046,300.9
2025-09-25,300.0,301.5,297.5,298.35,312151,298.35
2025-09-26,297.45,299.1,288.8,289.85,314336,289.85
2025-09-29,290.05,294.5,282.1,283.6,426219,283.6
2025-09-30,284.95,294.0,280.0,289.1,280687,289.1
2025-10-01,292.0,292.65,281.8,283.05,635163,283.05
2025-10-03,284.4,288.8,282.7,287.4,149121,287.4
2025-10-06,288.0,288.2,281.75,282.8,229282,282.8
2025-10-07,284.0,285.45,278.15,278.9,223550,278.9
2025-10-08,279.0,280.8,270.1,271.35,341807,271.35
2025-10-09,274.55,280.0,272.0,278.7,370965,278.7
2025-10-10,279.0,288.4,277.0,286.4,625019,286.4
2025-10-13,285.0,285.5,280.8,282.85,240486,282.85
2025-10-14,282.95,283.7,275.55,276.35,264061,276.35
2025-10-15,276.0,279.55,275.85,278.25,75672,278.25
2025-10-16,278.95,281.65,276.0,277.1,135588,277.1
2025-10-17,275.4,279.05,270.35,271.95,404020,271.95
2025-10-20,272.1,276.6,265.1,273.9,350852,273.9
2025-10-21,273.5,277.65,273.45,276.25,76011,276.25
2025-10-23,274.8,276.7,267.1,273.2,420850,273.2
2025-10-24,273.0,278.4,270.55,272.7,153560,272.7
2025-10-27,275.0,275.7,269.1,271.0,241057,271.0
2025-10-28,271.85,278.2,270.1,276.45,249936,276.45
2025-10-29,275.55,282.75,273.05,280.35,358965,280.35
2025-10-30,280.45,283.15,279.25,281.75,186155,281.75
2025-10-31,282.0,289.95,279.7,286.75,363277,286.75
2025-11-03,286.2,291.0,283.85,287.55,217365,287.55
2025-11-04,287.55,290.5,279.0,280.75,326517,280.75
2025-11-06,284.7,284.7,277.2,280.55,201174,280.55
2025-11-07,275.55,283.25,275.0,280.75,170715,280.75
2025-11-10,283.0,283.0,270.05,271.2,224504,271.2
2025-11-11,271.25,287.9,271.25,284.35,596778,284.35
2025-11-12,284.95,297.0,282.05,292.05,383000,292.05
2025-11-13,292.7,293.75,283.75,291.4,277850,291.4
2025-11-14,292.4,296.2,286.25,290.95,579529,290.95
2025-11-17,294.8,314.25,293.25,306.95,1420284,306.95
2025-11-18,305.35,305.8,297.0,298.1,339924,298.1
2025-11-19,296.35,300.0,294.6,296.05,193901,296.05
2025-11-20,297.25,297.75,288.0,289.9,221117,289.9
2025-11-21,288.1,294.1,282.85,285.1,280357,285.1
2025-11-24,287.9,287.9,276.5,278.05,151953,278.05
2025-11-25,279.15,281.85,274.0,275.65,184494,275.65
2025-11-26,276.15,286.8,276.0,283.65,252439,283.65
2025-11-27,285.1,286.0,278.0,279.15,96755,279.15
2025-11-28,279.2,281.8,275.1,277.35,192128,277.35
2025-12-01,277.35,280.1,275.1,276.6,198202,276.6
2025-12-02,276.65,276.65,272.0,272.9,149975,272.9
2025-12-03,273.0,274.7,267.85,268.9,152797,268.9
2025-12-04,268.9,272.7,264.25,265.3,256570,265.3
2025-12-05,264.15,267.0,260.4,261.9,192954,261.9
2025-12-08,260.25,261.9,249.2,251.65,384841,251.65
2025-12-09,252.1,262.7,247.3,259.7,408517,259.7
2025-12-10,260.0,265.35,257.55,261.7,171638,261.7
2025-12-11,261.25,261.95,255.0,256.4,191927,256.4
2025-12-12,257.7,261.0,254.8,257.45,211545,257.45
2025-12-15,255.45,263.35,255.0,259.05,171470,259.05
2025-12-16,259.1,261.0,257.4,258.7,78555,258.7
2025-12-17,257.7,261.0,256.65,258.9,93399,258.9
2025-12-18,260.7,260.7,254.0,254.8,127007,254.8
2025-12-19,256.05,258.25,254.75,256.8,87811,256.8
2025-12-22,260.65,264.4,256.6,261.9,237706,261.9
2025-12-23,261.9,264.1,260.75,262.1,89333,262.1
2025-12-24,262.65,265.0,259.15,260.05,90246,260.05
2025-12-26,259.05,260.7,255.5,256.45,74702,256.45
2025-12-29,257.05,259.8,253.0,254.05,162102,254.05
2025-12-30,254.05,255.0,252.15,254.0,73649,254.0
2025-12-31,257.8,257.8,253.2,254.4,192234,254.4
2026-01-01,253.0,258.25,252.45,256.2,141221,256.2
2026-01-02,256.7,263.45,255.95,257.85,154932,257.85
2026-01-05,258.9,260.9,254.3,255.05,147928,255.05
2026-01-06,255.05,255.15,250.0,251.7,188325,251.7
2026-01-07,250.5,253.1,249.0,250.35,110631,250.35
2026-01-08,250.85,255.2,248.1,249.4,182286,249.4
2026-01-09,249.3,249.95,242.05,242.95,242778,242.95
2026-01-12,241.0,244.0,237.05,242.75,219581,242.75
2026-01-13,243.0,246.55,239.8,241.75,109530,241.75
2026-01-14,241.0,242.4,238.05,240.75,103757,240.75
2026-01-15,240.75,240.75,240.75,240.75,0,240.75
2026-01-16,239.6,243.35,235.05,236.5,156013,236.5
2026-01-19,235.0,236.35,232.0,233.45,192702,233.45
2026-01-20,233.0,233.4,215.0,216.75,787575,216.75
2026-01-21,216.75,218.9,211.8,213.0,259712,213.0
2026-01-22,215.0,224.1,215.0,223.2,262659,223.2
2026-01-23,223.7,224.5,215.05,216.0,138918,216.0
2026-01-27,216.9,217.2,209.0,212.35,344299,212.35
2026-01-28,213.95,222.55,212.95,220.6,204705,220.6
2026-01-29,223.7,223.7,216.0,219.75,147769,219.75
2026-01-30,217.15,223.1,211.0,222.25,152082,222.25
2026-02-02,211.96,215.0,207.6,212.69,179384,212.69
2026-02-03,228.0,242.99,218.58,228.61,1939676,228.61
2026-02-04,228.61,250.0,226.96,248.22,1037977,248.22
2026-02-05,247.0,247.0,235.13,236.93,279012,236.93
2026-02-06,235.6,236.3,222.22,233.28,406747,233.28
2026-02-09,236.0,254.2,233.31,247.65,702568,247.65
2026-02-10,249.8,253.35,243.21,252.21,446117,252.21
