date,open,high,low,close,volume,adj_close
2025-07-10,83.9863,83.9863,77.0066,77.5816,109380,77.5816
2025-07-11,80.3965,85.8962,78.2516,84.5013,1057110,84.5013
2025-07-14,84.2963,86.6312,79.5465,80.7215,698920,80.7215
2025-07-15,80.5015,82.7914,77.7966,79.3465,82970,79.3465
2025-07-16,79.3965,95.2158,79.3965,93.3609,4344420,93.3609
2025-07-17,92.9959,96.4958,89.4111,95.2158,1192040,95.2158
2025-07-18,95.6958,96.2858,89.8961,90.966,856940,90.966
2025-07-21,90.296,95.9958,89.7961,93.3859,871000,93.3859
2025-07-22,92.7009,94.4958,91.916,93.5409,281680,93.5409
2025-07-23,95.2958,97.4957,94.5258,97.2807,1476550,97.2807
2025-07-24,97.9957,98.0007,95.5008,96.4958,1339510,96.4958
2025-07-25,97.5657,97.5657,94.0159,94.4808,191740,94.4808
2025-07-28,94.9958,97.0907,94.4808,95.1408,154260,95.1408
2025-07-29,96.3958,96.3958,93.3109,93.7909,156360,93.7909
2025-07-30,93.4109,97.9957,92.1859,96.3658,511420,96.3658
2025-07-31,95.3958,98.4957,94.4858,96.6907,479270,96.6907
2025-08-01,96.6907,96.8907,94.4858,95.1608,53480,95.1608
2025-08-04,95.3958,99.4956,94.9958,97.3307,219090,97.3307
2025-08-05,98.2007,99.9956,97.1007,99.1406,192050,99.1406
2025-08-06,99.9956,99.9956,95.4958,96.2658,158410,96.2658
2025-08-07,95.9958,98.9956,95.6908,97.4757,58260,97.4757
2025-08-08,97.0007,98.3907,95.9958,96.3258,826670,96.3258
2025-08-11,97.2907,97.2907,95.9958,96.3258,21780,96.3258
2025-08-12,95.9958,97.1507,95.6158,96.3858,50360,96.3858
2025-08-13,97.6857,97.7457,95.3958,95.5608,27680,95.5608
2025-08-14,96.7007,102.2955,95.5208,99.3356,1526290,99.3356
2025-08-18,101.3305,102.4955,98.9956,100.3556,134120,100.3556
2025-08-19,101.1156,104.9954,100.5956,102.4305,380790,102.4305
2025-08-20,102.3955,105.8953,101.6205,103.6204,124120,103.6204
2025-08-21,103.8804,106.9953,102.8005,104.3254,425330,104.3254
