date,open,high,low,close,volume,adj_close
2024-05-21,1391.5821,1407.6323,1371.7437,1394.1741,74325,1394.1741
2024-05-22,1399.657,1415.6075,1383.7065,1401.95,53548,1401.95
2024-05-23,1352.8523,1373.2889,1315.9668,1318.9575,1063672,1318.9575
2024-05-24,1315.9169,1317.9107,1271.106,1275.4923,357416,1275.4923
2024-05-27,1275.7414,1304.4025,1267.0684,1280.1777,108490,1280.1777
2024-05-28,1300.9632,1303.954,1267.0684,1270.5077,81467,1270.5077
2024-05-29,1276.0405,1284.4643,1262.1835,1265.573,74538,1265.573
2024-05-30,1265.0746,1271.5046,1241.099,1245.1365,67797,1245.1365
2024-05-31,1256.1024,1258.1959,1225.1983,1229.7841,204338,1229.7841
2024-06-03,1264.0778,1264.5763,1207.5532,1211.1421,344311,1211.1421
2024-06-04,1213.2356,1218.2201,1165.0849,1190.8052,213519,1190.8052
2024-06-05,1210.7431,1210.7431,1139.564,1190.7053,350971,1190.7053
2024-06-06,1210.2449,1254.0589,1205.3102,1243.8406,145892,1243.8406
2024-06-07,1243.8404,1290.9941,1237.859,1270.4579,493679,1270.4579
2024-06-10,1284.3647,1295.9787,1261.2365,1271.8037,121015,1271.8037
2024-06-11,1281.025,1286.1092,1272.0528,1276.4392,90715,1276.4392
2024-06-12,1283.0189,1338.3971,1281.3242,1334.1603,285252,1334.1603
2024-06-13,1342.8333,1349.8116,1324.9388,1336.5029,212600,1336.5029
2024-06-14,1344.8271,1379.669,1335.855,1351.1575,170336,1351.1575
2024-06-18,1351.8055,1368.2545,1342.5342,1357.7371,130140,1357.7371
2024-06-19,1363.1702,1365.2138,1327.78,1346.2228,114033,1346.2228
2024-06-20,1346.2228,1346.2228,1316.9137,1326.6835,140270,1326.6835
2024-06-21,1326.8827,1353.201,1306.9445,1310.0349,102799,1310.0349
2024-06-24,1322.8953,1345.7245,1310.0351,1323.6429,108944,1323.6429
2024-06-25,1327.8797,1338.7958,1313.9729,1326.6335,78371,1326.6335
2024-06-26,1330.5215,1345.7244,1320.9014,1330.7708,77129,1330.7708
2024-06-27,1330.9203,1339.2445,1310.9323,1313.7734,62345,1313.7734
2024-06-28,1313.1754,1323.8921,1308.9884,1315.3685,120539,1315.3685
2024-07-01,1315.9169,1382.2611,1312.9262,1372.6907,194434,1372.6907
2024-07-02,1384.7035,1400.654,1374.7843,1396.2676,170517,1396.2676
2024-07-03,1402.6477,1414.1122,1395.2208,1405.4889,96411,1405.4889
2024-07-04,1408.6789,1408.6789,1395.6693,1400.255,136449,1400.255
2024-07-05,1395.6695,1435.4461,1386.6973,1406.1869,151691,1406.1869
2024-07-08,1404.6414,1406.1368,1383.4072,1390.5352,86338,1390.5352
2024-07-09,1390.5352,1410.6229,1385.7003,1402.0496,77547,1402.0496
2024-07-10,1410.5234,1415.5577,1380.367,1406.0374,101337,1406.0374
2024-07-11,1415.6575,1426.5736,1398.0122,1415.7073,208276,1415.7073
2024-07-12,1425.5765,1463.6583,1410.922,1452.5927,239057,1452.5927
2024-07-15,1454.3872,1483.1479,1425.0781,1455.4838,154449,1455.4838
2024-07-16,1455.4838,1470.4374,1427.5205,1448.2562,147397,1448.2562
2024-07-18,1435.8946,1446.4618,1416.6045,1429.8135,104353,1429.8135
2024-07-19,1429.8135,1429.8135,1387.8935,1404.6416,134055,1404.6416
2024-07-22,1376.7281,1409.5761,1370.7467,1402.7972,156232,1402.7972
2024-07-23,1398.6602,1415.6076,1344.2789,1405.2397,228981,1405.2397
