date,open,high,low,close,volume,adj_close
2026-05-08,9.4,9.4,8.93,8.93,38047,8.93
2026-05-11,8.49,8.49,8.49,8.49,11701,8.49
2026-05-12,8.07,8.07,8.07,8.07,10416,8.07
2026-05-13,7.67,7.67,7.67,7.67,29564,7.67
2026-05-14,7.29,7.29,7.29,7.29,15402,7.29
2026-05-15,6.93,6.93,6.93,6.93,18715,6.93
2026-05-18,6.59,6.59,6.59,6.59,13754,6.59
2026-05-19,6.27,6.27,6.27,6.27,38259,6.27
2026-05-20,5.96,5.96,5.96,5.96,61959,5.96
2026-05-21,5.67,5.67,5.67,5.67,77747,5.67
2026-05-22,5.11,5.11,5.11,5.11,86943,5.11
2026-05-25,4.6,4.6,4.6,4.6,94580,4.6
2026-05-26,4.14,4.14,4.14,4.14,154716,4.14
2026-05-27,3.94,4.34,3.94,3.94,2325671,3.94
2026-05-28,3.94,3.94,3.94,3.94,0,3.94
2026-05-29,3.75,3.75,3.75,3.75,169189,3.75
2026-06-01,3.57,3.57,3.57,3.57,78930,3.57
2026-06-02,3.4,3.4,3.4,3.4,68405,3.4
2026-06-03,3.23,3.23,3.23,3.23,55084,3.23
2026-06-04,3.07,3.07,3.07,3.07,48275,3.07
2026-06-05,2.92,2.92,2.92,2.92,292187,2.92
2026-06-08,2.78,2.78,2.78,2.78,114819,2.78
