date,open,high,low,close,volume,adj_close
2026-03-24,328.0,364.0,328.0,356.25,8598096,356.25
2026-03-25,355.0,375.0,345.65,352.95,1458067,352.95
2026-03-27,350.3,363.0,342.2,356.55,486910,356.55
2026-03-30,350.9,354.5,335.1,337.9,117649,337.9
2026-04-01,345.05,399.8,345.05,390.9,900323,390.9
2026-04-02,380.25,385.0,366.0,367.7,415915,367.7
2026-04-06,367.65,397.95,367.05,385.85,430790,385.85
2026-04-07,389.3,398.4,383.55,390.7,438974,390.7
2026-04-08,399.0,399.0,376.85,386.15,451063,386.15
2026-04-09,388.5,406.9,385.1,387.05,548372,387.05
2026-04-10,387.15,397.0,387.15,389.85,238286,389.85
2026-04-13,385.0,409.3,375.0,390.3,545084,390.3
2026-04-15,396.35,420.0,392.6,413.3,402890,413.3
2026-04-16,420.0,422.1,398.3,404.9,439919,404.9
2026-04-17,408.85,423.5,405.35,421.75,180705,421.75
2026-04-20,425.95,426.4,406.25,409.5,200639,409.5
2026-04-21,411.15,418.0,405.2,407.4,48476,407.4
2026-04-22,414.2,418.0,407.5,414.55,46194,414.55
2026-04-23,414.7,429.05,412.85,414.7,99075,414.7
2026-04-24,420.9,420.9,410.0,412.75,37211,412.75
2026-04-27,412.75,438.95,412.75,415.8,134488,415.8
2026-04-28,418.0,422.5,409.0,411.4,32661,411.4
2026-04-29,414.0,426.95,414.0,418.65,97781,418.65
2026-04-30,422.0,428.0,414.05,421.1,81221,421.1
2026-05-01,421.1,421.1,421.1,421.1,0,421.1
2026-05-04,418.3,435.0,418.3,426.85,122432,426.85
2026-05-05,426.85,444.0,426.85,434.1,376295,434.1
2026-05-06,436.9,438.95,430.0,431.7,75558,431.7
2026-05-07,427.0,439.8,425.55,431.8,151813,431.8
2026-05-08,430.0,450.0,415.75,421.55,329270,421.55
2026-05-11,425.05,428.85,409.0,411.5,156453,411.5
2026-05-12,411.55,442.0,407.05,420.8,324961,420.8
2026-05-13,422.9,429.9,420.0,420.2,141591,420.2
2026-05-14,415.35,440.0,411.1,433.45,315329,433.45
2026-05-15,439.0,441.5,421.65,427.8,164726,427.8
2026-05-18,425.0,428.7,412.3,421.35,189354,421.35
2026-05-19,427.6,438.0,421.0,433.95,143192,433.95
2026-05-20,427.4,448.15,426.55,440.95,157785,440.95
2026-05-21,444.0,444.0,431.9,435.65,120694,435.65
2026-05-22,435.65,446.0,432.35,445.4,263619,445.4
2026-05-25,445.5,467.0,433.5,439.75,511464,439.75
2026-05-26,439.8,465.2,439.0,455.75,433253,455.75
2026-05-27,449.9,472.0,430.3,441.25,467598,441.25
2026-05-28,441.25,441.25,441.25,441.25,0,441.25
2026-05-29,445.0,447.75,430.55,435.45,165873,435.45
2026-06-01,435.4,447.95,430.55,435.55,184440,435.55
2026-06-02,430.1,443.0,422.25,426.65,148008,426.65
2026-06-03,426.6,444.0,420.0,435.6,175876,435.6
2026-06-04,435.45,456.7,435.4,448.45,159114,448.45
2026-06-05,449.75,450.95,436.0,440.15,138239,440.15
2026-06-08,443.1,443.1,422.15,436.05,169288,436.05
