date,open,high,low,close,volume,adj_close
2024-05-21,232.7443,259.7161,227.5775,255.9714,50735869,255.9714
2024-05-22,257.7726,261.1855,249.0506,251.3259,17398365,251.3259
2024-05-23,251.6577,263.4608,249.3824,253.6012,23133025,253.6012
2024-05-24,254.5493,257.8674,236.0624,245.2585,24832821,245.2585
2024-05-27,247.5811,253.696,241.3715,249.4298,17603980,249.4298
2024-05-28,250.1883,250.8993,235.6358,237.1053,16057140,237.1053
2024-05-29,237.0579,255.7343,233.2183,248.861,27316333,248.861
2024-05-30,248.861,258.3414,246.3961,248.3396,21039153,248.3396
2024-05-31,250.2831,260.7115,244.026,259.5739,38669277,259.5739
2024-06-03,283.9385,284.4126,268.9121,272.1828,29107839,272.1828
2024-06-04,271.2822,271.2822,217.7652,217.7652,49414908,217.7652
2024-06-05,218.0496,227.53,192.7369,220.9411,37620614,220.9411
2024-06-06,225.634,246.4909,225.634,236.6786,31703565,236.6786
2024-06-07,238.7643,244.1208,233.9293,235.6832,20195677,235.6832
2024-06-10,237.9585,255.6395,232.3177,253.4116,40162176,253.4116
2024-06-11,267.3478,274.8374,264.7407,266.2576,47711695,266.2576
2024-06-12,267.7744,268.7698,261.8965,264.6933,15033857,264.6933
2024-06-13,265.9731,270.9978,262.181,264.5037,14470406,264.5037
2024-06-14,264.5037,271.8036,261.2329,267.8692,15520181,267.8692
2024-06-18,269.2912,269.9075,265.4517,266.1153,7123891,266.1153
2024-06-19,267.4426,274.7425,257.6778,268.438,21763762,268.438
2024-06-20,268.5329,273.5575,264.5037,267.6322,13975757,267.6322
2024-06-21,268.7225,278.0133,265.4517,266.4471,21575510,266.4471
2024-06-24,262.418,265.8784,258.7206,260.9959,9998174,260.9959
2024-06-25,262.5602,268.9595,259.9057,260.8537,10220519,260.8537
2024-06-26,262.0862,274.3633,259.242,270.3815,32849276,270.3815
2024-06-27,270.3816,279.5776,266.0206,269.2913,24258154,269.2913
2024-06-28,270.666,270.9504,263.84,266.5894,10878171,266.5894
2024-07-01,266.7316,271.614,264.9777,266.6368,9394107,266.6368
2024-07-02,267.727,271.0452,262.6076,263.8875,9503086,263.8875
