date,open,high,low,close,volume,adj_close
2024-05-21,511.1727,553.0315,509.1704,548.407,4774342,548.407
2024-05-22,550.171,551.3629,533.0556,540.0639,2985879,540.0639
2024-05-23,543.1628,568.2876,543.1628,549.1699,3539039,549.1699
2024-05-24,549.2175,552.8408,538.9674,545.0221,1390456,545.0221
2024-05-27,546.1664,564.4736,542.4,552.3165,2667927,552.3165
2024-05-28,552.3165,565.6179,531.1964,540.3024,2200562,540.3024
2024-05-29,540.2069,556.6549,533.2464,549.5036,1767064,549.5036
2024-05-30,551.0292,569.1458,546.4524,551.8873,4241188,551.8873
2024-05-31,553.0792,557.7514,538.2523,541.1128,1859396,541.1128
2024-06-03,600.6113,603.2811,550.3617,578.1563,9361401,578.1563
2024-06-04,577.8226,577.8226,462.5442,501.3517,10042618,501.3517
2024-06-05,510.1239,510.1239,459.0639,500.1598,7578300,500.1598
2024-06-06,505.3564,530.5766,505.3564,517.3229,3582008,517.3229
2024-06-07,523.6121,530.4376,515.0802,521.3694,3792527,521.3694
2024-06-10,522.832,528.4874,516.7866,518.9318,1849483,518.9318
2024-06-11,520.1993,527.5123,516.2503,524.9772,1952083,524.9772
2024-06-12,524.9284,527.4149,519.4193,524.8796,1976912,524.8796
2024-06-13,528.4874,531.2176,523.6121,528.2437,1260420,528.2437
2024-06-14,528.4874,530.5838,524.6359,527.2198,832775,527.2198
2024-06-18,529.4625,530.6326,523.5146,526.586,1044883,526.586
2024-06-19,528.4875,533.3628,518.3955,531.4127,2211371,531.4127
2024-06-20,531.4126,533.119,527.2686,531.5101,1080032,531.5101
2024-06-21,531.5101,537.1656,527.6099,534.0453,1162274,534.0453
2024-06-24,527.0248,532.8752,523.612,528.1949,825997,528.1949
2024-06-25,529.17,530.5838,517.2741,519.273,1395650,519.273
2024-06-26,519.7118,528.4874,518.2492,527.1711,2137078,527.1711
2024-06-27,527.5123,533.8016,520.7356,527.6586,1203288,527.6586
2024-06-28,529.2187,541.1633,527.0735,531.9001,1667173,531.9001
2024-07-01,531.9002,535.3129,526.7811,531.4127,469949,531.4127
2024-07-02,531.4126,534.2891,516.8841,524.3434,858307,524.3434
2024-07-03,525.611,526.6348,519.468,522.7345,836258,522.7345
2024-07-04,526.4398,531.4126,518.2492,528.0486,771114,528.0486
2024-07-05,528.4874,530.3401,521.662,525.416,1159426,525.416
2024-07-08,525.4159,526.5373,511.7162,513.3738,1729642,513.3738
2024-07-09,513.8614,531.6076,512.4475,528.1949,1778493,528.1949
2024-07-10,522.637,531.4613,522.637,529.4625,1791622,529.4625
2024-07-11,534.8254,541.0658,529.4625,536.6292,1202130,536.6292
2024-07-12,536.288,546.0387,530.3401,544.8198,1387907,544.8198
2024-07-15,554.8143,569.9279,541.8946,564.2238,3217689,564.2238
2024-07-16,564.2237,582.1162,558.9096,572.7556,3294297,572.7556
2024-07-18,572.7556,573.4381,551.8891,554.3755,2198694,554.3755
2024-07-19,554.8143,557.1545,540.2857,547.16,1233734,547.16
2024-07-22,546.0874,562.1273,540.1882,555.3018,995267,555.3018
2024-07-23,560.616,562.0298,533.119,538.6282,1588838,538.6282
2024-07-24,541.1146,564.3212,538.6282,555.3993,2395942,555.3993
2024-07-25,551.8891,556.667,547.0138,553.498,770119,553.498
2024-07-26,555.7894,570.4154,553.1079,566.9539,1844637,566.9539
2024-07-29,574.3157,584.944,568.9528,572.6093,2811831,572.6093
2024-07-30,579.6785,589.4292,572.6093,586.1628,2507716,586.1628
2024-07-31,585.0414,595.6697,578.5572,593.622,1827727,593.622
2024-08-01,589.9655,597.9124,575.2908,580.7999,1350860,580.7999
2024-08-02,576.2658,582.8963,567.0026,581.0924,1361169,581.0924
2024-08-05,564.4675,571.1955,550.914,566.5151,2607067,566.5151
2024-08-06,560.7135,573.6819,544.0885,551.3041,1821803,551.3041
2024-08-07,554.8143,558.1296,545.0636,555.3506,1269029,555.3506
2024-08-08,554.8143,555.7894,539.2619,541.8459,823836,541.8459
2024-08-09,548.4763,564.565,539.2132,563.3461,1438148,563.3461
2024-08-12,562.5661,567.1001,542.1384,544.4297,1259415,544.4297
2024-08-13,547.9888,551.8891,533.6553,536.5805,1052887,536.5805
2024-08-14,537.263,546.0387,517.8104,536.6292,2263553,536.6292
2024-08-16,532.3877,548.4276,531.4126,536.4343,734213,536.4343
2024-08-19,540.6758,546.2337,533.314,536.288,844726,536.288
2024-08-20,536.3367,550.914,536.3367,544.576,638652,544.576
2024-08-21,546.965,546.965,537.263,538.3356,1111375,538.3356
2024-08-22,541.1633,545.5511,537.3118,539.0181,1316796,539.0181
2024-08-23,540.237,546.8187,533.3628,534.6791,977115,534.6791
2024-08-26,539.5544,546.0387,530.4376,533.4603,1583358,533.4603
