date,open,high,low,close,volume,adj_close
2024-06-03,849.55,849.55,849.55,849.55,11950,849.55
2024-06-04,807.1,807.1,807.1,807.1,9513,807.1
2024-06-05,766.75,766.75,766.75,766.75,6250,766.75
2024-06-06,728.45,805.05,728.45,800.65,202284,800.65
2024-06-07,760.65,789.0,760.65,779.15,65647,779.15
2024-06-10,780.0,818.1,751.45,809.75,75823,809.75
2024-06-11,815.0,841.9,790.5,813.1,39320,813.1
2024-06-12,853.0,853.75,825.0,853.75,49961,853.75
2024-06-13,896.4,896.4,896.4,896.4,18500,896.4
2024-06-14,934.3,935.0,861.05,890.8,99075,890.8
2024-06-18,919.0,934.0,865.5,881.95,51825,881.95
2024-06-19,902.0,926.0,890.0,926.0,129909,926.0
2024-06-20,930.0,942.9,879.7,882.1,75858,882.1
2024-06-21,900.0,926.2,859.95,903.85,118901,903.85
2024-06-24,903.85,903.85,878.0,888.9,33767,888.9
2024-06-25,895.0,903.85,858.65,863.75,30968,863.75
2024-06-26,870.25,880.45,839.85,847.1,25429,847.1
2024-06-27,847.1,859.5,818.95,833.2,18304,833.2
2024-06-28,833.2,874.5,826.05,858.2,29616,858.2
2024-07-01,886.0,886.0,840.0,847.9,16944,847.9
2024-07-02,858.0,862.95,835.6,840.75,18985,840.75
2024-07-03,855.0,880.0,816.4,823.5,58607,823.5
2024-07-04,839.8,855.0,810.0,824.8,16965,824.8
2024-07-05,827.4,834.9,816.85,827.9,22598,827.9
2024-07-08,842.0,865.0,813.15,831.75,36699,831.75
2024-07-09,831.75,847.45,819.05,825.25,22698,825.25
2024-07-10,846.3,846.3,795.0,815.55,32881,815.55
2024-07-11,833.0,833.0,795.0,805.4,44011,805.4
2024-07-12,810.1,833.0,800.0,811.3,17425,811.3
2024-07-15,830.0,830.0,792.15,805.8,13263,805.8
2024-07-16,805.8,807.45,795.0,796.2,12266,796.2
2024-07-18,800.0,800.0,770.0,784.3,17265,784.3
2024-07-19,774.0,801.1,758.0,760.9,34778,760.9
2024-07-22,760.9,798.9,743.55,798.6,44425,798.6
2024-07-23,819.95,837.7,758.7,796.2,78779,796.2
2024-07-24,807.95,836.0,799.0,826.9,45592,826.9
2024-07-25,823.4,868.2,811.8,867.0,112052,867.0
2024-07-26,909.0,910.35,875.0,884.45,200552,884.45
2024-07-29,908.0,928.0,871.3,901.4,190293,901.4
2024-07-30,902.0,913.35,885.5,891.1,41521,891.1
2024-07-31,915.0,930.0,889.05,904.35,118016,904.35
2024-08-01,907.0,925.85,894.55,904.9,28248,904.9
2024-08-02,909.0,911.0,881.1,892.75,51817,892.75
2024-08-05,852.0,883.15,848.15,848.9,108762,848.9
2024-08-06,880.0,891.3,865.0,876.3,158178,876.3
2024-08-07,910.0,984.45,882.3,942.35,269501,942.35
2024-08-08,978.0,1038.6,951.05,991.55,208192,991.55
2024-08-09,1050.0,1074.95,1030.8,1043.55,93361,1043.55
2024-08-12,1044.0,1099.9,1040.0,1064.1,151173,1064.1
2024-08-13,1098.45,1120.0,1031.2,1058.45,162050,1058.45
2024-08-14,1070.0,1084.4,950.0,995.35,143678,995.35
2024-08-16,1069.0,1090.0,1005.1,1038.3,112454,1038.3
2024-08-19,1066.0,1149.95,1065.85,1141.8,188017,1141.8
2024-08-20,1175.0,1197.0,1130.35,1152.3,90852,1152.3
2024-08-21,1194.0,1204.35,1157.3,1189.0,109472,1189.0
2024-08-22,1200.9,1215.0,1180.6,1197.0,62345,1197.0
2024-08-23,1200.0,1200.0,1155.05,1165.2,61897,1165.2
2024-08-26,1184.0,1184.0,1110.0,1119.25,84477,1119.25
2024-08-27,1120.0,1167.0,1102.85,1138.15,68663,1138.15
2024-08-28,1168.9,1168.9,1111.05,1115.4,26406,1115.4
2024-08-29,1108.0,1140.95,1080.05,1088.55,37039,1088.55
2024-08-30,1095.0,1105.1,1060.0,1084.85,40046,1084.85
2024-09-02,1084.85,1092.4,993.9,1000.15,129872,1000.15
2024-09-03,1000.2,1023.95,967.05,972.6,79607,972.6
2024-09-04,952.2,1007.1,952.2,986.25,67827,986.25
2024-09-05,991.2,1020.0,976.7,984.85,21818,984.85
2024-09-06,991.95,1000.9,960.1,971.75,35911,971.75
2024-09-09,981.75,981.75,940.85,945.75,38144,945.75
2024-09-10,953.65,983.6,944.1,948.9,35333,948.9
2024-09-11,958.0,969.0,920.0,931.15,47201,931.15
2024-09-12,935.75,961.45,917.1,920.75,68530,920.75
2024-09-13,926.2,954.35,924.05,940.75,37868,940.75
2024-09-16,947.9,947.9,913.0,919.2,30307,919.2
2024-09-17,923.8,926.9,888.0,908.95,34074,908.95
2024-09-18,931.0,932.95,883.0,890.0,30571,890.0
2024-09-19,912.0,912.0,872.8,893.75,35776,893.75
2024-09-20,893.75,941.95,890.0,922.35,32342,922.35
2024-09-23,927.0,927.0,895.0,903.75,23136,903.75
2024-09-24,915.0,917.95,904.0,908.15,12515,908.15
2024-09-25,919.5,927.95,895.2,897.2,10961,897.2
2024-09-26,897.2,930.0,883.65,892.15,19284,892.15
2024-09-27,896.95,896.95,872.2,881.75,22212,881.75
2024-09-30,881.75,925.0,881.75,899.0,54736,899.0
2024-10-01,910.05,916.0,888.0,892.1,17021,892.1
2024-10-03,880.0,902.95,865.3,873.85,66431,873.85
2024-10-04,865.15,888.0,851.0,871.15,34834,871.15
2024-10-07,854.0,872.95,780.65,801.0,51984,801.0
2024-10-08,812.95,848.95,798.8,831.95,27345,831.95
2024-10-09,835.0,904.45,835.0,878.5,80713,878.5
2024-10-10,896.05,905.0,875.0,887.45,67669,887.45
2024-10-11,893.9,893.9,860.05,864.25,14573,864.25
2024-10-14,868.65,868.65,815.2,838.0,29953,838.0
2024-10-15,846.4,846.95,821.0,840.65,9857,840.65
2024-10-16,840.0,848.0,825.95,837.75,13558,837.75
2024-10-17,831.65,860.0,817.05,821.45,12721,821.45
2024-10-18,813.25,834.95,788.0,810.4,13765,810.4
2024-10-21,807.7,849.95,797.1,812.1,35224,812.1
2024-10-22,818.05,818.05,755.35,773.15,22944,773.15
2024-10-23,760.5,789.1,744.55,759.65,54980,759.65
2024-10-24,759.65,768.5,726.85,732.15,35758,732.15
2024-10-25,733.0,745.45,686.25,703.55,73610,703.55
2024-10-28,708.6,722.95,680.2,694.25,76753,694.25
2024-10-29,699.95,745.0,695.15,723.8,55180,723.8
2024-10-30,720.0,799.0,718.1,777.7,62223,777.7
2024-10-31,804.8,819.7,780.05,809.65,63324,809.65
2024-11-01,838.8,900.0,820.0,868.9,34192,868.9
2024-11-04,904.9,929.0,870.0,907.9,85974,907.9
2024-11-05,921.5,935.0,900.0,926.35,51230,926.35
2024-11-06,930.0,955.0,930.0,949.6,34574,949.6
2024-11-07,969.0,979.0,928.35,939.4,39562,939.4
2024-11-08,949.0,954.0,883.0,908.6,58706,908.6
2024-11-11,925.0,929.0,891.9,913.8,34080,913.8
2024-11-12,817.85,850.0,752.1,794.0,179380,794.0
2024-11-13,794.0,794.0,676.2,704.1,148333,704.1
2024-11-14,690.0,774.55,675.0,724.15,193734,724.15
2024-11-18,724.2,753.45,705.05,741.5,49122,741.5
2024-11-19,765.9,777.85,743.5,757.4,67677,757.4
2024-11-21,770.0,770.05,699.9,748.8,73501,748.8
2024-11-22,745.0,761.25,733.3,745.35,23570,745.35
2024-11-25,747.25,766.95,747.25,756.7,25104,756.7
2024-11-26,756.7,776.0,745.0,751.3,24831,751.3
2024-11-27,754.2,788.0,752.0,778.3,33556,778.3
2024-11-28,778.4,794.05,755.1,762.05,28650,762.05
2024-11-29,766.15,785.0,758.05,769.75,15944,769.75
2024-12-02,770.0,785.0,758.9,768.65,15195,768.65
2024-12-03,768.65,780.0,764.55,775.65,14436,775.65
2024-12-04,775.65,827.0,775.65,788.0,52197,788.0
2024-12-05,795.9,804.95,785.85,801.15,16013,801.15
2024-12-06,798.0,815.85,782.4,805.65,28233,805.65
2024-12-09,817.0,818.95,785.05,787.5,18050,787.5
2024-12-10,781.0,798.1,750.1,768.95,23887,768.95
2024-12-11,751.8,764.0,740.05,744.45,51812,744.45
2024-12-12,745.0,752.7,732.1,738.95,22241,738.95
2024-12-13,740.0,744.95,711.05,733.85,61981,733.85
2024-12-16,723.8,750.0,722.85,737.65,29906,737.65
2024-12-17,737.75,747.05,720.1,725.05,29320,725.05
2024-12-18,728.0,737.2,715.0,718.15,28948,718.15
2024-12-19,708.0,724.35,699.65,703.95,35449,703.95
2024-12-20,707.7,761.4,702.0,721.55,78450,721.55
2024-12-23,732.35,739.9,691.7,699.85,33328,699.85
2024-12-24,700.0,720.0,690.0,696.85,26054,696.85
2024-12-26,700.5,717.45,689.0,694.1,28081,694.1
2024-12-27,697.8,713.5,681.1,698.2,27920,698.2
2024-12-30,705.0,710.0,689.6,693.15,17210,693.15
2024-12-31,693.0,699.75,677.6,692.2,28194,692.2
2025-01-01,695.8,699.9,680.0,687.4,21590,687.4
2025-01-02,680.55,734.95,680.55,701.85,28871,701.85
2025-01-03,705.0,724.5,685.0,692.75,27421,692.75
2025-01-06,694.85,694.85,633.05,653.75,86468,653.75
2025-01-07,660.1,666.9,640.35,649.8,82039,649.8
2025-01-08,650.0,659.9,635.55,640.7,30838,640.7
2025-01-09,635.3,652.6,620.0,625.1,25769,625.1
2025-01-10,629.0,639.8,589.4,593.2,122781,593.2
2025-01-13,593.0,601.0,537.55,552.65,127185,552.65
2025-01-14,552.65,592.75,552.55,570.3,57566,570.3
2025-01-15,577.9,583.95,562.15,566.1,28225,566.1
2025-01-16,569.1,598.8,569.1,590.7,30488,590.7
2025-01-17,589.35,608.7,578.05,603.55,28180,603.55
2025-01-20,600.05,655.0,595.1,623.9,39302,623.9
2025-01-21,621.8,628.65,600.6,609.25,32472,609.25
2025-01-22,612.5,635.0,568.85,586.7,42734,586.7
2025-01-23,581.4,620.9,581.4,610.2,48292,610.2
2025-01-24,607.3,635.95,600.5,618.6,43309,618.6
2025-01-27,593.0,614.1,559.1,570.05,73187,570.05
2025-01-28,599.0,599.0,534.6,556.8,66874,556.8
2025-01-29,559.7,605.75,559.7,586.65,40549,586.65
2025-01-30,586.65,616.25,586.65,611.2,49206,611.2
2025-01-31,508.05,568.0,508.05,533.05,191432,533.05
2025-02-01,550.95,573.9,510.0,521.25,70282,521.25
2025-02-03,525.0,531.7,475.2,483.85,91063,483.85
2025-02-04,484.0,538.95,484.0,502.6,120456,502.6
2025-02-05,499.0,510.45,489.9,498.75,73517,498.75
2025-02-06,506.8,519.1,494.3,502.2,38384,502.2
2025-02-07,510.0,510.0,481.0,487.3,29243,487.3
2025-02-10,487.35,499.45,461.15,466.7,61509,466.7
2025-02-11,466.55,475.0,430.0,434.35,115402,434.35
2025-02-12,435.0,454.3,410.35,443.45,57563,443.45
2025-02-13,443.2,460.35,430.2,433.75,47389,433.75
2025-02-14,434.0,445.75,407.1,414.9,38376,414.9
2025-02-17,416.75,419.85,388.4,399.9,133312,399.9
2025-02-18,401.1,412.45,380.0,384.1,57344,384.1
2025-02-19,385.25,437.0,380.95,421.95,89897,421.95
2025-02-20,435.0,449.7,390.25,405.05,114756,405.05
2025-02-21,397.0,424.0,397.0,417.15,19537,417.15
2025-02-24,414.0,420.0,400.0,405.65,16266,405.65
2025-02-25,415.0,415.0,402.0,411.7,18783,411.7
2025-02-27,405.0,418.75,392.5,396.85,27905,396.85
2025-02-28,404.0,404.0,377.0,380.0,40529,380.0
2025-03-03,396.0,396.0,361.0,362.55,28116,362.55
2025-03-04,345.0,368.45,344.45,350.45,25142,350.45
2025-03-05,352.0,362.15,333.0,355.4,47294,355.4
2025-03-06,355.4,373.15,350.0,373.15,31218,373.15
2025-03-07,374.0,391.8,374.0,391.8,16564,391.8
2025-03-10,397.0,411.35,388.0,392.65,39776,392.65
2025-03-11,383.0,392.0,373.05,374.6,31866,374.6
2025-03-12,389.05,389.05,362.25,369.6,34130,369.6
2025-03-13,379.4,379.85,351.9,354.6,29024,354.6
2025-03-17,354.0,364.0,341.25,350.25,21799,350.25
2025-03-18,350.25,350.25,350.25,350.25,0,350.25
2025-03-19,352.2,364.9,347.0,362.05,73787,362.05
2025-03-20,370.0,380.15,360.0,380.15,43997,380.15
2025-03-21,395.0,399.15,390.0,399.15,21570,399.15
2025-03-24,397.0,419.1,397.0,418.85,41312,418.85
2025-03-25,431.8,431.85,397.9,405.85,30095,405.85
2025-03-26,397.75,405.85,397.75,397.75,10274,397.75
2025-03-27,389.8,390.0,389.8,389.8,5343,389.8
2025-03-28,382.0,382.0,382.0,382.0,4754,382.0
2025-04-01,374.4,374.5,374.4,374.4,5358,374.4
2025-04-02,381.85,381.85,366.95,381.85,6304,381.85
2025-04-03,374.25,374.25,374.25,374.25,6413,374.25
2025-04-04,367.0,367.0,366.8,367.0,10076,367.0
2025-04-07,359.7,359.7,359.7,359.7,2832,359.7
2025-04-08,359.0,359.7,355.0,359.0,6494,359.0
2025-04-09,351.85,351.85,351.85,351.85,6442,351.85
2025-04-11,345.0,345.0,344.85,345.0,10347,345.0
2025-04-15,351.9,351.9,345.0,351.9,2399,351.9
2025-04-16,358.9,358.9,358.9,358.9,259,358.9
2025-04-17,366.05,366.05,366.05,366.05,66,366.05
2025-04-21,373.35,373.35,373.35,373.35,1533,373.35
2025-04-22,380.8,380.8,380.8,380.8,3190,380.8
2025-04-23,388.4,388.4,388.4,388.4,583,388.4
2025-04-24,396.15,396.15,396.15,396.15,553,396.15
2025-04-25,400.0,400.0,388.25,400.0,13687,400.0
2025-04-28,400.0,400.0,392.0,400.0,11785,400.0
2025-04-29,406.0,406.95,400.0,406.0,6156,406.0
2025-04-30,404.0,406.0,404.0,404.0,11724,404.0
2025-05-02,402.0,404.1,404.0,404.0,29,404.0
