date,open,high,low,close,volume,adj_close
2024-05-21,630.2251,660.3771,619.7955,656.4227,376196,656.4227
2024-05-22,664.2327,668.3847,649.5027,663.8372,323705,663.8372
2024-05-23,661.0692,667.2972,651.727,653.2593,118172,653.2593
2024-05-24,654.7422,667.2973,649.8982,659.1909,137175,659.1909
2024-05-27,658.2022,672.1907,637.3924,656.1262,216075,656.1262
2024-05-28,657.4113,677.1831,647.7232,670.5101,746638,670.5101
2024-05-29,672.5367,672.5367,638.7765,653.803,362176,653.803
2024-05-30,662.3543,690.7763,651.381,655.8791,596278,655.8791
2024-05-31,668.2364,755.5782,668.2364,747.1258,7523505,747.1258
2024-06-03,761.9052,777.0306,743.468,766.2055,1445103,766.2055
2024-06-04,766.1561,766.2055,622.8107,664.1337,1120471,664.1337
2024-06-05,687.5139,719.6924,632.7461,712.1297,585933,712.1297
2024-06-06,719.297,771.099,715.7381,764.0801,622566,764.0801
2024-06-07,771.3461,795.7149,756.2702,787.4107,459643,787.4107
2024-06-10,788.4982,800.7567,751.2778,781.9735,267794,781.9735
2024-06-11,788.2016,810.6426,784.0001,808.3194,309577,808.3194
2024-06-12,807.6768,820.0342,790.9697,796.2092,237736,796.2092
2024-06-13,801.9924,810.1483,772.6313,791.4639,232946,791.4639
2024-06-14,792.5514,824.4334,791.5628,812.0266,256563,812.0266
2024-06-18,855.1291,904.5585,840.3002,881.6232,1700410,881.6232
2024-06-19,881.8209,883.7981,851.8667,857.4522,292558,857.4522
2024-06-20,864.8172,889.6803,864.3724,866.8933,240257,866.8933
2024-06-21,867.0415,877.8666,855.1785,867.3876,169143,867.3876
2024-06-24,867.9807,867.9807,830.4638,839.0645,325021,839.0645
2024-06-25,844.3534,856.1176,828.4371,837.8287,206573,837.8287
2024-06-26,834.9124,861.8515,834.9124,842.1786,209161,842.1786
2024-06-27,848.0112,855.9693,814.8935,829.0303,272495,829.0303
2024-06-28,837.3345,842.0797,816.7224,821.2699,223444,821.2699
2024-07-01,825.422,899.6156,825.422,887.9008,670263,887.9008
2024-07-02,894.5738,914.4444,853.3496,865.1138,514122,865.1138
2024-07-03,867.7335,926.1097,864.57,889.9274,907702,889.9274
2024-07-04,896.6498,906.8322,884.5396,889.5319,441039,889.5319
2024-07-05,890.1745,896.6003,877.8666,892.9919,158762,892.9919
2024-07-08,895.6118,899.6155,861.2089,867.9807,173341,867.9807
2024-07-09,875.3951,882.4636,848.7032,851.2241,256506,851.2241
2024-07-10,856.612,860.072,810.6426,840.3991,253925,840.3991
2024-07-11,853.0036,863.878,834.4181,854.9313,456684,854.9313
2024-07-12,854.9313,865.0149,842.8211,850.5815,192307,850.5815
2024-07-15,852.6575,859.6765,835.2089,853.4978,131308,853.4978
2024-07-16,854.1405,863.9769,848.2584,854.9313,136728,854.9313
2024-07-18,854.9313,871.9844,823.7413,825.3231,371937,825.3231
2024-07-19,828.0912,829.8706,788.4981,804.6122,270312,804.6122
2024-07-22,800.7567,827.4486,782.3195,812.5703,138042,812.5703
2024-07-23,819.8858,823.4448,772.2853,800.2624,320294,800.2624
2024-07-24,800.2624,858.7868,800.2624,822.1102,310225,822.1102
2024-07-25,822.1102,855.1291,822.1102,843.612,231011,843.612
2024-07-26,848.8021,857.6499,830.5626,836.4447,104588,836.4447
2024-07-29,844.7488,852.7564,826.7565,831.4029,132085,831.4029
2024-07-30,840.3002,848.2089,826.806,832.0455,144616,832.0455
2024-07-31,837.8288,867.2393,833.3802,851.6196,354534,851.6196
2024-08-01,850.1861,857.6006,827.4486,830.8593,111640,830.8593
2024-08-02,820.5284,842.7717,816.0798,833.2318,147623,833.2318
2024-08-05,811.6312,826.6083,790.8708,798.9772,304598,798.9772
2024-08-06,820.2319,831.0075,755.0345,775.1522,472614,775.1522
2024-08-07,787.7567,807.2813,782.369,799.4221,281675,799.4221
