date,open,high,low,close,volume,adj_close
2024-09-09,216.4424,216.4424,209.429,211.6986,11586,211.6986
2024-09-10,212.8383,218.1958,212.8383,216.0528,12485,216.0528
2024-09-11,217.2217,217.2217,211.007,214.4163,14350,214.4163
2024-09-12,217.6113,222.5791,211.7181,218.449,33074,218.449
2024-09-13,219.5595,223.0662,214.7377,217.7379,11621,217.7379
2024-09-16,218.2932,221.118,215.1663,216.6372,12252,216.6372
2024-09-17,218.1957,218.2347,205.8735,208.8737,18261,208.8737
2024-09-18,211.8642,212.2538,206.1171,208.4451,17240,208.4451
2024-09-19,208.5523,209.5166,197.7496,206.6626,47768,206.6626
2024-09-20,207.4029,209.4972,200.6622,204.5098,36359,204.5098
2024-09-23,208.9419,208.9419,198.373,199.9706,31948,199.9706
2024-09-24,201.4902,207.9678,200.5648,206.497,23683,206.497
2024-09-25,207.4808,207.4808,199.7855,201.6947,13624,201.6947
2024-09-26,202.5129,206.9937,195.5092,198.3341,38423,198.3341
2024-09-27,199.7076,204.2955,199.7076,201.1784,10684,201.1784
2024-09-30,199.3958,201.6363,192.8695,199.8634,26473,199.8634
2024-10-01,200.8375,203.5844,199.6881,200.9154,9272,200.9154
2024-10-03,199.1036,200.6719,193.9604,197.3113,11145,197.3113
2024-10-04,197.7399,198.4412,193.7364,195.0319,8153,195.0319
2024-10-07,199.8342,199.8342,187.999,188.564,14725,188.564
2024-10-08,190.4342,194.6715,188.6127,192.246,8159,192.246
2024-10-09,196.7658,196.7658,193.2591,195.9865,4591,195.9865
2024-10-10,195.6943,198.1198,194.8176,196.6197,1361,196.6197
2024-10-11,197.2626,198.2172,192.1389,193.1617,7984,193.1617
2024-10-14,194.389,197.7399,192.0415,193.4442,5962,193.4442
2024-10-15,194.428,194.7981,191.2135,191.6811,2057,191.6811
2024-10-16,192.6746,198.5776,191.7103,197.3016,11650,197.3016
2024-10-17,199.5907,199.5907,192.2071,194.6033,4034,194.6033
2024-10-18,193.3565,193.5805,189.9667,191.3207,9506,191.3207
2024-10-21,191.9636,194.8176,189.3725,191.3012,7486,191.3012
2024-10-22,190.0836,191.8954,185.5735,185.7391,13243,185.7391
2024-10-23,190.2881,192.2753,183.226,184.1903,34961,184.1903
2024-10-24,186.8983,187.2003,184.1027,184.6969,5745,184.6969
2024-10-25,186.0508,187.0249,175.9301,177.1672,9441,177.1672
2024-10-28,176.31,182.1545,176.31,176.9821,10764,176.9821
2024-10-29,179.2322,179.2322,175.6671,178.0244,11857,178.0244
2024-10-30,179.1348,197.7399,178.7549,195.1878,70232,195.1878
2024-10-31,195.1878,195.1878,190.1907,191.5739,9750,191.5739
2024-11-01,194.8176,196.7658,189.9569,195.3631,3101,195.3631
2024-11-04,197.4964,197.4964,188.5348,189.5673,6421,189.5673
2024-11-05,194.2819,194.2819,185.9047,187.3464,11445,187.3464
2024-11-06,189.8498,204.315,188.5445,203.0974,40537,203.0974
2024-11-07,203.9741,211.3284,199.5907,207.8704,79810,207.8704
2024-11-08,208.8932,208.8932,198.714,201.4414,7394,201.4414
2024-11-11,204.6657,204.6657,197.8568,203.5942,8296,203.5942
2024-11-12,203.1948,204.5585,195.9865,197.1262,7528,197.1262
2024-11-13,198.5679,198.5679,185.0767,186.7522,7765,186.7522
2024-11-14,190.8239,194.5157,186.9178,188.0672,5118,188.0672
2024-11-18,189.8498,191.1551,183.4305,185.2521,9683,185.2521
2024-11-19,188.4861,190.5511,182.1545,182.7779,11371,182.7779
2024-11-21,185.0767,186.4112,181.1901,185.6807,6636,185.6807
2024-11-22,186.0508,193.8435,186.0508,191.457,4320,191.457
2024-11-25,193.8338,197.7789,190.931,195.0125,12147,195.0125
2024-11-26,193.4734,201.6557,188.2133,192.3824,19185,192.3824
2024-11-27,195.6846,198.7335,192.2948,197.3211,16871,197.3211
2024-11-28,201.4414,201.9674,195.8015,196.9022,10395,196.9022
2024-11-29,200.6524,200.6524,193.0156,196.4639,5605,196.4639
2024-12-02,199.6881,199.6881,194.1065,198.6068,7644,198.6068
2024-12-03,198.7335,199.201,192.9474,195.3242,19832,195.3242
2024-12-04,198.5679,198.5679,195.9378,197.058,3963,197.058
2024-12-05,198.2269,198.2269,192.7428,197.4671,9456,197.4671
2024-12-06,197.6912,197.6912,193.8435,194.3598,19012,194.3598
2024-12-09,197.7302,197.7302,193.074,194.2527,5440,194.2527
2024-12-10,196.9411,197.1554,193.0156,195.3826,8201,195.3826
2024-12-11,195.441,197.7399,193.8533,194.8079,4851,194.8079
2024-12-12,194.7689,204.6657,194.7689,201.7531,22971,201.7531
2024-12-13,203.5844,206.2632,197.6717,200.2141,17651,200.2141
2024-12-16,203.5065,206.2632,198.5192,203.5844,10335,203.5844
2024-12-17,204.5585,205.3767,198.5192,200.3018,9057,200.3018
2024-12-18,199.4738,208.2114,197.5548,204.7533,34215,204.7533
2024-12-19,204.5585,207.9678,200.6719,206.2437,10543,206.2437
2024-12-20,208.0652,208.1529,198.0808,200.5647,7763,200.5647
2024-12-23,206.5067,206.5067,197.9347,199.4835,6489,199.4835
2024-12-24,199.542,204.9579,199.1134,203.6137,7606,203.6137
2024-12-26,202.9708,202.9708,196.2983,200.2141,8594,200.2141
2024-12-27,204.3539,204.5682,197.2528,202.1817,10708,202.1817
2024-12-30,199.2497,203.0974,196.7658,196.9119,6204,196.9119
2024-12-31,197.886,203.4773,195.3534,199.3277,5781,199.3277
2025-01-01,198.6458,201.2661,196.7658,198.1685,3913,198.1685
2025-01-02,201.1297,202.6006,196.5807,199.9219,2863,199.9219
2025-01-03,201.12,206.0197,198.6848,201.5681,10662,201.5681
2025-01-06,204.4611,204.4611,188.6614,192.2363,13863,192.2363
2025-01-07,197.6425,199.6881,192.8695,198.9867,5911,198.9867
2025-01-08,198.7627,198.7627,192.8792,198.1198,5665,198.1198
2025-01-09,198.4315,198.6263,193.8435,197.8958,4642,197.8958
2025-01-10,196.045,197.3697,186.6353,189.7426,4061,189.7426
2025-01-13,189.7426,195.1975,185.0865,189.2751,6139,189.2751
2025-01-14,186.3626,191.2914,186.2944,189.4601,1038,189.4601
2025-01-15,190.1712,196.571,187.8237,194.8079,6173,194.8079
2025-01-16,197.6328,197.6425,190.4927,191.6031,1497,191.6031
2025-01-17,192.548,194.7981,191.3207,192.8207,2089,192.8207
2025-01-20,193.1909,193.8436,190.0154,193.5708,2034,193.5708
2025-01-21,192.9766,193.8435,189.9472,190.3368,3506,190.3368
2025-01-22,191.6519,192.8597,186.9957,192.1876,3572,192.1876
2025-01-23,191.6421,193.4442,188.0964,189.9862,3404,189.9862
2025-01-24,195.7917,195.7917,184.6384,185.7489,1386,185.7489
2025-01-27,180.2063,188.866,177.4789,182.5539,1600,182.5539
2025-01-28,179.2322,184.58,175.4333,178.3653,4557,178.3653
2025-01-29,177.2256,183.1286,176.31,177.2451,1903,177.2451
2025-01-30,181.6187,183.4013,179.2322,180.6447,2337,180.6447
2025-01-31,177.0795,189.9375,177.0795,186.2651,2331,186.2651
2025-02-01,190.8239,191.8954,184.1124,189.4017,2151,189.4017
2025-02-03,191.798,191.798,180.4985,186.6548,3134,186.6548
2025-02-04,185.0768,191.6811,185.0768,186.0411,1881,186.0411
2025-02-05,188.7588,192.7721,178.3653,183.1286,5747,183.1286
2025-02-06,179.4757,184.9404,175.3359,178.1802,6660,178.1802
2025-02-07,181.083,191.2817,177.4302,178.9108,10155,178.9108
2025-02-10,176.3587,181.3557,176.3489,178.8816,3398,178.8816
2025-02-11,179.9628,179.9628,172.4136,172.9494,5142,172.9494
2025-02-12,177.2353,177.2353,170.4654,173.1344,4116,173.1344
