date,open,high,low,close,volume,adj_close
2024-05-21,164.4022,171.2523,164.4022,168.4144,7196,168.4144
2024-05-22,169.3196,170.396,165.3808,165.7722,8352,165.7722
2024-05-23,168.3655,168.3655,163.9129,164.6224,4369,164.6224
2024-05-24,166.653,171.2523,164.4022,164.8181,11964,164.8181
2024-05-27,164.8181,166.8487,160.4879,161.1974,12381,161.1974
2024-05-28,161.1974,169.2462,161.1484,169.2462,65737,169.2462
2024-05-29,169.7355,177.6865,167.0933,170.4939,35479,170.4939
2024-05-30,170.9098,173.8211,167.8273,168.7814,8847,168.7814
2024-05-31,173.185,173.185,164.4022,165.1606,9474,165.1606
2024-06-03,169.3685,173.4052,162.2004,167.7294,32775,167.7294
2024-06-04,166.4817,166.9221,159.3625,159.5093,12530,159.5093
2024-06-05,160.9527,163.9129,155.3748,159.02,13190,159.02
2024-06-06,162.5674,163.0322,157.1362,158.8487,10870,158.8487
2024-06-07,161.9313,162.4206,158.9221,159.2891,9013,159.2891
2024-06-10,161.4665,165.968,159.7784,160.757,7535,160.757
2024-06-11,163.4236,166.604,159.1668,164.3044,47938,164.3044
2024-06-12,167.6805,167.6805,157.6255,161.7356,82521,161.7356
2024-06-13,163.8885,166.0903,161.7111,163.5215,11894,163.5215
2024-06-14,163.1301,163.4236,159.5827,162.0047,46289,162.0047
2024-06-18,163.9129,165.8701,158.7998,159.2891,13010,159.2891
2024-06-19,160.4879,162.9099,155.1057,156.5491,26955,156.5491
2024-06-20,156.5735,165.1851,156.5735,160.7814,29928,160.7814
2024-06-21,161.6622,165.2829,157.6255,158.9955,19440,158.9955
2024-06-24,162.1759,162.1759,156.0842,156.6959,15585,156.6959
2024-06-25,161.4665,169.3441,154.1271,160.8548,61480,160.8548
2024-06-26,162.2249,171.5703,161.5643,169.4175,101971,169.4175
2024-06-27,173.6988,177.6131,166.8731,168.5123,51460,168.5123
2024-06-28,173.6498,173.6498,162.9343,163.6194,30985,163.6194
2024-07-01,163.6194,167.289,161.7356,164.1576,24966,164.1576
2024-07-02,164.8915,171.1544,163.4236,166.1392,48427,166.1392
2024-07-03,170.3716,170.4939,165.8701,168.4633,11465,168.4633
2024-07-04,173.2095,175.3134,169.5643,172.5979,32383,172.5979
2024-07-05,172.5979,173.6743,167.3624,169.4175,23652,169.4175
2024-07-08,175.6559,178.1024,167.4358,171.448,29068,171.448
2024-07-09,172.133,175.974,167.5337,168.8548,16818,168.8548
2024-07-10,170.1269,173.6988,166.3594,169.7355,31631,169.7355
2024-07-11,169.0016,170.1269,163.9129,164.8426,13533,164.8426
2024-07-12,168.2921,175.1666,162.9833,165.552,37067,165.552
2024-07-15,168.3166,168.3166,162.9343,163.6194,10363,163.6194
2024-07-16,167.338,172.2309,161.6622,163.2524,16438,163.2524
2024-07-18,163.7661,164.2554,159.338,160.5368,19174,160.5368
2024-07-19,163.7661,176.5856,158.7264,176.4143,370612,176.4143
2024-07-22,173.2095,189.3561,171.2523,181.6498,415508,181.6498
2024-07-23,188.3775,188.3775,163.497,173.4052,128295,173.4052
2024-07-24,180.5489,181.7232,175.24,179.1299,41572,179.1299
2024-07-25,182.9953,182.9953,176.1697,177.2461,23554,177.2461
2024-07-26,180.7935,180.7935,172.7202,175.3624,33544,175.3624
2024-07-29,175.4358,181.1115,174.2125,176.7569,29718,176.7569
2024-07-30,177.7844,177.7844,172.5,173.3807,11915,173.3807
2024-07-31,177.2951,186.4938,173.4786,183.0687,61376,183.0687
2024-08-01,183.4846,193.2705,180.5489,182.6284,101873,182.6284
2024-08-02,180.5489,185.9311,173.4786,181.8455,34447,181.8455
2024-08-05,180.9648,180.9648,164.4022,168.708,44384,168.708
2024-08-06,170.763,173.5031,161.4665,161.9802,20840,161.9802
2024-08-07,166.3105,171.2034,163.6927,168.0474,22070,168.0474
2024-08-08,170.763,174.6284,166.3349,169.4909,20541,169.4909
2024-08-09,163.9129,167.5582,162.2493,163.0322,31698,163.0322
2024-08-12,165.234,167.4358,158.3105,163.8395,58388,163.8395
2024-08-13,164.549,167.1912,159.6316,161.1484,22201,161.1484
2024-08-14,164.3777,165.3563,157.7723,158.8977,18667,158.8977
2024-08-16,161.4665,163.6438,157.0628,158.3839,17343,158.3839
