date,open,high,low,close,volume,adj_close
2024-11-14,543.5935,547.6334,524.6907,533.1196,66906,533.1196
2024-11-18,555.6135,559.7532,539.6533,559.7532,109333,559.7532
2024-11-19,571.025,587.7333,564.1421,577.2095,236812,577.2095
2024-11-21,573.2694,587.5338,550.177,561.0998,134114,561.0998
2024-11-22,566.1372,572.6709,544.2917,565.4888,122616,565.4888
2024-11-25,581.4988,593.7184,570.5761,590.5762,178330,590.5762
2024-11-26,591.0749,607.1848,581.5487,588.4316,121682,588.4316
2024-11-27,592.4714,598.2071,578.606,589.8778,99395,589.8778
2024-11-28,596.4615,601.449,588.5811,595.2645,114892,595.2645
2024-11-29,596.9603,624.9903,579.1048,618.5065,246852,618.5065
2024-12-02,618.3569,639.9031,609.0301,627.0352,185668,627.0352
2024-12-03,631.4242,638.5564,619.0052,632.2222,149172,632.2222
2024-12-04,638.2073,653.9679,609.5787,616.7608,231333,616.7608
2024-12-05,609.2296,622.8955,599.5039,606.4366,130583,606.4366
2024-12-06,612.4217,615.9628,602.4964,611.075,79034,611.075
2024-12-09,608.4815,672.1725,608.4815,653.17,484714,653.17
2024-12-10,673.3196,673.3196,644.7908,659.7036,185405,659.7036
2024-12-11,664.1426,668.1825,636.4118,641.2996,136637,641.2996
2024-12-12,646.5865,646.5865,618.4567,619.9529,140764,619.9529
2024-12-13,620.4516,629.3794,603.4939,608.1823,131074,608.1823
2024-12-16,599.5039,668.9805,588.5312,606.2371,931285,606.2371
2024-12-17,609.4291,619.9029,594.4664,604.3417,198918,604.3417
2024-12-18,605.4889,613.4192,583.5437,586.0873,175321,586.0873
2024-12-19,554.3166,590.5262,554.3166,576.5112,161255,576.5112
2024-12-20,576.0624,588.4316,543.4937,551.8229,319531,551.8229
2024-12-23,556.611,564.6908,548.1321,551.6234,83421,551.6234
2024-12-24,551.5736,564.5911,533.768,536.9102,158521,536.9102
2024-12-26,541.4487,553.5186,535.6632,539.6033,121942,539.6033
2024-12-27,542.5461,545.6383,521.0497,527.4338,111858,527.4338
2024-12-30,533.4687,571.025,524.541,535.5136,254320,535.5136
2024-12-31,538.6558,554.7656,525.0397,535.3141,149543,535.3141
2025-01-01,538.6558,552.4713,531.374,539.7531,83701,539.7531
2025-01-02,543.6433,547.4338,533.7679,544.94,110447,544.94
2025-01-03,548.4313,558.5062,538.7554,539.6033,122424,539.6033
2025-01-06,538.8054,542.5959,512.0721,515.9624,195745,515.9624
2025-01-07,518.3565,528.6807,505.5385,515.8128,128105,515.8128
2025-01-08,518.7056,520.7006,506.7354,514.8152,77484,514.8152
2025-01-09,494.2665,515.0147,480.5009,488.6306,422815,488.6306
2025-01-10,490.5757,493.9174,460.8,468.1816,405209,468.1816
2025-01-13,464.7901,464.7901,426.5356,440.1516,628303,440.1516
2025-01-14,438.9047,458.7551,435.563,450.9745,278149,450.9745
2025-01-15,458.8549,470.2764,432.9695,438.5555,313910,438.5555
2025-01-16,445.8873,476.5607,445.7377,465.9871,372868,465.9871
2025-01-17,465.9871,481.9473,457.5582,471.3737,216912,471.3737
2025-01-20,438.9047,480.7503,438.9047,475.8624,139718,475.8624
2025-01-21,481.3986,485.5882,450.4259,455.214,133389,455.214
2025-01-22,457.8574,460.7003,410.9245,422.8448,415187,422.8448
2025-01-23,421.1989,440.8997,405.9868,425.2887,247688,425.2887
2025-01-24,428.5306,428.5306,392.0716,397.6576,348719,397.6576
2025-01-27,393.8172,393.8172,357.9068,357.9068,574970,357.9068
2025-01-28,353.6175,364.5901,340.0514,340.4005,482745,340.4005
2025-01-29,344.191,357.408,343.2434,357.408,83250,357.408
2025-01-30,369.0789,375.2635,366.4355,375.2635,81058,375.2635
2025-01-31,394.0167,394.0167,392.9693,394.0167,88353,394.0167
2025-02-01,407.3833,413.7175,389.0291,413.7175,543162,413.7175
2025-02-03,411.9719,434.366,394.2162,397.8571,605770,397.8571
2025-02-04,399.9519,417.7076,392.2212,408.5804,311217,408.5804
2025-02-05,412.7699,427.3336,405.7375,418.5555,235637,418.5555
2025-02-06,425.0892,439.4533,413.9171,439.4533,356378,439.4533
2025-02-07,458.8549,461.3985,417.5081,418.8547,1239501,418.8547
2025-02-10,423.942,426.9346,397.907,401.8472,220062,401.8472
2025-02-11,402.9943,404.4407,381.7473,381.7473,237491,381.7473
2025-02-12,384.8396,400.7998,362.7447,396.8596,326120,396.8596
2025-02-13,386.0367,416.6603,386.0367,407.932,289238,407.932
2025-02-14,409.9769,426.6353,390.3758,406.1863,297553,406.1863
2025-02-17,407.9818,414.2661,390.5753,396.5603,211583,396.5603
2025-02-18,390.223,398.9556,376.7498,377.0991,189169,377.0991
2025-02-19,376.2508,395.9117,365.8215,395.9117,178152,395.9117
2025-02-20,401.1013,415.6723,389.225,415.6723,323894,415.6723
2025-02-21,420.1634,432.9379,404.3448,407.6383,239596,407.6383
2025-02-24,404.1952,414.1254,394.215,400.752,193276,400.752
2025-02-25,409.1852,413.0775,396.7599,400.8518,65198,400.8518
2025-02-27,407.1892,407.1892,385.8816,388.4764,172391,388.4764
2025-02-28,377.2987,388.0273,369.0651,373.1071,165744,373.1071
2025-03-03,380.642,385.0333,354.4442,365.123,235881,365.123
2025-03-04,353.2965,383.3367,348.1068,359.2347,422201,359.2347
2025-03-05,363.1768,377.149,361.2307,377.149,507661,377.149
2025-03-06,381.3905,392.6681,378.2468,383.9854,252181,383.9854
2025-03-07,379.9933,403.1473,377.0492,387.7778,406594,387.7778
2025-03-10,387.7779,392.219,368.4164,368.8156,257397,368.8156
2025-03-11,353.5959,373.2568,352.5979,366.4703,254536,366.4703
2025-03-12,368.2667,374.0053,358.2866,360.083,150228,360.083
2025-03-13,368.2667,370.0132,353.2965,355.2426,239443,355.2426
2025-03-17,361.2307,370.7617,355.8913,358.4861,154941,358.4861
2025-03-18,365.2228,374.4544,362.6279,369.5142,208418,369.5142
2025-03-19,375.652,387.9774,374.2548,381.0912,239957,381.0912
2025-03-20,384.3846,393.1671,379.2449,381.4405,196844,381.4405
2025-03-21,383.7858,395.6122,382.1391,386.181,251927,386.181
2025-03-24,389.225,403.1972,387.2289,389.0254,281179,389.0254
2025-03-25,397.1093,397.1093,369.7637,370.9114,273818,370.9114
2025-03-26,371.3605,383.0373,362.8275,364.8734,296436,364.8734
2025-03-27,364.2747,381.1411,362.2786,379.0952,422139,379.0952
2025-03-28,386.2309,388.9256,368.2667,369.9134,180105,369.9134
2025-04-01,377.3486,388.3767,370.2628,388.3767,201363,388.3767
2025-04-02,393.217,407.788,385.682,407.788,199580,407.788
2025-04-03,401.2011,428.1475,399.1552,428.1475,253876,428.1475
2025-04-04,440.423,442.8182,406.7401,406.7401,495547,406.7401
2025-04-07,342.4182,386.3806,342.4182,375.3526,405140,375.3526
2025-04-08,398.1073,407.8379,379.2449,395.263,201215,395.263
2025-04-09,390.2229,400.0534,381.64,389.8237,109058,389.8237
2025-04-11,414.1753,414.1753,393.5164,401.5005,173848,401.5005
2025-04-15,409.5345,422.2591,408.237,416.1214,275473,416.1214
2025-04-16,415.1733,421.311,399.255,408.8858,218161,408.8858
2025-04-17,412.1793,417.1693,406.0415,408.5864,187009,408.5864
2025-04-21,405.1932,412.9777,400.6023,408.5864,229956,408.5864
2025-04-22,407.4387,415.5226,404.1952,405.8918,155717,405.8918
2025-04-23,411.1812,414.1752,394.8138,404.6941,198905,404.6941
2025-04-24,407.0395,421.5606,404.6942,406.8898,208028,406.8898
2025-04-25,409.1353,413.9258,384.5343,388.4764,240655,388.4764
2025-04-28,378.5462,396.211,378.5462,388.1271,107902,388.1271
2025-04-29,393.9655,398.0574,384.3347,386.7299,75290,386.7299
2025-04-30,388.1771,392.1192,366.4703,369.8136,224465,369.8136
2025-05-02,372.2089,376.6001,360.7317,363.5262,160776,363.5262
2025-05-05,367.2687,386.4306,365.6719,375.6021,202447,375.6021
2025-05-06,381.2409,381.2409,359.2846,361.58,135551,361.58
2025-05-07,349.4541,364.2746,349.4541,359.2845,165212,359.2845
2025-05-08,356.7895,364.2247,349.3044,351.5999,115122,351.5999
2025-05-09,345.3124,349.1547,335.9311,341.8692,163209,341.8692
2025-05-12,368.2667,408.5864,362.2786,401.9496,749603,401.9496
2025-05-13,400.2031,430.1435,400.2031,423.6065,783658,423.6065
2025-05-14,430.0936,462.0799,426.6505,437.6286,2541692,437.6286
2025-05-15,447.1097,455.5429,429.3451,443.5168,997784,443.5168
2025-05-16,446.1117,449.1057,431.5407,433.1375,494673,433.1375
2025-05-19,439.6246,496.0622,437.3791,487.0801,2418414,487.0801
2025-05-20,490.4235,495.8626,470.064,472.2596,747951,472.2596
2025-05-21,472.2596,485.2338,459.2355,464.7745,534135,464.7745
2025-05-22,461.0819,468.9662,450.2534,454.1457,294550,454.1457
2025-05-23,457.0898,468.8664,446.3612,462.3793,391621,462.3793
2025-05-26,467.6188,478.9962,462.0799,469.4652,273067,469.4652
2025-05-27,467.9681,489.126,460.982,478.6469,609089,478.6469
2025-05-28,479.0461,489.3755,478.1978,485.8326,378738,485.8326
2025-05-29,491.0223,518.8169,472.6089,514.3758,1377903,514.3758
2025-05-30,513.9765,566.8712,507.9885,553.4479,2337303,553.4479
2025-06-02,554.7953,564.1766,536.8311,550.2543,480401,550.2543
2025-06-03,550.2543,558.8372,531.6913,537.2302,299282,537.2302
2025-06-04,541.5217,573.8573,536.4319,565.1746,730048,565.1746
2025-06-05,566.8711,573.8572,549.0067,553.3481,472361,553.3481
2025-06-06,556.0927,561.3822,536.9308,542.5696,265715,542.5696
2025-06-09,547.909,568.7176,540.2243,562.2305,350359,562.2305
2025-06-10,565.7235,573.009,546.911,553.8472,236926,553.8472
2025-06-11,558.6875,582.54,521.0624,550.8032,1000077,550.8032
2025-06-12,553.897,560.7334,521.0624,531.292,410713,531.292
2025-06-13,521.262,524.805,510.234,516.8209,330716,516.8209
2025-06-16,516.8209,528.9468,493.5173,520.2142,348321,520.2142
2025-06-17,521.9607,521.9607,499.0064,500.703,253609,500.703
2025-06-18,494.6151,514.1761,494.6151,501.2519,213523,501.2519
2025-06-19,497.0103,503.3477,474.6548,476.0022,360415,476.0022
2025-06-20,474.056,506.6911,474.056,505.3438,276195,505.3438
2025-06-23,492.0203,507.9885,490.0741,503.697,205501,503.697
2025-06-24,514.9746,523.6573,509.9845,513.6772,361785,513.6772
2025-06-25,514.0265,532.6893,514.0265,521.0126,186452,521.0126
2025-06-26,522.7591,525.4038,505.0443,507.4895,283793,507.4895
2025-06-27,509.9845,519.9646,502.2,503.9465,205656,503.9465
2025-06-30,503.9465,523.4577,503.9465,518.0684,294093,518.0684
2025-07-01,517.9686,528.847,515.2241,524.3559,376750,524.3559
2025-07-02,528.9467,530.9428,505.5433,507.6891,280513,507.6891
2025-07-03,508.9865,513.2779,500.9525,503.7968,210583,503.7968
2025-07-04,507.9884,507.9884,497.16,502.3996,148057,502.3996
2025-07-07,499.5053,512.8288,493.8166,495.5133,167004,495.5133
2025-07-08,498.0083,501.701,484.4353,488.3276,198222,488.3276
2025-07-09,490.0242,502.2,487.2298,490.9225,274276,490.9225
2025-07-10,492.0203,512.9785,492.0203,509.7849,354709,509.7849
2025-07-11,513.9765,519.6153,491.8206,496.4614,366770,496.4614
2025-07-14,498.0083,508.8866,487.9284,502.2,267073,502.2
2025-07-15,508.8368,528.9467,502.8487,517.5195,805014,517.5195
2025-07-16,520.9627,527.9487,511.1323,522.9587,452169,522.9587
2025-07-17,523.9068,526.9508,510.1842,512.4297,242724,512.4297
2025-07-18,514.4756,519.9647,506.242,512.9786,252755,512.9786
2025-07-21,525.9527,553.7973,515.3238,537.0806,1852599,537.0806
2025-07-22,539.7252,547.8092,528.9966,544.2662,408013,544.2662
2025-07-23,548.907,551.901,526.0525,528.8969,439136,528.8969
2025-07-24,529.9448,545.5137,524.0066,538.7772,356023,538.7772
2025-07-25,536.8311,537.1804,499.705,515.9227,445557,515.9227
2025-07-28,515.9726,521.9606,495.663,498.8067,262403,498.8067
2025-07-29,490.0242,517.9686,490.0242,513.0783,276665,513.0783
2025-07-30,511.9806,520.0644,500.0044,502.5992,208275,502.5992
2025-07-31,499.0063,527.5494,495.2139,518.5673,464586,518.5673
2025-08-01,520.8628,539.2262,502.5992,505.5932,704059,505.5932
2025-08-04,509.6352,518.9666,499.1561,500.9525,479990,500.9525
2025-08-05,499.5054,501.9505,454.0958,464.7246,1917685,464.7246
2025-08-06,468.0181,475.7027,458.0878,461.8802,365665,461.8802
2025-08-07,455.0938,469.0161,450.1037,458.1877,270266,458.1877
2025-08-08,458.0878,464.5749,436.1316,442.7683,262638,442.7683
2025-08-11,444.3159,450.756,430.5871,436.3781,445885,436.3781
2025-08-12,439.2238,445.4143,422.6992,425.8444,364120,425.8444
2025-08-13,429.3889,439.1239,429.3889,432.584,178834,432.584
2025-08-14,432.2845,434.7307,417.3575,419.8037,215143,419.8037
2025-08-18,428.3405,431.3359,419.3544,421.8006,184042,421.8006
2025-08-19,421.8006,437.0272,419.3544,433.4826,248655,433.4826
2025-08-20,433.4826,434.4312,419.7538,424.8459,271183,424.8459
2025-08-21,425.2453,443.0679,424.1969,428.5901,267211,428.5901
