date,open,high,low,close,volume,adj_close
2024-05-21,278.8374,279.8158,273.4564,273.8966,885500,273.8966
2024-05-22,275.2664,290.578,271.3039,281.5769,2414621,281.5769
2024-05-23,282.7509,283.5336,277.1252,277.7123,519866,277.7123
2024-05-24,277.859,280.7942,272.9671,274.0434,735053,274.0434
2024-05-27,274.0434,275.2174,269.5428,269.8853,778521,269.8853
2024-05-28,271.0104,271.2061,268.1731,268.9069,423085,268.9069
2024-05-29,269.0537,270.7169,264.9934,266.9991,695819,266.9991
2024-05-30,266.0696,269.9831,262.4985,263.2323,466414,263.2323
2024-05-31,266.8034,266.8034,260.3461,261.1777,573067,261.1777
2024-06-03,268.0753,275.9023,264.2596,265.0912,461374,265.0912
2024-06-04,269.0536,269.0536,252.568,255.9434,792195,255.9434
2024-06-05,258.5361,268.1731,253.3996,263.4769,1416264,263.4769
2024-06-06,265.5315,278.5928,265.5315,270.668,1971933,270.668
2024-06-07,272.3312,282.7509,271.0593,275.3152,2119456,275.3152
2024-06-10,277.3699,286.371,276.9296,277.6145,1326149,277.6145
2024-06-11,279.0331,279.9136,276.8807,277.321,1218565,277.321
2024-06-12,278.8374,283.4358,278.1525,279.718,1287705,279.718
2024-06-13,281.528,283.7293,278.9842,280.5007,1488759,280.5007
2024-06-14,283.7782,306.0363,283.2401,303.4925,8454557,303.4925
2024-06-18,306.6233,308.3844,297.0353,298.3071,3670268,298.3071
2024-06-19,300.8509,300.8509,292.7793,294.1979,1436410,294.1979
2024-06-20,294.9807,300.9488,293.5131,296.6928,2287523,296.6928
2024-06-21,299.3344,301.0466,290.5779,291.2628,1529145,291.2628
2024-06-24,291.2628,296.3015,287.2515,288.2299,1292603,288.2299
2024-06-25,289.5996,292.975,288.2299,289.4039,1298420,289.4039
2024-06-26,290.5779,290.5779,285.2458,286.322,888515,286.322
2024-06-27,288.2299,289.1104,277.1742,278.2504,1221017,278.2504
2024-06-28,279.3266,285.0012,276.9785,277.5166,1239035,277.5166
2024-07-01,277.5166,299.0898,276.8807,295.959,4559123,295.959
2024-07-02,297.4266,302.612,291.5563,297.5244,2520928,297.5244
2024-07-03,299.0898,307.2103,296.3504,305.2047,2634907,305.2047
2024-07-04,305.4982,312.6893,302.3185,309.3628,2850996,309.3628
2024-07-05,309.6563,316.0158,306.9169,310.0966,2042120,310.0966
2024-07-08,310.1455,312.7871,301.1444,302.025,1550979,302.025
2024-07-09,325.4571,341.16,320.9076,324.0385,11701086,324.0385
2024-07-10,326.7779,326.8757,309.5095,314.1568,2100702,314.1568
2024-07-11,315.0374,319.6358,312.3469,313.2763,1276809,313.2763
2024-07-12,316.1136,327.7563,316.1136,317.4833,2741410,317.4833
2024-07-15,318.9509,319.6847,308.2866,311.4663,1222871,311.4663
2024-07-16,312.5914,316.9941,310.4879,312.2979,845087,312.2979
2024-07-18,312.1023,314.8417,304.8623,305.9874,820189,305.9874
2024-07-19,305.2536,305.2536,298.0625,298.8942,627157,298.8942
2024-07-22,298.1604,305.9385,294.9317,300.3617,504689,300.3617
2024-07-23,302.2206,305.2047,284.8544,298.6985,1073208,298.6985
2024-07-24,298.4049,315.1352,297.3777,311.3684,1518611,311.3684
2024-07-25,309.265,310.3901,299.1877,300.0193,1214685,300.0193
2024-07-26,300.3617,303.9328,297.9158,300.3617,879423,300.3617
2024-07-29,302.4163,307.1615,299.9704,305.3025,922136,305.3025
2024-07-30,303.2968,310.1455,303.2968,308.2376,1076045,308.2376
2024-07-31,309.4117,313.5698,307.7485,311.5642,907464,311.5642
2024-08-01,293.5131,298.3071,283.5826,288.3766,5119500,288.3766
2024-08-02,285.6861,292.975,282.7999,287.9363,1031307,287.9363
2024-08-05,282.751,285.5883,272.9672,273.9945,1415383,273.9945
2024-08-06,276.9296,283.4847,269.0537,269.6407,819053,269.6407
2024-08-07,277.859,281.2344,272.5758,273.7988,636716,273.7988
2024-08-08,274.5326,278.7396,273.1139,274.3369,493999,274.3369
2024-08-09,276.8807,281.6747,276.8807,278.3972,577232,278.3972
2024-08-12,278.3482,282.3596,274.0434,277.2231,561494,277.2231
2024-08-13,278.1036,289.7953,277.8101,281.6747,1271317,281.6747
2024-08-14,282.7509,283.1912,276.1958,278.7885,403617,278.7885
2024-08-16,279.1309,289.6974,279.1309,287.1536,1054444,287.1536
2024-08-19,287.3982,294.4915,287.3982,288.8658,664935,288.8658
2024-08-20,290.0888,293.0239,286.8601,288.132,390614,288.132
2024-08-21,290.0888,292.1434,287.6428,288.4745,431924,288.4745
2024-08-22,290.0888,293.5131,289.3061,290.1377,580373,290.1377
2024-08-23,290.1377,298.7963,290.1377,291.8988,1456666,291.8988
