date,open,high,low,close,volume,adj_close
2024-05-21,3399.3259,3411.4173,3375.7332,3382.5652,2100848,3382.5652
2024-05-22,3391.5109,3413.7765,3376.7654,3402.1277,1409992,3402.1277
2024-05-23,3402.1767,3540.5385,3396.3769,3524.5642,4525637,3524.5642
2024-05-24,3525.1541,3596.9154,3521.5169,3564.377,2740360,3564.377
2024-05-27,3583.0546,3632.3046,3538.9165,3590.0342,2570708,3590.0342
2024-05-28,3590.0342,3622.72,3584.1852,3596.1289,1440187,3596.1289
2024-05-29,3549.7298,3599.717,3549.0909,3573.126,1506146,3573.126
2024-05-30,3564.5245,3582.1206,3546.5349,3573.0276,2701849,3573.0276
2024-05-31,3574.6989,3681.2597,3574.6989,3607.0408,6432341,3607.0408
2024-06-03,3789.9828,3853.3884,3736.6043,3831.0244,5767666,3831.0244
2024-06-04,3786.6408,3831.8603,3263.6676,3345.4558,9920882,3345.4558
2024-06-05,3383.1058,3383.1058,3121.1769,3351.1572,10372458,3351.1572
2024-06-06,3379.6653,3478.1651,3327.8596,3423.4595,8374602,3423.4595
2024-06-07,3406.2563,3487.7988,3387.5295,3472.5618,5879660,3472.5618
2024-06-10,3461.3061,3524.1709,3461.3061,3483.6208,3151257,3483.6208
2024-06-11,3509.4257,3577.2549,3490.9446,3537.6387,2548176,3537.6387
2024-06-12,3553.6619,3587.0358,3517.2898,3568.7024,2242274,3568.7024
2024-06-13,3603.3053,3652.85,3573.3228,3640.8079,2965500,3640.8079
2024-06-14,3654.9141,3656.8802,3612.6437,3625.2266,1746508,3625.2266
2024-06-18,3645.0838,3647.0499,3612.6438,3626.6028,1936792,3626.6028
2024-06-19,3627.3895,3636.2368,3514.3408,3529.0371,2936151,3529.0371
2024-06-20,3551.8244,3579.9125,3531.6625,3561.2366,2618715,3561.2366
2024-06-21,3570.7482,3576.6432,3483.5117,3502.3362,4508508,3502.3362
2024-06-24,3487.8215,3534.0403,3472.6132,3498.9675,2330559,3498.9675
2024-06-25,3523.6374,3558.7597,3495.4007,3554.6482,2158039,3554.6482
2024-06-26,3567.7263,3591.4053,3559.0571,3569.6582,2480187,3569.6582
2024-06-27,3564.209,3568.0235,3517.1975,3531.4644,5519875,3531.4644
