date,open,high,low,close,volume,adj_close
2024-05-21,253.2983,253.2983,249.6654,251.8164,1525197,251.8164
2024-05-22,252.9637,256.8356,249.6176,254.3499,3633433,254.3499
2024-05-23,255.6883,258.1262,254.0153,257.218,2070812,257.218
2024-05-24,256.2142,260.8987,256.0229,259.4646,2367636,259.4646
2024-05-27,259.4169,259.7993,255.3538,257.4092,2332872,257.4092
2024-05-28,258.5564,260.2772,255.9273,257.8872,2213513,257.8872
2024-05-29,255.7839,258.6998,255.4971,256.6444,1618611,256.6444
2024-05-30,255.8796,256.4054,249.522,251.5775,3144337,251.5775
2024-05-31,251.5774,258.9866,249.9522,255.8318,2007147,255.8318
2024-06-03,260.9943,262.1893,258.1262,261.2811,2522525,261.2811
2024-06-04,262.9063,262.9541,245.0765,248.088,6360293,248.088
2024-06-05,251.434,266.0134,247.5622,262.2371,4083071,262.2371
2024-06-06,262.9063,267.6864,261.6157,265.9178,4121280,265.9178
2024-06-07,265.3442,270.6501,263.3843,270.0287,4540650,270.0287
2024-06-10,272.4666,275.239,271.0325,271.5583,2787145,271.5583
2024-06-11,271.5105,279.3021,271.5105,277.9159,2981757,277.9159
2024-06-12,277.9637,280.4972,276.4341,277.3901,3521620,277.3901
2024-06-13,278.2027,283.4608,275.4302,280.4016,3812916,280.4016
2024-06-14,281.023,286.8069,280.306,285.8031,4666536,285.8031
2024-06-18,288.6234,299.2352,283.0306,294.1683,8218251,294.1683
2024-06-19,296.3671,297.3232,292.2084,292.9733,2506060,292.9733
2024-06-20,291.109,296.2237,288.7667,293.6425,4080093,293.6425
2024-06-21,293.6425,294.6463,288.2409,292.5908,2807699,292.5908
2024-06-24,292.543,302.4379,289.3403,291.9216,11086671,291.9216
2024-06-25,292.4952,294.5507,287.0937,292.5908,2763268,292.5908
2024-06-26,286.8069,296.2715,285.5163,294.5507,4906791,294.5507
2024-06-27,293.499,295.2677,286.0421,287.4283,1938339,287.4283
2024-06-28,287.3327,293.2122,286.8069,287.3805,3179850,287.3805
2024-07-01,287.6673,295.2199,287.6673,293.1166,2060485,293.1166
2024-07-02,294.7419,294.7419,286.9025,289.1492,2510698,289.1492
2024-07-03,284.3691,291.0134,275.9082,290.0574,6742891,290.0574
2024-07-04,289.8184,290.1052,282.7438,285.0861,3677899,285.0861
2024-07-05,286.6157,288.8146,284.6558,287.2849,3303110,287.2849
2024-07-08,288.9102,291.9216,284.8949,289.4838,1916725,289.4838
2024-07-09,290.5832,291.587,287.8585,288.9579,1168467,288.9579
2024-07-10,289.675,290.1052,282.6004,285.9465,2107925,285.9465
2024-07-11,287.5717,295.6501,286.8547,287.9063,5083335,287.9063
2024-07-12,289.6272,292.543,284.369,285.0861,1766372,285.0861
2024-07-15,288.0497,291.7782,283.4608,289.7227,4150259,289.7227
2024-07-16,289.4104,294.2404,287.8491,290.0934,4632866,290.0934
2024-07-18,291.6058,291.6546,283.9461,288.0443,2203883,288.0443
2024-07-19,288.0931,290.4837,281.0676,283.2143,1530251,283.2143
2024-07-22,281.214,285.7513,278.7258,285.3122,858381,285.3122
2024-07-23,286.7758,291.7522,274.1885,288.6786,3373400,288.6786
2024-07-24,284.0437,298.1434,284.0437,291.4595,6632507,291.4595
2024-07-25,287.9467,288.8249,280.531,282.824,4350537,282.824
2024-07-26,282.9216,289.7031,280.6773,286.5319,2051866,286.5319
2024-07-29,287.8492,297.4116,287.8492,295.8016,2530835,295.8016
2024-07-30,297.0213,301.2171,294.6795,296.631,3176723,296.631
2024-07-31,297.314,298.5825,294.7282,295.8992,1090343,295.8992
2024-08-01,296.9237,303.315,296.0456,299.0216,3390417,299.0216
2024-08-02,297.6068,300.4365,293.2646,298.0459,1531887,298.0459
2024-08-05,282.9704,290.6789,280.1407,285.5074,4967783,285.5074
2024-08-06,286.8246,292.728,284.1901,286.044,1677721,286.044
2024-08-07,291.1667,296.9725,288.6785,296.4358,1671041,296.4358
2024-08-08,295.1673,296.8261,287.4588,288.7273,2149531,288.7273
2024-08-09,293.1671,295.6552,291.2155,292.8255,1047171,292.8255
2024-08-12,292.6304,296.8749,289.7031,291.5083,3046440,291.5083
2024-08-13,292.5328,292.5328,281.897,282.9704,941461,282.9704
2024-08-14,282.9704,287.8492,279.0673,280.9213,708578,280.9213
2024-08-16,281.7507,289.3128,281.1164,288.6786,859734,288.6786
2024-08-19,290.2398,291.2155,286.3855,289.2152,2384069,289.2152
2024-08-20,291.2156,298.0947,289.6055,296.2895,1536222,296.2895
2024-08-21,296.2895,301.3146,295.3137,300.2901,1497146,300.2901
2024-08-22,300.534,311.7065,300.0949,306.0959,8619659,306.0959
2024-08-23,306.0959,306.3886,296.3871,297.6068,1630309,297.6068
2024-08-26,299.168,308.828,299.0704,307.7059,5385515,307.7059
2024-08-27,307.7059,315.4144,305.7056,312.5847,4272587,312.5847
2024-08-28,310.8771,314.6338,306.535,307.6083,3048980,307.6083
2024-08-29,307.6083,310.0965,301.4122,305.8031,4522608,305.8031
2024-08-30,306.8765,310.6332,305.9007,306.7301,935094,306.7301
2024-09-02,309.9501,316.4389,308.0474,314.3898,4760850,314.3898
2024-09-03,316.0486,325.3671,315.4632,317.2195,10729594,317.2195
2024-09-04,314.7313,321.3665,314.0483,316.5853,3256335,316.5853
2024-09-05,317.122,324.245,316.6341,321.1226,2748179,321.1226
2024-09-06,320.0492,324.3426,315.9023,319.2686,6668867,319.2686
2024-09-09,317.2195,320.8298,311.9016,316.6341,2666724,316.6341
2024-09-10,317.2195,319.9517,314.4874,317.7562,1379597,317.7562
2024-09-11,317.805,320.0492,312.731,314.585,1529533,314.585
2024-09-12,317.2195,323.9523,315.4632,323.4156,1775496,323.4156
2024-09-13,323.4156,328.392,321.025,324.8793,2560891,324.8793
2024-09-16,326.8795,328.6847,321.6592,322.9765,1900671,322.9765
2024-09-17,322.9765,325.7574,318.8295,319.6589,1796467,319.6589
2024-09-18,320.8786,322.8789,316.878,319.5613,1035799,319.5613
2024-09-19,321.4153,325.172,307.5107,315.8047,1774892,315.8047
2024-09-20,317.122,318.8783,307.218,312.975,16177572,312.975
2024-09-23,315.2192,324.5865,312.731,323.9523,2714224,323.9523
2024-09-24,323.8547,324.928,319.2198,320.6347,1794442,320.6347
2024-09-25,321.4153,327.465,318.1465,324.0986,3559637,324.0986
2024-09-26,326.6844,333.6123,320.1956,332.2462,5635581,332.2462
2024-09-27,331.9047,334.6856,324.0499,325.4159,3885438,325.4159
2024-09-30,326.782,333.3683,322.635,330.1483,4928188,330.1483
2024-10-01,331.2705,331.6608,320.098,322.0983,5274521,322.0983
2024-10-03,319.9517,321.1714,312.8286,314.4386,1904229,314.4386
2024-10-04,308.3401,309.0719,291.7522,293.1671,11656581,293.1671
2024-10-07,295.6552,297.558,280.9701,284.8731,5680739,284.8731
2024-10-08,285.8489,291.5083,278.0916,281.897,4615379,281.897
2024-10-09,284.9219,289.7519,278.0916,278.8234,8519910,278.8234
2024-10-10,281.4091,282.5801,275.7009,277.5549,3215003,277.5549
2024-10-11,278.1891,280.0919,275.7497,277.1646,1282403,277.1646
2024-10-14,279.4576,279.7015,275.7009,276.384,1352567,276.384
2024-10-15,277.6037,281.3115,276.2376,279.4576,2462550,279.4576
2024-10-16,281.0188,283.8974,278.7746,282.9704,3461847,282.9704
2024-10-17,284.434,284.434,274.2861,275.3106,2265105,275.3106
2024-10-18,276.14,286.2879,272.5297,283.9461,3409122,283.9461
2024-10-21,285.6049,288.2395,279.3113,282.141,4688838,282.141
2024-10-22,281.9946,283.7022,273.3103,274.8228,4455320,274.8228
2024-10-23,256.8688,269.261,252.917,261.0645,16611020,261.0645
2024-10-24,263.4064,265.9922,258.5764,262.3818,6393652,262.3818
2024-10-25,262.6746,263.3088,253.6976,261.7476,3770241,261.7476
2024-10-28,262.5282,268.0412,260.4791,266.48,1061711,266.48
2024-10-29,265.8946,273.0664,264.4309,272.1394,2203902,272.1394
2024-10-30,269.5536,273.164,266.8215,267.5045,2171127,267.5045
2024-10-31,267.3582,268.8706,260.2352,264.0406,2677259,264.0406
2024-11-01,266.3337,268.1388,263.4552,266.7727,212130,266.7727
2024-11-04,265.9433,268.0413,263.3088,267.0655,987660,267.0655
2024-11-05,267.3094,272.3834,263.6015,270.1879,904262,270.1879
2024-11-06,270.4318,273.2128,269.1634,270.5294,638612,270.5294
2024-11-07,271.6515,272.237,265.1627,265.9433,1606530,265.9433
2024-11-08,265.8946,271.1637,264.4309,269.4561,2543165,269.4561
2024-11-11,266.3825,268.6755,262.3331,263.0649,1378570,263.0649
2024-11-12,263.6503,265.0652,257.503,258.9667,1571141,258.9667
2024-11-13,258.5764,258.7715,250.4288,251.99,1538121,251.99
2024-11-14,251.746,254.9173,248.8188,250.6239,1042293,250.6239
2024-11-18,249.4042,255.2588,248.1357,251.9412,727558,251.9412
2024-11-19,252.2339,258.0397,251.746,253.5024,1123396,253.5024
2024-11-21,253.8927,254.283,249.1115,250.0385,707359,250.0385
2024-11-22,249.8433,258.2836,249.5506,257.4054,791911,257.4054
2024-11-25,258.1373,271.7491,258.1373,266.0409,2391672,266.0409
2024-11-26,265.4067,268.334,263.1625,263.7479,824314,263.7479
2024-11-27,263.7967,266.8703,263.3088,265.7482,656860,265.7482
2024-11-28,266.8703,269.4073,263.3088,265.4067,1332500,265.4067
2024-11-29,265.6018,268.1876,262.8209,266.7727,718662,266.7727
2024-12-02,266.3824,271.1637,264.4309,270.6758,685024,270.6758
2024-12-03,270.6758,280.7261,270.5782,278.3843,3319481,278.3843
2024-12-04,281.0188,283.9949,275.1155,278.4331,3219906,278.4331
2024-12-05,279.6528,281.5067,273.5055,279.3112,974296,279.3112
2024-12-06,279.9943,280.9212,270.9685,271.2612,2696963,271.2612
2024-12-09,271.7003,274.4325,271.1149,272.3834,1095911,272.3834
2024-12-10,272.3834,282.0434,272.3834,277.6525,2479899,277.6525
