date,open,high,low,close,volume,adj_close
2026-04-20,19.0,24.0,19.0,22.1,543,22.1
2026-04-21,21.25,24.0,21.25,23.4,1029,23.4
2026-04-22,24.55,24.7,20.0,22.85,2085,22.85
2026-04-23,22.8,24.45,21.2,23.2,1236,23.2
2026-04-24,23.55,23.55,21.25,21.65,1328,21.65
2026-04-27,21.65,23.75,21.65,21.75,910,21.75
2026-04-28,22.45,22.8,21.75,22.1,657,22.1
2026-04-29,23.45,23.95,21.45,22.65,4828,22.65
2026-04-30,23.95,23.95,22.25,23.15,413,23.15
2026-05-04,24.4,24.4,22.22,24.03,1557,24.03
2026-05-05,24.99,24.99,23.0,24.27,10546,24.27
2026-05-06,25.39,25.4,24.0,24.8,2936,24.8
2026-05-07,25.74,25.74,22.21,24.85,2022,24.85
2026-05-08,25.99,29.82,23.42,29.0,111705,29.0
2026-05-11,31.9,31.9,26.56,29.7,156218,29.7
2026-05-12,28.95,31.9,27.0,27.53,40192,27.53
2026-05-13,28.99,29.1,26.91,27.11,6557,27.11
2026-05-14,29.8,29.8,25.65,26.98,34491,26.98
2026-05-15,26.85,26.85,24.41,24.88,2980,24.88
2026-05-18,26.79,26.79,23.08,24.0,6618,24.0
2026-05-19,24.99,26.95,24.78,26.51,8130,26.51
2026-05-20,26.79,27.49,23.87,24.8,21158,24.8
2026-05-21,26.85,26.98,24.0,25.26,10606,25.26
2026-05-22,25.92,26.75,24.72,26.03,3575,26.03
2026-05-25,27.39,28.95,25.55,26.84,31748,26.84
2026-05-26,27.8,27.8,26.0,26.25,6312,26.25
2026-05-27,27.2,27.2,25.56,25.64,3087,25.64
2026-05-29,28.59,28.59,24.86,25.43,16036,25.43
2026-06-01,25.43,27.59,25.43,25.49,1111,25.49
2026-06-02,27.49,27.49,25.0,26.62,6978,26.62
2026-06-03,26.62,31.39,24.65,27.43,48812,27.43
2026-06-04,28.85,29.73,26.0,26.86,66749,26.86
2026-06-05,26.0,26.86,25.1,25.16,8357,25.16
2026-06-08,26.0,26.99,25.16,26.39,2367,26.39
2026-06-09,27.3,27.3,24.37,25.11,6712,25.11
2026-06-10,26.0,26.95,25.0,25.47,344,25.47
2026-06-11,26.0,26.75,23.53,23.73,4687,23.73
2026-06-12,24.6,25.97,23.2,25.77,1560,25.77
2026-06-15,26.7,26.7,25.0,25.32,8077,25.32
2026-06-16,26.2,26.2,25.3,25.54,255,25.54
2026-06-17,25.85,26.4,25.0,25.02,4529,25.02
2026-06-18,25.9,26.75,25.3,25.52,4590,25.52
2026-06-19,25.52,26.91,25.35,25.42,1311,25.42
2026-06-22,26.69,26.69,25.25,26.29,1403,26.29
2026-06-23,26.29,26.29,25.5,25.51,427,25.51
2026-06-24,26.99,27.25,25.25,25.25,9849,25.25
2026-06-25,25.25,25.83,25.1,25.25,365,25.25
2026-06-29,24.16,25.74,22.2,24.08,7198,24.08
2026-06-30,24.56,24.88,23.12,23.7,870,23.7
2026-07-01,23.26,25.49,23.26,24.78,244,24.78
2026-07-02,25.5,26.45,24.21,25.59,2484,25.59
2026-07-03,25.55,26.5,24.5,25.69,487,25.69
2026-07-06,26.99,26.99,24.03,24.8,537,24.8
2026-07-07,25.7,26.45,24.08,24.98,3481,24.98
2026-07-08,25.9,26.44,24.2,25.04,2402,25.04
2026-07-09,25.89,25.89,24.26,25.45,575,25.45
2026-07-10,25.97,25.97,24.35,25.2,12234,25.2
2026-07-13,24.0,25.89,24.0,25.07,1553,25.07
2026-07-14,25.7,25.9,24.5,24.56,3651,24.56
2026-07-15,25.4,25.8,23.72,24.34,4599,24.34
2026-07-16,24.83,25.49,23.43,24.35,1818,24.35
2026-07-17,24.55,24.66,24.0,24.53,15005,24.53
2026-07-20,24.04,24.04,23.25,23.7,1801,23.7
2026-07-21,23.26,24.47,23.26,23.52,1132,23.52
2026-07-22,23.85,26.7,23.85,24.59,17321,24.59
2026-07-23,26.75,26.75,24.67,25.67,65442,25.67
