date,open,high,low,close,volume,adj_close
2024-05-21,45.25,46.7,45.0,46.05,203898,46.05
2024-05-22,46.55,46.55,45.55,45.8,131990,45.8
2024-05-23,46.4,46.4,45.0,45.8,196662,45.8
2024-05-24,45.85,45.95,45.2,45.35,114390,45.35
2024-05-27,46.9,46.9,44.45,44.8,222126,44.8
2024-05-28,45.35,45.35,43.5,43.95,208915,43.95
2024-05-29,42.2,43.9,42.0,43.25,365239,43.25
2024-05-30,42.8,44.9,42.7,43.3,167932,43.3
2024-05-31,43.3,43.9,41.6,42.45,306632,42.45
2024-06-03,43.8,43.8,40.35,41.25,541923,41.25
2024-06-04,41.25,42.5,39.55,40.9,464444,40.9
2024-06-05,41.7,42.1,39.85,41.95,200243,41.95
2024-06-06,42.8,43.2,41.8,42.55,217223,42.55
2024-06-07,43.25,43.6,42.9,43.15,147881,43.15
2024-06-10,43.95,43.95,42.81,43.0,193169,43.0
2024-06-11,43.2,44.45,43.02,43.68,246395,43.68
2024-06-12,44.3,45.19,43.66,44.66,305326,44.66
2024-06-13,45.25,45.25,43.61,44.44,183988,44.44
2024-06-14,44.5,45.39,44.0,44.17,193302,44.17
2024-06-18,45.0,45.0,43.71,43.86,228923,43.86
2024-06-19,44.62,44.65,43.82,44.11,170985,44.11
2024-06-20,44.0,45.25,43.77,44.87,465035,44.87
2024-06-21,44.81,46.9,44.55,46.02,770879,46.02
2024-06-24,45.91,45.95,44.35,45.14,258803,45.14
2024-06-25,45.49,46.29,44.62,44.75,209762,44.75
2024-06-26,44.75,45.16,44.05,44.15,158426,44.15
2024-06-27,43.99,44.59,43.25,43.5,245778,43.5
2024-06-28,43.51,44.49,43.51,44.03,136435,44.03
2024-07-01,44.05,44.43,43.6,44.08,123190,44.08
2024-07-02,44.08,48.48,43.5,48.43,1220842,48.43
2024-07-03,49.2,49.7,46.0,47.3,2295693,47.3
2024-07-04,47.3,47.57,43.25,45.42,1869224,45.42
2024-07-05,45.78,46.9,45.66,46.04,418549,46.04
2024-07-08,45.55,46.24,45.4,45.6,303890,45.6
2024-07-09,45.77,46.01,44.52,45.12,224810,45.12
2024-07-10,45.33,45.74,44.5,44.67,221202,44.67
2024-07-11,44.93,47.25,44.76,46.32,689247,46.32
2024-07-12,46.32,48.2,45.54,46.46,617725,46.46
2024-07-15,46.4,47.0,45.61,46.3,347678,46.3
2024-07-16,46.49,47.5,45.81,46.09,317506,46.09
2024-07-18,46.2,46.53,45.07,45.36,220611,45.36
2024-07-19,45.36,45.59,44.64,44.81,180380,44.81
2024-07-22,44.59,44.83,43.02,43.84,410430,43.84
2024-07-23,44.09,46.6,43.17,45.85,1142773,45.85
2024-07-24,47.0,48.95,46.41,47.37,1363980,47.37
2024-07-25,47.37,48.0,46.0,46.45,556226,46.45
2024-07-26,46.2,47.29,46.2,46.78,241923,46.78
