date,open,high,low,close,volume,adj_close
2024-05-21,175.2241,175.2728,170.6962,171.5726,123806,171.5726
2024-05-22,173.7148,173.7148,169.479,170.3554,68904,170.3554
2024-05-23,169.4303,171.6699,166.4117,166.8986,160179,166.8986
2024-05-24,167.7263,168.7,164.4643,164.659,194574,164.659
2024-05-27,166.4604,167.9697,162.6629,163.2958,223823,163.2958
2024-05-28,163.5392,168.6513,163.2958,165.1459,281039,165.1459
2024-05-29,165.3893,165.9736,164.0748,164.513,89547,164.513
2024-05-30,165.3406,168.7,163.101,163.7827,212849,163.7827
2024-05-31,160.6667,161.7865,157.5021,157.9402,464358,157.9402
2024-06-03,161.397,163.5879,154.3861,155.7493,273804,155.7493
2024-06-04,155.8954,156.3336,141.3867,146.8883,316607,146.8883
2024-06-05,148.4463,155.798,143.3829,150.4911,379933,150.4911
2024-06-06,153.9479,157.7455,153.4124,156.0901,192714,156.0901
2024-06-07,156.9665,158.135,155.3598,157.1612,111322,157.1612
2024-06-10,157.1612,162.1468,155.5156,161.4554,196980,161.4554
2024-06-11,161.8839,162.5947,157.8623,159.0795,128577,159.0795
2024-06-12,159.5956,160.4233,158.0863,158.6413,125338,158.6413
2024-06-13,159.6443,167.9697,159.2743,163.5587,431441,163.5587
2024-06-14,164.5616,171.9718,163.734,169.479,426399,169.479
2024-06-18,171.2804,171.2804,165.7983,167.1713,198449,167.1713
2024-06-19,169.6738,169.6738,164.5227,165.8275,133686,165.8275
2024-06-20,165.8275,166.996,163.6853,164.4837,197227,164.4837
2024-06-21,165.5257,166.9473,163.101,165.1264,181672,165.1264
2024-06-24,164.5616,165.1556,161.582,163.1789,158447,163.1789
2024-06-25,165.1459,165.1459,161.6404,162.0299,80043,162.0299
2024-06-26,162.3221,162.3221,159.9851,160.4038,97877,160.4038
2024-06-27,160.6667,160.8127,156.7717,158.7095,89602,158.7095
2024-06-28,160.1993,160.1993,157.3463,159.2061,115898,159.2061
2024-07-01,160.6667,166.0223,159.693,165.4185,209174,165.4185
2024-07-02,166.0223,167.3855,161.6404,162.3999,137824,162.3999
2024-07-03,163.3932,169.6641,163.3932,168.3884,299966,168.3884
2024-07-04,168.8461,169.8198,164.5519,165.2822,193059,165.2822
2024-07-05,167.4829,167.8723,163.6366,164.0943,146371,164.0943
2024-07-08,163.5879,168.1645,162.7213,164.7272,174105,164.7272
2024-07-09,165.0485,166.217,162.8089,163.4808,92052,163.4808
2024-07-10,163.9287,167.4829,160.5012,166.1294,135391,166.1294
2024-07-11,167.0934,173.8122,165.2335,170.9786,453199,170.9786
2024-07-12,171.7673,173.7148,166.996,167.6581,175292,167.6581
2024-07-15,168.2619,171.1831,164.5714,167.9016,132981,167.9016
2024-07-16,167.9016,169.7711,164.5909,165.6717,105769,165.6717
2024-07-18,167.0934,167.0934,160.9101,162.7894,114201,162.7894
2024-07-19,163.9774,164.0456,158.5245,159.0503,101131,159.0503
2024-07-22,159.0503,160.5888,156.0901,156.392,149035,156.392
2024-07-23,157.171,157.171,152.3023,154.2303,191800,154.2303
2024-07-24,154.8243,157.9305,154.8243,155.9246,162818,155.9246
2024-07-25,156.7717,156.7717,154.7658,155.5741,106483,155.5741
2024-07-26,157.7357,159.1964,155.3598,156.1291,147721,156.1291
2024-07-29,157.6481,158.2713,155.3209,155.7104,230129,155.7104
2024-07-30,157.356,157.356,155.5059,155.6325,152613,155.6325
2024-07-31,155.798,157.7455,155.7493,156.1194,323315,156.1194
2024-08-01,156.723,157.9013,155.8077,156.1096,108738,156.1096
2024-08-02,154.8243,156.7815,154.0453,155.3111,131767,155.3111
2024-08-05,150.978,152.312,148.4852,150.238,213775,150.238
2024-08-06,150.4425,162.0397,150.4425,160.2675,501229,160.2675
2024-08-07,165.5354,186.9576,165.5354,182.1279,5429580,182.1279
2024-08-08,182.0889,182.0889,172.4392,173.7927,997092,173.7927
2024-08-09,176.2368,183.0627,173.5298,178.2719,527911,178.2719
2024-08-12,177.7071,177.9213,172.6145,173.4227,265406,173.4227
2024-08-13,174.2406,176.3731,165.8762,166.8305,248797,166.8305
2024-08-14,169.3817,177.1131,164.8635,170.3943,383743,170.3943
2024-08-16,173.1792,173.8122,167.9892,169.0311,140224,169.0311
2024-08-19,169.0506,182.5758,169.0506,180.3167,466170,180.3167
2024-08-20,180.2388,193.6764,178.3887,189.5478,1720843,189.5478
2024-08-21,191.3441,192.5644,185.1937,190.0066,444427,190.0066
2024-08-22,191.4417,202.1901,189.6747,197.387,1481288,197.387
2024-08-23,208.5064,208.5064,200.1303,203.635,917958,203.635
2024-08-26,203.9864,222.5839,203.9864,220.0749,2351194,220.0749
2024-08-27,220.6314,221.5979,212.3333,215.2523,707171,215.2523
2024-08-28,216.7264,216.9607,206.964,208.3307,330508,208.3307
2024-08-29,208.1452,209.7951,197.6896,200.2962,387613,200.2962
2024-08-30,200.2962,208.0378,198.1778,202.9223,243183,202.9223
2024-09-02,205.0115,206.759,194.2728,195.5321,215021,195.5321
2024-09-03,195.7372,203.84,192.8084,200.5305,289528,200.5305
2024-09-04,199.0564,200.5305,194.468,195.5321,129407,195.5321
2024-09-05,197.8751,200.0326,195.2393,196.5865,227464,196.5865
2024-09-06,197.4456,198.0801,191.3538,195.3271,192518,195.3271
2024-09-09,193.5601,194.2533,188.0834,189.4697,236024,189.4697
2024-09-10,191.1976,200.0619,191.1878,196.8696,259726,196.8696
2024-09-11,198.7635,204.7674,193.3161,199.6812,322777,199.6812
2024-09-12,201.7118,212.5286,200.5305,206.4466,656502,206.4466
2024-09-13,208.6138,212.6262,205.9877,207.5985,522467,207.5985
2024-09-16,210.7713,210.7713,202.0828,203.0883,172602,203.0883
2024-09-17,203.9864,203.9962,196.4498,199.1931,130952,199.1931
2024-09-18,199.6421,203.4397,197.1918,199.359,158809,199.359
2024-09-19,199.935,201.9851,189.8797,194.3606,190199,194.3606
2024-09-20,193.2965,199.935,192.3203,193.6773,160752,193.6773
2024-09-23,195.2295,202.7564,194.0385,200.677,316879,200.677
2024-09-24,200.677,208.8774,195.5907,202.4342,293636,202.4342
2024-09-25,206.6613,212.5188,200.3743,201.8094,1062901,201.8094
2024-09-26,204.4257,208.8188,194.9854,197.8459,581891,197.8459
2024-09-27,198.9588,200.5012,193.7847,197.0453,197651,197.0453
2024-09-30,196.8208,200.1303,193.2965,195.2393,212560,195.2393
2024-10-01,192.9548,199.7886,192.9548,194.7414,199030,194.7414
2024-10-03,190.3678,194.9464,188.4153,192.2324,223952,192.2324
2024-10-04,190.3678,193.2282,185.8966,187.0193,214295,187.0193
2024-10-07,187.0486,194.2728,174.5722,177.413,292222,177.413
2024-10-08,177.4326,187.8198,177.4326,186.209,139193,186.209
2024-10-09,186.209,194.2728,185.8771,188.015,146956,188.015
2024-10-10,188.4153,196.8305,188.1224,191.8615,200179,191.8615
2024-10-11,193.2965,197.1039,190.2409,193.1208,143421,193.1208
2024-10-14,193.2965,193.9506,189.6844,190.0261,73905,190.0261
2024-10-15,190.7583,195.005,189.3916,189.909,108871,189.909
2024-10-16,189.4013,192.1055,180.6054,186.9705,338444,186.9705
2024-10-17,187.4391,187.4586,182.6652,183.3486,86478,183.3486
2024-10-18,183.4169,190.2507,179.7267,185.1156,188788,185.1156
2024-10-21,185.1156,185.1156,178.3112,179.141,99071,179.141
2024-10-22,180.3027,180.3027,162.7498,163.8237,363293,163.8237
2024-10-23,166.3034,171.5263,164.0092,169.6031,145583,169.6031
2024-10-24,170.8429,171.4775,164.9952,165.786,111578,165.786
2024-10-25,166.4498,166.4498,152.7531,158.9425,317262,158.9425
2024-10-28,161.0219,190.5631,159.4697,185.7892,847473,185.7892
2024-10-29,182.9972,190.319,177.7743,187.8393,596724,187.8393
2024-10-30,185.9747,193.0037,183.5341,184.0027,265366,184.0027
2024-10-31,183.5341,184.9985,177.8719,179.6877,197459,179.6877
2024-11-01,180.7518,188.2396,180.7518,185.965,132793,185.965
2024-11-04,186.951,186.951,177.4911,181.7866,177430,181.7866
2024-11-05,182.0697,189.3916,179.9318,185.7795,275105,185.7795
2024-11-06,185.4866,189.3623,183.9343,188.0346,173860,188.0346
2024-11-07,188.0248,193.277,186.6776,187.5172,123195,187.5172
2024-11-08,188.4153,188.4153,181.4352,182.1869,112845,182.1869
2024-11-11,182.5579,185.4866,177.54,179.2972,107484,179.2972
2024-11-12,179.8244,181.2009,173.1371,174.7186,68020,174.7186
2024-11-13,172.7856,175.1091,165.9617,166.8989,115979,166.8989
2024-11-14,166.8989,171.3017,165.864,166.3619,84064,166.3619
2024-11-18,168.5975,170.7258,163.0329,163.9604,153153,163.9604
2024-11-19,164.9854,170.7453,163.0329,164.3802,202770,164.3802
2024-11-21,164.9854,167.5334,162.0567,165.7664,142263,165.7664
2024-11-22,166.7329,166.9086,163.0232,165.7372,185244,165.7372
2024-11-25,167.9142,170.0229,163.1794,163.4918,255925,163.4918
2024-11-26,164.3997,165.9617,163.0329,163.8823,124377,163.8823
2024-11-27,164.4973,171.1455,164.4973,169.6616,795392,169.6616
2024-11-28,171.8191,180.5077,171.5556,175.2848,367268,175.2848
2024-11-29,175.7241,179.6291,173.264,175.5094,290428,175.5094
2024-12-02,176.2025,190.0652,174.416,188.142,564373,188.142
2024-12-03,189.372,192.5644,185.3402,191.4514,359216,191.4514
2024-12-04,192.3203,196.7524,187.4391,189.0499,304602,189.0499
2024-12-05,189.0499,195.6883,185.594,188.7863,231593,188.7863
2024-12-06,189.2744,192.6913,187.195,188.718,156397,188.718
2024-12-09,189.3916,193.3551,186.4628,187.1853,170147,187.1853
2024-12-10,187.4391,202.7661,186.9119,197.924,1423214,197.924
2024-12-11,198.5683,200.6184,193.7847,199.2712,432231,199.2712
2024-12-12,200.1303,208.7603,194.5657,196.5377,1084919,196.5377
2024-12-13,196.8989,198.5683,190.3678,196.4889,272533,196.4889
2024-12-16,197.3968,203.1371,194.468,198.9881,416242,198.9881
