date,open,high,low,close,volume,adj_close
2026-08-06,520.0,624.0,520.0,624.0,17537963,624.0
2026-08-07,665.5,686.5,593.05,611.7,13751218,611.7
2026-08-10,600.0,644.8,595.5,614.8,5244964,614.8
2026-08-11,622.4,628.75,595.0,599.45,1407583,599.45
2026-08-12,600.9,607.7,571.2,582.85,1534029,582.85
2026-08-13,585.15,628.0,585.15,615.1,2821306,615.1
2026-08-14,618.8,632.0,585.0,588.65,980666,588.65
2026-08-17,588.0,595.0,566.5,570.1,678170,570.1
2026-08-18,574.0,583.85,556.15,574.1,776889,574.1
2026-08-19,577.75,583.55,560.15,570.2,620973,570.2
