date,open,high,low,close,volume,adj_close
2024-05-21,561.6166,571.6447,558.0522,570.1238,415030,570.1238
2024-05-22,573.1655,576.017,560.8087,564.0405,215661,564.0405
2024-05-23,565.5613,593.079,564.0405,589.3719,1736857,589.3719
2024-05-24,586.4728,591.0828,576.3497,580.7222,888326,580.7222
2024-05-27,580.7222,586.5204,572.4051,577.3478,368948,577.3478
2024-05-28,578.8686,586.1876,570.3139,576.3022,704379,576.3022
2024-05-29,575.0666,585.5223,572.6903,580.8647,1009017,580.8647
2024-05-30,579.8192,585.5223,568.4604,571.1694,422067,571.1694
2024-05-31,572.2149,579.534,564.6108,568.698,684629,568.698
2024-06-03,593.0789,604.7228,587.9936,592.8413,1626429,592.8413
2024-06-04,597.879,597.879,487.9986,519.3658,1341704,519.3658
2024-06-05,536.9506,546.5509,473.4081,518.9382,4258481,518.9382
2024-06-06,527.5404,591.2255,526.6849,583.6213,1965902,583.6213
2024-06-07,594.0771,594.0771,565.799,577.4904,1590106,577.4904
2024-06-10,582.1005,584.0966,565.5614,569.6961,455851,569.6961
2024-06-11,571.7872,586.3302,569.3634,581.4351,853706,581.4351
2024-06-12,581.6728,624.4939,580.2945,616.8422,3124946,616.8422
2024-06-13,622.3076,622.3076,604.0576,609.0003,1345217,609.0003
2024-06-14,612.8974,623.5433,610.4736,614.5133,637255,614.5133
2024-06-18,614.6083,631.4326,613.6103,622.2125,988688,622.2125
2024-06-19,626.3948,634.7594,610.7111,618.8856,667127,618.8856
2024-06-20,625.1592,627.3453,611.1389,620.6442,777411,620.6442
2024-06-21,620.6916,641.413,618.3153,631.5751,2373849,631.5751
2024-06-24,627.3453,627.3453,607.3843,619.1232,766669,619.1232
2024-06-25,617.8401,644.7399,617.8401,639.1318,810580,639.1318
2024-06-26,639.7021,642.4587,622.5927,627.7731,495368,627.7731
2024-06-27,633.7138,641.6032,623.2581,629.484,462080,629.484
2024-06-28,632.1421,644.3693,619.4315,622.9113,474315,622.9113
2024-07-01,631.1755,649.2022,625.2794,641.5662,621193,641.5662
2024-07-02,641.5662,646.9791,622.4763,629.0007,535193,629.0007
2024-07-03,632.0938,639.7781,623.0079,636.4917,559614,636.4917
2024-07-04,641.8079,641.8079,626.7776,628.6141,797738,628.6141
2024-07-05,626.3909,638.9081,621.558,636.2017,485063,636.2017
2024-07-08,630.2573,652.4402,630.2573,645.1426,1108576,645.1426
2024-07-09,652.1019,662.9759,639.1014,640.9863,904471,640.9863
2024-07-10,645.6742,651.0387,636.1534,644.7559,763581,644.7559
2024-07-11,649.1538,654.3251,641.8079,643.3544,414215,643.3544
2024-07-12,643.4027,651.4736,637.4582,640.9863,1684615,640.9863
2024-07-15,644.031,655.8232,635.4285,648.8156,411128,648.8156
2024-07-16,651.4736,658.143,636.4917,640.2614,679402,640.2614
2024-07-18,644.4176,651.4737,628.2758,630.1123,558109,630.1123
2024-07-19,630.1123,631.9004,604.9812,613.9704,430800,613.9704
2024-07-22,614.7437,653.1169,614.7437,617.4018,2384814,617.4018
2024-07-23,623.5879,640.358,560.2286,607.3977,2686007,607.3977
2024-07-24,604.1113,619.48,600.4384,611.409,758700,611.409
2024-07-25,599.2784,626.2943,597.4903,617.6917,868815,617.6917
2024-07-26,616.5319,642.7262,614.0188,630.4506,1955484,630.4506
2024-07-29,649.5405,649.5405,626.0527,629.0974,1209618,629.0974
2024-07-30,631.4655,637.8932,619.2383,625.0861,1398029,625.0861
2024-07-31,625.1828,637.8933,620.9299,623.4429,702769,623.4429
2024-08-01,626.7293,650.8454,625.4244,636.2501,1568574,636.2501
2024-08-02,636.7817,643.4028,616.8702,618.9483,599317,618.9483
2024-08-05,613.7771,616.6285,579.0286,581.6867,1075043,581.6867
2024-08-06,591.5459,603.1448,577.0472,581.1552,635508,581.1552
2024-08-07,598.3119,615.227,584.1032,614.0671,781581,614.0671
2024-08-08,617.2085,628.2758,607.9777,621.5581,756314,621.5581
2024-08-09,623.5395,639.3914,610.8773,637.6999,1197134,637.6999
2024-08-12,633.1086,634.0752,616.7735,618.465,617906,618.465
2024-08-13,623.3462,646.5441,621.5097,623.8778,1562368,623.8778
2024-08-14,623.9263,642.1462,613.7772,617.6435,821265,617.6435
2024-08-16,624.3129,668.0989,624.3129,663.8942,3570929,663.8942
2024-08-19,679.6978,702.2191,669.0171,691.2484,3908264,691.2484
2024-08-20,696.9512,699.2227,670.4186,680.4711,1320879,680.4711
2024-08-21,683.2741,710.7249,683.2741,706.6169,1037157,706.6169
2024-08-22,712.2715,714.7362,688.252,692.8432,665807,692.8432
2024-08-23,691.1034,699.6092,680.471,683.7574,517378,683.7574
2024-08-26,689.9435,694.7763,673.415,676.5081,577046,676.5081
2024-08-27,681.3892,689.5568,673.3183,674.6715,640823,674.6715
2024-08-28,678.2478,691.8766,671.8684,673.2216,454975,673.2216
2024-08-29,676.6047,678.5378,650.5071,654.1801,649616,654.1801
2024-08-30,661.0428,664.7158,644.8526,650.5554,1145374,650.5554
2024-09-02,653.9867,661.9127,648.1873,661.1877,979648,661.1877
2024-09-03,665.0058,672.835,656.6932,667.7605,496505,667.7605
2024-09-04,666.9389,675.6381,661.2361,664.7158,385421,664.7158
2024-09-05,666.9389,686.2705,663.4592,683.999,893559,683.999
2024-09-06,686.3188,690.1368,661.6228,664.2325,556681,664.2325
2024-09-09,664.1842,666.0207,640.358,649.8788,746567,649.8788
2024-09-10,657.9014,665.2474,650.6521,651.667,626347,651.667
2024-09-11,655.05,663.3143,648.9606,652.8269,428468,652.8269
2024-09-12,656.6932,660.8012,644.6593,649.8788,598760,649.8788
2024-09-13,651.1837,661.3811,649.0572,651.522,568517,651.522
2024-09-16,651.5703,655.9683,642.5811,645.1909,299417,645.1909
2024-09-17,646.5924,648.3806,632.867,636.3467,359369,636.3467
2024-09-18,636.6367,649.2022,635.5735,646.3508,421526,646.3508
2024-09-19,650.9421,654.6634,618.3684,630.4989,937542,630.4989
