date,open,high,low,close,volume,adj_close
2024-05-21,2195.399,2210.3676,2050.9018,2051.2012,219463,2051.2012
2024-05-22,2080.6396,2153.7364,2070.6106,2143.3083,257139,2143.3083
2024-05-23,2195.3491,2244.0971,2070.91,2089.9202,237416,2089.9202
2024-05-24,2116.1651,2163.4659,2078.7933,2124.248,105365,2124.248
2024-05-27,2133.5287,2210.3676,2107.0342,2149.1958,123421,2149.1958
2024-05-28,2177.1371,2180.3304,2070.4108,2123.8489,79123,2123.8489
2024-05-29,2132.5807,2230.0264,2125.5953,2230.0264,152085,2230.0264
2024-05-30,2245.2944,2320.0377,2214.0598,2229.6772,204036,2229.6772
2024-05-31,2247.2901,2341.1435,2170.4512,2338.1997,290158,2338.1997
2024-06-03,2455.1047,2455.1047,2330.1166,2399.2717,194544,2399.2717
2024-06-04,2392.037,2392.037,2279.3232,2279.3232,133949,2279.3232
2024-06-05,2195.3991,2260.2132,2165.3619,2166.1104,193583,2166.1104
2024-06-06,2219.6482,2274.3833,2195.349,2274.3833,208906,2274.3833
2024-06-07,2315.1481,2501.807,2296.3374,2489.3831,726742,2489.3831
2024-06-10,2524.709,2605.9886,2454.8553,2467.0298,293909,2467.0298
2024-06-11,2484.7925,2510.6881,2385.0016,2413.8411,194639,2413.8411
2024-06-12,2430.0074,2509.7402,2419.9284,2443.3293,151888,2443.3293
2024-06-13,2449.3669,2475.8115,2401.4673,2448.7681,116887,2448.7681
2024-06-14,2458.248,2623.5018,2450.9135,2590.5708,236061,2590.5708
2024-06-18,2616.5166,2619.5103,2521.7153,2530.2974,178309,2530.2974
2024-06-19,2674.2455,2706.3282,2565.6231,2654.9858,360549,2654.9858
2024-06-20,2654.4371,2654.4371,2550.1556,2563.3779,259047,2563.3779
2024-06-21,2566.621,2600.9989,2494.7716,2550.0557,126106,2550.0557
2024-06-24,2550.0557,2600.999,2494.3226,2584.0845,126750,2584.0845
2024-06-25,2584.0845,2635.4768,2544.6671,2553.4487,119042,2553.4487
2024-06-26,2594.0636,2617.5144,2553.6483,2600.051,110154,2600.051
2024-06-27,2604.5416,2644.1585,2569.6647,2587.9265,111972,2587.9265
2024-06-28,2588.1261,2637.8718,2545.9645,2589.0242,93603,2589.0242
2024-07-01,2594.6623,2766.1527,2592.6165,2658.229,282822,2658.229
2024-07-02,2681.3805,2694.3533,2634.9278,2668.1582,106698,2668.1582
2024-07-03,2699.3429,2704.3325,2594.6125,2604.5916,124549,2604.5916
