date,open,high,low,close,volume,adj_close
2024-06-03,86.0,86.35,78.6,80.05,32894,80.05
2024-06-04,80.05,81.4,72.05,72.45,39989,72.45
2024-06-05,75.0,78.7,67.35,77.85,24601,77.85
2024-06-06,78.1,84.55,78.1,83.25,17344,83.25
2024-06-07,85.4,86.4,81.1,84.35,29028,84.35
2024-06-10,86.0,98.49,83.6,95.45,373360,95.45
2024-06-11,97.95,114.54,97.36,114.54,214938,114.54
2024-06-12,137.44,137.44,120.0,130.22,973940,130.22
2024-06-13,130.22,132.0,117.19,118.49,336607,118.49
2024-06-14,123.9,127.2,121.0,124.53,115403,124.53
2024-06-18,123.5,129.5,118.3,119.67,54959,119.67
2024-06-19,122.0,125.65,115.0,118.04,30517,118.04
2024-06-20,119.9,123.0,117.9,118.14,38362,118.14
2024-06-21,121.5,122.85,118.3,119.2,15090,119.2
2024-06-24,119.2,122.9,119.2,121.14,18486,121.14
2024-06-25,119.25,124.2,119.25,120.9,8146,120.9
2024-06-26,120.8,122.0,118.1,120.99,6448,120.99
2024-06-27,122.0,123.95,119.01,119.02,6516,119.02
2024-06-28,119.0,120.3,117.1,117.37,4827,117.37
2024-07-01,117.4,122.9,117.4,121.29,11267,121.29
2024-07-02,121.29,122.8,117.5,122.25,8404,122.25
2024-07-03,119.0,122.5,118.1,118.96,10000,118.96
2024-07-04,118.0,124.9,118.0,124.78,42675,124.78
2024-07-05,125.75,131.01,120.0,131.01,46840,131.01
2024-07-08,137.56,137.56,137.56,137.56,39018,137.56
2024-07-09,144.43,144.43,132.15,136.8,74879,136.8
2024-07-10,130.01,143.64,130.0,143.04,32734,143.04
2024-07-11,143.04,150.19,143.04,147.37,27480,147.37
2024-07-12,145.0,147.0,144.42,145.0,11370,145.0
2024-07-15,145.0,145.0,145.0,145.0,0,145.0
2024-07-16,145.0,145.0,145.0,145.0,0,145.0
2024-07-18,136.46,136.46,136.46,136.46,86,136.46
2024-07-19,133.73,133.73,133.73,133.73,791,133.73
2024-07-22,131.05,131.05,131.05,131.05,1716,131.05
2024-07-23,128.42,128.42,128.42,128.42,1031,128.42
2024-07-24,126.0,130.98,126.0,126.0,10762,126.0
2024-07-25,128.52,128.52,128.5,128.52,2809,128.52
2024-07-26,128.52,130.0,128.52,128.52,3788,128.52
2024-07-29,128.52,128.52,126.0,128.52,6420,128.52
2024-07-30,131.09,131.09,131.09,131.09,8056,131.09
2024-07-31,133.0,133.71,133.0,133.0,4630,133.0
