date,open,high,low,close,volume,adj_close
2024-09-09,55.25,58.84,54.5,56.51,1291140,56.51
2024-09-10,56.99,58.0,55.2,55.53,558321,55.53
2024-09-11,55.89,57.4,55.5,55.79,536432,55.79
2024-09-12,56.14,56.51,54.8,56.08,340197,56.08
2024-09-13,56.4,57.16,55.85,55.97,547103,55.97
2024-09-16,56.29,56.6,54.86,55.3,511916,55.3
2024-09-17,55.45,56.8,54.05,55.06,613996,55.06
2024-09-18,55.06,56.85,54.85,56.06,600873,56.06
2024-09-19,56.25,56.46,53.91,54.3,581809,54.3
2024-09-20,54.5,55.7,53.5,55.06,609868,55.06
2024-09-23,55.06,57.45,54.51,56.29,847121,56.29
2024-09-24,56.6,57.5,55.51,55.81,419958,55.81
2024-09-25,55.87,56.6,54.22,54.99,390673,54.99
2024-09-26,55.15,56.87,53.21,53.85,638920,53.85
2024-09-27,53.99,54.59,52.6,53.03,388615,53.03
2024-09-30,52.9,54.2,52.0,53.49,1019958,53.49
2024-10-01,53.85,55.11,53.5,53.74,552064,53.74
2024-10-03,53.03,53.5,51.1,51.5,456621,51.5
2024-10-04,51.49,52.74,50.31,51.37,331936,51.37
2024-10-07,50.76,51.62,47.2,49.12,747183,49.12
2024-10-08,48.75,53.67,48.0,50.44,587423,50.44
2024-10-09,50.9,52.25,50.9,51.21,277432,51.21
2024-10-10,51.35,52.9,51.21,52.25,399948,52.25
2024-10-11,52.35,52.5,51.5,52.18,222817,52.18
2024-10-14,52.18,52.67,51.51,52.17,192672,52.17
2024-10-15,52.29,52.29,50.77,51.12,267308,51.12
2024-10-16,51.12,51.4,50.4,50.89,171196,50.89
2024-10-17,51.1,56.8,49.22,52.85,1805617,52.85
2024-10-18,51.5,52.39,50.6,51.28,323243,51.28
2024-10-21,51.3,52.0,49.4,49.8,238233,49.8
2024-10-22,49.81,49.85,45.15,46.2,553913,46.2
2024-10-23,46.55,49.29,45.5,47.67,580541,47.67
2024-10-24,48.0,48.43,46.7,46.95,225095,46.95
2024-10-25,47.17,48.44,43.5,44.55,611799,44.55
2024-10-28,44.55,46.84,43.32,46.34,471762,46.34
2024-10-29,46.52,46.7,45.51,46.27,214335,46.27
2024-10-30,46.45,49.0,46.11,48.31,296684,48.31
2024-10-31,48.3,49.38,47.86,48.68,255209,48.68
2024-11-01,50.0,50.0,49.04,49.27,74054,49.27
2024-11-04,49.29,49.56,47.0,47.24,244191,47.24
2024-11-05,47.69,49.47,46.68,47.95,238352,47.95
2024-11-06,48.01,49.25,48.01,48.86,200222,48.86
2024-11-07,49.2,56.25,48.02,53.55,2949494,53.55
2024-11-08,54.8,56.0,51.81,52.33,1702051,52.33
2024-11-11,52.89,54.49,50.09,51.62,777706,51.62
2024-11-12,51.05,52.14,48.15,49.04,660514,49.04
2024-11-13,48.9,49.69,45.26,46.29,570443,46.29
2024-11-14,46.25,47.48,45.26,46.03,365268,46.03
2024-11-18,46.45,47.54,44.1,46.5,565165,46.5
2024-11-19,46.64,51.65,46.64,49.27,1214077,49.27
2024-11-21,49.0,54.45,47.96,51.85,1706440,51.85
2024-11-22,51.0,53.72,48.85,49.45,854580,49.45
2024-11-25,51.5,51.5,48.05,49.17,458009,49.17
2024-11-26,49.29,51.45,49.14,49.34,711730,49.34
2024-11-27,49.59,52.6,49.0,51.11,600980,51.11
2024-11-28,51.35,52.4,49.7,50.03,664312,50.03
2024-11-29,50.23,51.7,48.67,49.47,655887,49.47
2024-12-02,49.49,52.25,49.49,50.76,896976,50.76
