date,open,high,low,close,volume,adj_close
2024-07-22,4726.5477,4848.1311,4724.5987,4763.7168,12540,4763.7168
2024-07-23,4763.7163,4971.7104,4734.0569,4935.0166,56381,4935.0166
2024-07-24,4943.1922,5080.0806,4888.1039,5039.3467,37538,5039.3467
2024-07-25,5036.4,5119.0561,4953.6966,5024.1372,29244,5024.1372
2024-07-26,5033.4531,5064.8707,4971.7106,4984.4014,11444,4984.4014
2024-07-29,5000.2295,5167.5376,4990.7234,5102.6582,25170,5102.6582
2024-07-30,5322.4874,5369.8278,5232.3694,5306.042,182732,5306.042
2024-07-31,5305.3763,5394.734,5249.8128,5371.729,38553,5371.729
2024-08-01,5352.0038,5389.981,5287.3621,5361.7954,22928,5361.7954
2024-08-02,5317.8293,5393.7359,5277.6658,5378.8584,11383,5378.8584
2024-08-05,5323.4379,5385.5128,5242.018,5292.5903,27800,5292.5903
2024-08-06,5292.5901,5788.2406,5273.0552,5506.811,151715,5506.811
2024-08-07,5529.2931,5724.5969,5404.5728,5526.1089,95300,5526.1089
2024-08-08,5526.1085,5703.5405,5519.1687,5552.1074,48288,5552.1074
2024-08-09,5552.108,5656.5809,5544.9311,5562.2324,17822,5562.2324
2024-08-12,5562.2317,5635.5237,5471.3052,5539.4644,35506,5539.4644
2024-08-13,5521.2128,5583.2882,5472.7315,5501.9629,35602,5501.9629
2024-08-14,5489.7949,5558.0488,5471.3053,5486.4678,10499,5486.4678
2024-08-16,5475.5839,5654.537,5475.5839,5561.9951,31119,5561.9951
2024-08-19,5608.6222,5676.0684,5557.289,5568.8867,76638,5568.8867
2024-08-20,5603.8686,5629.9631,5532.5726,5610.4277,14500,5610.4277
2024-08-21,5613.6318,5808.2358,5613.6318,5714.1851,52016,5714.1851
2024-08-22,5714.185,5766.3983,5645.9064,5662.5938,106527,5662.5938
2024-08-23,5622.9554,5732.9282,5570.0249,5599.335,21015,5599.335
2024-08-26,5599.335,5642.0335,5474.7313,5530.1958,19022,5530.1958
2024-08-27,5518.7205,5756.8355,5518.7205,5610.7153,186784,5610.7153
2024-08-28,5648.4884,5737.7573,5585.3736,5698.502,123474,5698.502
2024-08-29,5737.7099,5742.4437,5673.4955,5696.2549,37321,5696.2549
2024-08-30,5661.2542,5833.3379,5661.2542,5799.9155,36735,5799.9155
2024-09-02,5833.3384,6169.1378,5814.2127,6042.0952,100866,6042.0952
2024-09-03,6063.8506,6095.2647,5833.3383,5862.0269,43086,5862.0269
2024-09-04,5795.0873,5928.9672,5785.5721,5889.8071,205379,5889.8071
2024-09-05,5955.7428,5996.2892,5833.386,5879.001,123739,5879.001
2024-09-06,5904.5339,6024.5952,5862.0268,5894.7319,156724,5894.7319
2024-09-09,5913.4749,6049.6022,5854.4243,5877.6143,33557,5877.6143
2024-09-10,5902.1909,6015.3192,5831.4258,5859.6362,24602,5859.6362
2024-09-11,5890.7158,5967.2186,5833.3863,5852.3687,20959,5852.3687
2024-09-12,5857.1496,5984.3355,5828.5567,5847.4434,20006,5847.4434
2024-09-13,5886.0772,5909.7452,5811.3436,5827.1699,29865,5827.1699
2024-09-16,5829.4176,5881.0093,5665.9886,5682.0063,19194,5682.0063
2024-09-17,5682.0061,5764.0075,5649.54,5663.7891,14226,5663.7891
2024-09-18,5710.2642,5722.1225,5552.1905,5575.2847,10692,5575.2847
2024-09-19,5556.0158,5613.3929,5395.3599,5419.5537,18102,5419.5537
2024-09-20,5418.3109,5496.7262,5161.644,5218.3516,223043,5218.3516
2024-09-23,5286.2472,5334.9701,5209.8878,5305.9468,23195,5305.9468
2024-09-24,5325.5511,5325.7901,5193.5837,5235.1821,31950,5235.1821
2024-09-25,5277.6409,5277.6409,5172.5453,5190.2842,14591,5190.2842
2024-09-26,5211.7532,5258.6111,5144.8132,5179.3828,19393,5179.3828
2024-09-27,5239.4377,5628.3109,5180.2433,5574.998,95880,5574.998
2024-09-30,5522.5456,5546.1661,5310.2504,5471.9102,67362,5471.9102
2024-10-01,5515.8991,5573.0853,5293.9934,5319.335,40228,5319.335
2024-10-03,5320.7695,5393.4471,5187.4634,5244.9839,61903,5244.9839
2024-10-04,5326.5074,5513.9392,5316.9445,5370.8789,186588,5370.8789
2024-10-07,5355.1958,5447.1426,5259.6631,5404.6836,41805,5404.6836
2024-10-08,5431.6987,5527.3272,5365.9065,5375.8994,141209,5375.8994
2024-10-09,5425.148,5524.3625,5409.2736,5456.4663,38139,5456.4663
2024-10-10,5504.3765,5584.561,5460.3873,5492.2314,19166,5492.2314
2024-10-11,5534.5953,5593.7416,5408.7957,5507.0063,17768,5507.0063
2024-10-14,5507.006,5679.3763,5507.006,5594.8408,49017,5594.8408
2024-10-15,5594.841,5756.8356,5494.0006,5511.979,47640,5511.979
2024-10-16,5546.8355,5674.4995,5403.0103,5440.2578,33123,5440.2578
2024-10-17,5487.2108,5669.8136,5479.4653,5535.3599,52826,5535.3599
2024-10-18,5479.5126,5545.1139,5367.1492,5425.0044,26145,5425.0044
2024-10-21,5512.6959,5516.7601,5337.3609,5353.1396,17767,5353.1396
2024-10-22,5355.196,5359.2126,5183.1124,5263.0103,33311,5263.0103
2024-10-23,5261.4325,5311.5417,5131.4253,5261.002,17577,5261.002
2024-10-24,5271.2817,5271.2817,4996.5889,5126.3569,15422,5126.3569
2024-10-25,5162.9825,5162.9825,5001.1789,5071.5615,24382,5071.5615
2024-10-28,5020.496,5095.0862,4960.5848,5038.2349,24309,5038.2349
2024-10-29,5099.1983,5109.4307,4936.3431,4969.2393,20558,4969.2393
2024-10-30,5019.54,5056.8351,4862.7093,4874.7104,25032,4874.7104
2024-10-31,4875.0454,4928.3583,4831.8216,4875.0454,20877,4875.0454
2024-11-01,4896.1794,4953.5565,4880.8788,4933.8569,4214,4933.8569
2024-11-04,4933.8564,4981.2882,4816.4724,4961.4453,61077,4961.4453
2024-11-05,4962.0195,5041.5345,4935.4826,5022.8394,12943,5022.8394
2024-11-06,5067.354,5111.3431,5050.8104,5086.7188,15365,5086.7188
2024-11-07,5111.3428,5152.3197,5065.7759,5113.4468,14209,5113.4468
2024-11-08,5149.5946,5149.5946,5033.9318,5055.7354,8574,5055.7354
2024-11-11,5068.3103,5082.6546,4965.5097,4975.8374,17013,4975.8374
2024-11-12,4990.3252,5154.3757,4990.3252,5054.2524,16852,5054.2524
2024-11-13,5054.2527,5054.2527,4904.3074,4980.4277,26794,4980.4277
2024-11-14,4977.4632,5067.354,4953.5561,4979.3281,17568,4979.3281
2024-11-18,4993.9117,4993.9117,4889.2937,4959.1025,14307,4959.1025
2024-11-19,4959.1025,5067.3065,4910.5234,4952.1694,18280,4952.1694
2024-11-21,4961.8279,4982.8662,4877.0533,4906.9849,10111,4906.9849
2024-11-22,4935.3867,5038.9046,4907.033,4997.2104,12148,4997.2104
2024-11-25,5077.8731,5110.4825,4996.5889,5028.9111,14028,5028.9111
2024-11-26,5043.6382,5060.1341,4981.2406,5033.4058,9658,5033.4058
2024-11-27,4996.589,5096.0426,4996.589,5080.2163,27760,5080.2163
2024-11-28,5092.1216,5209.8404,5028.672,5073.7612,12454,5073.7612
2024-11-29,5073.1392,5103.6927,5050.3322,5080.981,4521,5080.981
2024-12-02,5081.6981,5116.1244,5051.1928,5107.4702,9519,5107.4702
2024-12-03,5154.3759,5181.0561,5106.5616,5135.585,15159,5135.585
2024-12-04,5163.9389,5171.5892,5069.2667,5126.7871,11993,5126.7871
2024-12-05,5154.28,5154.28,5049.1844,5057.0737,25847,5057.0737
2024-12-06,5039.6218,5046.3158,4955.7554,5004.1436,34940,5004.1436
2024-12-09,5047.272,5047.272,4828.4261,4836.1245,39660,4836.1245
2024-12-10,4868.4943,4904.5464,4819.6761,4831.4863,22390,4831.4863
2024-12-11,4829.2391,4900.9604,4824.4576,4854.3892,10703,4854.3892
2024-12-12,4873.2282,4932.5178,4838.8019,4860.5098,13883,4860.5098
2024-12-13,4860.7965,4875.1408,4766.6025,4804.4233,12669,4804.4233
2024-12-16,4685.8438,4813.1735,4685.8438,4779.8945,12132,4779.8945
2024-12-17,4796.8211,4826.0835,4754.6489,4801.6025,17077,4801.6025
2024-12-18,4843.5834,5058.6999,4743.1735,4828.7134,94119,4828.7134
2024-12-19,4757.5173,4810.0653,4757.5173,4793.2822,9336,4793.2822
2024-12-20,4793.2822,4834.4982,4399.8667,4465.8027,337182,4465.8027
2024-12-23,4492.5791,4652.3263,4489.8055,4621.3428,41161,4621.3428
2024-12-24,4596.8618,4662.9412,4565.352,4593.8496,21473,4593.8496
2024-12-26,4590.1678,4682.9274,4566.3083,4662.0806,14059,4662.0806
2024-12-27,4673.747,4714.0067,4598.7267,4660.8853,8556,4660.8853
2024-12-30,4618.8564,5229.9225,4571.0421,5131.186,307747,5131.186
2024-12-31,5058.7952,5067.3541,4953.5562,5050.6191,37760,5050.6191
2025-01-01,5039.6215,5118.9932,4947.1009,5075.4346,30466,5075.4346
2025-01-02,5116.1248,5118.9937,5001.4664,5091.4048,27605,5091.4048
2025-01-03,5091.4046,5106.5618,4977.4157,4995.0112,39037,4995.0112
2025-01-06,4995.6328,5044.1643,4884.7037,4904.499,28328,4904.499
2025-01-07,4908.6107,5256.6508,4868.7334,5114.0205,117953,5114.0205
2025-01-08,5125.6871,5301.6435,5035.0315,5146.582,78281,5146.582
2025-01-09,5162.1219,5170.776,5068.3102,5097.0464,18611,5097.0464
2025-01-10,5137.0668,5137.0668,4972.6816,5024.7515,12922,5024.7515
2025-01-13,5024.7519,5060.2778,4840.2841,4867.9688,17531,4867.9688
2025-01-14,4929.6489,4996.5412,4769.2797,4864.9082,24081,4864.9082
2025-01-15,4874.9491,4883.8905,4725.9125,4744.6553,47397,4744.6553
2025-01-16,4745.0857,4809.5873,4714.867,4742.9341,10776,4742.9341
2025-01-17,4747.9552,4782.3338,4705.8787,4741.3569,8842,4741.3569
2025-01-20,4780.4684,4780.8989,4692.8726,4718.2622,23364,4718.2622
2025-01-21,4705.8784,4766.172,4685.844,4728.3511,12861,4728.3511
2025-01-22,4718.4061,4767.081,4554.929,4582.9961,19095,4582.9961
2025-01-23,4590.1678,4616.8962,4561.4793,4575.4888,14793,4575.4888
2025-01-24,4600.7824,4600.7824,4494.539,4507.8794,18427,4507.8794
2025-01-27,4471.6362,4482.2034,4341.6295,4390.7349,13643,4390.7349
2025-01-28,4398.8156,4454.854,4220.1336,4229.9355,22013,4229.9355
2025-01-29,4236.2467,4323.6034,4231.6086,4290.4683,13923,4290.4683
2025-01-30,4351.0967,4373.5694,4298.1186,4321.5952,10750,4321.5952
2025-01-31,4255.5161,4363.3853,4255.5161,4339.813,13735,4339.813
2025-02-01,4270.8161,4394.0335,4265.9871,4363.3848,12138,4363.3848
2025-02-03,4375.0039,4375.0039,4184.7508,4307.251,24868,4307.251
2025-02-04,4317.5308,4318.9652,4218.4119,4232.3257,16429,4232.3257
2025-02-05,4273.6379,4273.6379,4160.7963,4185.6597,39060,4185.6597
2025-02-06,4206.6978,4251.5955,4179.6827,4221.9507,26813,4221.9507
2025-02-07,4264.8399,4264.8399,4140.0928,4167.3945,17807,4167.3945
2025-02-10,4112.9817,4156.9708,4045.1812,4062.3943,16807,4062.3943
2025-02-11,4091.7044,4091.7044,3882.517,3931.4309,21760,3931.4309
2025-02-12,3946.014,3962.7014,3835.2286,3940.4197,20677,3940.4197
2025-02-13,3930.3311,4231.9914,3910.2491,3986.7996,116608,3986.7996
2025-02-14,4015.4406,4063.0634,3884.4295,3995.5977,23705,3995.5977
2025-02-17,3995.5977,4010.0377,3873.002,3970.9734,27337,3970.9734
2025-02-18,3948.9788,3971.2601,3892.558,3944.6279,18080,3944.6279
2025-02-19,3958.0634,4004.9214,3896.8612,3950.0784,13696,3950.0784
2025-02-20,3969.8738,3969.9214,3892.0799,3930.3789,203656,3930.3789
2025-02-21,3956.151,3996.7931,3902.0252,3916.0828,16716,3916.0828
2025-02-24,3916.0827,4274.5939,3915.987,4009.4639,1098565,4009.4639
2025-02-25,4006.4516,4031.6017,3926.5537,3944.8188,46306,3944.8188
2025-02-27,3938.651,3959.0197,3836.5195,3873.0498,33270,3873.0498
2025-02-28,3825.379,3910.0581,3739.0743,3873.6714,52535,3873.6714
