date,open,high,low,close,volume,adj_close
2024-05-21,212.0,212.9,208.0,209.85,404333,209.85
2024-05-22,210.0,217.35,206.9,209.8,487094,209.8
2024-05-23,212.0,214.45,208.75,209.85,279436,209.85
2024-05-24,209.85,211.5,203.0,203.65,508373,203.65
2024-05-27,205.9,205.9,196.5,199.2,314208,199.2
2024-05-28,199.7,200.65,192.8,194.65,206700,194.65
2024-05-29,195.0,195.9,190.0,190.95,184761,190.95
2024-05-30,192.9,197.0,191.6,193.55,303370,193.55
2024-05-31,194.0,196.45,187.75,189.35,440509,189.35
2024-06-03,197.0,202.05,191.05,197.2,367596,197.2
2024-06-04,196.35,196.35,169.7,180.15,365546,180.15
2024-06-05,182.0,186.3,177.3,185.05,231341,185.05
2024-06-06,186.75,195.1,186.4,191.75,188492,191.75
2024-06-07,192.0,196.4,190.3,194.75,145873,194.75
2024-06-10,194.75,199.28,192.85,196.55,338518,196.55
2024-06-11,198.1,205.8,194.53,201.47,350601,201.47
2024-06-12,199.5,206.3,199.5,201.19,185911,201.19
2024-06-13,202.0,205.98,201.0,201.91,94227,201.91
2024-06-14,204.0,213.15,202.25,210.19,602340,210.19
2024-06-18,212.7,215.33,207.55,213.76,382903,213.76
2024-06-19,214.0,215.4,200.33,204.92,309385,204.92
2024-06-20,206.95,214.89,205.29,210.25,350656,210.25
2024-06-21,210.75,214.0,209.0,210.47,268452,210.47
2024-06-24,210.5,220.5,210.47,211.52,435074,211.52
2024-06-25,213.65,219.29,200.98,202.79,2277224,202.79
2024-06-26,202.79,204.47,195.25,196.92,254702,196.92
2024-06-27,197.5,208.2,197.11,199.73,648131,199.73
2024-06-28,200.92,204.5,197.5,198.39,198701,198.39
2024-07-01,198.89,207.95,198.89,203.39,481589,203.39
2024-07-02,205.45,213.16,204.0,209.31,1680810,209.31
2024-07-03,212.0,217.1,209.31,211.65,649596,211.65
2024-07-04,212.5,216.25,210.49,212.06,602228,212.06
2024-07-05,214.4,228.4,208.21,225.85,5420092,225.85
2024-07-08,228.0,237.0,218.22,230.08,5206666,230.08
2024-07-09,234.6,241.4,231.17,237.55,4728927,237.55
2024-07-10,240.2,243.9,230.55,237.02,2030380,237.02
2024-07-11,241.1,243.95,238.0,242.65,1411779,242.65
2024-07-12,242.99,244.4,234.0,236.54,928938,236.54
2024-07-15,237.9,269.9,234.53,259.27,4896207,259.27
2024-07-16,261.0,269.39,253.26,254.61,1016668,254.61
2024-07-18,256.64,267.0,248.01,261.7,1417618,261.7
2024-07-19,270.0,272.0,245.78,248.6,1258776,248.6
