date,open,high,low,close,volume,adj_close
2024-09-02 00:00:00,430.3,437.25,418.95,431.65,88422,431.65
2024-09-03 00:00:00,435.0,442.1,427.05,439.25,250768,439.25
2024-09-04 00:00:00,441.6,441.6,432.85,435.2,90601,435.2
2024-09-05 00:00:00,444.2,454.8,437.0,443.05,324044,443.05
2024-09-06 00:00:00,446.95,446.95,416.05,419.5,151717,419.5
2024-09-09 00:00:00,417.1,432.2,415.35,428.3,55768,428.3
2024-09-10 00:00:00,430.0,439.2,425.0,431.15,33154,431.15
2024-09-11 00:00:00,432.0,433.0,423.0,424.0,30625,424.0
2024-09-12 00:00:00,429.9,429.9,417.6,419.95,21665,419.95
2024-09-13 00:00:00,418.2,434.2,418.2,430.3,29604,430.3
2024-09-16 00:00:00,427.15,442.0,426.4,439.0,105690,439.0
2024-09-17 00:00:00,439.9,440.4,418.25,419.95,62946,419.95
2024-09-18 00:00:00,419.45,420.1,405.25,417.05,60649,417.05
2024-09-19 00:00:00,417.2,420.15,404.75,409.95,77070,409.95
2024-09-20 00:00:00,409.95,420.0,408.95,417.4,19451,417.4
2024-09-23 00:00:00,419.6,420.7,410.7,418.1,47178,418.1
2024-09-24 00:00:00,418.1,427.05,412.05,422.0,71713,422.0
2024-09-25 00:00:00,423.05,432.5,417.05,419.95,133742,419.95
2024-09-26 00:00:00,420.1,420.1,400.0,403.15,60898,403.15
2024-09-27 00:00:00,404.5,410.0,399.55,402.8,61765,402.8
2024-09-30 00:00:00,404.9,407.45,396.3,400.2,27851,400.2
2024-10-01 00:00:00,396.6,402.3,396.6,400.4,26243,400.4
2024-10-03 00:00:00,400.4,402.05,385.0,386.15,31329,386.15
2024-10-04 00:00:00,388.2,394.85,375.05,378.8,49944,378.8
2024-10-07 00:00:00,381.55,388.3,356.0,358.9,46441,358.9
2024-10-08 00:00:00,363.3,378.45,358.55,374.1,27818,374.1
2024-10-09 00:00:00,373.65,377.45,364.95,371.25,54870,371.25
2024-10-10 00:00:00,373.9,383.0,372.75,381.35,20820,381.35
2024-10-11 00:00:00,378.55,386.95,377.3,382.45,12569,382.45
2024-10-14 00:00:00,382.0,399.55,376.8,396.65,28990,396.65
2024-10-15 00:00:00,396.0,404.85,383.55,398.25,25756,398.25
2024-10-16 00:00:00,398.25,400.0,387.0,394.75,17771,394.75
2024-10-17 00:00:00,392.2,395.0,383.0,383.95,30936,383.95
2024-10-18 00:00:00,380.5,395.5,378.0,393.1,20169,393.1
2024-10-21 00:00:00,390.05,390.95,378.0,380.75,61723,380.75
2024-10-22 00:00:00,382.75,383.2,370.0,376.15,25322,376.15
2024-10-23 00:00:00,360.0,381.9,360.0,367.65,35630,367.65
2024-10-24 00:00:00,368.65,377.9,366.35,369.7,8591,369.7
2024-10-25 00:00:00,369.75,369.75,359.45,362.0,35496,362.0
2024-10-28 00:00:00,367.0,369.4,355.0,366.3,27160,366.3
2024-10-29 00:00:00,373.65,383.35,361.05,377.15,46378,377.15
