date,open,high,low,close,volume,adj_close
2024-05-21,87.8259,88.249,86.9549,88.0499,15850,88.0499
2024-05-22,87.6766,88.0748,84.7648,87.0793,25830,87.0793
2024-05-23,88.3734,88.3734,83.62,84.6404,27550,84.6404
2024-05-24,84.1178,86.7558,82.7988,83.6698,21964,83.6698
2024-05-27,83.6449,84.5657,82.1766,82.525,21564,82.525
2024-05-28,82.973,83.9684,82.1268,82.6494,16084,82.6494
2024-05-29,83.3712,83.844,82.1268,82.3757,10158,82.3757
2024-05-30,82.749,84.4164,79.6381,81.7037,21456,81.7037
2024-05-31,81.1313,82.1019,79.9119,80.6585,17790,80.6585
2024-06-03,81.2558,82.525,78.9164,79.5137,31190,79.5137
2024-06-04,80.1608,80.6087,71.9481,74.7852,38940,74.7852
2024-06-05,74.8101,79.5883,74.4368,79.3644,27824,79.3644
2024-06-06,83.1223,84.5657,77.6969,79.3395,16972,79.3395
2024-06-07,79.7377,81.9277,79.1902,80.0363,25680,80.0363
2024-06-10,81.1313,84.516,78.5481,83.2666,47132,83.2666
2024-06-11,82.525,84.516,82.1467,84.2422,34256,84.2422
2024-06-12,84.6653,85.4865,83.625,84.9291,31034,84.9291
2024-06-13,85.3621,85.8598,83.7942,84.7101,33804,84.7101
2024-06-14,85.1132,85.601,83.8689,84.0531,25868,84.0531
2024-06-18,84.1178,98.2784,84.1178,95.8445,445148,95.8445
2024-06-19,104.525,113.4843,99.5477,107.1581,1333150,107.1581
2024-06-20,105.2766,111.4685,102.7829,105.1223,500418,105.1223
2024-06-21,105.1223,106.521,95.073,96.5463,223910,96.5463
2024-06-24,94.62,97.059,93.0771,93.6893,71660,93.6893
2024-06-25,93.6893,98.5273,93.6893,95.6305,56154,95.6305
2024-06-26,96.1133,97.059,93.8237,94.411,41112,94.411
2024-06-27,93.6246,97.059,92.7038,93.7241,37078,93.7241
2024-06-28,94.2218,96.3571,91.5888,92.3752,52842,92.3752
2024-07-01,92.873,96.0635,91.0911,95.063,40424,95.063
2024-07-02,95.5658,96.4866,94.2816,95.1178,32098,95.1178
2024-07-03,95.6155,97.5567,95.4662,95.8146,33128,95.8146
2024-07-04,96.3721,97.5517,94.9834,97.1436,50300,97.1436
2024-07-05,98.801,100.0205,93.7241,94.4259,72256,94.4259
2024-07-08,94.4259,102.0363,93.6096,97.4273,161580,97.4273
2024-07-09,98.7513,101.6133,97.3576,98.4576,81468,98.4576
2024-07-10,98.9006,99.0648,93.087,96.3422,54090,96.3422
2024-07-11,96.8599,99.1992,95.9639,96.8001,31706,96.8001
2024-07-12,96.8001,100.2843,94.4309,94.7594,63872,94.7594
2024-07-15,94.7694,95.8146,94.0725,94.849,16316,94.849
2024-07-16,94.849,94.9983,92.5793,93.4852,24250,93.4852
2024-07-18,93.4852,96.8101,92.3304,96.0436,79624,96.0436
2024-07-19,96.5563,96.5612,93.321,93.7241,60766,93.7241
2024-07-22,93.7241,96.0933,91.8327,94.6599,50864,94.6599
2024-07-23,95.1526,95.7599,91.335,91.778,38268,91.778
2024-07-24,91.5888,93.9581,91.4943,92.9875,25204,92.9875
2024-07-25,93.077,94.9685,92.0865,94.62,59038,94.62
2024-07-26,93.973,95.4662,92.0866,93.2712,21404,93.2712
2024-07-29,93.7739,98.5522,93.7739,97.6065,96750,97.6065
2024-07-30,97.6065,104.3757,97.059,103.6888,254446,103.6888
2024-07-31,103.6938,106.6653,98.5522,99.9956,196576,99.9956
2024-08-01,100.5431,102.4992,94.5703,95.0979,87524,95.0979
2024-08-02,95.3169,96.8599,94.4807,95.2372,33066,95.2372
2024-08-05,94.3712,96.3571,91.1856,91.8626,61592,91.8626
2024-08-06,91.8576,94.2915,90.5884,91.0961,17972,91.0961
2024-08-07,91.6834,95.1078,90.9915,93.8038,19352,93.8038
2024-08-08,93.2264,95.1924,92.1363,92.4748,10404,92.4748
2024-08-09,92.2608,94.0725,90.5038,91.8327,26802,91.8327
2024-08-12,91.8327,95.5558,91.1408,92.8979,39402,92.8979
2024-08-13,93.3757,97.0789,91.2653,91.6734,52822,91.6734
2024-08-14,92.0816,96.5612,88.6472,92.6092,154016,92.6092
2024-08-16,93.0771,95.068,91.992,92.9725,22452,92.9725
2024-08-19,93.4753,94.3413,92.5644,92.5893,32614,92.5893
2024-08-20,93.1268,94.5404,91.768,92.5992,24784,92.5992
2024-08-21,93.2761,94.1671,92.5893,93.5001,22068,93.5001
2024-08-22,94.5703,98.4476,94.5703,96.7305,103060,96.7305
2024-08-23,97.2581,97.9997,94.5703,95.4861,17422,95.4861
2024-08-26,93.8983,96.8847,93.8983,95.7947,38594,95.7947
2024-08-27,96.3124,99.0499,95.8146,96.2477,42034,96.2477
2024-08-28,96.7603,98.4974,96.3123,96.3173,39754,96.3173
2024-08-29,96.4069,102.5341,94.6499,101.3992,308238,101.3992
2024-08-30,102.2852,102.2852,98.0495,98.4925,118236,98.4925
2024-09-02,98.4924,102.6087,97.6562,102.106,138080,102.106
2024-09-03,103.0318,109.9902,102.549,104.8784,418092,104.8784
