date,open,high,low,close,volume,adj_close
2024-05-21,42.9,42.9,41.95,42.1,3774682,42.1
2024-05-22,42.3,42.4,41.65,41.9,2890637,41.9
2024-05-23,41.95,42.8,41.75,41.85,4055725,41.85
2024-05-24,41.8,42.8,41.6,41.7,4966423,41.7
2024-05-27,41.8,42.2,41.3,41.65,3898980,41.65
2024-05-28,41.75,41.8,41.0,41.2,3699674,41.2
2024-05-29,41.2,41.7,41.0,41.45,3194600,41.45
2024-05-30,41.0,41.25,40.3,40.4,5369583,40.4
2024-05-31,40.4,40.75,39.6,40.1,3537654,40.1
2024-06-03,41.5,41.8,40.65,41.0,5542324,41.0
2024-06-04,41.25,41.3,36.55,38.6,8535490,38.6
2024-06-05,39.35,39.85,38.0,39.7,5888694,39.7
2024-06-06,40.25,41.2,40.15,40.75,4347445,40.75
2024-06-07,41.0,43.5,40.6,43.0,20101775,43.0
2024-06-10,43.03,43.44,42.42,42.5,7216151,42.5
2024-06-11,42.65,45.14,41.93,44.48,30240741,44.48
2024-06-12,44.75,45.25,44.07,44.16,14096822,44.16
2024-06-13,44.95,49.95,44.95,49.3,216617224,49.3
2024-06-14,49.75,51.25,48.5,49.15,96428953,49.15
2024-06-18,49.15,49.6,47.33,47.81,37653384,47.81
2024-06-19,48.1,52.27,46.42,51.1,138121783,51.1
2024-06-20,51.45,52.7,50.65,51.61,65975099,51.61
2024-06-21,51.72,53.35,50.92,51.63,62379953,51.63
2024-06-24,51.33,51.75,49.54,50.02,28036603,50.02
2024-06-25,50.45,52.3,50.4,51.51,38926761,51.51
2024-06-26,51.51,51.95,50.09,50.43,21667584,50.43
2024-06-27,50.56,50.66,48.26,48.78,19642006,48.78
2024-06-28,48.9,50.1,48.76,49.04,20591251,49.04
2024-07-01,49.11,50.08,48.72,49.12,14442333,49.12
2024-07-02,49.19,50.58,47.95,49.52,23452079,49.52
2024-07-03,49.84,50.15,49.02,49.21,14629490,49.21
2024-07-04,49.49,49.49,48.0,48.16,15352445,48.16
2024-07-05,48.09,48.81,48.0,48.09,12025327,48.09
2024-07-08,48.25,49.39,47.5,48.39,17603014,48.39
2024-07-09,48.51,51.35,48.13,49.41,46646523,49.41
