date,open,high,low,close,volume,adj_close
2024-05-21,166.7477,171.5988,163.1217,170.8638,66484390,170.8638
2024-05-22,171.5007,171.8438,163.7587,165.6697,53954827,165.6697
2024-05-23,165.3757,166.5517,163.1707,165.9147,24560357,165.9147
2024-05-24,164.0527,169.0507,164.0527,166.1107,29513626,166.1107
2024-05-27,167.0907,167.8747,162.6807,163.3177,22933660,163.3177
2024-05-28,164.1507,165.8167,158.3197,159.1527,26336009,159.1527
2024-05-29,158.9567,162.3867,157.3887,159.1527,22527881,159.1527
2024-05-30,158.2707,159.0057,153.5667,154.5957,19706386,154.5957
2024-05-31,156.8007,158.0257,153.6157,155.3307,23260857,155.3307
2024-06-03,164.6407,164.6407,159.8877,163.0237,33154820,163.0237
2024-06-04,161.6027,161.6027,122.3045,130.3896,114541715,130.3896
2024-06-05,135.9266,144.5016,125.4895,142.6396,61202268,142.6396
2024-06-06,142.1006,148.7646,141.4146,143.9626,57006811,143.9626
2024-06-07,144.0116,150.7737,142.6886,149.6956,41207266,149.6956
2024-06-10,149.5486,149.9406,147.0496,147.5886,23373558,147.5886
2024-06-11,148.0982,149.9406,146.5106,147.9904,20500708,147.9904
2024-06-12,148.2746,149.5976,147.5396,147.9904,19275571,147.9904
2024-06-13,148.7646,149.4702,146.0206,146.638,17125245,146.638
2024-06-14,146.7066,150.8226,144.8054,150.558,30233323,150.558
2024-06-18,151.3029,152.0379,149.4506,150.3425,18708072,150.3425
2024-06-19,150.9697,150.9697,146.5106,146.9516,18855153,146.9516
2024-06-20,147.4906,151.2146,147.4906,150.95,28456396,150.95
2024-06-21,151.5087,156.1147,150.8325,152.3319,69503068,152.3319
2024-06-24,149.8524,149.8524,145.5306,146.8536,40874886,146.8536
2024-06-25,147.7846,148.3922,143.1786,144.0704,25039730,144.0704
2024-06-26,144.5016,144.6388,140.7286,141.0912,31444537,141.0912
2024-06-27,141.8066,144.0116,134.4566,140.023,57711655,140.023
2024-06-28,141.1206,148.2256,140.9344,145.6776,72583869,145.6776
2024-07-01,146.9026,147.4416,144.7662,146.0794,25711956,146.0794
2024-07-02,146.6087,146.8831,142.4926,143.747,24720763,143.747
2024-07-03,144.6976,148.9606,143.4334,148.5882,34424841,148.5882
2024-07-04,149.9407,150.5385,147.6474,148.0296,29926272,148.0296
2024-07-05,148.3726,155.5757,146.8536,152.4985,62621310,152.4985
2024-07-08,153.3707,154.8407,151.1265,153.3511,33290711,153.3511
2024-07-09,154.1547,155.0563,152.0869,152.8709,21076732,152.8709
2024-07-10,153.0767,153.1747,143.4236,147.8532,39898433,147.8532
2024-07-11,148.8136,150.0876,147.5788,148.8136,30388365,148.8136
2024-07-12,149.4996,150.264,146.1872,147.4122,16353263,147.4122
2024-07-15,147.9806,150.1366,145.8246,148.99,43598260,148.99
2024-07-16,149.4506,150.8716,147.5886,147.9708,17044483,147.9708
2024-07-18,147.7846,147.7846,143.7666,144.9328,24504144,144.9328
2024-07-19,144.5016,144.5016,138.014,138.9842,34312977,138.9842
2024-07-22,138.5726,140.7286,135.4562,140.415,23158599,140.415
2024-07-23,141.0226,141.6988,132.5946,138.5628,25864567,138.5628
2024-07-24,138.6706,144.6486,138.5628,144.0508,31951790,144.0508
2024-07-25,142.0026,142.0026,138.5824,139.7388,31653400,139.7388
2024-07-26,142.1006,145.021,140.9638,144.4428,25911057,144.4428
2024-07-29,146.1578,147.0006,143.8646,144.7858,15136406,144.7858
2024-07-30,144.5212,146.6184,143.3746,145.1386,12316097,145.1386
2024-07-31,146.5106,150.9304,144.7074,149.9798,35735761,149.9798
2024-08-01,150.9697,153.2237,146.05,147.03,37281190,147.03
2024-08-02,144.776,145.217,142.1986,143.306,29660329,143.306
2024-08-05,138.1806,139.1606,132.3006,133.8882,49706240,133.8882
2024-08-06,136.5048,138.6706,131.987,132.7514,23211408,132.7514
2024-08-07,137.0046,139.9936,134.4664,138.798,22300426,138.798
2024-08-08,138.4746,138.4746,133.7706,134.7016,25849915,134.7016
2024-08-09,133.2806,134.4174,126.3127,126.7636,76287884,126.7636
2024-08-12,126.6656,130.2916,124.5585,129.0666,33401039,129.0666
2024-08-13,129.5566,129.8506,125.1661,125.5777,16376718,125.5777
2024-08-14,126.4695,126.9105,122.5005,122.7259,22221242,122.7259
2024-08-16,125.2151,126.1069,124.0685,125.7149,15743875,125.7149
2024-08-19,127.4006,129.0176,126.6656,128.6942,14677989,128.6942
2024-08-20,129.8408,130.7816,128.1944,130.4876,16842938,130.4876
2024-08-21,130.6346,132.6338,129.8015,132.3398,14879021,132.3398
2024-08-22,132.4672,132.6828,130.6052,131.203,17039181,131.203
2024-08-23,131.2226,132.33,128.8706,129.1548,14050547,129.1548
2024-08-26,130.7228,136.005,129.7526,134.9956,32800586,134.9956
2024-08-27,134.9956,135.4856,132.8886,133.1826,12380923,133.1826
2024-08-28,133.1826,133.6726,130.6836,131.3598,11414976,131.3598
2024-08-29,131.2226,132.3006,129.2136,131.5656,12348963,131.5656
2024-08-30,131.8988,133.3296,130.6836,131.0168,13016284,131.0168
2024-09-02,131.1834,131.4578,129.0764,130.5072,12601742,130.5072
2024-09-03,129.8604,130.9286,128.6354,129.145,10986546,129.145
2024-09-04,126.4206,129.2038,126.1265,127.8514,18956457,127.8514
2024-09-05,127.9395,129.6546,127.8513,128.5961,8679395,128.5961
2024-09-06,128.7725,129.3115,125.7345,126.7929,17177552,126.7929
2024-09-09,126.3225,126.7636,123.5883,125.3523,19613019,125.3523
2024-09-10,125.4405,128.4296,125.3523,126.5577,12603493,126.5577
2024-09-11,126.4989,127.3908,123.7647,124.4311,13139629,124.4311
2024-09-12,126.9105,128.4492,124.3625,128.0768,19264974,128.0768
2024-09-13,128.8706,131.7028,128.7922,129.5566,20166379,129.5566
2024-09-16,130.3406,131.399,129.1155,130.3797,13553090,130.3797
2024-09-17,130.1054,130.3406,127.8905,129.2919,10754987,129.2919
2024-09-18,129.0175,129.2528,126.0775,127.0575,10725965,127.0575
2024-09-19,128.8847,129.3686,122.2676,124.9737,25229973,124.9737
2024-09-20,125.6749,126.702,123.8577,124.7169,13885160,124.7169
2024-09-23,124.9342,128.3908,124.9342,128.0748,13387033,128.0748
2024-09-24,129.8723,133.3981,129.6649,132.2228,41641928,132.2228
2024-09-25,133.329,135.4523,132.3413,132.5685,35498522,132.5685
2024-09-26,133.329,137.8621,130.6624,137.477,49823297,137.477
2024-09-27,138.2671,142.4151,137.9313,138.8004,37975068,138.8004
2024-09-30,139.6497,142.1583,138.6127,139.6102,38187620,139.6102
2024-10-01,139.6398,140.3608,136.1832,139.2843,24528692,139.2843
2024-10-03,136.835,139.8966,134.4647,135.3338,35238490,135.3338
2024-10-04,134.8598,138.8596,132.4796,137.2893,31936926,137.2893
2024-10-07,138.2374,138.7806,129.1019,130.5537,28331416,130.5537
2024-10-08,128.9834,131.966,126.2576,129.7439,40037615,129.7439
2024-10-09,129.7735,131.6697,128.2526,128.7168,14125865,128.7168
2024-10-10,129.3785,131.3043,128.0155,128.3612,12920873,128.3612
2024-10-11,128.5884,133.4475,128.3612,132.371,22981754,132.371
2024-10-14,134.1191,135.6301,132.0055,132.6673,16794560,132.6673
2024-10-15,132.6673,133.2302,128.8847,129.3192,11128839,129.3192
2024-10-16,128.5884,130.0204,127.4822,128.3118,13606967,128.3118
2024-10-17,129.2797,129.3686,125.9712,126.2477,15490412,126.2477
2024-10-18,124.9342,128.9735,123.8675,127.4328,26363209,127.4328
2024-10-21,128.5983,129.5661,124.47,124.8947,15437195,124.8947
2024-10-22,125.0329,125.8033,119.1566,120.2923,22167864,120.2923
2024-10-23,119.0084,121.1219,114.8604,116.6678,37778891,116.6678
2024-10-24,117.2307,117.4184,115.2555,115.6801,16209896,115.6801
2024-10-25,115.6801,116.5493,109.0335,110.1001,30812614,110.1001
2024-10-28,110.9692,114.4357,109.8235,113.2506,19503346,113.2506
2024-10-29,113.458,114.7617,111.3346,114.2777,14707069,114.2777
