date,open,high,low,close,volume,adj_close
2024-05-21,5.3,5.55,5.15,5.35,106317,5.35
2024-05-22,5.55,5.55,5.2,5.25,58556,5.25
2024-05-23,5.35,5.45,5.05,5.2,62326,5.2
2024-05-24,5.2,5.4,5.1,5.25,66391,5.25
2024-05-27,5.3,5.35,5.1,5.15,41297,5.15
2024-05-28,5.15,5.25,5.05,5.1,39895,5.1
2024-05-29,5.2,5.2,4.9,5.1,22262,5.1
2024-05-30,5.2,5.2,4.95,4.95,69275,4.95
2024-05-31,5.0,5.15,4.95,5.1,32410,5.1
2024-06-03,5.25,5.35,4.9,5.0,100383,5.0
2024-06-04,5.0,5.0,4.75,4.85,70333,4.85
2024-06-05,5.0,5.0,4.6,4.65,152985,4.65
2024-06-06,4.65,4.75,4.5,4.6,48752,4.6
2024-06-07,4.7,4.8,4.5,4.8,48491,4.8
2024-06-10,5.04,5.04,4.81,4.9,67629,4.9
2024-06-11,4.99,5.0,4.74,4.94,35692,4.94
2024-06-12,5.17,5.17,4.8,4.83,71940,4.83
2024-06-13,4.99,5.0,4.59,4.78,226413,4.78
2024-06-14,4.9,4.97,4.7,4.9,113330,4.9
2024-06-18,4.9,5.07,4.87,4.93,149356,4.93
2024-06-19,4.94,5.01,4.85,4.93,84365,4.93
2024-06-20,5.12,5.12,4.86,4.95,41096,4.95
2024-06-21,5.07,5.07,4.88,4.94,65444,4.94
2024-06-24,4.99,4.99,4.8,4.84,125121,4.84
2024-06-25,5.0,5.0,4.78,4.8,105988,4.8
2024-06-26,4.9,4.9,4.67,4.77,177385,4.77
2024-06-27,4.85,4.85,4.66,4.69,62362,4.69
2024-06-28,4.8,4.9,4.59,4.69,122110,4.69
2024-07-01,4.76,4.76,4.55,4.62,80799,4.62
2024-07-02,4.71,4.71,4.59,4.65,46919,4.65
2024-07-03,4.68,4.69,4.41,4.5,262234,4.5
2024-07-04,4.58,4.72,4.5,4.72,190836,4.72
2024-07-05,4.91,4.95,4.61,4.95,235706,4.95
2024-07-08,4.94,5.19,4.94,5.19,172885,5.19
2024-07-09,5.44,5.44,5.3,5.44,184593,5.44
