date,open,high,low,close,volume,adj_close
2026-01-29,171.03,177.99,171.0,176.63,153743,176.63
2026-01-30,177.0,178.0,169.0,170.27,87917,170.27
2026-02-02,168.86,171.94,163.55,164.58,39713,164.58
2026-02-03,172.75,172.8,166.5,171.95,70689,171.95
2026-02-04,180.0,180.54,176.0,180.53,157909,180.53
2026-02-05,181.0,188.5,174.0,187.46,161551,187.46
2026-02-06,190.0,190.75,181.15,188.95,92756,188.95
2026-02-09,187.65,195.9,185.1,187.73,98496,187.73
2026-02-10,195.9,195.9,187.3,189.2,76022,189.2
2026-02-11,191.0,195.5,189.13,194.84,89633,194.84
2026-02-12,197.0,197.0,191.51,194.68,56370,194.68
2026-02-13,191.0,194.0,185.0,186.3,110469,186.3
2026-02-16,187.99,187.99,176.99,177.32,92432,177.32
2026-02-17,175.6,176.99,171.93,173.22,77161,173.22
2026-02-18,172.1,181.88,172.1,181.88,105946,181.88
2026-02-19,190.97,190.97,182.0,183.87,143567,183.87
2026-02-20,183.87,184.69,178.0,178.85,55347,178.85
2026-02-23,181.0,181.89,172.0,173.32,72883,173.32
2026-02-24,179.0,181.98,164.66,165.66,744730,165.66
2026-02-25,167.0,170.0,162.5,166.25,145305,166.25
2026-02-26,166.25,167.6,157.94,158.69,191649,158.69
2026-02-27,160.1,162.12,153.0,159.86,131254,159.86
2026-03-02,154.0,167.85,153.1,162.8,222545,162.8
2026-03-04,161.0,161.05,155.5,157.81,145682,157.81
2026-03-05,162.0,164.9,158.21,162.02,58064,162.02
2026-03-06,160.69,162.4,159.5,160.13,37125,160.13
2026-03-09,163.9,163.9,152.13,152.47,141869,152.47
2026-03-10,153.0,158.5,151.91,156.26,87680,156.26
2026-03-11,156.0,158.58,153.0,154.75,82497,154.75
2026-03-12,154.5,156.99,149.62,152.62,127654,152.62
2026-03-13,152.3,154.8,144.99,145.27,155403,145.27
2026-03-16,145.0,147.69,140.1,144.28,167567,144.28
2026-03-17,145.1,151.49,145.07,151.49,208929,151.49
2026-03-18,153.0,159.06,153.0,159.06,76789,159.06
2026-03-19,164.63,167.01,160.5,164.68,476276,164.68
2026-03-20,167.0,172.91,165.51,172.48,251180,172.48
2026-03-23,178.0,178.0,163.86,163.86,211909,163.86
2026-03-24,167.8,171.5,162.15,163.83,169043,163.83
2026-03-25,165.99,167.15,160.0,163.45,108494,163.45
2026-03-27,160.45,160.45,155.28,155.28,169517,155.28
2026-03-30,153.0,154.0,147.52,147.52,128419,147.52
2026-04-01,150.0,154.89,150.0,154.89,37827,154.89
2026-04-02,155.5,159.0,147.15,157.64,74750,157.64
2026-04-06,158.7,160.39,150.1,156.52,92761,156.52
2026-04-07,155.0,162.0,153.0,161.66,67978,161.66
2026-04-08,169.69,169.74,167.07,169.74,46865,169.74
2026-04-09,172.0,173.1,166.26,170.89,92381,170.89
2026-04-10,172.0,179.43,172.0,179.43,139181,179.43
2026-04-13,174.5,174.98,170.46,172.89,195429,172.89
2026-04-15,174.0,181.53,174.0,180.8,178324,180.8
2026-04-16,183.99,189.84,183.44,189.84,78569,189.84
2026-04-17,196.4,199.33,192.0,196.1,657429,196.1
2026-04-20,203.0,205.9,199.93,205.9,277593,205.9
2026-04-21,216.19,216.19,205.9,216.19,524491,216.19
2026-04-22,226.99,226.99,222.0,226.99,705607,226.99
2026-04-23,237.0,238.33,223.0,238.33,1175902,238.33
2026-04-24,239.7,239.7,226.42,236.66,800077,236.66
2026-04-27,248.49,248.49,248.49,248.49,85467,248.49
2026-04-28,260.91,260.91,260.91,260.91,28199,260.91
2026-04-29,273.95,273.95,273.95,273.95,49851,273.95
2026-04-30,287.64,287.64,275.0,287.64,1573591,287.64
2026-05-04,297.0,302.0,273.3,295.5,1240325,295.5
2026-05-05,285.0,299.95,281.1,293.9,500608,293.9
2026-05-06,291.0,298.0,282.1,292.9,351418,292.9
2026-05-07,291.0,307.5,291.0,307.5,477106,307.5
2026-05-08,310.1,322.85,308.0,322.85,395403,322.85
2026-05-11,323.0,338.95,311.5,338.95,356995,338.95
2026-05-12,354.9,354.9,325.5,336.45,525539,336.45
2026-05-13,320.55,329.7,319.65,319.65,386097,319.65
2026-05-14,306.0,314.4,303.7,303.7,158229,303.7
2026-05-15,304.9,318.85,304.9,317.5,453968,317.5
2026-05-18,310.0,314.3,301.65,306.05,281835,306.05
2026-05-19,303.0,318.7,295.25,302.0,303761,302.0
2026-05-20,296.25,317.1,296.25,317.1,258954,317.1
2026-05-21,332.95,332.95,331.0,332.95,109984,332.95
2026-05-22,343.8,349.55,336.3,349.55,303297,349.55
2026-05-25,367.0,367.0,353.05,367.0,750096,367.0
2026-05-26,385.35,385.35,385.35,385.35,96575,385.35
2026-05-27,401.0,404.6,387.55,404.6,679408,404.6
2026-05-29,424.8,424.8,392.0,424.8,1673045,424.8
