date,open,high,low,close,volume,adj_close
2024-05-27,6120.971,6125.8561,5903.0977,5971.2441,48065,5971.2441
2024-05-28,5969.5343,6129.6176,5915.9943,6020.1924,54021,6020.1924
2024-05-29,6019.3615,6227.4648,5930.9907,6133.0854,72671,6133.0854
2024-05-30,6125.8077,6155.118,5764.3624,5851.8535,54393,5851.8535
2024-05-31,5843.8418,5995.7178,5778.4307,5850.0459,58424,5850.0459
2024-06-03,6057.4654,6057.4654,5859.7672,5937.7329,26611,5937.7329
2024-06-04,5968.8994,5980.2815,5416.8393,5681.2676,51184,5681.2676
2024-06-05,5764.3616,5984.189,5444.5372,5939.6372,58412,5939.6372
2024-06-06,5970.9019,6044.764,5901.1434,5950.6289,33645,5950.6289
2024-06-07,6008.6148,6106.3158,5963.2324,6033.04,16883,6033.04
2024-06-10,6103.3847,6103.3847,5991.6148,6049.1606,12225,6049.1606
2024-06-11,6076.0284,6229.2234,6010.0802,6023.9048,21299,6023.9048
2024-06-12,6028.1549,6226.488,5972.4653,6094.396,115084,6094.396
2024-06-13,6168.8439,6174.6082,6038.9015,6056.8784,113017,6056.8784
2024-06-14,6067.2349,6823.0503,6067.2349,6762.085,409489,6762.085
2024-06-18,6799.9931,7181.0272,6518.7119,6627.2578,244737,6627.2578
2024-06-19,6703.4645,6818.8004,6459.9933,6557.1572,94400,6557.1572
2024-06-20,6624.1312,6705.1253,6497.1199,6588.3726,55052,6588.3726
2024-06-21,6626.085,6685.634,6511.7748,6639.4702,48175,6639.4702
2024-06-24,6692.5221,6692.5707,6516.758,6529.3613,33853,6529.3613
2024-06-25,6606.9358,6629.9447,6448.2694,6460.7749,25183,6460.7749
2024-06-26,6498.0482,6555.6427,6399.4188,6418.959,26135,6418.959
2024-06-27,6443.2377,6584.0736,6352.8151,6372.1602,25985,6372.1602
2024-06-28,6403.3268,6442.2608,6301.8155,6318.8154,35447,6318.8154
2024-07-01,6359.8014,6520.4705,6335.9133,6384.8125,45709,6384.8125
2024-07-02,6594.821,6594.821,6334.9362,6349.7378,84913,6349.7378
2024-07-03,6360.3384,6418.959,6288.1374,6300.8872,134194,6300.8872
2024-07-04,6340.622,6441.8286,6312.2043,6376.4683,56015,6376.4683
2024-07-05,6416.4027,6441.3305,6356.6258,6371.3833,19752,6371.3833
2024-07-08,6330.6512,6380.2574,6263.8448,6291.6641,32297,6291.6641
2024-07-09,6336.2351,6336.2351,6068.4112,6077.0361,110488,6077.0361
2024-07-10,6077.0361,6127.2407,5955.7378,5974.4336,64614,5974.4336
2024-07-11,6006.3905,6028.2772,5873.7749,5892.9692,29426,5892.9692
2024-07-12,5897.9055,6120.2114,5008.982,5903.0405,73848,5903.0405
2024-07-15,5927.7188,5931.9068,5814.4971,5836.583,22497,5836.583
2024-07-16,5850.0441,5985.0031,5824.9669,5851.2905,84888,5851.2905
2024-07-18,5863.0064,5863.6544,5734.3792,5762.7969,36357,5762.7969
2024-07-19,5663.5844,5761.1016,5555.8966,5572.0996,38497,5572.0996
2024-07-22,5573.7951,5661.8397,5539.5443,5612.7817,40831,5612.7817
2024-07-23,5654.0622,5658.6485,5484.1543,5597.0273,21965,5597.0273
2024-07-24,5597.0275,5680.5355,5597.0275,5633.8208,86105,5633.8208
2024-07-25,5643.6422,5674.702,5583.7659,5606.1011,38290,5606.1011
2024-07-26,5635.5655,5752.2274,5553.9023,5586.4082,67157,5586.4082
2024-07-29,5650.5724,5681.5325,5474.1336,5495.9702,84020,5495.9702
2024-07-30,5538.3975,5631.677,5484.1543,5516.0122,77140,5516.0122
