date,open,high,low,close,volume,adj_close
2024-05-21,1073.5865,1082.0648,1073.5372,1078.4664,906092,1078.4664
2024-05-22,1084.4309,1106.1195,1078.4664,1104.4928,2032291,1104.4928
2024-05-23,1111.4924,1115.1893,1088.3743,1102.1268,2087340,1102.1268
2024-05-24,1102.8265,1102.8265,1087.9368,1090.1703,1424791,1090.1703
2024-05-27,1090.9148,1101.8339,1078.6557,1079.8965,1881215,1079.8965
2024-05-28,1080.9884,1089.8725,1072.0546,1087.4902,981637,1087.4902
2024-05-29,1077.0177,1081.981,1060.1428,1063.4186,1526469,1063.4186
2024-05-30,1063.1207,1066.5453,1044.2605,1059.3486,2743237,1059.3486
2024-05-31,1061.8303,1062.9223,1040.5878,1052.4498,4787041,1052.4498
2024-06-03,1068.4811,1074.9333,1055.527,1061.2844,1323788,1061.2844
2024-06-04,1061.2844,1084.5618,1021.3305,1079.0031,3223165,1079.0031
2024-06-05,1100.8412,1151.466,1085.1078,1133.9955,6089603,1133.9955
2024-06-06,1139.5543,1139.5543,1111.3632,1131.5139,2655137,1131.5139
2024-06-07,1140.5469,1140.5469,1123.2749,1127.2952,1877248,1127.2952
2024-06-10,1130.6205,1135.0377,1117.3688,1124.7144,1392359,1124.7144
2024-06-11,1124.7143,1136.3779,1118.4109,1127.2455,805013,1127.2455
2024-06-12,1133.5984,1133.5984,1115.2345,1116.3761,773116,1116.3761
2024-06-13,1121.6868,1124.6647,1095.9277,1106.4,1605436,1106.4
2024-06-14,1106.4,1116.6738,1101.9331,1104.2657,1107470,1104.2657
2024-06-18,1104.2657,1119.9992,1104.2657,1118.6095,1161864,1118.6095
2024-06-19,1121.3889,1122.5801,1094.8853,1097.4662,1201455,1097.4662
2024-06-20,1099.8983,1100.196,1088.0361,1095.1335,1223872,1095.1335
2024-06-21,1095.1832,1096.8707,1073.8414,1076.9186,1634958,1076.9186
2024-06-24,1072.2035,1095.878,1069.2255,1093.843,912255,1093.843
2024-06-25,1099.9975,1100.047,1081.981,1086.5471,932314,1086.5471
2024-06-26,1086.9939,1091.7089,1075.1317,1078.9038,1003738,1078.9038
2024-06-27,1082.0803,1088.3836,1069.9204,1077.6134,2272855,1077.6134
2024-06-28,1077.6133,1095.878,1077.0177,1089.3761,1129490,1089.3761
2024-07-01,1082.0802,1089.3761,1079.9957,1086.4976,767705,1086.4976
2024-07-02,1087.9368,1101.8338,1072.0545,1096.8706,2026189,1096.8706
2024-07-03,1105.8044,1140.1498,1103.8688,1137.9164,4406793,1137.9164
2024-07-04,1139.1076,1146.3043,1124.9625,1126.8484,2113837,1126.8484
2024-07-05,1127.0471,1142.4826,1124.3669,1129.0323,1281630,1129.0323
2024-07-08,1129.6279,1155.4366,1127.6426,1142.3337,1958676,1142.3337
2024-07-09,1152.8557,1159.9034,1131.6131,1133.7969,1545936,1133.7969
2024-07-10,1133.7969,1148.2399,1121.6867,1142.3337,1015150,1142.3337
2024-07-11,1142.0856,1144.9146,1117.2198,1123.0764,1883264,1123.0764
2024-07-12,1126.65,1145.5102,1121.7364,1143.7731,1092749,1143.7731
2024-07-15,1144.0212,1148.4881,1131.4147,1140.3485,1201063,1140.3485
2024-07-16,1140.3484,1170.3262,1134.3429,1167.5964,2152821,1167.5964
2024-07-18,1152.0363,1171.2532,1147.134,1170.0767,2591377,1170.0767
2024-07-19,1176.5476,1176.6457,1159.8798,1164.7821,1402279,1164.7821
2024-07-22,1161.8408,1187.2346,1159.1446,1181.2538,1719663,1181.2538
2024-07-23,1191.2545,1237.9243,1176.7928,1232.3357,5204189,1232.3357
2024-07-24,1232.4337,1233.1201,1193.6076,1207.187,3367339,1207.187
2024-07-25,1207.9222,1210.8636,1185.2247,1199.6864,2529080,1199.6864
2024-07-26,1207.1037,1209.9822,1196.532,1204.7213,802492,1204.7213
2024-07-29,1206.0614,1213.0099,1176.2822,1192.5615,1944124,1192.5615
2024-07-30,1197.1276,1202.4879,1180.4511,1186.1093,1331004,1186.1093
