date,open,high,low,close,volume,adj_close
2024-08-05,2284.8611,2355.4586,2259.9142,2293.3943,75601,2293.3943
2024-08-06,2323.0976,2353.7799,2234.5009,2250.9612,59896,2250.9612
2024-08-07,2303.5129,2307.2433,2229.185,2283.0425,29264,2283.0425
2024-08-08,2283.7421,2303.5131,2240.0965,2245.2258,29067,2245.2258
2024-08-09,2267.6549,2285.2342,2230.7706,2240.8894,23594,2240.8894
2024-08-12,2224.2421,2331.4907,2211.1858,2302.6736,33951,2302.6736
2024-08-13,2326.8283,2414.8653,2238.2316,2246.9048,93546,2246.9048
2024-08-14,2260.4739,2260.8935,2185.8195,2215.4761,34325,2215.4761
2024-08-16,2220.5117,2257.8155,2174.8145,2215.2891,32170,2215.2891
2024-08-19,2215.8489,2246.9975,2215.8489,2226.7603,15284,2226.7603
2024-08-20,2263.3647,2298.7567,2230.957,2286.7729,45149,2286.7729
2024-08-21,2294.1871,2380.8252,2288.9645,2358.9092,45275,2358.9092
2024-08-22,2378.1207,2397.8451,2363.0127,2379.6594,26231,2379.6594
2024-08-23,2380.9651,2551.5835,2379.0532,2484.623,102920,2484.623
2024-08-26,2509.6636,2514.4663,2434.0766,2452.0291,26189,2452.0291
2024-08-27,2454.5935,2508.6841,2443.4491,2471.4736,25282,2471.4736
2024-08-28,2480.6592,2611.2694,2436.9672,2444.1482,93711,2444.1482
2024-08-29,2416.357,2506.8188,2409.549,2475.3904,46739,2475.3904
2024-08-30,2476.0431,2490.032,2382.7835,2433.5166,29084,2433.5166
2024-09-02,2450.9099,2459.443,2369.0278,2395.7002,24330,2395.7002
2024-09-03,2398.4982,2398.8711,2326.8281,2332.377,35105,2332.377
2024-09-04,2322.1649,2367.9555,2314.1445,2323.0042,26044,2323.0042
2024-09-05,2312.8389,2360.4013,2294.1869,2303.7927,15331,2303.7927
2024-09-06,2322.5843,2359.4685,2267.1415,2308.6887,34064,2308.6887
2024-09-09,2308.6892,2322.1652,2254.6453,2278.6597,22702,2278.6597
2024-09-10,2294.1403,2343.6613,2285.7936,2303.2798,21492,2303.2798
2024-09-11,2308.1761,2312.3728,2254.0856,2260.8936,13846,2260.8936
2024-09-12,2280.1978,2288.4514,2242.894,2264.6702,13266,2264.6702
2024-09-13,2264.6237,2294.187,2252.2668,2257.3027,8312,2257.3027
2024-09-16,2275.6746,2277.4,2215.8954,2231.2832,15889,2231.2832
2024-09-17,2240.5627,2250.0284,2172.9494,2178.6848,22060,2178.6848
2024-09-18,2179.4776,2199.9947,2144.0389,2160.406,18155,2160.406
2024-09-19,2156.1627,2175.2343,2077.9644,2087.4304,29999,2087.4304
2024-09-20,2098.342,2240.0967,2077.9647,2224.8486,49652,2224.8486
2024-09-23,2265.0902,2265.2766,2182.2756,2188.2908,19274,2188.2908
2024-09-24,2187.8709,2256.8831,2186.9383,2215.196,25483,2215.196
2024-09-25,2214.9162,2214.9162,2158.9604,2176.3999,14132,2176.3999
2024-09-26,2182.2755,2197.5235,2144.9716,2163.6235,13045,2163.6235
2024-09-27,2147.7694,2189.7362,2113.9628,2123.1489,16071,2123.1489
2024-09-30,2123.1489,2148.7019,2099.8804,2122.729,17840,2122.729
2024-10-01,2138.4901,2172.9494,2125.6202,2135.0859,14642,2135.0859
2024-10-03,2107.6675,2125.3868,2062.5763,2072.4153,22061,2072.4153
2024-10-04,2071.2966,2089.0159,2020.0971,2039.5416,14222,2039.5416
2024-10-07,2047.0489,2059.8721,1884.3575,1915.3197,41902,1915.3197
2024-10-08,1915.3197,1996.1291,1904.6415,1985.9639,20146,1985.9639
2024-10-09,2018.0918,2046.9556,1967.7783,1996.6421,10534,1996.6421
2024-10-10,2005.0822,2016.2733,1939.8004,1953.1366,14230,1953.1366
2024-10-11,1958.4523,1976.1716,1893.1705,1913.0815,23682,1913.0815
2024-10-14,1914.5735,1986.4301,1913.9207,1969.1304,20375,1969.1304
2024-10-15,2008.8124,2028.4436,1949.1729,1957.7994,12780,1957.7994
2024-10-16,1935.1375,1974.3999,1935.1375,1966.8925,10204,1966.8925
2024-10-17,1985.4977,1994.777,1938.7746,1951.3646,11515,1951.3646
2024-10-18,1930.5211,1948.0073,1902.4965,1907.9056,14956,1907.9056
2024-10-21,1910.8899,1931.8267,1860.5297,1866.3118,17569,1866.3118
2024-10-22,1860.5297,1891.3053,1733.6966,1752.2552,34116,1752.2552
2024-10-23,1754.2139,1823.6457,1732.8109,1771.4203,20540,1771.4203
2024-10-24,1808.3044,1808.3044,1750.5766,1757.1515,12736,1757.1515
2024-10-25,1762.6071,1785.8753,1679.6992,1703.8535,19485,1703.8535
2024-10-28,1711.3142,1731.8314,1668.4148,1715.9305,19459,1715.9305
2024-10-29,1770.9537,1770.9537,1714.3918,1745.1208,13608,1745.1208
2024-10-30,1751.789,1826.9095,1749.4575,1816.9308,16170,1816.9308
2024-10-31,1845.1419,1845.1419,1794.9216,1808.6774,7324,1808.6774
2024-11-01,1856.7526,1856.7526,1818.6095,1832.8782,4230,1832.8782
2024-11-04,1816.0451,1827.889,1759.0168,1775.7568,10967,1775.7568
2024-11-05,1757.9906,1797.9524,1757.9906,1774.2644,9450,1774.2644
2024-11-06,1778.6946,1865.1929,1778.6946,1860.6698,18607,1860.6698
2024-11-07,1869.7626,1913.5945,1840.9454,1852.9292,14092,1852.9292
2024-11-08,1855.8201,1865.1927,1790.6317,1810.5426,13876,1810.5426
2024-11-11,1808.1643,1815.6251,1771.0004,1777.2021,9588,1777.2021
2024-11-12,1777.2023,1790.6317,1716.2105,1728.4741,17930,1728.4741
2024-11-13,1721.5728,1730.1061,1613.3916,1635.0278,24026,1635.0278
2024-11-14,1646.0325,1705.2057,1641.6959,1683.0565,21979,1683.0565
2024-11-18,1683.0567,1687.9528,1605.931,1632.2769,31259,1632.2769
2024-11-19,1650.6954,1678.0671,1632.0435,1637.4059,15006,1637.4059
2024-11-21,1669.3474,1678.5802,1585.4138,1590.3566,22049,1590.3566
2024-11-22,1609.1828,1637.2568,1585.6384,1625.0364,19076,1625.0364
2024-11-25,1637.2567,1663.3018,1623.1017,1648.392,17914,1648.392
2024-11-26,1648.439,1676.4187,1641.9277,1655.0919,13323,1655.0919
2024-11-27,1660.8011,1745.7781,1651.4117,1695.0089,13608,1695.0089
2024-11-28,1711.7589,1777.8154,1705.4364,1731.7646,25170,1731.7646
2024-11-29,1737.8512,1781.59,1694.4427,1753.6576,21522,1753.6576
2024-12-02,1753.6577,1792.4895,1745.7782,1768.0958,10800,1768.0958
2024-12-03,1779.4196,1805.559,1750.2604,1780.8351,11930,1780.8351
2024-12-04,1792.9613,1800.9352,1766.3971,1779.75,8346,1779.75
2024-12-05,1784.138,1813.7219,1755.1675,1794.0465,13822,1794.0465
2024-12-06,1784.9872,1830.7077,1784.9872,1815.1372,12314,1815.1372
2024-12-09,1815.1372,1835.1429,1799.5195,1808.3429,8710,1808.3429
2024-12-10,1817.9684,1817.9684,1779.3725,1796.0282,8074,1796.0282
2024-12-11,1802.3035,1821.2712,1783.5246,1783.8549,11804,1783.8549
2024-12-12,1787.2991,1792.8668,1740.1159,1748.7505,10524,1748.7505
2024-12-13,1741.1541,1745.7781,1700.1047,1730.2076,8693,1730.2076
2024-12-16,1730.2076,1750.2604,1689.1582,1697.3209,13180,1697.3209
2024-12-17,1698.5949,1731.6231,1675.947,1713.316,14105,1713.316
2024-12-18,1725.0173,1725.0173,1668.3975,1678.4475,11750,1678.4475
2024-12-19,1634.8032,1676.8905,1634.8032,1667.6898,10257,1667.6898
2024-12-20,1651.4588,1677.787,1583.515,1595.5939,24214,1595.5939
2024-12-23,1627.4899,1627.4899,1563.2264,1590.2152,11435,1590.2152
2024-12-24,1590.0735,1599.5101,1566.4819,1587.5728,9750,1587.5728
2024-12-26,1594.7918,1598.0474,1556.1016,1558.6023,11615,1558.6023
2024-12-27,1561.6692,1575.541,1558.9325,1567.7557,5401,1567.7557
2024-12-30,1555.158,1572.7101,1538.1721,1551.0059,15398,1551.0059
2024-12-31,1551.1002,1567.3784,1515.9487,1554.1671,23053,1554.1671
2025-01-01,1547.6085,1577.0508,1539.8706,1560.3008,10542,1560.3008
2025-01-02,1569.2657,1585.3552,1564.8777,1576.9094,10210,1576.9094
