date,open,high,low,close,volume,adj_close
2024-08-12,61.71,65.95,61.7,64.6,39392,64.6
2024-08-13,64.6,67.69,63.87,64.08,86236,64.08
2024-08-14,58.3,61.64,57.36,58.73,172354,58.73
2024-08-16,59.31,60.95,58.6,59.28,27050,59.28
2024-08-19,59.11,63.97,59.11,61.8,426261,61.8
2024-08-20,62.0,62.8,60.21,60.95,54765,60.95
2024-08-21,60.2,62.2,60.2,61.17,49147,61.17
2024-08-22,62.8,63.95,61.31,62.13,145041,62.13
2024-08-23,62.13,64.0,61.5,62.27,84428,62.27
2024-08-26,63.27,64.89,61.95,62.72,64854,62.72
2024-08-27,63.4,63.59,62.5,63.18,37779,63.18
2024-08-28,63.28,63.79,62.11,62.66,21344,62.66
2024-08-29,62.75,63.81,60.25,60.54,48429,60.54
2024-08-30,61.0,61.31,58.11,59.08,51903,59.08
2024-09-02,60.8,60.8,59.15,59.48,22042,59.48
2024-09-03,59.72,59.72,57.42,57.9,76633,57.9
2024-09-04,57.35,62.78,57.35,61.99,119595,61.99
2024-09-05,61.9,62.87,60.31,60.86,55392,60.86
2024-09-06,61.13,61.14,58.65,58.99,25522,58.99
2024-09-09,59.9,60.78,58.49,60.08,28206,60.08
2024-09-10,61.74,61.74,59.7,59.77,29243,59.77
2024-09-11,60.77,61.7,59.75,60.74,57143,60.74
2024-09-12,61.01,61.45,59.51,60.24,49023,60.24
2024-09-13,60.7,62.3,59.75,60.48,45206,60.48
2024-09-16,60.5,61.17,59.46,60.26,24349,60.26
2024-09-17,60.61,61.18,59.19,59.95,27295,59.95
2024-09-18,60.55,60.98,58.0,58.91,97904,58.91
2024-09-19,59.01,60.2,58.0,58.95,37928,58.95
2024-09-20,59.7,59.7,58.51,59.14,8669,59.14
2024-09-23,59.1,59.97,58.11,58.7,19133,58.7
2024-09-24,58.85,59.54,58.2,58.73,10836,58.73
2024-09-25,59.65,59.65,58.0,58.51,12485,58.51
2024-09-26,59.69,61.77,57.6,58.75,109217,58.75
2024-09-27,59.15,59.19,58.18,58.55,17050,58.55
2024-09-30,58.5,62.38,57.5,58.28,119879,58.28
2024-10-01,59.17,59.3,58.32,58.85,9000,58.85
2024-10-03,58.77,58.86,57.71,57.76,10281,57.76
2024-10-04,58.51,58.66,56.57,56.97,19758,56.97
2024-10-07,57.39,57.99,53.16,54.0,21057,54.0
2024-10-08,54.5,56.3,53.02,55.96,10390,55.96
2024-10-09,55.92,61.49,55.62,57.45,58135,57.45
2024-10-10,58.28,62.8,56.7,59.28,120778,59.28
2024-10-11,59.3,59.81,57.5,58.88,33907,58.88
2024-10-14,60.35,60.35,57.6,58.57,21906,58.57
2024-10-15,59.0,59.0,57.65,57.82,3328,57.82
2024-10-16,57.71,58.75,56.3,57.21,16009,57.21
2024-10-17,57.8,59.8,55.1,58.69,92034,58.69
2024-10-18,58.69,59.4,58.11,59.07,23397,59.07
2024-10-21,60.0,60.4,56.4,57.42,18753,57.42
2024-10-22,58.35,58.63,53.15,54.61,18040,54.61
2024-10-23,53.72,56.88,53.22,55.3,12515,55.3
2024-10-24,55.63,56.69,55.13,55.45,10844,55.45
2024-10-25,56.4,56.9,53.31,55.0,23421,55.0
2024-10-28,55.95,55.95,53.61,54.11,11135,54.11
2024-10-29,54.38,55.59,53.51,54.39,8009,54.39
2024-10-30,56.48,56.48,54.5,55.81,8342,55.81
2024-10-31,55.99,57.75,55.8,57.33,16654,57.33
2024-11-01,58.9,58.9,57.0,57.78,5996,57.78
2024-11-04,57.2,57.58,54.78,55.92,18954,55.92
2024-11-05,56.28,56.68,55.53,55.87,4068,55.87
2024-11-06,56.51,59.68,56.46,58.69,37840,58.69
2024-11-07,59.2,59.2,58.24,58.63,12329,58.63
2024-11-08,59.0,59.01,58.0,58.31,11762,58.31
2024-11-11,57.4,57.87,57.02,57.42,5314,57.42
2024-11-12,57.58,58.0,56.8,57.34,12023,57.34
2024-11-13,57.34,57.34,51.3,52.6,23210,52.6
2024-11-14,53.84,53.84,49.05,50.86,59382,50.86
2024-11-18,52.05,53.0,50.1,50.27,33882,50.27
2024-11-19,50.87,52.7,50.1,50.12,16914,50.12
2024-11-21,50.23,51.48,49.0,49.63,15170,49.63
2024-11-22,50.25,52.15,49.01,50.6,17436,50.6
2024-11-25,52.79,52.79,50.05,50.25,8818,50.25
2024-11-26,51.27,51.44,49.65,50.28,3986,50.28
2024-11-27,51.79,57.37,50.16,53.23,162535,53.23
2024-11-28,53.71,55.5,53.0,53.94,33426,53.94
2024-11-29,54.06,54.78,52.15,53.08,23506,53.08
2024-12-02,52.94,53.38,52.44,52.64,5069,52.64
2024-12-03,52.94,55.58,52.81,54.91,59081,54.91
2024-12-04,55.24,55.8,53.5,53.67,17951,53.67
2024-12-05,54.21,55.29,53.71,54.44,12791,54.44
2024-12-06,56.34,56.34,53.6,53.91,21438,53.91
2024-12-09,53.4,54.79,53.3,53.97,22615,53.97
2024-12-10,54.34,55.08,53.3,53.66,25651,53.66
2024-12-11,54.55,54.55,53.01,53.22,7346,53.22
2024-12-12,53.01,53.84,52.5,52.5,10109,52.5
2024-12-13,53.71,53.71,52.0,53.12,10729,53.12
2024-12-16,53.16,63.74,52.12,58.58,271025,58.58
2024-12-17,58.65,63.0,58.21,59.88,158124,59.88
2024-12-18,59.41,60.4,58.15,58.92,32682,58.92
2024-12-19,58.91,59.49,57.51,58.64,10374,58.64
2024-12-20,58.64,59.55,56.01,56.43,12342,56.43
2024-12-23,58.19,58.19,55.11,56.33,23354,56.33
2024-12-24,57.0,60.0,56.1,58.81,58865,58.81
2024-12-26,58.07,60.59,58.07,59.54,39884,59.54
2024-12-27,60.1,64.69,59.1,60.7,251052,60.7
2024-12-30,61.4,61.4,57.63,57.97,83685,57.97
2024-12-31,58.42,60.48,58.0,59.14,17470,59.14
2025-01-01,60.19,60.19,58.21,58.43,16880,58.43
2025-01-02,59.08,59.08,58.0,58.07,8309,58.07
2025-01-03,59.79,59.79,56.3,57.27,16737,57.27
2025-01-06,57.11,58.38,52.11,52.59,59281,52.59
2025-01-07,52.59,59.39,52.59,58.03,141862,58.03
2025-01-08,58.9,60.99,57.33,60.22,164542,60.22
2025-01-09,61.35,61.35,57.61,58.02,19326,58.02
2025-01-10,58.05,58.79,54.8,55.42,41161,55.42
2025-01-13,55.51,57.02,52.61,52.99,27812,52.99
2025-01-14,54.19,55.99,53.72,54.35,30596,54.35
2025-01-15,54.24,56.35,54.01,56.11,21338,56.11
2025-01-16,56.13,56.97,54.2,54.7,44557,54.7
2025-01-17,54.7,55.99,53.92,54.24,17890,54.24
2025-01-20,55.45,57.85,55.0,56.17,58747,56.17
2025-01-21,56.3,57.88,54.16,54.63,22549,54.63
2025-01-22,54.01,55.0,53.21,54.08,15102,54.08
2025-01-23,54.83,55.69,53.31,53.92,15162,53.92
2025-01-24,54.84,55.22,52.11,52.36,16916,52.36
2025-01-27,51.94,53.77,48.99,50.25,22323,50.25
2025-01-28,50.95,51.98,47.45,48.15,29726,48.15
2025-01-29,49.82,51.25,49.14,50.88,9780,50.88
2025-01-30,51.74,52.0,49.72,51.36,14624,51.36
2025-01-31,51.74,52.16,50.63,51.2,9040,51.2
2025-02-01,52.37,52.59,51.85,52.02,2065,52.02
2025-02-03,52.73,52.74,49.2,49.52,12572,49.52
2025-02-04,53.79,53.8,49.8,49.91,19546,49.91
2025-02-05,50.96,51.41,49.55,50.75,14252,50.75
2025-02-06,51.88,51.88,49.61,50.44,12083,50.44
2025-02-07,50.91,51.0,49.1,49.44,10885,49.44
2025-02-10,50.19,50.19,47.01,47.55,7681,47.55
2025-02-11,48.54,48.54,44.65,46.1,20525,46.1
2025-02-12,44.7,46.0,43.41,44.95,10553,44.95
2025-02-13,43.42,46.0,43.42,44.76,9611,44.76
2025-02-14,45.47,45.81,40.57,42.21,13184,42.21
2025-02-17,40.25,42.43,38.3,39.18,26754,39.18
2025-02-18,39.18,43.79,39.01,42.32,38982,42.32
2025-02-19,42.0,43.5,41.11,42.2,14949,42.2
2025-02-20,42.03,43.5,41.01,42.32,21481,42.32
2025-02-21,42.86,43.39,40.98,42.79,32716,42.79
2025-02-24,43.4,43.4,40.11,40.4,19304,40.4
2025-02-25,40.89,42.57,38.2,38.91,35201,38.91
2025-02-27,39.76,40.25,38.53,38.88,9158,38.88
2025-02-28,39.6,39.6,36.0,36.48,16679,36.48
2025-03-03,36.49,37.99,36.22,37.36,26210,37.36
2025-03-04,37.01,37.9,36.4,36.5,20296,36.5
2025-03-05,37.46,38.1,36.5,37.05,22518,37.05
2025-03-06,37.15,39.39,37.15,37.87,38038,37.87
2025-03-07,37.84,39.7,37.5,39.03,43665,39.03
2025-03-10,40.8,40.8,38.0,38.29,14362,38.29
2025-03-11,37.7,38.6,36.41,36.98,25224,36.98
2025-03-12,37.31,37.87,35.2,35.57,25815,35.57
2025-03-13,36.5,36.5,33.6,34.0,23084,34.0
2025-03-17,34.05,36.79,31.21,32.36,54524,32.36
2025-03-18,32.36,32.36,32.36,32.36,0,32.36
2025-03-19,32.16,36.75,32.16,36.01,134197,36.01
2025-03-20,36.4,38.56,36.2,36.65,70435,36.65
2025-03-21,36.61,38.01,35.42,36.95,31977,36.95
2025-03-24,37.0,37.55,36.11,36.39,63582,36.39
2025-03-25,36.71,37.08,35.01,35.44,135473,35.44
2025-03-26,36.5,36.5,31.3,31.57,115299,31.57
2025-03-27,32.45,32.45,31.08,31.48,56183,31.48
2025-03-28,32.98,32.98,30.31,31.2,19559,31.2
2025-04-01,31.99,35.4,31.61,34.18,41319,34.18
2025-04-02,34.59,35.25,33.31,34.71,11141,34.71
2025-04-03,33.78,38.8,33.78,36.82,173175,36.82
2025-04-04,37.15,37.97,35.01,35.18,23736,35.18
2025-04-07,34.0,35.79,31.08,33.8,8638,33.8
2025-04-08,35.0,36.98,34.42,36.43,67245,36.43
2025-04-09,36.15,36.29,34.5,35.0,5440,35.0
2025-04-11,35.03,35.94,34.25,34.72,10215,34.72
2025-04-15,34.62,36.38,34.02,34.31,16708,34.31
2025-04-16,35.21,35.79,32.9,33.19,69822,33.19
2025-04-17,33.69,33.87,32.16,32.74,54694,32.74
2025-04-21,33.27,33.99,32.8,33.3,28688,33.3
2025-04-22,33.79,33.98,33.22,33.62,19080,33.62
2025-04-23,33.66,34.65,33.41,34.4,18378,34.4
2025-04-24,34.74,35.5,33.23,34.08,30815,34.08
2025-04-25,34.79,35.5,33.0,34.57,40998,34.57
2025-04-28,34.6,35.93,33.42,34.24,62290,34.24
2025-04-29,34.8,35.49,32.6,32.74,42665,32.74
2025-04-30,33.27,33.49,32.42,32.79,10001,32.79
2025-05-02,33.4,33.4,32.11,32.11,4456,32.11
2025-05-05,32.86,33.17,30.72,31.37,31157,31.37
2025-05-06,31.66,31.98,27.9,28.75,68888,28.75
2025-05-07,28.4,28.85,27.42,28.15,35580,28.15
2025-05-08,28.1,28.66,26.6,27.01,26954,27.01
2025-05-09,27.01,27.59,26.51,27.26,17582,27.26
2025-05-12,29.01,29.2,27.6,28.39,11973,28.39
2025-05-13,27.05,28.58,26.97,28.44,24649,28.44
2025-05-14,27.82,29.8,27.82,29.69,18734,29.69
2025-05-15,29.7,31.1,29.15,31.0,50073,31.0
2025-05-16,32.0,32.54,30.5,32.42,40111,32.42
2025-05-19,32.66,33.49,32.43,32.99,16263,32.99
2025-05-20,33.49,33.85,32.1,32.26,11814,32.26
2025-05-21,31.8,32.27,31.8,31.8,4590,31.8
2025-05-22,31.16,31.16,31.16,31.16,801,31.16
2025-05-23,31.77,31.77,31.1,31.77,16820,31.77
2025-05-26,32.1,32.4,31.82,32.1,80870,32.1
2025-05-27,32.26,32.3,32.26,32.26,6755,32.26
2025-05-28,32.0,32.27,32.27,32.27,401,32.27
2025-05-29,32.27,32.27,32.0,32.27,1564,32.27
2025-05-30,31.62,31.65,31.62,31.62,809,31.62
2025-06-02,31.54,31.6,31.54,31.54,3949,31.54
2025-06-03,30.9,31.54,30.9,30.9,1420,30.9
2025-06-04,31.24,31.43,31.24,31.24,1140,31.24
2025-06-05,30.61,30.61,30.61,30.61,2177,30.61
2025-06-06,29.99,30.2,29.99,29.99,5182,29.99
2025-06-09,29.99,30.58,29.99,29.99,9117,29.99
2025-06-10,30.25,30.55,29.99,30.25,2463,30.25
2025-06-11,30.0,30.85,30.0,30.0,4032,30.0
2025-06-12,30.6,30.6,30.6,30.6,2275,30.6
2025-06-13,30.0,30.25,30.0,30.0,1521,30.0
2025-06-16,29.5,30.0,29.5,29.5,898,29.5
2025-06-17,29.5,29.5,29.5,29.5,2849,29.5
2025-06-18,29.0,29.0,28.91,29.0,530,29.0
2025-06-19,28.45,29.0,28.45,28.45,545,28.45
2025-06-20,29.01,29.01,29.0,29.01,210575,29.01
2025-06-23,29.5,29.59,29.5,29.5,135382,29.5
2025-06-24,30.05,30.05,29.8,30.05,48768,30.05
2025-06-25,30.0,30.05,29.52,30.0,113408,30.0
2025-06-26,30.6,30.6,30.6,30.6,6616,30.6
2025-06-27,31.21,31.21,31.21,31.21,5277,31.21
2025-06-30,31.91,32.77,31.91,32.77,14705,32.77
2025-07-01,34.4,34.4,32.9,34.38,104381,34.38
