date,open,high,low,close,volume,adj_close
2024-05-20,11.1863,11.5356,11.1863,11.2251,15900,11.2251
2024-05-21,11.2542,11.3125,10.7012,10.9147,14700,10.9147
2024-05-22,11.0893,11.1572,10.4296,10.8371,25800,10.8371
2024-05-23,10.643,11.5938,10.3132,10.4199,23900,10.4199
2024-05-24,10.6333,10.9632,10.3811,10.3811,14500,10.3811
2024-05-28,10.3714,11.783,10.3714,11.3513,88500,11.3513
2024-05-29,11.2445,11.6326,10.8662,11.4386,50400,11.4386
2024-05-30,11.2834,11.2882,9.7504,9.7504,59500,9.7504
2024-05-31,9.731,11.5356,9.731,11.0699,28200,11.0699
2024-06-03,11.3028,12.0304,10.9147,11.3804,29200,11.3804
2024-06-04,11.2737,11.5016,11.0699,11.1572,4400,11.1572
2024-06-05,11.2445,11.2445,10.0415,10.4781,29400,10.4781
2024-06-06,10.7692,10.7692,9.9057,10.3908,16000,10.3908
2024-06-07,10.3161,10.4199,10.0706,10.0706,2000,10.0706
2024-06-10,10.4781,12.0217,10.2986,11.2737,36300,11.2737
2024-06-11,11.1766,11.3125,10.0027,10.1773,36000,10.1773
2024-06-12,10.1385,10.8371,10.0997,10.0997,3800,10.0997
2024-06-13,10.7992,10.7992,10.09,10.4344,13500,10.4344
2024-06-14,10.2258,10.2258,9.9891,9.993,5300,9.993
2024-06-17,9.8087,10.2355,9.8087,9.9066,5700,9.9066
2024-06-18,9.9251,10.187,8.7414,8.7414,17500,8.7414
2024-06-20,9.0907,10.2549,9.0907,9.4642,41300,9.4642
2024-06-21,8.1011,8.659,8.0526,8.4504,1217700,8.4504
2024-06-24,8.4504,8.6832,8.2466,8.2563,264800,8.2563
2024-06-25,8.2466,8.4892,8.2466,8.3922,56800,8.3922
2024-06-26,8.3631,8.9743,8.3631,8.5474,285600,8.5474
2024-06-27,8.9597,8.9597,8.6347,8.8288,41600,8.8288
2024-06-28,8.8433,9.1198,8.3922,8.3922,123700,8.3922
2024-07-01,8.3922,8.79,8.3437,8.7317,89000,8.7317
2024-07-02,8.8482,8.8967,8.3534,8.5377,93200,8.5377
2024-07-03,8.9258,8.9258,8.3146,8.6735,40800,8.6735
2024-07-05,8.5814,8.5814,8.1108,8.5377,66500,8.5377
2024-07-08,8.5571,8.6784,8.1011,8.1302,73100,8.1302
2024-07-09,8.1108,8.2855,7.9992,8.1496,159400,8.1496
2024-07-10,8.3825,8.3825,8.1593,8.2175,12600,8.2175
2024-07-11,8.4892,8.5377,8.2369,8.2661,23300,8.2661
2024-07-12,8.2466,8.3437,8.1642,8.3243,33600,8.3243
2024-07-15,8.4407,8.528,8.2466,8.3728,108200,8.3728
2024-07-16,8.2855,8.6891,8.2855,8.5668,140900,8.5668
2024-07-17,8.4892,8.4892,8.169,8.2466,25000,8.2466
2024-07-18,8.2952,8.6881,8.0914,8.1302,63200,8.1302
