date,open,high,low,close,volume,adj_close
2024-05-20,66.35,67.44,66.26,66.79,648900,66.79
2024-05-21,66.5,67.38,64.11,65.36,1406000,65.36
2024-05-22,65.28,67.4,65.05,66.27,1066900,66.27
2024-05-23,66.15,66.15,63.75,64.25,843800,64.25
2024-05-24,64.35,64.81,63.1,63.58,649700,63.58
2024-05-28,63.59,63.59,62.67,62.87,492200,62.87
2024-05-29,62.18,66.13,62.04,65.07,2204600,65.07
2024-05-30,65.21,68.38,65.21,67.34,1581700,67.34
2024-05-31,67.61,68.92,66.33,68.89,1553200,68.89
2024-06-03,69.12,69.88,68.3,68.51,784400,68.51
2024-06-04,68.42,70.34,67.92,70.1,1123200,70.1
2024-06-05,70.37,71.61,70.03,71.26,848200,71.26
2024-06-06,71.23,72.5,71.08,71.78,1132500,71.78
2024-06-07,71.47,71.47,69.27,69.42,714000,69.42
2024-06-10,68.83,69.88,68.22,69.59,578200,69.59
2024-06-11,69.4,69.4,68.05,68.51,503900,68.51
2024-06-12,68.8,69.72,67.75,67.81,490300,67.81
2024-06-13,67.55,67.55,66.22,66.34,795000,66.34
2024-06-14,66.0,66.05,64.67,65.4,909500,65.4
2024-06-17,65.11,65.86,64.87,65.8,785200,65.8
2024-06-18,66.01,69.01,65.74,68.29,956100,68.29
2024-06-20,68.29,69.55,67.46,67.6,968500,67.6
2024-06-21,67.87,69.42,67.36,68.62,1081100,68.62
2024-06-24,68.83,69.14,67.73,68.8,759700,68.8
2024-06-25,68.8,69.18,66.0,67.47,587400,67.47
2024-06-26,67.12,67.31,66.0,67.08,593900,67.08
2024-06-27,67.03,68.06,66.23,68.04,655500,68.04
2024-06-28,68.06,68.5,66.41,67.54,1071300,67.54
2024-07-01,67.53,68.41,66.95,67.01,674400,67.01
2024-07-02,66.99,67.0,65.27,66.12,663000,66.12
2024-07-03,66.64,67.07,65.72,66.74,344400,66.74
2024-07-05,66.69,67.0,65.47,65.93,361900,65.93
2024-07-08,65.97,66.63,64.99,65.64,664400,65.64
2024-07-09,65.57,65.93,64.66,65.43,668600,65.43
2024-07-10,65.45,66.11,64.11,64.16,1171500,64.16
2024-07-11,64.57,67.16,64.33,67.11,871300,67.11
2024-07-12,67.36,68.87,67.16,67.19,717400,67.19
2024-07-15,66.98,67.07,64.86,65.18,873800,65.18
2024-07-16,65.47,68.54,64.72,68.48,1194000,68.48
2024-07-17,68.46,69.83,67.14,67.23,1006100,67.23
2024-07-18,67.25,68.9,66.38,66.44,457000,66.44
2024-07-19,66.49,66.49,64.91,65.16,536600,65.16
2024-07-22,65.38,65.82,64.53,65.35,737000,65.35
2024-07-23,65.74,67.03,65.21,65.65,1004000,65.65
2024-07-24,65.81,67.15,65.03,66.28,2072200,66.28
2024-07-25,66.46,66.87,64.66,65.06,1429000,65.06
2024-07-26,65.66,67.11,65.43,66.59,1592300,66.59
2024-07-29,66.27,66.36,65.18,65.53,1566000,65.53
2024-07-30,65.53,67.82,65.2,67.38,1405700,67.38
2024-07-31,67.69,67.69,64.73,64.85,1394000,64.85
2024-08-01,69.26,75.81,68.06,74.09,3828500,74.09
2024-08-02,73.69,74.38,70.36,72.37,1685200,72.37
2024-08-05,71.93,71.93,68.91,71.02,1165600,71.02
2024-08-06,70.97,73.04,68.37,70.94,730200,70.94
2024-08-07,70.73,72.06,70.61,70.74,793000,70.74
2024-08-08,70.67,71.76,70.67,71.7,722600,71.7
