date,open,high,low,close,volume,adj_close
2024-06-04,12.71,12.9,12.33,12.66,9200,12.66
2024-06-05,12.72,13.01,12.67,12.9,10000,12.9
2024-06-06,12.79,12.79,12.51,12.6,6000,12.6
2024-06-07,12.65,12.77,12.45,12.61,6500,12.61
2024-06-10,12.51,12.79,12.5,12.61,12400,12.61
2024-06-11,12.6,12.74,12.5,12.74,8700,12.74
2024-06-12,12.87,13.0,12.61,12.95,8400,12.95
2024-06-13,12.93,13.0,12.7,12.81,9100,12.81
2024-06-14,12.66,12.9,12.66,12.87,3100,12.87
2024-06-17,12.6,12.98,12.6,12.69,12600,12.69
2024-06-18,12.69,12.84,12.69,12.84,12200,12.84
2024-06-20,12.81,12.98,12.7,12.95,25000,12.95
2024-06-21,12.83,12.91,12.7,12.85,13500,12.85
2024-06-24,12.75,12.93,12.71,12.77,20600,12.77
2024-06-25,12.77,12.94,12.74,12.9,10300,12.9
2024-06-26,12.9,12.96,12.74,12.74,7000,12.74
2024-06-27,12.86,13.09,12.77,12.77,12400,12.77
2024-06-28,13.02,13.03,12.76,12.76,10500,12.76
2024-07-01,12.81,13.19,12.81,13.1,9300,13.1
2024-07-02,13.03,13.23,13.03,13.16,5700,13.16
2024-07-03,13.32,13.33,13.15,13.15,7400,13.15
2024-07-05,13.15,13.22,13.07,13.13,5300,13.13
2024-07-08,13.1,13.37,13.1,13.22,4700,13.22
2024-07-09,13.12,13.31,13.12,13.15,7900,13.15
2024-07-10,13.26,13.5,13.26,13.43,8900,13.43
2024-07-11,13.47,13.77,13.47,13.67,9400,13.67
2024-07-12,13.82,13.99,13.62,13.95,5900,13.95
2024-07-15,13.9,14.13,13.75,13.75,15300,13.75
2024-07-16,13.71,14.1,13.71,14.02,5700,14.02
2024-07-17,14.01,14.07,13.72,13.92,13600,13.92
2024-07-18,13.86,13.94,13.8,13.8,6400,13.8
2024-07-19,13.8,14.08,13.8,13.98,3200,13.98
2024-07-22,13.98,14.0,13.85,13.95,29900,13.95
2024-07-23,13.9,14.0,13.81,13.9,24600,13.9
2024-07-24,13.81,14.0,13.81,13.95,13700,13.95
2024-07-25,13.87,14.0,13.85,13.98,21000,13.98
2024-07-26,13.89,14.05,13.89,14.0,16200,14.0
2024-07-29,13.91,14.33,13.91,14.21,17900,14.21
2024-07-30,14.15,14.57,14.14,14.45,27300,14.45
2024-07-31,14.47,14.7,14.3,14.32,28800,14.32
2024-08-01,14.4,15.0,14.4,14.83,51400,14.83
2024-08-02,15.0,15.2,14.85,15.1,30300,15.1
2024-08-05,15.1,15.22,14.63,15.16,45300,15.16
2024-08-06,15.34,15.34,15.14,15.16,19100,15.16
2024-08-07,15.26,15.82,15.25,15.64,25800,15.64
2024-08-08,15.64,15.64,15.35,15.35,11800,15.35
2024-08-09,15.51,15.69,15.35,15.54,60300,15.54
2024-08-12,15.63,15.77,15.46,15.72,24900,15.72
2024-08-13,15.72,16.13,15.6,15.83,27600,15.83
2024-08-14,15.95,15.96,15.73,15.78,15800,15.78
2024-08-15,15.78,15.78,15.22,15.22,45700,15.22
2024-08-16,15.22,15.39,15.14,15.33,11900,15.33
2024-08-19,15.45,15.65,15.3,15.63,8700,15.63
2024-08-20,15.71,15.85,15.67,15.81,13300,15.81
2024-08-21,15.81,15.93,15.81,15.88,11300,15.88
2024-08-22,15.88,15.95,15.73,15.73,7100,15.73
2024-08-23,15.65,15.75,15.6,15.68,10500,15.68
2024-08-26,15.8,15.8,15.7,15.78,6900,15.78
2024-08-27,15.8,15.8,15.74,15.74,4800,15.74
2024-08-28,15.75,15.8,15.7,15.78,10600,15.78
2024-08-29,15.8,15.8,15.65,15.75,16200,15.75
2024-08-30,15.8,15.8,15.44,15.45,27800,15.45
2024-09-03,15.45,15.5,15.36,15.46,15700,15.46
2024-09-04,15.49,15.49,15.35,15.47,6500,15.47
2024-09-05,15.41,15.71,15.41,15.67,7600,15.67
2024-09-06,15.67,15.67,15.49,15.55,3900,15.55
2024-09-09,15.55,15.66,15.25,15.38,20200,15.38
2024-09-10,15.47,15.58,15.2,15.26,11900,15.26
2024-09-11,15.2,15.47,15.17,15.47,15200,15.47
2024-09-12,15.38,15.5,15.2,15.45,21000,15.45
2024-09-13,15.39,15.48,15.31,15.38,13700,15.38
2024-09-16,15.4,15.41,15.28,15.35,13300,15.35
2024-09-17,15.32,15.42,15.3,15.37,21200,15.37
2024-09-18,15.42,15.45,15.33,15.33,15300,15.33
2024-09-19,15.46,15.48,15.34,15.45,8300,15.45
2024-09-20,15.33,15.79,15.28,15.79,58000,15.79
2024-09-23,15.72,15.95,15.65,15.95,20400,15.95
2024-09-24,15.95,15.99,15.72,15.82,26000,15.82
2024-09-25,15.9,15.96,15.67,15.74,19800,15.74
2024-09-26,15.75,15.89,15.55,15.61,20600,15.61
2024-09-27,15.53,15.76,15.47,15.53,14700,15.53
2024-09-30,15.52,15.87,15.46,15.66,12300,15.66
2024-10-01,15.75,15.8,15.68,15.76,6000,15.76
2024-10-02,15.82,15.82,15.65,15.65,21600,15.65
2024-10-03,15.65,15.9,15.6,15.78,13600,15.78
2024-10-04,15.89,15.9,15.66,15.67,21900,15.67
2024-10-07,15.65,15.71,15.18,15.2,29700,15.2
2024-10-08,15.25,15.37,15.16,15.31,16500,15.31
2024-10-09,15.43,15.96,15.43,15.81,18000,15.81
2024-10-10,15.7,15.9,15.62,15.86,11200,15.86
2024-10-11,15.77,15.95,15.77,15.78,10500,15.78
2024-10-14,15.72,15.72,15.48,15.51,10800,15.51
2024-10-15,15.55,15.71,15.49,15.49,17300,15.49
2024-10-16,15.49,15.49,15.21,15.21,14600,15.21
2024-10-17,15.21,15.34,15.21,15.34,11300,15.34
2024-10-18,15.37,15.67,15.37,15.67,7800,15.67
2024-10-21,15.66,15.66,15.36,15.43,9700,15.43
2024-10-22,15.5,15.5,15.23,15.48,17200,15.48
2024-10-23,15.37,15.48,15.2,15.29,10000,15.29
2024-10-24,15.29,15.35,15.26,15.32,11400,15.32
2024-10-25,15.21,15.25,15.16,15.16,10100,15.16
2024-10-28,15.15,15.32,15.12,15.12,25000,15.12
2024-10-29,15.13,15.25,14.87,14.87,16900,14.87
2024-10-30,14.97,15.2,14.97,15.17,41200,15.17
2024-10-31,15.17,15.52,15.1,15.3,30700,15.3
2024-11-01,15.3,15.43,15.3,15.39,18200,15.39
2024-11-04,15.5,15.72,15.37,15.72,19800,15.72
2024-11-05,15.61,15.62,15.54,15.58,24400,15.58
2024-11-06,16.04,16.93,16.04,16.13,92600,16.13
2024-11-07,16.19,16.22,16.0,16.0,23200,16.0
2024-11-08,15.88,16.15,15.71,16.15,24100,16.15
2024-11-11,16.12,16.15,16.02,16.1,18300,16.1
2024-11-12,16.02,16.24,16.02,16.24,17700,16.24
2024-11-13,16.11,16.24,16.0,16.23,15500,16.23
2024-11-14,16.2,16.22,16.06,16.14,8800,16.14
2024-11-15,16.19,16.78,16.09,16.74,32800,16.74
2024-11-18,16.74,16.81,16.33,16.33,26300,16.33
2024-11-19,16.48,16.64,16.03,16.64,15700,16.64
2024-11-20,16.38,16.74,16.38,16.74,12100,16.74
2024-11-21,16.75,16.76,16.55,16.74,21100,16.74
2024-11-22,16.63,16.8,16.6,16.75,17100,16.75
2024-11-25,16.65,17.33,16.65,17.3,26400,17.3
2024-11-26,17.36,17.36,16.94,17.34,14100,17.34
2024-11-27,17.2,17.4,17.2,17.36,12400,17.36
2024-11-29,17.46,17.46,17.33,17.37,5200,17.37
2024-12-02,17.36,17.36,17.1,17.27,11400,17.27
2024-12-03,17.14,17.77,17.14,17.7,15400,17.7
2024-12-04,17.59,17.75,17.58,17.62,15500,17.62
2024-12-05,17.69,17.69,17.58,17.62,10900,17.62
2024-12-06,17.6,17.6,17.36,17.37,10000,17.37
2024-12-09,17.27,17.43,17.27,17.42,10800,17.42
2024-12-10,17.4,17.4,17.2,17.24,11600,17.24
2024-12-11,17.16,17.3,17.13,17.24,12000,17.24
2024-12-12,17.3,17.37,17.14,17.14,15100,17.14
2024-12-13,17.13,17.53,17.09,17.13,15700,17.13
2024-12-16,17.22,17.29,17.15,17.17,9600,17.17
2024-12-17,17.3,17.31,17.0,17.01,16700,17.01
2024-12-18,17.1,17.1,15.81,15.81,26600,15.81
2024-12-19,15.98,15.98,14.94,15.31,20000,15.31
2024-12-20,15.48,16.02,15.48,15.96,19600,15.96
2024-12-23,16.01,16.05,15.35,15.46,16800,15.46
2024-12-24,15.36,15.94,15.36,15.8,8600,15.8
2024-12-26,15.75,16.17,15.71,16.17,9100,16.17
2024-12-27,16.05,16.36,15.98,16.28,11900,16.28
2024-12-30,16.13,16.13,15.85,15.85,13300,15.85
2024-12-31,16.05,16.21,15.69,16.15,16200,16.15
2025-01-02,16.1,16.58,16.06,16.48,12000,16.48
2025-01-03,16.48,16.94,16.3,16.85,8900,16.85
2025-01-06,17.0,17.39,16.88,17.38,20700,17.38
2025-01-07,17.3,17.4,17.1,17.25,14900,17.25
2025-01-08,17.28,17.5,17.2,17.42,17600,17.42
2025-01-10,17.2,17.44,17.1,17.39,14300,17.39
2025-01-13,17.47,17.47,17.1,17.24,23900,17.24
2025-01-14,17.16,17.66,17.13,17.39,31300,17.39
2025-01-15,17.5,17.51,17.31,17.31,14300,17.31
2025-01-16,17.44,17.71,17.0,17.7,14000,17.7
