date,open,high,low,close,volume,adj_close
2024-06-03 00:00:00,11.47,11.5,11.2,11.25,17800,11.25
2024-06-04 00:00:00,11.15,11.32,11.15,11.26,11500,11.26
2024-06-05 00:00:00,11.24,11.4,11.23,11.4,23000,11.4
2024-06-06 00:00:00,11.4,11.5,11.21,11.29,47500,11.29
2024-06-07 00:00:00,11.24,11.24,10.975,11.01,8300,11.01
2024-06-10 00:00:00,10.86,11.248,10.82,11.06,30600,11.06
2024-06-11 00:00:00,10.84,11.02,10.82,11.0,9200,11.0
2024-06-12 00:00:00,10.82,11.03,10.82,11.03,12700,11.03
2024-06-13 00:00:00,10.99,11.0,10.815,11.0,10700,11.0
2024-06-14 00:00:00,10.98,11.0,10.64,10.79,40300,10.79
2024-06-17 00:00:00,10.85,10.97,10.6,10.86,13800,10.86
2024-06-18 00:00:00,10.79,10.94,10.75,10.92,13500,10.92
2024-06-20 00:00:00,10.9,10.92,10.7,10.92,19100,10.92
2024-06-21 00:00:00,10.54,11.49,10.45,10.51,233400,10.51
2024-06-24 00:00:00,10.45,10.93,10.45,10.75,58100,10.75
2024-06-25 00:00:00,10.94,11.44,10.93,11.41,39600,11.41
2024-06-26 00:00:00,11.36,11.658,11.06,11.37,116100,11.37
2024-06-27 00:00:00,11.33,11.97,11.08,11.97,375800,11.97
2024-06-28 00:00:00,11.9,13.5,11.67,12.55,563000,12.55
2024-07-01 00:00:00,12.59,13.18,12.59,12.8,65100,12.8
2024-07-02 00:00:00,12.8,12.95,12.57,12.79,88200,12.79
2024-07-03 00:00:00,12.74,12.865,12.08,12.43,14200,12.43
2024-07-05 00:00:00,12.5,12.81,12.5,12.79,47000,12.79
2024-07-08 00:00:00,12.73,12.73,11.656,12.35,91200,12.35
2024-07-09 00:00:00,12.15,12.368,11.89,12.34,34600,12.34
2024-07-10 00:00:00,12.055,12.61,12.03,12.41,39100,12.41
2024-07-11 00:00:00,12.37,12.48,12.06,12.48,26900,12.48
2024-07-12 00:00:00,12.48,12.75,12.08,12.32,17600,12.32
2024-07-15 00:00:00,12.27,12.69,11.35,12.5,42600,12.5
2024-07-16 00:00:00,12.39,12.56,11.99,12.56,52800,12.56
2024-07-17 00:00:00,12.65,12.7,12.092,12.65,22400,12.65
2024-07-18 00:00:00,12.54,12.54,11.88,12.35,19600,12.35
2024-07-19 00:00:00,12.29,12.34,11.91,12.34,17300,12.34
2024-07-22 00:00:00,12.31,12.45,12.0,12.45,19200,12.45
2024-07-23 00:00:00,12.54,12.54,12.2,12.45,25700,12.45
2024-07-24 00:00:00,12.34,12.37,12.03,12.16,19400,12.16
2024-07-25 00:00:00,12.01,12.35,12.01,12.31,29900,12.31
2024-07-26 00:00:00,12.31,12.44,12.09,12.43,20700,12.43
2024-07-29 00:00:00,12.3,12.43,12.09,12.39,49600,12.39
2024-07-30 00:00:00,12.3,12.79,12.29,12.79,51400,12.79
2024-07-31 00:00:00,12.79,12.8,11.96,12.7,324300,12.7
2024-08-01 00:00:00,12.57,12.98,12.2,12.86,47400,12.86
2024-08-02 00:00:00,12.93,12.94,12.176,12.86,54900,12.86
2024-08-05 00:00:00,12.12,12.83,11.013,12.83,25800,12.83
2024-08-06 00:00:00,12.817,12.817,12.15,12.48,13900,12.48
2024-08-07 00:00:00,12.26,13.281,12.25,13.0,108800,13.0
2024-08-08 00:00:00,13.0,13.0,12.35,12.58,10300,12.58
2024-08-09 00:00:00,12.43,12.742,12.1,12.32,45200,12.32
2024-08-12 00:00:00,12.19,12.645,11.83,12.64,34300,12.64
2024-08-13 00:00:00,12.54,12.54,12.1,12.54,44300,12.54
2024-08-14 00:00:00,12.44,13.39,12.2,12.88,90000,12.88
2024-08-15 00:00:00,12.6,13.08,12.46,13.02,70900,13.02
2024-08-16 00:00:00,12.84,12.98,12.615,12.98,32700,12.98
2024-08-19 00:00:00,12.84,13.0,12.72,12.95,189200,12.95
2024-08-20 00:00:00,12.61,13.05,12.61,13.0,216600,13.0
2024-08-21 00:00:00,12.96,13.0,12.85,13.0,129700,13.0
2024-08-22 00:00:00,13.0,13.0,10.19,12.45,273700,12.45
2024-08-23 00:00:00,12.4,12.47,11.72,12.41,42200,12.41
2024-08-26 00:00:00,12.2,12.45,11.68,12.45,60000,12.45
2024-08-27 00:00:00,12.43,12.46,11.91,12.39,88000,12.39
2024-08-28 00:00:00,12.3,12.73,12.07,12.69,72900,12.69
2024-08-29 00:00:00,12.69,13.5,12.69,13.16,227400,13.16
2024-08-30 00:00:00,13.24,13.5,12.85,13.26,227400,13.26
2024-09-03 00:00:00,13.5,13.5,11.83,12.19,76100,12.19
2024-09-04 00:00:00,12.11,12.55,11.96,12.42,35400,12.42
