date,open,high,low,close,volume,adj_close
2024-06-24,1084.0,1084.0,980.0,980.0,403,980.0
2024-06-25,984.0,992.0,912.0,924.0,269,924.0
2024-06-26,1008.0,1008.0,868.0,884.0,377,884.0
2024-06-27,872.0,880.0,816.0,816.0,367,816.0
2024-06-28,820.0,840.0,776.0,796.0,372,796.0
2024-07-01,792.0,804.0,764.0,768.0,261,768.0
2024-07-02,760.0,788.0,716.0,720.0,272,720.0
2024-07-03,720.0,732.0,704.0,712.0,153,712.0
2024-07-05,716.0,716.0,640.0,644.0,6938,644.0
2024-07-08,652.0,664.0,604.0,608.0,1439,608.0
2024-07-09,608.0,624.0,584.0,592.0,1477,592.0
2024-07-10,596.0,624.0,584.0,588.0,1361,588.0
2024-07-11,588.0,620.0,572.0,584.0,1475,584.0
2024-07-12,584.0,612.0,556.0,604.0,1920,604.0
2024-07-15,600.0,600.0,556.0,568.0,1753,568.0
2024-07-16,568.0,588.0,556.0,584.0,790,584.0
2024-07-17,592.0,608.0,568.0,584.0,1199,584.0
2024-07-18,572.0,600.0,572.0,596.0,1108,596.0
2024-07-19,596.0,620.0,588.0,600.0,632,600.0
2024-07-22,600.0,608.0,556.0,592.0,1470,592.0
2024-07-23,600.0,708.0,580.0,700.0,3442,700.0
2024-07-24,692.0,700.0,664.0,676.0,1000,676.0
2024-07-25,668.0,680.0,624.0,652.0,961,652.0
2024-07-26,656.0,680.0,628.0,640.0,571,640.0
2024-07-29,612.0,676.0,604.0,640.0,1175,640.0
2024-07-30,648.0,648.0,612.0,616.0,432,616.0
2024-07-31,620.0,636.0,596.0,628.0,705,628.0
2024-08-01,624.0,624.0,592.0,596.0,543,596.0
2024-08-02,592.0,612.0,572.0,584.0,513,584.0
2024-08-05,556.0,564.0,516.0,548.0,1332,548.0
2024-08-06,548.0,560.0,528.0,544.0,662,544.0
2024-08-07,552.0,564.0,520.0,524.0,808,524.0
2024-08-08,524.0,564.0,520.0,560.0,951,560.0
2024-08-09,556.0,584.0,544.0,584.0,479,584.0
2024-08-12,572.0,632.0,540.0,556.0,979,556.0
2024-08-13,552.0,568.0,520.0,568.0,879,568.0
2024-08-14,556.0,556.0,540.0,544.0,267,544.0
2024-08-15,544.0,568.0,536.0,560.0,337,560.0
2024-08-16,560.0,580.0,552.0,572.0,322,572.0
2024-08-19,572.0,584.0,560.0,564.0,225,564.0
2024-08-20,568.0,576.0,548.0,556.0,283,556.0
2024-08-21,548.0,568.0,528.0,548.0,468,548.0
2024-08-22,544.0,568.0,524.0,528.0,309,528.0
2024-08-23,528.0,560.0,524.0,544.0,465,544.0
2024-08-26,548.0,568.0,540.0,564.0,286,564.0
2024-08-27,556.0,576.0,544.0,556.0,208,556.0
2024-08-28,556.0,556.0,524.0,532.0,316,532.0
2024-08-29,536.0,544.0,528.0,528.0,322,528.0
2024-08-30,532.0,548.0,500.0,512.0,809,512.0
2024-09-03,508.0,520.0,492.0,500.0,529,500.0
2024-09-04,492.0,504.0,480.0,480.0,487,480.0
2024-09-05,472.0,536.0,472.0,508.0,899,508.0
2024-09-06,504.0,524.0,504.0,508.0,103,508.0
2024-09-09,508.0,516.0,484.0,488.0,272,488.0
2024-09-10,488.0,504.0,472.0,492.0,267,492.0
2024-09-11,492.0,508.0,480.0,484.0,338,484.0
2024-09-12,488.0,492.0,476.0,484.0,245,484.0
2024-09-13,476.0,504.0,476.0,496.0,231,496.0
2024-09-16,492.0,508.0,488.0,496.0,123,496.0
2024-09-17,496.0,540.0,496.0,532.0,556,532.0
2024-09-18,548.0,556.0,512.0,528.0,560,528.0
2024-09-19,516.0,516.0,464.0,464.0,1167,464.0
2024-09-20,464.0,468.0,416.0,416.0,789,416.0
2024-09-23,440.0,440.0,424.0,432.0,227,432.0
2024-09-24,444.0,452.0,428.0,444.0,444,444.0
2024-09-25,444.0,452.0,436.0,436.0,230,436.0
2024-09-26,464.0,520.0,456.0,496.0,904,496.0
2024-09-27,508.0,536.0,508.0,516.0,801,516.0
2024-09-30,540.0,608.0,540.0,568.0,2855,568.0
2024-10-01,560.0,592.0,536.0,572.0,1015,572.0
2024-10-02,632.0,692.0,584.0,608.0,2829,608.0
2024-10-03,580.0,604.0,572.0,580.0,879,580.0
2024-10-04,620.0,636.0,584.0,612.0,1380,612.0
2024-10-07,644.0,724.0,624.0,720.0,3099,720.0
2024-10-08,672.0,880.0,628.0,740.0,5555,740.0
2024-10-09,732.0,840.0,720.0,772.0,1688,772.0
2024-10-10,780.0,780.0,672.0,688.0,1404,688.0
2024-10-11,672.0,748.0,672.0,748.0,2112,748.0
2024-10-14,728.0,728.0,668.0,680.0,888,680.0
2024-10-15,676.0,684.0,640.0,656.0,757,656.0
2024-10-16,648.0,664.0,628.0,636.0,426,636.0
2024-10-17,632.0,640.0,596.0,596.0,588,596.0
2024-10-18,596.0,664.0,596.0,648.0,647,648.0
2024-10-21,636.0,648.0,596.0,620.0,715,620.0
2024-10-22,616.0,644.0,608.0,612.0,319,612.0
2024-10-23,612.0,632.0,580.0,604.0,424,604.0
2024-10-24,620.0,624.0,588.0,600.0,169,600.0
2024-10-25,600.0,600.0,572.0,572.0,354,572.0
2024-10-28,568.0,584.0,540.0,540.0,508,540.0
2024-10-29,560.0,560.0,544.0,548.0,133,548.0
2024-10-30,536.0,548.0,520.0,524.0,371,524.0
2024-10-31,520.0,520.0,480.0,484.0,868,484.0
2024-11-01,480.0,512.0,460.0,468.0,543,468.0
2024-11-04,480.0,504.0,472.0,492.0,251,492.0
2024-11-05,496.0,508.0,488.0,500.0,153,500.0
2024-11-06,516.0,516.0,484.0,496.0,305,496.0
2024-11-07,508.0,536.0,504.0,532.0,190,532.0
2024-11-08,520.0,520.0,484.0,496.0,321,496.0
2024-11-11,508.0,512.0,484.0,492.0,142,492.0
2024-11-12,484.0,492.0,460.0,472.0,178,472.0
2024-11-13,460.0,476.0,452.0,452.0,207,452.0
2024-11-14,452.0,480.0,452.0,472.0,135,472.0
2024-11-15,492.0,492.0,452.0,452.0,189,452.0
2024-11-18,436.0,460.0,436.0,452.0,166,452.0
2024-11-19,456.0,480.0,456.0,476.0,192,476.0
2024-11-20,476.0,508.0,472.0,508.0,154,508.0
2024-11-21,508.0,524.0,484.0,500.0,122,500.0
2024-11-22,484.0,508.0,480.0,504.0,218,504.0
2024-11-25,500.0,564.0,496.0,552.0,416,552.0
2024-11-26,540.0,540.0,512.0,532.0,131,532.0
2024-11-27,504.0,556.0,504.0,540.0,204,540.0
2024-11-29,560.0,576.0,452.0,508.0,1920,508.0
2024-12-02,516.0,540.0,500.0,512.0,542,512.0
2024-12-03,488.0,540.0,488.0,508.0,218,508.0
2024-12-04,496.0,520.0,484.0,500.0,326,500.0
2024-12-05,496.0,496.0,460.0,488.0,305,488.0
2024-12-06,484.0,500.0,464.0,464.0,447,464.0
2024-12-09,496.0,548.0,472.0,528.0,486,528.0
2024-12-10,508.0,524.0,488.0,512.0,265,512.0
2024-12-11,492.0,516.0,492.0,516.0,165,516.0
2024-12-12,516.0,516.0,496.0,496.0,102,496.0
2024-12-13,508.0,508.0,484.0,488.0,114,488.0
2024-12-16,472.0,496.0,468.0,484.0,203,484.0
2024-12-17,480.0,488.0,468.0,480.0,638,480.0
2024-12-18,464.0,484.0,436.0,440.0,712,440.0
2024-12-19,452.0,460.0,424.0,432.0,283,432.0
2024-12-20,428.0,448.0,424.0,432.0,217,432.0
2024-12-23,424.0,444.0,396.0,424.0,725,424.0
2024-12-24,436.0,440.0,424.0,428.0,467,428.0
2024-12-26,420.0,448.0,404.0,436.0,1503,436.0
2024-12-27,460.0,500.0,428.0,456.0,2756,456.0
2024-12-30,476.0,488.0,440.0,448.0,1800,448.0
2024-12-31,464.0,472.0,432.0,440.0,1439,440.0
