date,open,high,low,close,volume,adj_close
2024-05-20,71.08,72.04,71.08,71.52,162700,71.52
2024-05-21,71.36,72.6,71.34,71.65,124100,71.65
2024-05-22,71.38,72.14,71.01,71.83,196200,71.83
2024-05-23,72.0,72.0,69.77,70.09,189200,70.09
2024-05-24,70.55,71.61,69.99,71.33,182900,71.33
2024-05-28,71.71,72.03,70.51,70.8,150200,70.8
2024-05-29,69.99,70.74,69.29,69.32,134600,69.32
2024-05-30,69.54,70.24,69.54,69.83,136400,69.83
2024-05-31,69.95,71.01,69.79,70.99,312700,70.99
2024-06-03,71.3,71.37,69.74,70.21,145800,70.21
2024-06-04,70.01,70.01,68.77,69.24,154100,69.24
2024-06-05,69.59,70.03,68.9,69.48,121800,69.48
2024-06-06,69.08,69.26,67.13,67.55,185300,67.55
2024-06-07,67.28,67.65,66.76,66.96,140500,66.96
2024-06-10,66.17,66.9,65.43,66.28,225800,66.28
2024-06-11,65.64,65.75,64.36,65.31,247600,65.31
2024-06-12,66.79,67.67,66.16,67.12,281800,67.12
2024-06-13,67.0,67.5,66.17,67.48,325300,67.48
2024-06-14,66.85,67.02,65.76,67.0,237000,67.0
2024-06-17,66.34,68.62,66.28,67.6,299400,67.6
2024-06-18,67.51,70.74,67.02,70.68,391900,70.68
2024-06-20,70.41,70.81,69.07,69.75,272300,69.75
2024-06-21,69.84,71.18,69.11,70.99,1203600,70.99
2024-06-24,71.46,72.21,71.13,71.71,212400,71.71
2024-06-25,71.58,71.94,70.66,70.86,194500,70.86
2024-06-26,70.28,72.77,70.28,72.53,290200,72.53
2024-06-27,72.71,72.81,71.7,71.96,221900,71.96
2024-06-28,72.46,73.5,72.04,72.7,624100,72.7
2024-07-01,73.22,73.22,70.16,70.45,176500,70.45
2024-07-02,70.2,72.47,70.13,72.05,162200,72.05
2024-07-03,72.43,72.94,71.68,72.01,90400,72.01
2024-07-05,71.91,71.98,70.59,71.14,121200,71.14
2024-07-08,71.58,72.48,71.3,72.35,149100,72.35
2024-07-09,72.02,72.8,71.7,71.94,207400,71.94
2024-07-10,72.25,73.0,72.0,72.29,218300,72.29
2024-07-11,73.06,74.01,72.05,73.48,291000,73.48
2024-07-12,74.26,75.04,73.62,74.19,319100,74.19
2024-07-15,74.96,75.8,73.91,73.93,300100,73.93
2024-07-16,74.32,75.82,73.82,75.54,498200,75.54
