date,open,high,low,close,volume,adj_close
2024-05-20,170.1922,170.4347,166.0417,166.9823,292600,166.9823
2024-05-21,167.0502,167.7775,165.7313,166.1968,247800,166.1968
2024-05-22,165.6828,166.1386,163.6367,164.3834,244400,164.3834
2024-05-23,164.3834,165.5471,161.2123,161.6681,317600,161.6681
2024-05-24,162.2693,163.9082,161.7941,163.8791,353800,163.8791
2024-05-28,163.753,163.8112,162.7445,163.4718,387900,163.4718
2024-05-29,163.1809,166.158,162.919,163.9373,624200,163.9373
2024-05-30,164.17,166.0417,162.9966,165.4113,336100,165.4113
2024-05-31,165.8283,168.2527,165.4404,168.2236,810100,168.2236
2024-06-03,167.8066,169.7073,167.0308,167.2732,346200,167.2732
2024-06-04,165.838,167.4187,165.3337,166.6041,344600,166.6041
2024-06-05,166.5168,168.1751,165.1689,167.2344,395600,167.2344
2024-06-06,167.3314,168.5145,166.3908,167.3023,212100,167.3023
2024-06-07,167.8648,169.3097,167.2345,168.0975,326000,168.0975
2024-06-10,167.669,169.0226,167.3866,168.0585,297200,168.0585
2024-06-11,167.1724,167.4159,163.9394,165.1567,256700,165.1567
2024-06-12,165.3514,165.7507,163.6375,164.5334,210900,164.5334
2024-06-13,163.9686,164.4458,162.6832,163.7154,349200,163.7154
2024-06-14,162.2255,163.024,160.7259,161.203,360500,161.203
2024-06-17,161.5341,163.9102,160.8719,163.5888,237000,163.5888
2024-06-18,163.1993,165.108,163.1993,163.9589,239900,163.9589
2024-06-20,163.7447,165.5462,163.0435,165.1567,262700,165.1567
2024-06-21,165.5364,165.5754,162.6929,164.3192,459100,164.3192
2024-06-24,164.3192,165.8578,164.2121,164.8061,312300,164.8061
2024-06-25,165.0593,165.5169,162.0892,162.206,279000,162.206
2024-06-26,161.2809,161.2809,159.6742,160.4922,224500,160.4922
2024-06-27,160.2097,163.5499,160.2097,162.8779,287300,162.8779
2024-06-28,162.9461,164.4555,161.3101,161.8944,584400,161.8944
2024-07-01,162.1963,163.7739,160.6577,162.5177,462400,162.5177
2024-07-02,161.1154,162.021,160.1708,161.5049,326000,161.5049
2024-07-03,161.0862,162.3813,159.5378,159.6352,204200,159.6352
2024-07-05,158.8367,159.2554,156.2561,157.0546,815000,157.0546
2024-07-08,155.925,158.9341,155.925,157.1715,521100,157.1715
2024-07-09,156.967,159.158,156.1295,157.376,335700,157.376
2024-07-10,157.8726,160.5506,157.8726,160.4824,282700,160.4824
2024-07-11,160.6966,162.2937,160.6187,162.1768,246000,162.1768
2024-07-12,162.9266,164.7379,161.3296,163.7446,300500,163.7446
2024-07-15,164.3094,167.4159,163.3551,166.6271,315000,166.6271
2024-07-16,165.9941,167.3185,165.1469,165.7799,322500,165.7799
2024-07-17,165.9941,169.568,165.7507,167.3964,395200,167.3964
2024-07-18,167.2795,172.0512,167.2795,167.8054,292600,167.8054
2024-07-19,168.2825,168.2825,164.2315,165.3416,386700,165.3416
2024-07-22,164.8061,166.4129,164.2315,164.9716,299800,164.9716
2024-07-23,165.2346,168.1657,164.6892,167.932,319800,167.932
2024-07-24,168.6721,169.0908,165.2053,165.4293,218800,165.4293
2024-07-25,166.0623,168.302,164.9424,165.1469,278400,165.1469
2024-07-26,166.3544,169.3537,164.8256,168.5163,233000,168.5163
2024-07-29,169.6069,170.4152,167.9515,168.1268,214200,168.1268
2024-07-30,168.9058,171.9343,168.5942,171.2332,240200,171.2332
2024-07-31,170.9508,171.8564,169.8698,170.2886,262300,170.2886
2024-08-01,171.2916,171.8759,167.9612,169.9672,248200,169.9672
2024-08-02,169.3537,171.613,166.9679,168.711,387500,168.711
2024-08-05,169.4219,169.4219,162.4202,164.8548,279400,164.8548
2024-08-06,165.1372,167.1042,163.8907,165.7117,370900,165.7117
2024-08-07,168.6039,170.5807,160.3169,165.7312,547200,165.7312
2024-08-08,165.8578,166.9582,164.9424,165.8091,317000,165.8091
2024-08-09,166.2278,172.9373,165.9259,172.7426,389200,172.7426
2024-08-12,173.2392,174.1838,172.7815,173.7845,380100,173.7845
2024-08-13,174.583,179.8221,174.1448,179.491,502500,179.491
2024-08-14,179.5494,181.4289,179.1502,181.1075,391000,181.1075
2024-08-15,182.1008,182.6753,178.2835,179.2378,547900,179.2378
2024-08-16,179.7637,182.539,178.5562,182.3637,282400,182.3637
2024-08-19,181.906,184.7982,181.906,183.8049,345400,183.8049
2024-08-20,183.8342,185.8207,183.3765,184.8177,443400,184.8177
2024-08-21,185.7623,185.8207,182.7337,184.8566,369900,184.8566
2024-08-22,183.0746,185.2559,182.2468,184.7787,236900,184.7787
2024-08-23,185.811,188.6155,184.808,187.9533,291000,187.9533
2024-08-26,188.4987,189.6477,187.3593,187.7099,227400,187.7099
2024-08-27,187.8267,189.414,186.9406,189.0148,236800,189.0148
2024-08-28,189.1803,190.3781,187.0087,188.9174,407700,188.9174
2024-08-29,189.414,192.1017,188.0897,190.2418,249400,190.2418
2024-08-30,190.4463,191.6051,189.5017,191.2058,508100,191.2058
2024-09-03,191.9389,193.2094,191.4892,192.3396,339700,192.3396
2024-09-04,193.0629,194.9883,192.3005,192.7208,340300,192.7208
2024-09-05,193.4147,193.4147,189.2999,190.4532,501700,190.4532
2024-09-06,190.1796,191.9389,187.7263,188.2248,365500,188.2248
2024-09-09,189.3781,191.5088,188.2737,188.8894,551200,188.8894
2024-09-10,189.339,189.7788,186.9249,187.4331,256500,187.4331
2024-09-11,186.0843,187.3158,182.4191,185.0385,362300,185.0385
2024-09-12,184.7551,187.5699,184.3837,186.9835,243500,186.9835
2024-09-13,187.57,188.5865,186.7783,187.8925,350300,187.8925
2024-09-16,189.1142,190.463,188.2541,188.5571,256400,188.5571
2024-09-17,188.8601,191.3622,188.3128,191.3134,249700,191.3134
2024-09-18,191.7336,192.5351,189.3879,189.4368,197200,189.4368
2024-09-19,190.6878,191.1374,188.0196,189.6322,322400,189.6322
2024-09-20,189.7104,191.0299,188.8112,189.8766,771200,189.8766
2024-09-23,190.5901,194.1282,190.2187,193.62,382100,193.62
2024-09-24,193.0824,193.9914,191.4209,192.8478,317500,192.8478
2024-09-25,193.4245,193.4929,191.7532,192.0952,236500,192.0952
2024-09-26,192.0268,195.477,191.9584,194.4996,287000,194.4996
2024-09-27,194.9883,196.9919,194.0109,195.4281,367000,195.4281
2024-09-30,195.7311,196.5228,191.6457,194.3628,409100,194.3628
2024-10-01,194.0305,195.5063,192.9358,194.7146,322000,194.7146
2024-10-02,194.2357,196.0927,193.2583,195.1447,298900,195.1447
2024-10-03,195.1447,195.1447,191.6945,192.0268,388700,192.0268
2024-10-04,192.5644,193.8252,192.0268,193.0629,262300,193.0629
2024-10-07,191.7531,192.7012,182.0282,182.38,544800,182.38
2024-10-08,183.0056,186.055,182.7221,185.2926,333500,185.2926
2024-10-09,185.2438,187.2767,184.5205,186.2603,303500,186.2603
2024-10-10,188.1955,189.2901,185.5565,186.0257,271300,186.0257
