date,open,high,low,close,volume,adj_close
2024-06-04,11.02,11.02,11.02,11.02,4500,11.02
2024-06-05,11.02,11.02,11.02,11.02,5700,11.02
2024-06-06,11.02,11.02,11.02,11.02,0,11.02
2024-06-07,11.02,11.02,11.02,11.02,0,11.02
2024-06-10,11.02,11.02,11.02,11.02,0,11.02
2024-06-11,11.03,11.03,11.03,11.03,43900,11.03
2024-06-12,11.03,11.03,11.03,11.03,0,11.03
2024-06-13,11.03,11.03,11.03,11.03,0,11.03
2024-06-14,11.03,11.03,11.03,11.03,0,11.03
2024-06-17,11.03,11.03,11.03,11.03,0,11.03
2024-06-18,11.03,11.03,11.03,11.03,0,11.03
2024-06-20,11.03,11.03,11.03,11.03,120000,11.03
2024-06-21,11.03,11.03,11.03,11.03,0,11.03
2024-06-24,11.03,11.03,11.03,11.03,0,11.03
2024-06-25,11.03,11.03,11.03,11.03,0,11.03
2024-06-26,11.03,11.03,11.03,11.03,0,11.03
2024-06-27,11.03,11.03,11.03,11.03,0,11.03
2024-06-28,11.03,11.03,11.03,11.03,0,11.03
2024-07-01,11.03,11.03,11.03,11.03,0,11.03
2024-07-02,11.04,11.04,11.04,11.04,300,11.04
2024-07-03,11.04,11.04,11.04,11.04,0,11.04
2024-07-05,11.04,11.04,11.04,11.04,0,11.04
2024-07-08,11.04,11.04,11.04,11.04,0,11.04
2024-07-09,11.04,11.04,11.04,11.04,0,11.04
2024-07-10,11.04,11.04,11.04,11.04,300,11.04
2024-07-11,11.06,11.06,11.06,11.06,146700,11.06
2024-07-12,11.04,11.07,11.04,11.07,253300,11.07
2024-07-15,11.07,11.07,11.07,11.07,0,11.07
2024-07-16,11.05,11.06,11.05,11.05,186500,11.05
2024-07-17,11.065,11.075,11.065,11.075,27100,11.075
2024-07-18,11.07,11.07,11.07,11.07,27100,11.07
2024-07-19,11.08,11.08,11.08,11.08,4100,11.08
2024-07-22,11.08,11.08,11.08,11.08,0,11.08
2024-07-23,11.08,11.08,11.08,11.08,500,11.08
2024-07-24,11.09,11.09,11.09,11.09,1000,11.09
2024-07-25,11.09,11.09,11.07,11.09,32600,11.09
2024-07-26,11.1,11.11,11.1,11.11,37900,11.11
2024-07-29,11.11,11.11,11.11,11.11,0,11.11
2024-07-30,11.11,11.11,11.09,11.09,60800,11.09
2024-07-31,11.09,11.09,11.09,11.09,1100,11.09
2024-08-01,11.1,11.1,11.1,11.1,25000,11.1
2024-08-02,11.1,11.1,11.1,11.1,0,11.1
2024-08-05,11.11,11.11,11.11,11.11,1800,11.11
2024-08-06,11.11,11.11,11.11,11.11,0,11.11
2024-08-07,11.11,11.135,11.105,11.135,30700,11.135
2024-08-08,11.135,11.135,11.135,11.135,1900,11.135
2024-08-09,11.135,11.135,11.135,11.135,0,11.135
2024-08-12,11.135,11.135,11.135,11.135,0,11.135
2024-08-13,11.1,11.1,11.1,11.1,300,11.1
2024-08-14,11.1,11.1,11.1,11.1,0,11.1
2024-08-15,11.1,11.1,11.1,11.1,0,11.1
2024-08-16,11.1,11.1,11.1,11.1,100,11.1
2024-08-19,11.12,11.13,11.12,11.13,7400,11.13
2024-08-20,11.14,11.14,11.11,11.11,300,11.11
2024-08-21,11.11,11.11,11.11,11.11,0,11.11
2024-08-22,11.11,11.11,11.11,11.11,0,11.11
2024-08-23,11.11,11.11,11.11,11.11,0,11.11
2024-08-26,11.12,11.12,11.12,11.12,73000,11.12
2024-08-27,11.12,11.12,11.115,11.115,76000,11.115
2024-08-28,11.115,11.115,11.115,11.115,0,11.115
2024-08-29,11.115,11.115,11.115,11.115,0,11.115
2024-08-30,11.115,11.115,11.115,11.115,0,11.115
2024-09-03,11.13,11.13,11.12,11.12,74200,11.12
2024-09-04,11.12,11.12,11.12,11.12,0,11.12
2024-09-05,11.12,11.12,11.12,11.12,0,11.12
2024-09-06,11.12,11.12,11.12,11.12,0,11.12
2024-09-09,11.12,11.12,11.12,11.12,0,11.12
2024-09-10,11.14,11.14,11.12,11.12,28300,11.12
2024-09-11,11.13,11.15,11.11,11.12,81100,11.12
2024-09-12,11.12,11.13,11.12,11.13,700,11.13
2024-09-13,11.13,11.13,11.13,11.13,0,11.13
2024-09-16,11.13,11.13,11.13,11.13,0,11.13
2024-09-17,11.13,11.13,11.13,11.13,32200,11.13
2024-09-18,11.13,11.13,11.13,11.13,293500,11.13
2024-09-19,11.13,11.13,11.13,11.13,200,11.13
2024-09-20,11.13,11.13,11.13,11.13,300,11.13
2024-09-23,11.13,11.13,11.13,11.13,18700,11.13
2024-09-24,11.13,11.13,11.13,11.13,0,11.13
2024-09-25,11.13,11.13,11.13,11.13,0,11.13
2024-09-26,11.13,11.13,11.13,11.13,0,11.13
2024-09-27,11.13,11.13,11.13,11.13,0,11.13
2024-09-30,11.13,11.13,11.13,11.13,0,11.13
2024-10-01,11.13,11.13,11.13,11.13,200,11.13
2024-10-02,11.15,11.15,11.15,11.15,3000,11.15
2024-10-03,11.15,11.16,11.15,11.16,14500,11.16
2024-10-04,11.18,11.18,11.18,11.18,500,11.18
2024-10-07,11.18,11.18,11.18,11.18,0,11.18
2024-10-08,11.18,11.18,11.18,11.18,0,11.18
2024-10-09,11.17,11.17,11.17,11.17,2000,11.17
2024-10-10,11.17,11.17,11.17,11.17,0,11.17
2024-10-11,11.17,11.17,11.17,11.17,0,11.17
2024-10-14,11.17,11.17,11.17,11.17,0,11.17
2024-10-15,11.17,11.17,11.17,11.17,0,11.17
2024-10-16,11.17,11.17,11.17,11.17,0,11.17
2024-10-17,11.18,11.18,11.18,11.18,600,11.18
2024-10-18,11.18,11.18,11.18,11.18,0,11.18
2024-10-21,11.18,11.18,11.18,11.18,0,11.18
2024-10-22,11.19,11.19,11.19,11.19,1000,11.19
2024-10-23,11.19,11.19,11.19,11.19,0,11.19
2024-10-24,11.2,11.2,11.2,11.2,113000,11.2
2024-10-25,11.2,11.2,11.2,11.2,41300,11.2
2024-10-28,11.2,11.2,11.2,11.2,0,11.2
2024-10-29,11.2,11.2,11.2,11.2,0,11.2
2024-10-30,11.21,11.21,11.21,11.21,600,11.21
2024-10-31,11.22,11.22,11.22,11.22,1000,11.22
2024-11-01,11.22,11.22,11.22,11.22,1000,11.22
2024-11-04,11.22,11.22,11.22,11.22,0,11.22
2024-11-05,11.23,11.23,11.23,11.23,4400,11.23
2024-11-06,11.22,11.22,11.22,11.22,4400,11.22
2024-11-07,11.22,11.22,11.22,11.22,0,11.22
2024-11-08,11.23,11.23,11.23,11.23,17700,11.23
2024-11-11,11.23,11.23,11.23,11.23,0,11.23
2024-11-12,11.23,11.23,11.23,11.23,0,11.23
2024-11-13,11.23,11.23,11.23,11.23,0,11.23
2024-11-14,11.22,11.22,11.22,11.22,10100,11.22
2024-11-15,11.23,11.23,11.23,11.23,7300,11.23
2024-11-18,11.25,11.25,11.25,11.25,1500,11.25
2024-11-19,11.25,11.25,11.25,11.25,0,11.25
2024-11-20,11.25,11.25,11.25,11.25,0,11.25
2024-11-21,11.25,11.25,11.25,11.25,0,11.25
2024-11-22,11.25,11.25,11.25,11.25,0,11.25
2024-11-25,11.25,11.25,11.25,11.25,0,11.25
2024-11-26,11.25,11.25,11.25,11.25,0,11.25
2024-11-27,11.25,11.25,11.25,11.25,0,11.25
2024-11-29,11.25,11.25,11.25,11.25,0,11.25
2024-12-02,11.25,11.25,11.25,11.25,0,11.25
2024-12-03,11.25,11.25,11.25,11.25,0,11.25
2024-12-04,11.29,11.31,11.29,11.31,15000,11.31
2024-12-05,11.31,11.31,11.31,11.31,0,11.31
2024-12-06,11.34,11.34,11.34,11.34,49000,11.34
