date,open,high,low,close,volume,adj_close
2024-06-04,1.73,1.73,1.6,1.61,2557700,1.61
2024-06-05,1.61,1.7,1.57,1.7,1617500,1.7
2024-06-06,1.7,1.71,1.64,1.65,1657900,1.65
2024-06-07,1.64,1.65,1.57,1.6,2436600,1.6
2024-06-10,1.58,1.59,1.5,1.51,2472600,1.51
2024-06-11,1.5,1.6,1.45,1.58,2307600,1.58
2024-06-12,1.64,1.79,1.61,1.61,3097400,1.61
2024-06-13,1.64,1.64,1.52,1.54,1550600,1.54
2024-06-14,1.51,1.53,1.46,1.47,2091300,1.47
2024-06-17,1.47,1.54,1.47,1.52,1246500,1.52
2024-06-18,1.5,1.52,1.43,1.44,2362400,1.44
2024-06-20,1.44,1.45,1.39,1.41,1512000,1.41
2024-06-21,1.42,1.47,1.4,1.46,1771200,1.46
2024-06-24,1.43,1.58,1.43,1.51,1942400,1.51
2024-06-25,1.5,1.5,1.43,1.43,1343700,1.43
2024-06-26,1.43,1.45,1.4,1.42,931900,1.42
2024-06-27,1.4,1.5,1.39,1.49,1012000,1.49
2024-06-28,1.53,1.67,1.52,1.66,5064400,1.66
2024-07-01,1.65,1.72,1.63,1.69,2221100,1.69
2024-07-02,1.68,1.71,1.57,1.68,1325700,1.68
2024-07-03,1.68,1.71,1.64,1.67,643200,1.67
2024-07-05,1.67,1.77,1.63,1.69,1625500,1.69
2024-07-08,1.71,1.8,1.67,1.75,1465800,1.75
2024-07-09,1.74,1.79,1.64,1.78,1344400,1.78
2024-07-10,1.79,1.83,1.66,1.67,1137600,1.67
2024-07-11,1.75,2.03,1.75,2.0,3323100,2.0
2024-07-12,2.1,2.25,2.09,2.13,4015200,2.13
2024-07-15,2.17,2.18,2.06,2.07,2184300,2.07
2024-07-16,2.1,2.48,2.1,2.47,4236900,2.47
2024-07-17,2.4,2.5,2.3,2.39,3168500,2.39
2024-07-18,2.42,2.44,2.22,2.22,2561900,2.22
2024-07-19,2.18,2.25,2.11,2.17,1435600,2.17
2024-07-22,2.19,2.26,2.12,2.25,1045400,2.25
2024-07-23,2.27,2.37,2.17,2.36,1634300,2.36
2024-07-24,2.35,2.42,2.17,2.18,1501000,2.18
2024-07-25,2.18,2.42,2.15,2.32,1622100,2.32
2024-07-26,2.41,2.42,2.3,2.37,1011700,2.37
2024-07-29,2.45,2.47,2.3,2.37,1638200,2.37
2024-07-30,2.37,2.42,2.25,2.31,962200,2.31
2024-07-31,2.33,2.49,2.26,2.38,1663600,2.38
2024-08-01,2.38,2.41,2.13,2.21,1751800,2.21
2024-08-02,2.08,2.08,1.95,1.98,1998000,1.98
2024-08-05,1.68,1.92,1.68,1.84,1509800,1.84
2024-08-06,1.94,1.95,1.77,1.78,1108400,1.78
2024-08-07,1.81,1.87,1.76,1.78,3361700,1.78
2024-08-08,2.09,2.88,2.09,2.88,69658100,2.88
2024-08-09,2.87,3.13,2.61,3.12,13771800,3.12
2024-08-12,3.22,3.25,2.79,2.81,5775100,2.81
2024-08-13,2.81,3.42,2.81,3.25,9765500,3.25
2024-08-14,3.3,3.42,2.98,3.24,7824000,3.24
2024-08-15,3.41,3.52,3.26,3.4,5737200,3.4
2024-08-16,3.31,3.66,3.29,3.65,4934300,3.65
2024-08-19,3.69,4.35,3.6,4.18,10568400,4.18
2024-08-20,4.2,4.62,3.99,4.06,6224100,4.06
2024-08-21,4.11,4.18,3.8,3.96,4900700,3.96
2024-08-22,3.93,3.97,3.52,3.61,3618200,3.61
2024-08-23,3.65,4.24,3.65,3.98,4030200,3.98
2024-08-26,3.98,4.04,3.59,3.71,3520600,3.71
2024-08-27,3.68,3.77,3.57,3.65,1926200,3.65
2024-08-28,3.53,3.68,3.45,3.49,2444200,3.49
2024-08-29,3.54,3.63,3.45,3.46,1920400,3.46
2024-08-30,3.5,3.52,3.18,3.22,2670200,3.22
2024-09-03,3.14,3.3,3.02,3.04,2114800,3.04
2024-09-04,2.97,3.02,2.78,2.8,2426300,2.8
2024-09-05,2.82,3.07,2.78,2.94,2705000,2.94
2024-09-06,2.98,2.98,2.74,2.84,1748900,2.84
2024-09-09,2.88,2.99,2.85,2.88,1827900,2.88
2024-09-10,2.9,2.91,2.53,2.72,3119600,2.72
2024-09-11,2.7,2.85,2.65,2.76,2130000,2.76
2024-09-12,2.76,2.78,2.57,2.75,2373400,2.75
2024-09-13,2.82,2.96,2.73,2.94,3250300,2.94
2024-09-16,2.95,3.02,2.87,2.92,2763800,2.92
2024-09-17,2.97,2.99,2.85,2.87,1521600,2.87
2024-09-18,2.84,3.09,2.77,2.91,2815000,2.91
2024-09-19,3.06,3.07,2.87,2.9,2779600,2.9
