date,open,high,low,close,volume,adj_close
2024-05-20,185.5263,186.095,183.6804,184.044,648400,184.044
2024-05-21,184.2305,185.2,183.8016,185.0322,422700,185.0322
2024-05-22,184.7712,187.1019,184.0067,184.2211,568200,184.2211
2024-05-23,183.8389,183.8389,180.5572,180.8276,495200,180.8276
2024-05-24,181.8438,182.6642,181.359,182.1141,388900,182.1141
2024-05-28,183.1117,183.6058,179.1215,179.2334,514400,179.2334
2024-05-29,176.6602,176.7348,173.5743,175.8212,674300,175.8212
2024-05-30,176.9399,177.7603,176.2034,177.117,653700,177.117
2024-05-31,178.4316,180.0724,177.1357,179.6342,1495000,179.6342
2024-06-03,180.9954,182.4777,179.9512,181.2937,796700,181.2937
2024-06-04,181.2191,184.5847,181.2191,183.5965,614400,183.5965
2024-06-05,183.2888,185.0975,181.5734,185.0415,395800,185.0415
2024-06-06,184.0906,185.5543,183.4846,184.8458,376300,184.8458
2024-06-07,182.4871,184.9203,182.4871,183.8575,557500,183.8575
2024-06-10,183.8482,186.9341,183.5406,185.8433,612800,185.8433
2024-06-11,185.3305,185.8153,183.2888,183.8482,533100,183.8482
2024-06-12,186.8968,187.5215,184.5941,185.3026,445300,185.3026
2024-06-13,185.806,186.7849,184.6127,186.3747,555700,186.3747
2024-06-14,185.7687,188.2859,184.9856,188.2207,410000,188.2207
2024-06-17,186.412,188.4351,185.256,187.9503,478800,187.9503
2024-06-18,188.3512,189.2555,187.2511,188.6961,520000,188.6961
2024-06-20,188.0342,188.7521,187.1112,188.2579,645500,188.2579
2024-06-21,190.3836,190.3836,187.4002,190.0853,1234300,190.0853
2024-06-24,190.8218,194.0288,189.8056,192.4346,932200,192.4346
2024-06-25,192.4533,193.0033,189.6378,190.4582,434300,190.4582
2024-06-26,189.2648,191.4744,188.2859,190.0759,861300,190.0759
2024-06-27,190.7938,192.4067,189.9361,192.3321,709300,192.3321
2024-06-28,193.6951,195.9512,191.7116,194.4848,1079000,194.4848
2024-07-01,194.0335,194.1651,191.9749,192.0689,688200,192.0689
2024-07-02,192.4449,192.9525,191.204,191.9561,787500,191.9561
2024-07-03,192.3791,192.6329,188.8915,188.9009,400200,188.9009
2024-07-05,189.0513,191.1194,188.2053,191.0818,540600,191.0818
2024-07-08,191.2792,191.7492,189.9726,190.9408,802500,190.9408
2024-07-09,190.9972,193.0841,189.888,191.5988,645500,191.5988
2024-07-10,192.7081,192.7457,190.217,191.5049,817400,191.5049
2024-07-11,194.0711,195.406,190.1794,190.6964,646600,190.6964
2024-07-12,191.5707,191.5707,188.807,189.8034,717900,189.8034
2024-07-15,190.9032,193.0183,189.3804,191.0254,546200,191.0254
2024-07-16,191.5048,193.6575,190.5272,193.1875,461100,193.1875
2024-07-17,193.1781,196.4683,192.6611,195.5376,453500,195.5376
2024-07-18,194.5318,198.5363,194.0618,196.1392,434100,196.1392
2024-07-19,197.4177,197.4177,194.2591,194.936,449400,194.936
2024-07-22,194.8984,197.4083,194.231,196.7221,436400,196.7221
2024-07-23,196.5341,196.9477,195.2462,195.7068,386600,195.7068
2024-07-24,195.9982,196.722,193.0089,193.7045,411100,193.7045
2024-07-25,194.09,196.2239,189.6248,190.6682,494700,190.6682
2024-07-26,190.9314,195.3026,189.9914,194.0993,375600,194.0993
