date,open,high,low,close,volume,adj_close
2024-05-20,31.08,31.21,30.78,30.91,81200,30.91
2024-05-21,30.75,31.0,30.43,30.44,49900,30.44
2024-05-22,30.2,30.65,30.05,30.58,100800,30.58
2024-05-23,30.7,30.86,30.26,30.45,118100,30.45
2024-05-24,30.52,30.91,30.24,30.3,55500,30.3
2024-05-28,30.74,30.74,30.2,30.48,55700,30.48
2024-05-29,30.22,31.02,30.22,30.83,104800,30.83
2024-05-30,30.96,31.03,30.58,30.89,67600,30.89
2024-05-31,30.95,31.0,30.49,30.91,60400,30.91
2024-06-03,31.17,31.27,30.53,31.01,60000,31.01
2024-06-04,30.82,31.12,30.58,30.78,46300,30.78
2024-06-05,30.8,31.14,30.64,31.09,43600,31.09
2024-06-06,30.96,31.35,30.8,31.15,30300,31.15
2024-06-07,30.78,30.99,30.5,30.77,58900,30.77
2024-06-10,30.72,30.82,30.23,30.41,66900,30.41
2024-06-11,30.11,30.23,29.85,29.91,48600,29.91
2024-06-12,30.58,30.76,30.03,30.26,71500,30.26
2024-06-13,30.41,30.52,29.79,30.02,37400,30.02
2024-06-14,29.64,29.7,29.02,29.39,54700,29.39
2024-06-17,29.38,29.78,29.01,29.7,42300,29.7
2024-06-18,29.74,29.81,29.17,29.38,41000,29.38
2024-06-20,29.35,29.35,28.64,28.69,61100,28.69
2024-06-21,28.99,28.99,28.68,28.74,74700,28.74
2024-06-24,28.7,29.12,28.43,28.78,53700,28.78
2024-06-25,28.59,28.72,28.18,28.6,42800,28.6
2024-06-26,28.35,28.8,28.19,28.31,55000,28.31
2024-06-27,28.43,28.52,28.0,28.45,46400,28.45
2024-06-28,28.56,28.98,28.05,28.69,239600,28.69
2024-07-01,28.62,28.88,27.56,27.67,77000,27.67
2024-07-02,27.67,28.0,27.55,27.69,37800,27.69
2024-07-03,27.89,28.43,27.69,28.04,40700,28.04
2024-07-05,27.97,28.05,27.0,27.35,54900,27.35
2024-07-08,27.56,27.93,27.44,27.59,47800,27.59
2024-07-09,27.55,27.66,26.82,27.32,47200,27.32
