date,open,high,low,close,volume,adj_close
2024-05-20,8.98,9.6,8.92,9.49,2622700,9.49
2024-05-21,9.45,9.54,9.275,9.41,2112500,9.41
2024-05-22,9.36,9.45,9.285,9.35,566200,9.35
2024-05-23,9.39,9.45,9.29,9.38,661300,9.38
2024-05-24,9.38,9.4,9.13,9.16,1008700,9.16
2024-05-28,9.16,9.19,8.95,9.11,905400,9.11
2024-05-29,8.97,9.21,8.96,9.05,832400,9.05
2024-05-30,9.03,9.089,8.941,9.04,762400,9.04
2024-05-31,9.06,9.09,8.94,9.02,869400,9.02
2024-06-03,8.98,9.29,8.87,9.12,2181200,9.12
2024-06-04,9.14,9.265,8.97,8.98,1878500,8.98
2024-06-05,9.06,9.155,8.975,9.08,995100,9.08
2024-06-06,9.02,9.1,8.945,9.09,609200,9.09
2024-06-07,9.04,9.07,8.99,9.04,408200,9.04
2024-06-10,8.98,9.275,8.97,9.1,2225000,9.1
2024-06-11,9.1,9.36,8.98,9.25,3047800,9.25
2024-06-12,9.43,9.56,9.295,9.42,1779200,9.42
2024-06-13,9.44,9.44,9.015,9.03,657700,9.03
2024-06-14,8.992,9.08,8.93,9.04,659900,9.04
2024-06-17,9.06,9.675,9.02,9.62,2717100,9.62
2024-06-18,9.61,9.79,9.49,9.75,1076300,9.75
2024-06-20,9.75,9.995,9.721,9.91,1566300,9.91
2024-06-21,9.89,10.05,9.84,10.05,1803900,10.05
2024-06-24,10.0,10.26,10.0,10.22,1127600,10.22
2024-06-25,10.19,10.44,10.181,10.38,1029400,10.38
2024-06-26,10.35,10.38,10.16,10.17,822500,10.17
2024-06-27,10.26,10.295,10.08,10.24,1011800,10.24
2024-06-28,10.28,10.445,10.2,10.42,4430400,10.42
2024-07-01,10.45,10.45,10.28,10.3,991700,10.3
2024-07-02,10.29,10.47,10.265,10.28,801000,10.28
2024-07-03,10.26,10.345,10.181,10.24,400900,10.24
2024-07-05,10.22,10.37,10.07,10.26,922600,10.26
2024-07-08,10.27,10.32,10.16,10.25,938400,10.25
2024-07-09,10.28,10.3,9.96,9.99,1096100,9.99
2024-07-10,10.04,10.26,10.025,10.12,905600,10.12
2024-07-11,10.26,10.295,10.13,10.21,697400,10.21
2024-07-12,10.27,10.36,10.22,10.34,954700,10.34
2024-07-15,10.4,10.6,10.225,10.49,2102800,10.49
2024-07-16,10.55,10.7,10.465,10.67,1756000,10.67
2024-07-17,10.598,10.65,10.363,10.5,1692000,10.5
2024-07-18,10.51,10.635,10.37,10.5,1445700,10.5
2024-07-19,10.53,10.67,10.45,10.57,1031700,10.57
2024-07-22,10.64,10.75,10.57,10.69,1244100,10.69
