date,open,high,low,close,volume,adj_close
2026-05-28,9.03,9.03,9.03,9.03,41900,9.03
2026-05-29,8.92,8.92,8.92,8.92,96500,8.92
2026-06-01,9.15,9.15,8.36,8.88,63600,8.88
2026-06-02,8.96,9.4,8.61,9.0,260100,9.0
2026-06-03,9.15,9.64,8.8,8.89,30200,8.89
2026-06-04,9.0,9.19,8.83,9.03,515800,9.03
2026-06-05,8.99,9.08,8.58,9.08,346800,9.08
2026-06-08,8.6,9.05,8.25,8.3,113700,8.3
2026-06-09,8.27,8.51,7.84,8.37,65500,8.37
2026-06-10,8.23,8.59,8.05,8.59,3300,8.59
2026-06-11,8.22,8.82,8.2,8.8,68800,8.8
2026-06-12,8.81,9.0,8.5,8.53,29000,8.53
2026-06-15,8.75,9.25,8.73,8.82,188000,8.82
2026-06-16,8.83,8.98,8.75,8.78,10800,8.78
2026-06-17,8.8,8.84,8.37,8.6,43600,8.6
2026-06-18,8.35,9.1,8.35,8.74,68900,8.74
2026-06-22,8.98,9.1,8.85,8.94,86000,8.94
2026-06-23,8.79,8.855,8.74,8.74,14246,8.74
2026-06-24,8.74,9.15,8.71,9.0,75283,9.0
2026-06-25,9.53,9.27,9.0,9.1,45932,9.1
