date,open,high,low,close,volume,adj_close
2024-05-20,33.8239,33.9585,33.5549,33.651,2307400,33.651
2024-05-21,33.651,33.7278,33.0744,33.1032,4961100,33.1032
2024-05-22,33.036,33.3435,33.0072,33.0072,2781300,33.0072
2024-05-23,32.7093,32.863,32.2673,32.6708,6329300,32.6708
2024-05-24,33.0168,33.0456,32.4594,32.5747,4982200,32.5747
2024-05-28,32.4402,32.7573,32.2096,32.5267,3571400,32.5267
2024-05-29,32.3826,32.5459,31.8541,31.8925,4258800,31.8925
2024-05-30,31.7099,32.2673,31.7099,32.1231,3888200,32.1231
2024-05-31,32.2104,33.0634,32.1813,33.044,5923100,33.044
2024-06-03,32.8598,33.3251,32.6756,33.0343,4443500,33.0343
2024-06-04,32.9567,33.1118,32.2201,32.2782,5622200,32.2782
2024-06-05,32.2491,32.2491,31.7548,32.1716,7123300,32.1716
2024-06-06,32.1328,32.5012,31.9486,32.2976,4845900,32.2976
2024-06-07,32.1328,32.3848,31.8711,32.1425,5069500,32.1425
2024-06-10,32.065,32.1134,31.6869,31.8808,4333600,31.8808
2024-06-11,31.8323,31.8808,31.4834,31.8614,4440000,31.8614
2024-06-12,32.1425,32.4915,31.8905,32.2879,4349100,32.2879
2024-06-13,32.1328,32.7532,31.9002,32.7047,5476800,32.7047
2024-06-14,32.5302,32.792,32.3848,32.7435,4085300,32.7435
2024-06-17,32.4818,33.1409,32.4333,32.8695,4010300,32.8695
2024-06-18,32.9567,33.1118,32.6369,32.695,4219500,32.695
2024-06-20,32.5496,33.1894,32.4721,32.9567,3964700,32.9567
2024-06-21,33.044,33.3057,32.9083,33.2378,6948300,33.2378
2024-06-24,33.2184,33.3154,32.8792,33.1409,3766600,33.1409
2024-06-25,33.0343,33.17,32.8016,32.918,3642000,32.918
2024-06-26,32.6272,32.9277,32.443,32.8598,3279900,32.8598
2024-06-27,32.8598,32.8598,32.3945,32.4915,3628000,32.4915
2024-06-28,32.6272,32.7144,32.0844,32.4236,7320100,32.4236
2024-07-01,32.4721,33.1312,32.0456,32.0456,4474800,32.0456
2024-07-02,32.0843,32.2588,31.6869,31.842,3932200,31.842
2024-07-03,31.8905,32.191,31.7257,32.1425,1988700,32.1425
2024-07-05,32.2588,34.1199,31.7936,33.8388,11285400,33.8388
2024-07-08,33.7031,33.8,32.3848,32.5787,7364000,32.5787
2024-07-09,32.7532,33.0634,32.3558,32.9664,4687400,32.9664
2024-07-10,32.8598,33.2475,32.6369,33.1991,2990000,33.1991
2024-07-11,33.422,34.3041,33.422,34.1393,4238600,34.1393
