date,open,high,low,close,volume,adj_close
2024-05-20,6.12,6.72,6.12,6.49,290900,6.49
2024-05-21,6.11,6.19,5.53,5.85,347400,5.85
2024-05-22,5.98,6.3,5.85,6.11,207200,6.11
2024-05-23,6.11,6.437,6.02,6.29,156000,6.29
2024-05-24,6.39,6.411,6.06,6.23,101900,6.23
2024-05-28,6.16,6.45,6.11,6.11,145100,6.11
2024-05-29,6.06,6.27,6.06,6.18,102100,6.18
2024-05-30,6.18,6.25,5.961,5.98,80700,5.98
2024-05-31,6.14,6.14,5.75,5.82,138700,5.82
2024-06-03,5.88,5.93,5.53,5.79,119400,5.79
2024-06-04,5.7,5.96,5.59,5.9,71600,5.9
2024-06-05,5.92,6.04,5.915,6.02,102700,6.02
2024-06-06,5.96,6.07,5.952,6.0,43300,6.0
2024-06-07,5.95,5.96,5.795,5.88,62200,5.88
2024-06-10,5.78,5.804,5.65,5.75,84000,5.75
2024-06-11,5.75,5.8,5.66,5.78,57700,5.78
2024-06-12,5.91,5.955,5.745,5.86,97500,5.86
2024-06-13,5.86,5.903,5.74,5.83,42700,5.83
2024-06-14,5.76,5.88,5.68,5.85,28900,5.85
2024-06-17,5.72,5.84,5.56,5.65,55900,5.65
2024-06-18,5.63,5.67,5.25,5.28,101900,5.28
2024-06-20,5.26,5.26,5.05,5.06,110100,5.06
2024-06-21,5.05,5.135,5.0,5.12,58000,5.12
2024-06-24,5.12,5.12,4.73,4.82,135300,4.82
2024-06-25,4.84,4.84,4.3,4.37,259300,4.37
2024-06-26,4.41,4.56,4.306,4.5,68500,4.5
2024-06-27,4.53,4.68,4.5,4.65,59000,4.65
2024-06-28,4.71,4.75,4.48,4.61,102200,4.61
2024-07-01,4.6,4.6,4.35,4.37,45800,4.37
2024-07-02,4.68,5.39,4.446,5.26,490400,5.26
2024-07-03,5.27,5.58,5.03,5.385,255200,5.385
2024-07-05,5.44,5.53,5.15,5.5,215100,5.5
2024-07-08,5.5,6.59,5.34,6.49,1228900,6.49
2024-07-09,7.03,7.68,6.55,7.66,1526300,7.66
2024-07-10,7.42,7.65,6.73,6.92,720100,6.92
2024-07-11,7.0,7.23,6.36,6.71,451800,6.71
2024-07-12,6.61,7.088,6.46,6.55,428900,6.55
2024-07-15,6.53,6.804,6.4,6.44,214200,6.44
2024-07-16,6.37,6.72,6.171,6.58,220900,6.58
2024-07-17,6.49,6.55,6.13,6.17,225300,6.17
2024-07-18,6.16,6.32,5.89,5.94,201000,5.94
2024-07-19,5.95,6.06,5.8,5.97,100400,5.97
2024-07-22,6.02,6.169,5.84,6.02,90600,6.02
2024-07-23,5.981,6.22,5.917,6.12,126100,6.12
2024-07-24,6.05,6.15,5.95,5.96,134800,5.96
2024-07-25,5.96,6.24,5.91,5.94,147000,5.94
2024-07-26,6.03,6.309,5.95,6.18,102700,6.18
2024-07-29,6.19,6.5,6.137,6.33,125500,6.33
2024-07-30,6.24,6.43,5.98,6.07,61400,6.07
2024-07-31,6.06,6.3,6.0,6.09,63300,6.09
2024-08-01,6.1,6.253,5.73,5.74,187100,5.74
2024-08-02,5.6,5.6,5.26,5.26,148100,5.26
2024-08-05,4.94,5.23,4.824,5.05,200300,5.05
2024-08-06,5.11,5.35,4.95,5.04,83500,5.04
2024-08-07,5.16,5.39,5.05,5.23,113700,5.23
2024-08-08,5.27,5.54,5.2,5.49,88200,5.49
2024-08-09,5.48,5.53,5.27,5.38,60400,5.38
2024-08-12,5.27,5.64,5.27,5.46,128000,5.46
2024-08-13,5.56,5.87,5.55,5.75,163200,5.75
2024-08-14,5.58,5.77,5.12,5.27,248900,5.27
2024-08-15,5.4,5.49,5.04,5.04,149600,5.04
2024-08-16,5.1,5.291,5.06,5.2,75400,5.2
2024-08-19,5.16,5.32,5.121,5.14,134500,5.14
2024-08-20,5.15,5.4,5.12,5.4,113100,5.4
2024-08-21,5.44,5.57,5.42,5.52,40400,5.52
2024-08-22,5.52,5.71,5.424,5.69,108500,5.69
2024-08-23,5.75,5.9,5.42,5.53,96800,5.53
2024-08-26,5.47,5.64,5.23,5.26,55600,5.26
2024-08-27,5.25,5.379,5.14,5.15,65500,5.15
2024-08-28,5.19,5.29,4.89,4.9,96300,4.9
2024-08-29,4.98,5.12,4.8,4.87,102700,4.87
2024-08-30,4.86,4.915,4.57,4.69,105200,4.69
2024-09-03,4.68,4.75,4.35,4.46,189900,4.46
2024-09-04,4.46,4.64,4.36,4.46,116200,4.46
2024-09-05,4.49,4.84,4.49,4.8,175200,4.8
2024-09-06,4.75,4.83,4.474,4.57,53300,4.57
2024-09-09,4.67,5.17,4.628,4.93,123200,4.93
2024-09-10,4.99,5.025,4.7,4.98,60900,4.98
2024-09-11,4.92,5.29,4.88,5.2,78400,5.2
2024-09-12,5.2,5.3,5.09,5.27,37700,5.27
2024-09-13,5.22,5.5,5.22,5.29,64900,5.29
2024-09-16,5.51,5.51,5.13,5.36,62200,5.36
2024-09-17,5.28,5.45,5.28,5.43,67700,5.43
2024-09-18,5.5,5.57,5.195,5.32,80000,5.32
2024-09-19,5.52,5.52,5.093,5.14,72600,5.14
2024-09-20,5.14,5.27,4.785,4.95,149800,4.95
2024-09-23,4.95,5.0,4.83,4.83,60200,4.83
2024-09-24,4.93,5.05,4.79,4.95,69700,4.95
2024-09-25,4.96,5.0,4.83,4.85,24000,4.85
2024-09-26,4.92,4.935,4.74,4.89,77700,4.89
2024-09-27,4.96,5.051,4.851,4.99,81300,4.99
2024-09-30,4.98,5.03,4.87,4.91,47000,4.91
2024-10-01,4.92,4.955,4.7,4.78,64400,4.78
2024-10-02,4.8,4.99,4.8,4.87,49000,4.87
2024-10-03,4.82,4.94,4.82,4.87,39200,4.87
2024-10-04,4.87,4.87,4.71,4.82,52200,4.82
2024-10-07,4.77,4.825,4.7,4.745,77400,4.745
2024-10-08,4.66,4.73,4.53,4.62,92300,4.62
2024-10-09,4.7,4.74,4.6,4.64,62300,4.64
2024-10-10,4.64,4.68,4.51,4.56,55500,4.56
2024-10-11,4.57,4.73,4.56,4.7,84900,4.7
2024-10-14,4.68,4.7,4.5,4.53,97800,4.53
