date,open,high,low,close,volume,adj_close
2024-05-20,7.1601,7.4734,7.1525,7.4276,956700,7.4276
2024-05-21,7.4199,7.4428,7.3206,7.3282,866800,7.3282
2024-05-22,7.2518,7.3359,7.1907,7.2977,713400,7.2977
2024-05-23,7.2594,7.2824,7.1143,7.1754,775000,7.1754
2024-05-24,7.1907,7.3435,7.183,7.2365,715700,7.2365
2024-05-28,7.29,7.3894,7.1907,7.2442,708700,7.2442
2024-05-29,7.1448,7.1677,6.9844,7.0149,879300,7.0149
2024-05-30,7.0531,7.1525,7.0226,7.0302,1145300,7.0302
2024-05-31,7.0684,7.397,7.0684,7.29,1718800,7.29
2024-06-03,7.3206,7.4276,7.29,7.3282,683000,7.3282
2024-06-04,7.2977,7.3282,7.2518,7.3129,500900,7.3129
2024-06-05,7.3206,7.3359,7.206,7.2518,530000,7.2518
2024-06-06,7.1983,7.2594,7.1448,7.2365,589800,7.2365
2024-06-07,7.1677,7.2518,7.1143,7.1448,969200,7.1448
2024-06-10,7.099,7.1066,6.992,7.099,664100,7.099
2024-06-11,7.099,7.2442,7.0913,7.2289,919500,7.2289
2024-06-12,7.3894,7.397,7.0913,7.1219,723700,7.1219
2024-06-13,7.0684,7.076,6.7551,6.7627,1089400,6.7627
2024-06-14,6.7169,6.7245,6.3272,6.4112,1537900,6.4112
2024-06-17,6.4112,6.4265,6.3195,6.373,900400,6.373
2024-06-18,6.3577,6.4342,6.3577,6.4036,886400,6.4036
2024-06-20,6.3807,6.4571,6.1973,6.2202,1188400,6.2202
2024-06-21,6.2431,6.4494,6.2355,6.373,2462300,6.373
2024-06-24,6.3807,6.4724,6.3425,6.4112,928100,6.4112
2024-06-25,6.3807,6.4112,6.1361,6.1361,1426000,6.1361
2024-06-26,6.1209,6.1514,6.0062,6.1056,1367500,6.1056
2024-06-27,6.1285,6.2966,6.0062,6.266,1809700,6.266
2024-06-28,6.2426,6.3677,6.2113,6.3208,1623900,6.3208
2024-07-01,6.2817,6.3599,6.18,6.2191,874900,6.2191
2024-07-02,6.2348,6.2817,6.1565,6.1878,715600,6.1878
2024-07-03,6.2035,6.2348,6.1252,6.1331,435900,6.1331
2024-07-05,6.1096,6.1487,5.9766,6.1018,957300,6.1018
2024-07-08,6.1487,6.2035,6.0627,6.1174,733600,6.1174
2024-07-09,6.1018,6.1018,5.961,6.0079,886200,6.0079
2024-07-10,6.0548,6.0939,5.9688,6.047,588600,6.047
2024-07-11,6.1018,6.18,6.0079,6.1565,921600,6.1565
2024-07-12,6.2348,6.3052,6.0705,6.1644,878100,6.1644
2024-07-15,6.2191,6.3599,6.1331,6.2426,1142500,6.2426
2024-07-16,6.2817,6.532,6.2504,6.5086,1267800,6.5086
2024-07-17,6.4616,6.798,6.4616,6.7511,1261800,6.7511
2024-07-18,6.665,6.8684,6.5946,6.6807,1090800,6.6807
2024-07-19,6.6572,6.6572,6.3756,6.399,998100,6.399
2024-07-22,6.4538,6.4616,6.1331,6.3756,1139000,6.3756
2024-07-23,6.3599,6.4381,6.3052,6.399,608500,6.399
2024-07-24,6.3521,6.4538,6.3286,6.3599,655800,6.3599
2024-07-25,6.399,6.6024,6.3677,6.532,892600,6.532
2024-07-26,6.6337,6.6885,6.5086,6.6728,820200,6.6728
2024-07-29,6.665,6.7354,6.6259,6.6963,724600,6.6963
2024-07-30,6.6728,6.7745,6.6572,6.7511,945500,6.7511
2024-07-31,6.8058,6.8684,6.6728,6.7432,1126400,6.7432
2024-08-01,6.7432,6.8058,6.6181,6.7276,1092800,6.7276
2024-08-02,6.6181,6.7041,6.5242,6.6963,958300,6.6963
2024-08-05,6.4147,6.6024,6.3443,6.5477,1193000,6.5477
2024-08-06,6.4851,6.884,6.4851,6.7745,1549900,6.7745
2024-08-07,6.665,6.9153,6.3208,6.5946,1652000,6.5946
2024-08-08,6.6415,6.8449,6.6259,6.7745,1036100,6.7745
2024-08-09,6.7276,6.7432,6.3286,6.446,1171800,6.446
2024-08-12,6.4225,6.446,6.2504,6.2739,1040900,6.2739
2024-08-13,6.3365,6.532,6.2817,6.5007,829500,6.5007
2024-08-14,6.532,6.579,6.4069,6.5007,691100,6.5007
2024-08-15,6.6102,6.6259,6.5086,6.6024,841500,6.6024
2024-08-16,6.5711,6.6103,6.4851,6.4929,616200,6.4929
