date,open,high,low,close,volume,adj_close
2024-05-20,25.7418,25.7418,24.64,24.7708,46900,24.7708
2024-05-21,24.9015,25.1069,24.8174,25.0042,36700,25.0042
2024-05-22,25.1349,25.1349,24.416,24.8641,64400,24.8641
2024-05-23,24.4533,24.528,23.7717,23.9678,78800,23.9678
2024-05-24,24.1452,24.1639,23.697,24.1639,30900,24.1639
2024-05-28,24.416,24.6214,23.9024,23.9024,37500,23.9024
2024-05-29,23.5663,23.697,23.4076,23.4729,25100,23.4729
2024-05-30,23.8931,24.2479,23.7157,24.1265,24300,24.1265
2024-05-31,24.444,24.5934,24.1265,24.528,57700,24.528
2024-06-03,24.7428,24.7521,24.1639,24.3133,24400,24.3133
2024-06-04,23.9678,23.9865,23.4076,23.5383,28400,23.5383
2024-06-05,23.7997,24.0985,23.5383,24.0985,16000,24.0985
2024-06-06,24.0238,24.2946,23.9398,24.1359,18400,24.1359
2024-06-07,23.9491,24.1825,23.8184,23.8371,23200,23.8371
2024-06-10,23.7437,23.8464,23.4262,23.6783,12800,23.6783
2024-06-11,23.5476,23.6037,23.0621,23.4729,33900,23.4729
2024-06-12,24.0798,24.5093,23.8464,24.0051,29300,24.0051
2024-06-13,24.1545,24.2852,23.5756,23.8557,20700,23.8557
2024-06-14,23.8091,23.8091,23.2488,23.613,30700,23.613
2024-06-17,23.529,23.9678,23.2862,23.9678,15000,23.9678
2024-06-18,24.1359,24.2666,23.8184,24.2666,33800,24.2666
2024-06-20,24.0425,24.2572,23.7064,23.8184,14900,23.8184
2024-06-21,23.7904,23.8651,22.9127,22.9127,157800,22.9127
2024-06-24,23.1461,23.4356,22.8567,23.1835,76900,23.1835
2024-06-25,23.1648,23.3329,23.0341,23.2488,27100,23.2488
2024-06-26,23.0154,23.753,23.0154,23.6317,39700,23.6317
2024-06-27,23.6877,24.0331,23.613,24.0051,24300,24.0051
2024-06-28,24.2572,25.275,23.5383,25.0975,237900,25.0975
2024-07-01,24.9015,25.0789,24.612,24.7614,45700,24.7614
2024-07-02,24.5654,24.9762,24.5654,24.7801,18700,24.7801
2024-07-03,24.8174,24.8174,24.3133,24.5373,22100,24.5373
2024-07-05,24.3319,24.3319,23.7624,23.781,42800,23.781
2024-07-08,24.1545,24.2572,23.9398,24.1172,24900,24.1172
2024-07-09,24.0051,24.3786,23.9398,24.2012,9700,24.2012
2024-07-10,24.3226,24.7708,24.3226,24.5654,18300,24.5654
2024-07-11,25.0229,26.3674,24.9762,26.2927,66400,26.2927
2024-07-12,26.5821,26.9369,26.0406,26.5541,48900,26.5541
2024-07-15,26.8996,27.5532,26.7969,27.077,66800,27.077
2024-07-16,27.5438,28.8416,27.5158,28.8416,93300,28.8416
2024-07-17,28.5615,29.6633,28.2441,29.6073,68200,29.6073
2024-07-18,29.1684,29.7193,28.1414,28.5335,64100,28.5335
2024-07-19,28.879,28.9257,27.8053,28.3094,36500,28.3094
2024-07-22,27.8893,30.0181,27.8893,29.8127,60100,29.8127
2024-07-23,29.6353,30.8117,29.6073,30.5036,70000,30.5036
2024-07-24,30.4943,31.0358,29.6913,29.6913,49300,29.6913
2024-07-25,29.6166,31.0732,29.6166,30.597,54300,30.597
2024-07-26,30.9611,31.1012,30.1115,30.5596,51400,30.5596
2024-07-29,30.7931,30.7931,29.3458,29.5886,28900,29.5886
2024-07-30,29.71,30.1955,29.71,30.1581,28300,30.1581
2024-07-31,30.1862,30.9051,29.6073,29.8407,55500,29.8407
2024-08-01,29.8594,29.8687,28.0107,28.4868,48100,28.4868
2024-08-02,27.161,28.0293,26.8249,27.6839,39100,27.6839
2024-08-05,26.2273,27.0956,25.8165,26.4887,57200,26.4887
2024-08-06,26.5354,27.1517,26.1433,26.7502,31000,26.7502
2024-08-07,26.9649,26.9649,26.5728,26.5915,30500,26.5915
2024-08-08,27.077,27.3664,26.7315,27.1423,21700,27.1423
2024-08-09,27.0303,27.0303,26.4701,26.8155,32800,26.8155
2024-08-12,26.9929,26.9929,26.1153,26.2086,33500,26.2086
2024-08-13,26.6942,26.9182,25.9565,26.7035,29900,26.7035
2024-08-14,27.0116,27.0116,26.3954,26.7035,31200,26.7035
2024-08-15,27.3263,27.7981,26.8922,27.2413,34400,27.2413
2024-08-16,27.2036,27.8924,27.2036,27.6471,88800,27.6471
2024-08-19,27.883,28.2321,27.6471,28.1755,22000,28.1755
2024-08-20,28.1472,28.1566,27.8358,27.883,38700,27.883
2024-08-21,27.8452,28.2415,27.7131,28.2415,17200,28.2415
2024-08-22,28.2415,28.6001,28.2415,28.3642,34000,28.3642
2024-08-23,28.8643,30.4401,28.8643,30.0438,48200,30.0438
2024-08-26,30.2986,30.4307,29.8551,29.8739,66600,29.8739
2024-08-27,29.5248,29.638,29.2795,29.6003,17500,29.6003
2024-08-28,29.3833,30.157,29.3833,30.1287,42900,30.1287
2024-08-29,30.3552,30.3552,29.8551,30.1098,26700,30.1098
2024-08-30,30.3457,30.3457,29.7418,30.2514,29700,30.2514
2024-09-03,29.6097,30.2797,29.2606,29.3833,29300,29.3833
2024-09-04,29.5154,29.5531,28.9398,29.5248,29200,29.5248
2024-09-05,29.6192,29.7041,28.7888,28.9115,13700,28.9115
2024-09-06,29.0247,29.0247,28.2698,28.2887,21500,28.2887
2024-09-09,28.5812,28.7983,28.034,28.0623,38600,28.0623
2024-09-10,28.3359,28.3925,27.6282,28.3548,26000,28.3548
2024-09-11,27.9585,28.3359,27.4961,28.1566,25900,28.1566
2024-09-12,28.4303,28.5435,28.1472,28.5057,24900,28.5057
2024-09-13,28.7888,29.4588,28.619,29.2889,37300,29.2889
2024-09-16,29.3738,29.723,29.0813,29.5437,26100,29.5437
2024-09-17,29.7418,30.2608,29.5059,29.8834,33400,29.8834
2024-09-18,29.8268,30.8553,29.4965,30.5439,45100,30.5439
2024-09-19,31.2138,31.2138,30.2514,31.1667,36500,31.1667
2024-09-20,30.7515,30.8175,29.0813,29.5154,166400,29.5154
2024-09-23,29.5814,29.8551,28.7511,28.7511,45200,28.7511
2024-09-24,28.987,28.9964,28.468,28.7039,26300,28.7039
2024-09-25,28.9209,28.9209,28.2982,28.4303,25500,28.4303
2024-09-26,28.9304,28.9304,28.2132,28.317,31200,28.317
2024-09-27,28.77,28.77,28.0811,28.4963,34600,28.4963
2024-09-30,28.2227,29.2512,28.2227,29.1002,33000,29.1002
2024-10-01,28.8266,28.8266,27.7414,27.9302,36400,27.9302
2024-10-02,27.9396,28.317,27.4206,27.666,26000,27.666
2024-10-03,27.5055,27.6943,26.7318,27.1847,23700,27.1847
2024-10-04,27.8924,28.0245,27.5905,27.6471,26400,27.6471
2024-10-07,27.7131,27.7131,27.2413,27.4206,20800,27.4206
2024-10-08,27.6093,27.7603,27.2791,27.4961,18300,27.4961
2024-10-09,27.3357,27.9868,27.3357,27.6471,19800,27.6471
2024-10-10,27.364,27.6282,27.1092,27.4018,21500,27.4018
2024-10-11,27.7698,28.619,27.7698,28.3548,24100,28.3548
2024-10-14,28.3265,28.7794,27.9396,28.5057,19900,28.5057
2024-10-15,28.836,29.8645,28.7983,28.8926,34000,28.8926
2024-10-16,29.3927,30.2042,28.6001,29.4871,50200,29.4871
2024-10-17,29.5626,30.157,29.1285,29.9872,35100,29.9872
2024-10-18,30.1759,30.7326,28.8643,28.9492,37100,28.9492
